!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
LIC11418	522.7413433921
LIC12547	25.8711055405
LIC12546	55.1808853887
LIC11416	1740.3630735272
LIC11413	441.1610116892
LIC11414	38.609044542
LIC12548	141.7547274768
LIC11026	26.0059644053
LIC11027	19.4960593744
LIC11024	64.9005230607
LIC11025	1100.4025247958
LIC11023	10.917438229
LIC11017	97.04039563
LIC11421	227.2206498741
LIC11423	824.1991377345
LIC11422	20.9001123181
LIC12554	62.3029772383
LIC12551	349.6146013843
LIC11424	1732.6799350531
LIC11426	7.8873140379
LIC11013	344.7470569645
LIC11014	22.2166102592
LIC11016	290.5034697005
LIC11011	123.8550405581
LIC11012	2.3295725398
LIC11076	232.2189265966
LIC11075	27.685246839
LIC11074	816.8836415558
LIC11072	24.1626971609
LIC11071	167.6904410541
LIC11070	221.6710611998
LIC11086	20.3082286156
LIC11089	651.0030854939
LIC11088	19.538495205
LIC11082	34.5598847598
LIC11085	16.4434375535
LIC11081	51.4394273721
LIC10692	46.1891672769
LIC10690	217.3361814646
LIC11054	135.747192874
LIC11059	182.7769869574
LIC11058	86.6993799007
LIC10695	4.7669272023
LIC11051	107.752410086
LIC10699	482.4865137021
LIC10698	14.5434917117
LIC11065	255.4676887604
LIC11064	6.831749915
LIC10680	607.6894517832
LIC10681	381.860683389
LIC11067	1408.73220799
LIC11066	31.0029229489
LIC10683	49.5746381077
LIC11061	10.9038856651
LIC11060	16.5312951113
LIC11063	39.8205871108
LIC11062	52.7704038529
LIC10688	32.2436178429
LIC10672	1855.687389558
LIC10671	14.9625038954
LIC10678	121.9411669481
LIC10679	132.6928360393
LIC10662	486.9146012767
LIC10661	253.6620948757
LIC10664	824.3377862479
LIC10663	709.6741067286
LIC10665	155.6334853597
LIC10666	25.6984972273
LIC10667	125.5408321869
LIC10668	15.0838976208
LIC11091	430.2593560878
LIC11095	636.0936517179
LIC11096	740.5126241883
LIC11097	42.496604098
LIC11098	84.5702999596
LIC10657	123.6925966141
LIC10655	200.3603454519
LIC10640	299.1620306814
LIC10641	93.8593939313
LIC10643	151.6041967646
LIC10644	18.4979992427
LIC11769	1795.1155328159
LIC11767	695.6422980595
LIC11768	864.5967264325
LIC11766	75.3862350008
LIC13245	64.722112004
LIC13244	2920.6257729581
LIC10050	125.4280888999
LIC10051	43.3627163693
LIC13242	46.9067182757
LIC13249	21.0183518775
LIC11760	457.049084915
LIC13247	5.6496660149
LIC10053	58.8937458866
LIC13240	35.3791523354
LIC10054	152.9347459216
LIC10055	332.7613773139
LIC10049	39.2963649643
LIC11758	955.5676205268
LIC11759	21.7194454488
LIC11751	44.7667265312
LIC13232	127.006729855
LIC11750	819.1680371863
LIC13231	32.3389296946
LIC10040	134.5757788552
LIC11753	23.1837178007
LIC13233	21.6686717677
LIC11752	345.1620066369
LIC13236	31.2589230681
LIC13238	17.6718004554
LIC13237	352.22415856
LIC10048	254.7047417844
LIC10045	950.9789662939
LIC10046	2548.0222971257
LIC10043	35.699171964
LIC13230	139.7593391024
LIC10041	36.9598746874
LIC11745	1520.3259674281
LIC11746	870.758286791
LIC11743	40.2694822205
LIC11749	54.6344082799
LIC11747	37.6742244863
LIC11748	18.6434534603
LIC12188	947.0698006312
LIC12189	554.6545332875
LIC13269	53.820127106
LIC12186	99.6597811701
LIC13268	63.7101739604
LIC12187	368.8017549253
LIC13266	27.06805718
LIC11741	226.4689892343
LIC10072	30.1077536787
LIC11740	338.186810799
LIC10073	38.5001112419
LIC13263	148.1338774553
LIC10074	673.0371637006
LIC12180	168.8668647274
LIC13262	354.3256619475
LIC10075	336.3697085494
LIC12181	440.3690610962
LIC10076	46.7828430243
LIC13261	92.9254868619
LIC10077	455.7937472135
LIC10079	227.8178963531
LIC12182	152.4126796058
LIC12183	15.2782921934
LIC11732	17.1615588886
LIC11736	5.382410702
LIC11737	136.3951751281
LIC11739	61.931051797
LIC13258	121.9592799859
LIC12197	1172.611468928
LIC12198	1968.2957576807
LIC13257	465.4744023914
LIC12199	1531.727652283
LIC13259	27.3271881632
LIC11731	2141.5992701509
LIC10060	130.3920910659
LIC13250	212.908520381
LIC10065	543.197469699
LIC12190	239.9765146654
LIC10066	298.9809293805
LIC10063	27.7370316589
LIC12191	156.418108452
LIC13251	210.5772090227
LIC10064	2237.2829924928
LIC12192	81.1807443766
LIC12193	683.8315829447
LIC10069	2710.6261287384
LIC12194	1469.4959932973
LIC10067	35.3326057791
LIC12195	690.1545634809
LIC10068	546.027010699
LIC12196	25.7547299568
LIC10017	260.0477212103
LIC10019	926.9841800001
LIC12163	22.2753861065
LIC13280	44.086548436
LIC12162	49.5937942131
LIC10012	70.4203085545
LIC12161	61.6901253797
LIC13285	19.7328176789
LIC13282	155.9489462574
LIC10011	8664.6071068723
LIC13283	11.506032694
LIC13288	13.9019751582
LIC12169	166.9006492325
LIC13286	17.0310018844
LIC12168	842.4283550836
LIC12167	171.863340617
LIC12166	1587.5493850148
LIC12165	1337.5833196573
LIC12164	358.1032770049
LIC11799	432.5409302599
LIC10009	1159.288548856
LIC10005	273.8149931637
LIC10006	279.7036627584
LIC12172	106.8396664789
LIC10004	40.6801134996
LIC12171	128.7442970524
LIC10002	1827.8883241873
LIC12174	64.374749951
LIC12173	205.8932464209
LIC13271	272.3363223792
LIC13272	8.6033506632
LIC12170	31.6100500589
LIC11794	49.3665108873
LIC13275	158.6820866314
LIC12179	133.3473772075
LIC13276	3274.7191448528
LIC11797	56.9759663611
LIC11790	1745.704371276
LIC12176	162.6199130427
LIC13279	9.6231781532
LIC12175	201.9677374634
LIC11791	765.1518935571
LIC12178	44.2229533091
LIC11792	33.5920064302
LIC11793	814.4381547371
LIC12177	80.9448370017
LIC11789	56.4898112688
LIC11788	32.2054742563
LIC10038	112.7421978696
LIC10039	121.1390024536
LIC10031	13.7200728487
LIC10030	48.2146415465
LIC10032	35.2505559972
LIC12141	803.2685507016
LIC12140	85.6207244963
LIC10037	401.5726424905
LIC11781	4784.0567495179
LIC12145	33.0319716349
LIC11782	1207.6842477072
LIC12143	9.0471299489
LIC11780	95.5639951224
LIC11786	68.998840414
LIC12146	140.5347049106
LIC11784	54.6077122525
LIC11777	201.9697680947
LIC11776	19.3804597139
LIC11779	30.8486743918
LIC11778	11.7826050526
LIC10029	622.3747311787
LIC10027	36.3730457073
LIC10028	106.830007042
LIC10022	190.5871555044
LIC13293	396.3613744525
LIC10020	87.6441498546
LIC13295	10.6744201022
LIC12150	296.8116561969
LIC10026	16.7698214002
LIC12152	287.4189930602
LIC10024	2.2506715029
LIC12151	122.4714839268
LIC10023	41.9638777051
LIC12154	81.8531917685
LIC12153	391.0561836612
LIC12156	90.7909962621
LIC11770	30.5172737002
LIC12155	87.5101233202
LIC12158	388.6409232513
LIC13297	245.5783927459
LIC11773	25.7465903474
LIC12157	414.1276314939
LIC11774	38.8637416425
LIC11775	52.6759830952
LIC12629	1151.439842051
LIC12627	180.2156154028
LIC11579	196.587930618
LIC11578	171.1103678722
LIC12236	464.1011687652
LIC12235	18.7212411982
LIC12232	341.7018475131
LIC12233	3325.438344991
LIC12230	35.4095055982
LIC12231	402.3246434951
LIC12238	28.3101848298
LIC12621	4881.7922162235
LIC12620	36.0354615326
LIC11577	15.1272135718
LIC11570	300.0472290601
LIC11571	218.0631278035
LIC11572	29.6112619302
LIC11573	1070.2134096884
LIC12638	173.2404037537
LIC12639	121.6721143548
LIC12635	81.2422281983
LIC12636	1303.9069720401
LIC12637	931.0490327824
LIC12224	28.8298618338
LIC13300	2508.2036481897
LIC12225	2.2202217153
LIC13302	198.9712864238
LIC13301	1493.1327141419
LIC12221	8.6863074129
LIC12222	9.1391617488
LIC11580	95.0219129431
LIC13308	13.9251696283
LIC13309	22.2241477206
LIC12227	102.0752989947
LIC12631	77.3727222276
LIC11587	199.1671192479
LIC12633	20.5679232079
LIC11585	86.3951672169
LIC12632	131.3906193167
LIC11586	9.570410218
LIC11584	22.8935179907
LIC12647	33.1519041553
LIC12648	570.1399800935
LIC12645	14.9874178711
LIC12646	13.8024115703
LIC20098	123.3033605668
LIC12250	1238.8032548192
LIC12251	172.6725773192
LIC20097	327.3969301833
LIC20096	966.2377737813
LIC12649	7.9049901848
LIC12254	140.5675851499
LIC20093	2067.9968272515
LIC20092	24.1412484592
LIC12252	3.4470550699
LIC12253	124.8176096031
LIC20090	234.0487196478
LIC12257	18.6222411443
LIC11590	252.4035429425
LIC11591	48.1983599389
LIC11592	10.7097539351
LIC11595	102.3598683093
