!!SBtab TableType='Proteomaps' Organism='eco' Condition='Complete medium'
!ProteinIdentifier	!Abundance
b3241	62	
b3240	16	
b3243	203	
b3242	28	
b2836	188	
b0885	151	
b1338	9	
b1337	5	
b1339	27	
b1336	0	
b0715	13	
b0185	10155	
b3255	34495	
b3256	13890	
b2316	8774	
b4015	1483	
b4014	591	
b0114	66813	
b0115	60155	
b4016	9	
b2296	35607	
b1276	238	
b0118	7764	
b0404	190	
b1094	357865	
b2563	372	
b3475	474	
b0463	3861	
b0462	2074	
b2470	56	
b3265	5	
b3266	5	
b0464	240	
b4069	150	
b4067	15	
b2213	21	
b1623	724	
b3665	738	
b1241	3485	
b1478	20	
b4117	5	
b4115	3	
b4116	37	
b0474	20646	
b0385	6	
b1815	0	
b2468	13	
b3072	10	
b0476	35	
b0262	11	
b3138	7	
b3139	1	
b3140	1	
b3141	13	
b3131	629	
b3136	11	
b3133	36	
b1002	86	
b0605	92449	
b0606	5698	
b4187	19	
b2252	112	
b2290	2267	
b2379	1203	
b2697	8493	
b1415	555	
b3588	1	
b2068	32	
b2212	22	
b0505	14	
b0512	9	
b0516	9	
b0517	2	
b0506	1771	
b0504	1	
b2624	31	
b4053	586	
b4087	0	
b4088	81	
b4086	1	
b4085	23	
b4084	12	
b3088	342	
b2435	676	
b4169	343	
b2817	410	
b0867	141	
b1982	521	
b4150	587	
b0110	269	
b0111	129	
b0433	259	
b0376	460	
b0451	5	
b1927	16	
b1640	217	
b1767	1699	
b2957	75	
b1453	285	
b0050	113	
b0049	453	
b2214	191	
b4055	274	
b0980	16	
b0979	10	
b0978	12	
b0564	86	
b0469	15434	
b0875	63	
b0062	19	
b0063	2	
b0064	105	
b0061	9	
b2841	25	
b1901	4	
b1900	2	
b4460	10	
b0396	41	
b4401	8000	
b3210	226	
b2818	28	
b3959	125	
b3958	57	
b3359	637	
b3957	372	
b0273	209	
b3172	1296	
b3960	337	
b4254	63	
b2918	0	
b2923	419	
b2916	789	
b3237	3610	
b1876	4901	
b2310	427	
b1166	49	
b2255	74	
b2253	105	
b2254	61	
b2256	7	
b4544	1	
b2258	3	
b2257	4	
b0908	1248	
b3389	770	
b2329	1258	
b1693	572	
b3281	1144	
b2601	361	
b0754	4959	
b1704	1341	
b3390	12633	
b0388	386	
b0390	306	
b0112	832	
b4017	5	
b0555	11	
b1554	3	
b3502	48	
b3503	287	
b3501	82	
b0863	3323	
b0860	544	
b0861	484	
b0864	1392	
b0862	512	
b2716	71	
b2715	0	
b2714	219	
b3433	7060	
b3801	7	
b3800	5	
b2064	138	
b3744	5147	
b0674	1811	
b3743	694	
b0930	17436	
b4139	1119	
b0928	4498	
b1866	8307	
b1597	62	
b1747	0	
b1745	1	
b1748	6	
b1746	2	
b1744	1	
b2222	0	
b2224	2	
b2220	42	
b2221	0	
b2223	0	
b2219	5	
b3734	30696	
b3738	10508	
b3731	12695	
b3732	30603	
b3737	112959	
b3736	17866	
b3733	9832	
b3735	9335	
b3739	151	
b3572	1923	
b1412	1521	
b4663	7848	
b3057	1735	
b2079	555	
b2078	26	
b0177	3904	
b2512	3080	
b2477	2653	
b2595	6620	
b2617	5689	
b2786	141	
b4113	663	
b4112	238	
b3570	717	
b2480	9932	
b2182	235	
b3533	10	
b3532	91	
b3530	39	
b3536	332	
b3537	217	
b3538	290	
b3531	39	
b1481	19	
b0311	131	
b0312	335	
b0313	59	
b0314	82	
b3337	327	
b3336	192	
b2901	2950	
b3721	6	
b3722	0	
b3723	0	
b3720	2	
b4366	0	
b2132	769	
b1112	2282	
b0774	1958	
b0775	4948	
b0777	551	
b0778	2362	
