23647	23647	NotMapped	1127700
Gm6055;Map1lc3b	Gm6055;Map1lc3b	NotMapped	8649600
274	274	NotMapped	8251700
57016	57016	NotMapped	64800000
2029	2029	NotMapped	25600000
1114	1114	NotMapped	4187100
1265	1265	NotMapped	19400000
4131	4131	NotMapped	10100000
23157	23157	NotMapped	1421100
2823	2823	NotMapped	460870
10631	10631	NotMapped	10600000
Ighg2c	Ighg2c	NotMapped	18600000
7041	7041	NotMapped	1633800
Gm6736;Akr1b1;Akr1b3	Gm6736;Akr1b1;Akr1b3	NotMapped	1.32e+09
55204	55204	NotMapped	1272600
3281	3281	NotMapped	13300000
2596	2596	NotMapped	816170
81611	81611	NotMapped	15900000
10529	10529	NotMapped	1.75e+09
23406	23406	NotMapped	43400000
259217	259217	NotMapped	56757
Arpp19	Arpp19	NotMapped	22200000
5504	5504	NotMapped	52500000
Gm20459;Akap2	Gm20459;Akap2	NotMapped	38300000
Myl6;Gm8894	Myl6;Gm8894	NotMapped	5.36e+08
64855	64855	NotMapped	1735000
6678	6678	NotMapped	2798800
1690	1690	NotMapped	1.79e+08
306	306	NotMapped	1.6e+08
6624	6624	NotMapped	3281100
6271	6271	NotMapped	9.67e+08
7905	7905	NotMapped	24400000
115024	115024	NotMapped	13200000
56241	56241	NotMapped	1628100
Haus4	Haus4	NotMapped	5.11e+08
2059	2059	NotMapped	4119500
118	118	NotMapped	10700000
5757	5757	NotMapped	2.07e+08
Serpinb6a;Serpinb6	Serpinb6a;Serpinb6	NotMapped	2.56e+08
Rbfox2	Rbfox2	NotMapped	6477700
Hba-a1;Hba-a2;Hba	Hba-a1;Hba-a2;Hba	NotMapped	3.25e+10
5955	5955	NotMapped	7405400
23597	23597	NotMapped	64400000
23176	23176	NotMapped	45800000
Txlng	Txlng	NotMapped	23900000
58155	58155	NotMapped	7434700
6252	6252	NotMapped	571380
51571	51571	NotMapped	532900
3208	3208	NotMapped	1188500
55690	55690	NotMapped	365300
80760	80760	NotMapped	138280
88455	88455	NotMapped	1001300
8815	8815	NotMapped	1.11e+08
27237	27237	NotMapped	43900000
Sdr39u1	Sdr39u1	NotMapped	69900000
3110082I17Rik	3110082I17Rik	NotMapped	113890
23216	23216	NotMapped	1857300
2009	2009	NotMapped	2.4e+08
4354	4354	NotMapped	37500000
5954	5954	NotMapped	37900000
80774	80774	NotMapped	279630
23175	23175	NotMapped	305320
6760	6760	NotMapped	8731100
3110003A17Rik;Abracl	3110003A17Rik;Abracl	NotMapped	66600000
57708	57708	NotMapped	43300000
83988	83988	NotMapped	2478000
Brk1	Brk1	NotMapped	3552800
1810020D17Rik	1810020D17Rik	NotMapped	22400000
23048	23048	NotMapped	1689600
9600	9600	NotMapped	339060
5108	5108	NotMapped	7888400
51466	51466	NotMapped	1831300
1191	1191	NotMapped	1.94e+08
3603	3603	NotMapped	679050
392	392	NotMapped	14100000
Rap1gap2	Rap1gap2	NotMapped	316950
25927	25927	NotMapped	3326900
