K02040	PstS
K10960	-
K10967	-
SPAC24B11.11c	-
K09870	-
K06316	-
P61160	-
P61163	-
K10387	-
K10386	-
K10381	-
K10380	-
K10383	-
K10382	-
K10389	-
K10388	-
B7Z9W3	-
K10038	GlnQ
K10036	GlnH
YJL158C	-
K13606	-
K05787	HupA
K05789	Cld
K05788	IhfB
K01443	NagA
K01444	-
YDR534C	-
K09279	-
K09278	-
K09277	-
K09276	-
K09275	-
K09273	-
K09272	-
K09270	-
K08009	-
K08007	-
K02067	MlaD
K02065	MlaF
K02064	ThiB
K03331	-
K12958	-
K12957	YjgB
YMR307W	-
K14736	-
K14737	-
K14739	-
Q562W3	-
Q562W2	-
Q562W5	-
Q562W4	-
Q562W7	-
Q562W6	-
Q562W9	-
Q562W8	-
K09666	-
K09667	-
K09660	-
K09661	-
K09662	-
K11502	-
K04309	-
K11979	-
K11978	-
K11974	-
K11600	-
K11971	-
K11970	-
K10558	LsrA
Q6RFH5	-
K10551	AlsA
K10555	LsrB
K02469	GyrA
K07235	YheN
K07541	-
MPN452	-
YLR045C	-
K08648	-
K10734	-
K00019	-
K10736	-
K10737	-
K10730	-
K10732	-
K10733	-
K00011	-
K00012	Ugd
K00013	HisD
K00014	AroE
K00015	-
K00016	-
K09063	-
K09061	-
K09068	-
YDR356W	-
K00274	-
K00275	PdxH
K00276	TynA
K00277	-
Q6PJ43	-
K00272	-
K00273	-
K15816	-
Sba1	-
K01277	-
K01276	-
K01275	-
K01273	-
K01271	PepQ
K01270	PepD
K01279	-
K01278	-
K00906	AceK
K00907	-
K00904	-
K00905	-
K00902	-
K00900	-
K00901	DgkA
K04573	-
K04572	-
K01051	YbhC
K04570	-
K01057	-
K01056	Pth
K04575	-
K01054	-
K01059	-
K02500	HisF
K02501	HisH
K02503	-
K13142	-
K13143	-
K13140	-
K13141	-
K13146	-
K13147	-
K13412	-
K13145	-
K13148	-
K13149	-
K13123	-
YMR215W	-
K08819	-
K03109	-
K03108	-
K03107	-
K03106	Ffh
K08812	-
K03104	-
K03103	-
K08815	-
K08816	-
K08817	-
K06557	-
K02949	-
K06551	-
K06550	-
K12023	-
K06089	-
K06088	-
K06082	-
K06085	-
K06084	-
K06087	-
K06086	-
K10949	-
K00488	-
K00485	-
K07684	NarL
K07933	-
K07930	-
K07687	RcsB
K07936	-
K07937	-
K07934	-
K07935	-
K07938	-
K07939	-
K07689	UvrY
YMR117C	-
K01121	-
K10051	-
K10054	-
K10056	-
K08582	-
K05751	-
K13627	-
K13625	-
K13624	-
K15485	-
K05768	-
K05765	-
K05764	-
K05767	-
K05766	-
K05761	-
K05760	-
K05763	-
K05762	-
K01420	Fnr
K01424	AnsA
K01424	AnsB
K01425	YbaS
K01425	YneH
K09217	-
K09216	-
K14281	-
K14282	-
K14283	-
K14284	-
K14285	-
K14538	-
K14539	-
K14536	-
K14537	-
K08063	-
K14535	-
K08065	-
K08064	-
K08066	-
K13089	-
K13088	-
K13087	-
K13084	-
b1376	UspF
K12972	GhrA
K12975	EptB
YMR305C	-
K14759	-
K14752	-
K14753	-
K14754	-
YBL034C	-
Q562U2	-
Q562U1	-
Q562U0	-
YKR083C	-
K01435	-
K03352	-
K03353	-
K03350	-
K03351	-
K03357	-
K03354	-
K03355	-
K03359	-
b0426	YajQ
K05532	-
K08053	-
A6NL76	-
K13885	-
K13883	-
K13882	-
K11324	-
K13889	GsiB
K12026	-
K12027	-
K12757	-
K12750	-
K12751	-
K12021	-
K12406	-
K12028	-
K05539	DusA
K07213	-
K07210	-
K11481	-
K11485	-
K11487	-
K11486	-
K11489	-
K11488	-
K14525	-
K14296	-
K14294	-
K08669	-
K14293	-
K08665	-
K08664	-
K08660	-
K10532	-
K10536	-
K10537	AraF
K14522	-
K11225	-
K11224	-
K11221	-
K11220	-
K11223	-
K00072	-
K00071	-
K00076	HdhA
K00077	PanE
K00074	PaaH
K00075	MurB
K00079	-
P63313	-
K02291	-
K10284	-
K10285	-
K10280	-
K10281	-
K10282	-
K10283	-
K09048	-
K09049	-
K09045	-
K09047	-
K09042	-
K02564	NagB
K02297	CyoA
K08271	-
K08272	-
K08273	-
K00297	MetF
K00294	-
K00295	-
K00293	-
F6UVQ4	-
B8ZZJ2	-
K01213	-
K01217	-
K02740	-
K02741	-
K00920	-
K00921	-
K00922	-
K00923	-
K00924	-
K00925	AckA
YIR019C	-
K00927	Pgk
K00928	LysC
K15839	-
K04593	-
K04592	-
K02298	CyoB
K05248	-
K05249	-
K02563	MurG
K02295	-
K05244	-
K02565	NagC
K13163	-
G3V1Y1	-
K13168	-
K13169	-
K13164	-
K13165	-
K13166	-
K13167	-
K13160	-
K13161	-
K13162	-
P68133	-
b0163	YaeH
K08872	-
K08873	-
K08870	-
K08871	-
K08876	-
K08877	-
K08874	-
K08875	-
K08878	-
K08879	-
K03168	TopA
K03160	-
K03163	-
K03165	-
K03164	-
K06531	-
K06530	-
K06532	-
K06535	-
K06534	-
K06537	-
K06539	-
K12569	-
K12562	-
K12561	-
K12566	-
K04941	-
L0R5C4	-
K07918	-
K07919	-
K07914	-
K07915	-
K07916	-
K07665	CusR
K07662	CpxR
K07911	-
K07660	PhoP
K07661	RstA
B3KUP6	-
K05677	-
K02956	RpsO
K05675	-
K09289	-
K02954	RpsN
Q9BYD9	-
K02953	-
K09189	-
K05746	-
K05745	-
K05744	-
K11292	-
K05742	-
K05741	-
K05740	-
K09183	-
K09182	-
K05749	-
K05748	-
K08593	-
K08592	-
K08595	-
K08594	-
K08597	-
K08596	-
K04436	-
K04437	-
K11293	-
K04432	-
K01153	HsdR
K04430	-
K04431	-
K01408	-
K01409	Gcp
K04438	-
K04439	-
K09230	-
K09236	-
K10483	-
K09239	-
K05678	-
K05520	YhbO
K08047	-
K08046	-
K08049	-
Q13841	-
K14510	-
K14513	-
K14514	-
K14515	-
Q53GK6	-
K05948	-
K01754	IlvA
K01754	TdcB
K01027	-
K04505	-
K01750	-
K02178	-
YDL049C	-
K02961	RpsQ
K04500	-
K01021	-
K03374	-
K03804	MukE
K03805	DsbG
K03370	-
K03800	LplA
K03801	LipB
K10375	-
K10376	-
K10377	-
K10370	-
K06949	RsgA
K13205	-
K13204	-
K13207	-
K13206	-
K13201	-
K13200	-
K13203	-
K13202	-
K10373	-
K13209	-
K13208	-
K10154	-
K12003	-
K12004	-
K12005	-
K12006	-
K12008	-
K12009	-
YJL026W	-
K13214	-
K08175	-
K08601	-
K06276	-
K06277	-
K06274	-
K06275	-
K06272	-
K06273	-
K06270	-
K06271	-
K10514	-
K10515	-
K10510	-
K06278	-
K06279	-
K05804	Rob
K12740	-
K11205	-
K11204	-
K00058	SerA
K00059	FabG
K00728	-
K00729	-
K00726	-
K00727	-
K00057	GpsA
K00051	-
K00720	-
K00053	IlvC
YMR294W	-
K14187	TyrA
K01239	-
K01899	-
K01897	FadD
K01896	-
K01231	-
K01230	-
K04601	-
K04600	-
K01890	PheT
K02768	FruB
K02769	FruA
YJL160C	-
K02760	ChbB
K00948	Prs
K00949	-
K00942	Gmk
K00943	Tmk
K00940	Ndk
K00941	ThiD
K00946	ThiL
K00944	-
K00945	Cmk
K01097	-
K01092	SuhB
K01091	Gph
K01090	-
B4DHK9	-
K01099	-
K15360	-
K15361	-
K15362	-
K03495	MnmG
K03494	-
K02540	-
K02541	-
K02542	-
K03143	-
K03142	-
K03141	-
K03636	MoaD
K03147	ThiC
K03146	-
K03144	-
K08854	-
K08855	-
K03149	ThiG
K03148	ThiF
K03639	MoaA
K08851	-
K08852	-
K08853	-
K06519	-
K06047	-
K06041	KdsD
K06515	-
K06514	-
K01014	-
EpmA	EpmA
K09892	ZapB
B4DT29	-
K07917	-
K07648	ArcB
K07390	GrxD
K10895	-
K10894	-
K10891	-
K10899	-
K07026	YedP
K10099	-
K10093	-
K02296	-
K01392	-
K01393	-
K01398	-
K07664	BaeR
K05720	-
K05722	-
K05725	-
K05726	-
K05729	-
K07910	-
K00555	-
K00557	TrmA
K00551	-
K07912	-
K00558	Dcm
K01170	-
K04411	-
K04412	-
K01173	-
K04414	-
K04416	-
K01177	-
K04419	-
K14572	-
K14573	-
K14570	-
K14571	-
K14574	-
K14575	-
K05093	-
K05092	-
K05091	-
K05097	-
K05096	-
K05095	-
K05094	-
YOR214C	-
K02159	-
K02158	-
K02157	-
K08955	-
K02155	-
K02154	-
K02152	-
K02151	-
K02150	-
K08957	-
K03063	-
K03828	YjgM
K08959	-
K08958	-
K03824	YhbS
K11661	-
K13221	-
K13220	-
K12799	-
K12791	-
K12792	-
K12793	-
K12795	-
K12796	-
K12797	-
K07258	DacA
K07258	DacC
K07258	DacD
K07253	-
K07252	-
K07250	GabT
K14498	-
K08626	-
K06128	-
K06250	-
K06251	-
K06252	-
K06254	-
K06255	-
K06256	-
K06709	-
K06258	-
K06259	-
K06704	-
K06700	-
K06125	-
K11269	-
K11268	-
K11262	-
K11267	-
K11266	-
K10790	-
K00700	GlgB
K10798	-
K00703	GlgA
K10439	RbsB
K05502	-
K13723	-
K10136	-
K10137	-
K10134	-
K10132	-
K10133	-
K10138	-
K10139	-
K04620	-
K04628	-
K00965	GalT
K00966	-
K00967	-
K00962	Pnp
K00963	GalU
K00963	GalF
K14966	-
K00968	-
K14962	-
K15309	-
K15303	-
K15306	-
K15307	-
K15304	-
K15305	-
K09377	-
K09378	-
Q59GD5	-
K01611	SpeD
K01610	Pck
K01613	Psd
K01619	DeoC
K10431	-
K02830	-
K11885	-
K02833	-
K02835	PrfA
K05288	-
K05289	-
K02838	Frr
K02739	-
K05284	-
K05285	-
K11887	-
K03610	MinC
K06067	-
K06066	-
K06065	-
K06063	-
K06062	-
K06061	-
K06069	-
K06068	-
Q9P1U1	-
YOR373W	-
K05464	-
K09610	-
K12475	-
K12474	-
K12477	-
Q9NZ32	-
K12471	-
K12470	-
K12473	-
K12472	-
K12479	-
K12478	-
K11076	PotG
K10458	-
K11072	PotA
K11073	PotF
K05747	-
K09188	-
K10307	-
K10306	-
K10301	-
K10300	-
K10302	-
K05743	-
K01411	-
K09187	-
K09186	-
K05917	-
K02737	-
K00390	CysH
K02736	-
K01379	-
K01377	-
K04619	-
K01372	-
K01373	-
K01370	-
K05879	DhaL
K05878	DhaK
K05875	Tar
K05702	-
K05701	-
K08556	-
K05871	-
K05870	-
K08553	-
K08552	-
K00574	Cfa
K00572	-
K15795	-
K01118	-
K01119	CpdB
K01112	YniC
K01112	YfbT
K01110	-
K15799	-
K01114	-
K01115	-
K08081	-
K04433	-
K14558	-
K14559	-
K14554	-
K14555	-
K14556	-
K14557	-
K10450	-
K14551	-
K14552	-
K14553	-
K10428	-
K06831	-
K07525	-
K01158	-
K07832	-
K07526	-
K07837	-
K07292	-
K10422	-
K05636	-
A5A3E0	-
K02138	-
K01755	ArgH
K02131	-
K02130	-
K02133	-
K02132	-
K02135	-
K02134	-
K02137	-
K02136	-
K03842	-
K03843	-
K03841	Fbp
K03846	-
K03847	-
K03844	-
K03845	-
K03848	-
K03849	-
K13025	-
K13024	-
?	-
K12260	-
K12261	-
K12233	-
K01757	-
K12231	-
K12230	-
K12236	-
K13249	-
K12235	-
P42025	-
K13247	-
K03267	-
K03264	-
K03265	-
K03262	-
K03263	-
K03260	-
K11799	-
K11798	-
K11791	-
K11790	-
K11793	-
K11792	-
K11795	-
K11797	-
K11796	-
K06729	-
K06238	-
K13949	-
K12041	-
K06230	-
K06231	-
K06236	-
K06237	-
K06234	-
K11531	LsrR
K11248	-
K11539	-
K11538	-
K00763	PncB
K00760	Hpt
K00761	Upp
K00767	NadC
K00764	PurF
K00765	HisG
K00769	Gpt
K10214	-
K00181	-
D2JYH4	-
b2516	RodZ
K10111	MalK
Mmf1	-
K04645	-
K04644	-
K04646	-
K04649	-
K04648	-
K15541	-
K15542	-
K15543	-
K15544	-
YNR067C	-
K15095	-
K00982	GlnE
K00983	-
K00981	CdsA
K00981	YnbB
K15893	-
K15891	-
K01585	SpeA
K01587	-
K01586	LysA
K13498	TrpC
K01580	GadA
K01580	GadB
YDR016C	-
K13496	-
K13497	TrpD
K01589	PurK
K01588	PurE
K13493	-
K09355	-
K09356	-
K08341	-
K08342	-
K08343	-
K02728	-
K02729	-
F8VSD1	-
K02725	-
K02726	-
K02727	-
K05112	-
K05113	-
K05111	-
K03989	-
K03985	-
K03456	-
K03983	-
K03982	-
K03981	DsbC
K01638	AceB
K01638	GlcB
K01637	AceA
K01634	-
K01633	FolB
K02858	RibB
K14050	-
K02580	-
K02581	-
K02583	-
K03679	-
K03678	-
Q9H568	-
K03671	TrxA
K03673	DsbA
K03672	TrxC
K03675	GrxB
K03676	GrxC
K06001	-
SPBC21B1008c	-
K03184	UbiF
K03183	UbiE
K03182	UbiD
YBL063W	-
K12459	-
K12456	-
K07608	-
K07609	-
K07359	-
K07604	-
K07606	-
K07607	-
K07601	-
P60709	-
YLR037C	-
YJL078C	-
K05931	-
K05933	-
B7Z6P1	-
K10323	-
K10322	-
K10328	-
K01358	ClpP
K04189	-
YKL164C	-
K01352	-
K01355	OmpT
K01356	LexA
K09168	-
K05857	-
K08576	-
K05855	-
K05854	-
K05853	-
K05850	-
K02926	RplD
K03376	-
K05859	-
K05858	-
K02925	-
K03372	-
K00511	-
K00510	-
K00517	YeaW
K09291	-
K09290	-
K09292	-
K09295	-
K09294	-
K08860	-
K09299	-
K09298	-
Q9C0K3	-
YLR301w	-
K14209	-
K03152	YajL
K14207	-
K01134	-
K04455	-
K01136	-
K04457	-
K01130	AslA
K04451	-
K01132	-
K04453	-
Q9Y614	-
Q9Y615	-
K04458	-
K04459	-
K02113	AtpH
K02112	AtpD
K02111	AtpA
K02115	AtpG
K02114	AtpC
K02449	-
K07428	-
AT1G74090	-
K03869	-
K01744	AspA
K03860	-
Q562M3	-
YML104C	-
YNR044W	-
Q562M5	-
K06057	-
SPAC27F1.02c	-
K10142	-
K06501	-
K03240	-
K03241	-
K03242	-
K03243	-
K03245	-
K03246	-
K03247	-
K03248	-
K03249	-
K10144	-
K12200	-
K16185	-
K16184	-
K16186	-
K16189	-
K13915	-
K13914	-
K13917	-
K06215	-
K06746	-
K06211	NadR
K06745	-
K05544	-
K11519	-
K11518	-
K11517	-
K11515	-
K11514	-
K11513	-
K11512	-
K11511	-
K11510	-
K00748	LpxB
K00744	-
YJR004C	-
K00746	-
K00747	-
K00741	-
K10177	-
K10175	-
K01839	DeoB
K01835	Pgm
K01834	YtjC
K01834	GpmA
K01834	GpmM
K01837	-
K01836	-
K04667	-
K01832	-
K09334	-
K08329	-
K05131	-
K05132	-
K08321	LsrF
K08325	YqhD
K01659	PrpC
K01658	-
K01653	IlvN
K01653	IlvH
K01652	IlvI
K01652	IlvB
K01657	TrpE
K02874	RplN
K02875	-
K02876	RplO
K02877	-
K02870	-
K02871	RplM
K02872	-
K02873	-
K02878	RplP
K02879	RplQ
K06027	-
b4243	RidA
K03474	PdxJ
K03473	PdxB
K03471	-
K02304	-
K02308	-
K03652	-
K03657	UvrD
K03655	RecG
K03658	HelD
K06689	-
K06688	-
K07379	-
K07370	-
K07372	-
K07374	-
K07375	-
K07376	-
SPCC57603c	-
K11166	-
K07888	-
K07889	-
K11162	-
K11163	-
K11161	-
K07882	-
K07880	-
K07881	-
K07886	-
K07887	-
K07884	-
K07885	-
K00357	-
K00355	-
K05956	-
K05954	-
K05955	-
K00688	GlgP
K00688	MalP
K10345	-
K10347	-
K00681	Ggt
K00680	-
B4DTI0	-
K00685	-
K09101	-
K09103	-
K09105	-
K09107	-
K09106	-
K09108	-
K08513	-
K08512	-
K08515	-
K08514	-
K08517	-
K08516	-
K08518	-
K07676	RcsD
K00537	YfgD
K00537	ArsC
K10512	-
K7EM38	-
K14260	AlaA
K14261	AlaC
K14264	-
K06103	-
K01332	-
K01333	-
K01338	Lon
K02687	PrmA
K02685	-
K02684	-
K00825	-
K00827	-
K00826	IlvE
K00821	ArgD
K00820	GlmS
K01488	Add
K01489	Cdd
K01485	CodA
K01487	GuaD
K01480	SpeB
K01481	-
K01482	-
K01483	AllA
K14486	-
K14487	-
K14484	-
K14485	-
K05309	-
K11659	-
K05307	-
K05305	-
K05304	-
K14488	-
K14489	-
K06107	-
K13069	DosC
K13069	YeaP
K11650	-
Q9GZN1	-
K11653	-
K11654	-
K11657	-
K04361	-
K13289	-
K13288	-
K04366	-
K13280	-
K04364	-
K00725	-
K00052	LeuB
K00721	-
K09485	-
K09486	-
K09487	-
K09481	-
K09488	-
K09489	-
K12880	-
K12881	-
K12882	-
K12883	-
K12884	-
K12885	-
K12886	-
K12887	-
K12888	-
K12889	-
b0953	Rmf
b0957	OmpA
K08681	-
K08683	-
SPAC9G1.06c	-
K11755	HisI
K02405	FliA
K11757	-
K11751	UshA
K11752	RibD
K13939	-
K13937	-
K06766	-
K06643	-
Q562R7	-
K06641	-
K11579	-
K11578	-
K06640	-
K11577	-
Q562R3	-
Q562R0	-
K06644	-
K04945	-
K04943	-
Q5T8M8	-
Q5T8M7	-
K10488	-
K10489	-
K10482	-
K02889	-
K10481	-
K10486	-
K10484	-
K14021	-
K11285	-
K11284	-
K11283	-
K11282	-
K07410	-
K11288	-
K10626	-
K10627	-
K10625	-
K10151	-
K10152	-
K10153	-
K10158	-
K01816	Hyi
K01814	HisA
K01812	UxaC
K01810	Pgi
K15053	-
YKL096W	-
K09314	-
YGR113W	-
K09313	-
K08300	Rne
K05157	-
K08302	GatY
K08302	KbaY
K08303	YhbU
K08303	YegQ
K08303	YdcP
K08309	Slt
K14675	-
K14674	-
K14677	-
K14676	-
K01673	CynT
K01673	Can
K01672	-
K01676	FumA
K01676	FumB
K01679	FumC
K02898	-
K02899	RpmA
K02896	-
K02897	RplY
K02894	-
K02895	RplX
K02892	RplW
K02893	-
K02890	RplV
K02891	-
K14019	-
K14018	-
K14011	-
K14010	-
K14012	-
K14015	-
K14014	-
K14016	-
K02090	-
K02091	-
K02098	-
K03413	CheY
K03414	CheZ
K03417	PrpB
K03419	-
K02320	-
K02321	-
K02324	-
K02325	-
K02326	-
K02327	-
K02328	-
K02329	-
K12410	CobB
K12142	HyfG
YNL300W	-
K03426	NudC
K05737	-
b3098	YqjD
K11140	-
K11141	-
K11142	-
K05970	-
K11146	-
K11147	-
K00331	NuoB
K00330	NuoA
K00335	NuoF
K00334	NuoE
K00336	NuoG
K00338	NuoI
K10369	-
K10368	-
K10363	-
K10362	-
YIL123W	-
K10360	-
K10367	-
K10366	-
K10365	-
K10364	-
K05818	MhpR
K05813	UgpB
K08530	-
K05816	UgpC
K08535	-
K01893	AsnS
K01892	HisS
K01412	-
K04427	-
K01142	XthA
K11436	-
K01319	-
K04149	-
K01315	-
K01312	-
K01313	-
K01148	-
K00809	-
K00804	-
K00803	-
K00802	-
K00801	-
K00800	AroA
K07514	-
K04498	-
K04499	-
K04368	-
K04369	-
K04362	-
K04492	-
K04493	-
K04494	-
K04496	-
K04365	-
K05368	Fre
K05361	-
K05360	-
K05365	MrcB
K02407	FliD
K02406	FliC
K13738	-
YGR189C	-
K13736	-
K13047	-
K13044	-
K03754	-
Gcv3	-
K05083	-
YEL040W	-
K11175	PurN
K13958	-
K13950	-
K13953	AdhP
K13952	-
K13956	-
K04960	-
K11778	-
K11884	-
K12606	-
K12607	-
K12604	-
K12605	-
K12602	-
K12603	-
K12600	-
K12608	-
K07436	-
K07435	-
K07432	-
K07430	-
K11805	-
K11804	-
K11807	-
K11806	-
K11801	-
K11800	-
K11803	-
K11802	-
K11809	-
K11808	-
K07127	HiuH
K10600	-
K10601	-
K10604	-
K10605	-
K10607	-
K10608	-
K10609	-
K01870	IleS
K01873	ValS
K01872	AlaS
K01875	SerS
K01874	MetG
K01876	AspS
K01879	GlyS
K01878	GlyQ
K08495	-
K08496	-
K08497	-
K08490	-
K08491	-
K08492	-
K08493	-
K08498	-
K00476	-
K00477	-
K00474	-
K00472	-
K00473	-
YNL327W	-
K04774	SohB
K04771	DegP
K04772	DegQ
K14655	-
K14654	-
K14652	-
K14651	-
K14650	-
K05170	-
K14381	-
K14380	-
K14386	-
K15923	-
K15920	-
K01695	TrpA
K01697	-
K01696	TrpB
K01693	-
K03439	TrmI
K03438	RsmH
b1967	HchA
K03925	-
K03431	GlmM
K03921	-
K03435	FruR
K03434	-
K12383	-
K12382	-
K12387	-
K12385	-
K12384	-
K12389	-
K12388	-
K02349	-
K02343	DnaX
K03695	ClpB
K03694	ClpA
K03691	-
K13566	-
K12169	-
K12168	-
K12166	-
K12165	-
K12164	-
K12162	-
K12161	-
K12160	-
Q562Z6	-
Q562Z7	-
Q562Z4	-
K09699	-
K07593	-
K07596	-
K07597	-
K07846	-
K07845	-
K07840	-
K11128	-
K11129	-
K11121	-
K11127	-
K11124	-
K11125	-
K00318	-
K00649	-
K00648	FabH
K00645	FabD
K00647	FabB
K00640	CysE
K10839	-
K10838	-
K02931	RplE
K05610	-
K05612	-
K05616	-
K03635	MoaE
K03637	MoaC
SPCC645.05c	-
K03632	MukB
K01999	LivK
K01999	LivJ
YER011W	-
K04162	-
K01996	LivF
K01995	LivG
K05699	-
K05698	-
K08857	-
K05691	-
K05690	-
K05693	-
K05692	-
K05695	-
K05697	-
K05696	-
K00869	-
K00868	PdxY
K00868	PdxK
K00861	-
K00860	CysC
K00863	-
K00864	GlpK
K00867	CoaA
K00866	-
K01192	-
K01193	-
K01190	LacZ
K04347	-
K01196	-
K01197	-
K01194	TreA
K01194	TreF
K01195	UidA
K04348	-
K05016	-
K15717	-
K00306	-
K13717	-
K13711	-
K05015	-
K13719	-
K13718	-
K04527	-
K01008	SelD
K11550	-
B4E335	-
K02641	-
K02649	-
K03590	FtsA
K03591	FtsN
K03592	PmbA
K03593	Mrp
K03599	SspA
K01736	AroC
K01737	QueD
K01734	MgsA
K01735	AroB
K01733	ThrC
K01738	CysK
K01739	MetB
K09505	-
K09504	-
K09507	-
K09506	-
K09501	-
K09500	-
K09503	-
K09502	-
K09508	-
K08115	-
K08117	-
K02427	RlmE
K08112	-
K05349	BglX
K06511	-
K03770	PpiD
K03771	SurA
K03772	FkpA
K03773	FklB
K03774	FkpB
K03775	SlyD
K03776	Aer
K03777	Dld
K03778	LdhA
K09448	-
K09449	-
K09441	-
K09442	-
K09446	-
K13979	YahK
K09993	-
K09996	ArtJ
K09997	ArtI
K12597	-
K12592	-
K12593	-
K12590	-
K12591	-
K12598	-
K12599	-
K04905	-
K11713	-
K11717	SufS
K11718	-
K10990	-
K06855	-
K10994	-
K06850	-
K10449	-
K10446	-
K10447	-
K10445	-
K10442	-
K12620	-
K12621	-
K12622	-
K12623	-
K12624	-
K12625	-
K12626	-
K12627	-
K07106	MurQ
K11829	-
K11828	-
K11827	-
K11826	-
K11825	-
K11824	-
K11822	-
K11820	-
K10668	-
K10669	-
K10660	-
K10661	-
K10666	-
K10667	-
K15010	-
K01858	-
K15014	-
K01852	-
K01850	-
K01855	-
K01854	Glf
K03019	-
K00451	-
K00454	-
K00108	BetA
K00457	-
K00106	-
K00459	-
K00102	-
K00100	-
K00101	LldD
K01509	-
K01505	-
K01507	Ppa
K01506	YafV
K01500	-
K04751	GlnB
K14634	-
K03907	-
K03905	-
K03904	-
K03903	-
K03902	-
K03909	-
K03908	-
K13368	-
K02365	-
K02366	-
K02367	-
K12368	DppA
K12368	Dppa
K12365	-
K12367	-
K12366	-
K12361	-
K02369	-
K13509	-
K13502	-
K13506	-
K13507	-
K13504	-
K13505	-
K03015	-
K03014	-
K03017	-
K03016	-
K03011	-
K03010	-
K08908	-
K03012	-
K08906	-
K08902	-
K03018	-
K08901	-
Q562X0	-
Q562X1	-
Q562X2	-
K06629	-
K06628	-
Q562X6	-
Q562X7	-
K06625	-
K06624	-
K06627	-
K06626	-
K06621	-
K06620	-
K06622	-
K11456	-
K11457	-
K16334	-
K11455	-
K11452	-
K16333	-
K11450	-
K11103	DctA
K07860	-
K07861	-
K07863	-
K11108	-
K11109	-
K11458	-
K16339	-
K00665	-
K10859	-
K10858	-
K06449	-
K06448	-
K10508	-
K06445	FadE
K00591	-
K00597	-
K00599	-
K00598	Tam
K10507	-
b3509	HdeB
K10274	-
K10276	-
YFL037W	-
K10272	-
K10278	-
K00840	AstC
K00847	Mak
K00846	-
K00845	Glk
K00844	-
K00849	GalK
K05179	-
K15730	-
K15227	-
K02993	-
K02992	RpsG
K02991	-
K02990	RpsF
K02997	-
K02996	RpsI
K08283	-
K02994	RpsH
K02999	-
K02998	-
K08289	PurT
K08288	-
K03574	MutT
K03575	MutY
K03572	MutL
B3KPP5	-
K01710	RfbB
K01710	RffG
K01711	Gmd
K01714	DapA
K01714	YagE
K01714	YjhH
K01716	FabA
K01719	HemD
K09529	-
K09528	-
K09527	-
K09526	-
K09525	-
K09523	-
K09522	-
K09521	-
K09520	-
K14172	-
K14170	PheA
K00042	GarR
K00042	GlxR
K08136	-
K08135	-
K08134	-
K08133	-
K08132	-
K05411	-
K05410	-
K13195	-
K13194	-
K13197	-
K13196	-
K13191	-
K13190	-
K13193	-
K13192	-
K03712	MprA
K03712	MarR
K03711	Fur
K13199	-
K13198	-
K09420	-
K09421	-
K09428	-
K09429	-
K01698	HemB
K12828	-
K12829	-
K12826	-
K12827	-
K12824	-
K12825	-
K12822	-
K12823	-
K12820	-
K12821	-
K12192	-
K13999	-
K06109	-
K13997	-
K13996	-
K13990	-
K13993	-
Q562S8	-
C9JUM1	-
Q562S5	-
Q562S4	-
K06102	-
Q562S6	-
Q562S0	-
K09627	-
K00248	-
J3KT65	-
K06879	QueF
K10463	-
K12648	-
K12649	-
K12642	-
K12641	-
K12646	-
K12647	-
K11594	-
K11593	-
K11592	-
K11591	-
K11590	-
K11599	-
K11849	-
K11848	-
K11841	-
K11840	-
K11843	-
K11842	-
K11844	-
K11846	-
K08735	-
K08734	-
K08737	-
K08736	-
K08731	-
K08730	-
K08733	-
K08738	-
K08450	-
K08451	-
K00128	-
K10645	-
K10646	-
K10647	-
K10640	-
K10641	-
K10642	-
K10643	-
K00432	BtuE
K00121	FrmA
K00430	-
K10648	-
K10649	-
K04739	-
K04730	-
K04733	-
K04735	-
K04734	-
K14618	-
K14349	-
K14610	-
SPAC1F5.04c	-
K01527	-
B4DXP9	-
K01525	ApaH
K01522	-
K01520	Dut
K01529	YoaA
K01528	-
K05062	-
K05060	-
K03961	-
K03960	-
K03963	-
K03962	-
K03965	-
K03964	-
K03967	-
K03966	-
K03968	-
K13348	-
K13698	-
K13699	-
K13340	-
K13341	-
K13342	-
K13343	-
K13344	-
K13345	-
K13346	-
K13347	-
K13524	-
K13525	-
K13523	-
K09414	-
K03386	AhpC
B4DMT4	-
K12347	-
K12345	-
K05357	-
K12343	-
Q8TC94	-
K12340	TolC
K12349	-
K12348	-
YKR102W	-
K03039	-
K03038	-
K03037	-
K03036	-
K03035	-
K03033	-
K03927	-
K03031	-
K03030	-
K05728	-
K11470	-
K11471	-
K11479	-
K00601	-
K00600	GlyA
K03746	Hns
K00605	GcvT
K00604	Fmt
K00606	PanB
K00609	PyrB
K06460	-
K06464	-
K10871	-
K10870	-
K10877	-
K10876	-
K10875	-
K07806	ArnB
K04410	-
D3DNS0	-
K04413	-
K10258	-
K10251	-
K10250	-
K01176	AmyA
K01176	MalS
K01958	-
K01956	CarA
K04125	-
K01955	CarB
K01952	PurL
K01953	AsnB
K01950	-
K01951	GuaA
K07735	YqgE
K01179	BcsZ
K07738	NrdR
K07739	-
K04388	-
K15759	-
K04381	-
K04382	-
K04385	-
K13758	-
K13755	-
K09099	-
K09097	-
K09093	-
K02608	-
K02979	-
K02978	-
K02975	-
K02974	-
K05657	-
K02976	-
K02971	-
K02970	RpsU
K02973	-
K02972	Sra
K03550	RuvA
K03553	RecA
K03554	RdgC
K05099	-
K03556	MalT
K01778	DapF
K01772	HemH
