K02040	PstS
K04334	CsgA
K04441	-
K04440	-
K01127	-
K01126	GlpQ
K01126	UgpQ
K04333	CsgD
K04444	-
K04449	-
K01128	-
K04338	CsgF
K05310	-
K02477	YpdB
K02477	YehT
Q562Y6	-
K03879	-
K03878	-
K03873	-
K03872	-
K03871	-
K03870	-
K03875	-
K11447	-
K11110	-
K13299	-
K13296	-
Q9H981	-
K13291	-
K16329	-
K03259	-
K03258	-
K03257	-
K03254	-
K03253	-
K03252	-
K03251	-
K03250	-
K06751	-
K06753	-
K06752	-
K06757	-
K06756	-
K06759	-
YDR233C	-
K11298	-
K11299	-
K11290	-
K11291	-
K16240	-
K16241	-
K11294	-
K11295	-
K11296	-
K11565	-
K00759	Apt
K00758	DeoA
K00750	-
K00757	Udp
K00754	-
Q59FV6	-
K10860	-
K07151	-
K07408	-
K07407	-
K07404	Pgl
K07400	NfuA
K10169	-
K01809	ManA
K01800	-
K01803	TpiA
K01804	AraA
K01805	XylA
K01807	RpiA
K05127	-
K05125	-
K05124	-
K05123	-
K05122	-
K09326	-
K08339	-
K08331	-
K08333	-
K08334	-
K08337	-
K01667	TnaA
K01661	MenB
K01662	Dxs
K02863	RplA
K02861	-
K02867	RplK
K02866	-
K02865	-
K02864	RplJ
K02868	-
K14008	-
K14009	-
YGL061C	-
K14002	-
K14003	-
K14000	-
K14001	-
K14006	-
K14007	-
K14004	-
K14005	-
YOL155C	-
b4255	RraB
K03407	CheA
K03408	CheW
K02311	-
K02310	-
K02313	DnaA
K02318	-
K07874	-
K12156	-
K12405	-
K12154	-
K12400	-
K12401	-
K12402	-
K12403	-
K12408	-
K12409	-
K12158	-
K12159	-
K07367	-
K07366	-
K07365	-
K07364	-
K07363	-
K07362	-
K07361	-
K07360	-
MPN141	-
K07369	-
K07368	-
K07091	LptF
K07899	-
K07891	-
K07890	-
K07893	-
K07892	-
K07895	-
K07894	-
K07897	-
K00322	SthA
K00323	-
K00326	-
K00327	-
K00324	PntA
K00325	PntB
K05940	-
K00328	-
K06941	RlmN
K10808	-
K06943	-
K10374	-
K10807	-
K10804	TesA
K10805	TesB
K10802	-
K10803	-
K10800	-
K10801	-
K08528	-
K08524	-
K08525	-
K08520	-
K04564	SodB
K04564	SodA
K04565	SodC
I3L3R2	-
K04567	LysS
K04567	LysU
GluQ	GluQ
K01322	-
K01325	-
K02678	-
K02677	-
K00813	AspC
K00814	-
K00815	-
K00816	-
K00817	HisC
K00819	-
Q53G76	-
K00129	-
YPL130W	-
K01493	-
K01491	FolD
K01490	-
K01497	RibA
K01495	FolE
K14494	-
K14497	-
K14496	-
K14491	-
K14490	-
K14492	-
K02410	FliG
K02411	FliH
K14499	-
K02417	FliN
K13728	-
K13055	-
K13050	-
K13051	IaaA
K13720	-
K06133	AcpT
K10225	-
SPCC1739.11c	-
K03239	-
K03238	-
K03231	-
K03233	-
K03232	-
K03234	-
K03237	-
K03236	-
K09493	-
K09491	-
K09490	-
K09497	-
K09496	-
K09495	-
K09494	-
K09499	-
K09498	-
K12899	-
K12898	-
K12897	-
K12896	-
K12895	-
K12894	-
K12893	-
K12892	-
K12891	-
K12890	-
K11501	-
K11765	-
K13948	-
K11503	-
K13941	-
K13946	-
K06778	-
K06772	-
K06770	-
K06776	-
K06774	-
K04959	-
K04958	-
K05668	-
K10498	-
K10490	-
K10494	-
K10497	-
K10496	-
K11544	-
K11545	-
K11546	-
K11547	-
K11540	-
K11542	-
K11543	-
K07420	-
K07422	-
K07423	-
K11548	-
K11549	-
K11818	-
K07427	-
K10143	-
K10634	-
K10141	-
K10636	-
K10631	-
K10630	-
K10633	-
K10632	-
K10148	-
K10638	-
K13737	-
K01866	TyrS
K01867	TrpS
K01868	ThrS
K01869	LeuS
K15044	-
K15047	-
K15046	-
K15516	-
K15043	-
K15042	-
K06149	UspA
K06145	GntR
K06140	Rnk
K06142	Skp
K04764	IhfA
K04761	OxyR
K09306	-
K09305	-
K09304	-
K09308	-
K05145	-
K05149	-
K04442	-
K14649	-
K14398	-
K14399	-
K14396	-
K14397	-
K01689	Eno
K01686	UxuA
K01687	YagF
K01687	YjhG
K01687	IlvD
K01682	AcnB
K01681	YbhJ
K01681	AcnA
K14025	-
K14026	-
K14027	-
K14020	-
K02888	RplU
K14022	-
K02885	-
K02884	RplS
K02887	RplT
K02886	RplB
K02881	RplR
K02880	-
K02883	-
K02882	-
I3L3I0	-
K02085	-
K02084	-
K02087	-
K02089	-
K02088	-
K10485	-
K03938	-
K03939	-
K03936	-
K03937	-
K03934	-
K03935	-
K12394	-
K12395	-
K12396	-
K12397	-
K12390	-
K12391	-
K12392	-
K12393	-
K05665	-
K12398	-
K12399	-
K06471	-
K02338	DnaN
K02335	-
K02333	-
K02332	-
K02331	-
K02330	-
SPAC3C714c	-
K03688	UbiB
K03680	-
K03681	-
K03685	Rnc
K03686	DnaJ
K03687	GrpE
K12171	-
K12172	-
K12173	-
K12174	-
K12175	-
K12176	-
K12177	-
K12178	-
K12179	-
K05646	-
K07305	MsrB
K07304	MsrA
K05647	-
K02962	-
K02963	RpsR
K02960	-
YHR211W	-
YJL042W	-
I3L4N8	-
K10325	-
K09687	YadG
K09680	-
K11157	-
K11155	-
K11153	-
K11152	-
K11151	-
K00658	SucB
K00659	-
K00656	TdcE
K00656	PflD
K00656	PflB
K00656	YbiW
K00657	SpeG
K00654	-
K00653	-
K00651	MetA
K05106	-
K01351	-
K09169	-
K00671	-
K05856	-
K08574	-
b3336	Brf
K01303	-
K01301	-
K06095	-
K01307	-
K01304	-
K05689	-
K09556	-
K05681	-
K05687	-
K00878	ThiM
K00872	ThrB
K00873	PykF
K00873	PykA
K00871	-
K00876	Udk
K00877	-
K00874	KdgK
K04487	IscS
K04482	-
K08790	-
K04378	-
K04371	-
K04370	-
K04373	-
K04372	-
K04375	-
K04377	-
K05462	-
K05463	-
K13708	-
K13709	-
K13700	-
K13702	-
K13703	-
K13704	-
K13706	-
K14168	-
K08144	-
K01824	-
K04677	-
YER150W	-
K04673	-
K09516	-
K09517	-
K09514	-
K09515	-
K09512	-
K09510	-
K09511	-
K09518	-
K02434	-
K08107	-
K08105	-
K08102	-
K02432	-
K02433	-
C9JZR7	-
K05359	-
K08109	-
K03213	-
K03211	-
K03210	YajC
K03217	YidC
K03214	YfiF
K09479	-
K09478	-
K09475	OmpC
K09476	OmpF
K13960	-
K13963	-
K09848	-
K09849	-
Aim36	-
C9JFL5	-
YOR257W	-
K04979	-
K04973	-
K04971	-
K11703	-
K12615	-
K12614	-
K12617	-
K12616	-
K12611	-
K12610	-
K12613	-
K12619	-
K12618	-
K07442	-
K07441	-
K11830	-
K11831	-
K11832	-
K11835	-
K11836	-
K11837	-
K11838	-
K11839	-
K10615	-
K10614	-
K10613	-
K10612	-
K10611	-
K10610	-
K01845	HemL
K01847	ScpA
K01840	CpsG
F5H3P5	-
K15397	-
K15399	-
K15398	-
K08483	PtsA
K08483	PtsI
K08483	FryA
K08486	-
K08484	PtsP
K08489	-
K08488	-
K00461	-
K04742	-
K04743	-
K01518	-
K01519	-
K01516	RdgB
K01514	Ppx
K01515	NudF
K01512	YccX
K01513	-
K01510	-
K01511	-
K05169	-
K05164	-
K03910	-
K03911	-
K03912	-
K03913	-
K03914	-
K03916	-
K03917	-
K12372	DppF
K12373	-
K12371	DppD
K02358	TufB
K02358	TufA
K02353	-
K02355	FusA
K02357	Tsf
K02356	Efp
K02356	YeiP
K13578	-
K13577	-
K13576	-
K13575	-
K13574	YbiC
P68032	-
K08548	-
K07320	PrmB
K03006	-
K03007	-
K03004	-
K03005	-
K03002	-
K03000	-
K03008	-
K03009	-
K01135	-
K04456	-
K06180	RluD
K06183	RsuA
K06638	-
K06636	-
K04450	-
K06634	-
K06635	-
K06632	-
K06633	-
K06630	-
K06631	-
K07859	-
K07589	FolX
K07588	ArgK
K07857	-
K07856	-
K11139	HlyE
K05105	-
K05104	-
K11131	-
K11130	-
K11135	-
K11137	-
K11136	-
K10842	-
K00679	-
K10840	-
K10841	-
K10846	-
K10847	-
K10844	-
K10845	-
K00670	-
K05101	-
K10848	-
K10849	-
K00674	DapD
K00677	LpxA
K05103	-
K06452	-
K06453	-
K06450	-
K06451	-
K06457	-
K06454	-
K06455	-
K02444	GlpR
K00586	-
K00587	-
K00588	-
K00589	-
K10735	-
K03032	-
b2665	YgaU
K10264	-
K10265	-
K10262	-
K10263	-
K10261	-
K10268	-
K10269	-
K04171	-
K10739	-
K01988	-
