K04333	b1040
K04444	-
K04449	-
K01128	-
K04338	b1038
K05310	-
K02477	b2381
K02477	b2125
Q562Y6	-
K03879	-
K03878	-
K03873	-
K03872	-
K03871	-
K03870	-
K03875	-
K11447	-
K11110	-
K13299	-
K13296	-
Q9H981	-
K13291	-
K16329	-
K03259	-
K03258	-
K03257	-
K03254	-
K03253	-
K03252	-
K03251	-
K03250	-
K06751	-
K06753	-
K06752	-
K06757	-
K06756	-
K06759	-
YDR233C	-
K11298	-
K11299	-
K11290	-
K11291	-
K16240	-
K16241	-
K11294	-
K11295	-
K11296	-
K11565	-
K00759	b0469
K00758	b4382
K00750	-
K00757	b3831
K00754	-
Q59FV6	-
K10860	-
K07151	-
K07408	-
K07407	-
K07404	b0767
K07400	b3414
K10169	-
K01809	b1613
K01800	-
K01803	b3919
K01804	b0062
K01805	b3565
K01807	b2914
K05127	-
K05125	-
K05124	-
K05123	-
K05122	-
K09326	-
K08339	-
K08331	-
K08333	-
K08334	-
K08337	-
K01667	b3708
K01661	b2262
K01662	b0420
K02863	b3984
K02861	-
K02867	b3983
K02866	-
K02865	-
K02864	b3985
K02868	-
K14008	-
K14009	-
YGL061C	-
K14002	-
K14003	-
K14000	-
K14001	-
K14006	-
K14007	-
K14004	-
K14005	-
YOL155C	-
b4255	b4255
K03407	b1888
K03408	b1887
K02311	-
K02310	-
K02313	b3702
K02318	-
K07874	-
K12156	-
K12405	-
K12154	-
K12400	-
K12401	-
K12402	-
K12403	-
K12408	-
K12409	-
K12158	-
K12159	-
K07367	-
K07366	-
K07365	-
K07364	-
K07363	-
K07362	-
K07361	-
K07360	-
MPN141	-
K07369	-
K07368	-
K07091	b4261
K07899	-
K07891	-
K07890	-
K07893	-
K07892	-
K07895	-
K07894	-
K07897	-
K00322	b3962
K00323	-
K00326	-
K00327	-
K00324	b1603
K00325	b1602
K05940	-
K00328	-
K06941	b2517
K10808	-
K06943	-
K10374	-
K10807	-
K10804	b0494
K10805	b0452
K10802	-
K10803	-
K10800	-
K10801	-
K08528	-
K08524	-
K08525	-
K08520	-
K04564	b3908
K04564	b1656
K04565	b1646
I3L3R2	-
K04567	b4129
K04567	b2890
GluQ	b0144
K01322	-
K01325	-
K02678	-
K02677	-
K00813	b0928
K00814	-
K00815	-
K00816	-
K00817	b2021
K00819	-
Q53G76	-
K00129	-
YPL130W	-
K01493	-
K01491	b0529
K01490	-
K01497	b1277
K01495	b2153
K14494	-
K14497	-
K14496	-
K14491	-
K14490	-
K14492	-
K02410	b1939
K02411	b1940
K14499	-
K02417	b1946
K13728	-
K13055	-
K13050	-
K13051	b0828
K13720	-
K06133	b3475
K10225	-
SPCC1739.11c	-
K03239	-
K03238	-
K03231	-
K03233	-
K03232	-
K03234	-
K03237	-
K03236	-
K09493	-
K09491	-
K09490	-
K09497	-
K09496	-
K09495	-
K09494	-
K09499	-
K09498	-
K12899	-
K12898	-
K12897	-
K12896	-
K12895	-
K12894	-
