Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.7796	0.7685	0.8272	0.8324
Genetic Information Processing	TOTAL	0.4202	0.4122	0.4293	0.4275
-Transcription	TOTAL	0.06064	0.05836	0.05566	0.05504
-Translation	TOTAL	0.1241	0.1466	0.1169	0.1145
-Folding, Sorting and Degradation	TOTAL	0.1565	0.1381	0.1944	0.1936
-DNA Maintenance	TOTAL	0.07889	0.06918	0.0623	0.06436
Environmental Information Processing	TOTAL	0.09164	0.08698	0.03589	0.03393
-Signal Transduction	TOTAL	0.03467	0.03131	0.01736	0.01796
-Signaling Molecules and Interaction	TOTAL	0.05697	0.05567	0.01853	0.01598
Cellular Processes	TOTAL	0.113	0.1067	0.12	0.1109
-Hemoglobin	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.04123	0.04672	0.02861	0.0316
-Cytoskeleton	TOTAL	0.05802	0.04891	0.0732	0.06158
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.004685	0.003612	0.008409	0.007517
-Cell Communication	TOTAL	0.00911	0.007479	0.009816	0.0102
Metabolism	TOTAL	0.132	0.1362	0.2219	0.241
-Membrane Transport	TOTAL	0.002086	0.001618	0.0002132	0.0003244
-Central Carbon Metabolism	TOTAL	0.04911	0.05519	0.1224	0.1406
-Energy Metabolism	TOTAL	0.01325	0.01277	0.0343	0.03142
-Biosynthesis	TOTAL	0.03445	0.03225	0.04469	0.04779
-Other Enzymes	TOTAL	0.03314	0.03433	0.02029	0.02094
Organismal Systems	TOTAL	0.01747	0.02131	0.0149	0.01355
-Immune System	TOTAL	0.01207	0.01629	0.006658	0.007941
-Endocrine System	TOTAL	0.001316	0.001342	0.003943	0.001509
-Circulatory System	TOTAL	9.625e-05	6.142e-05	0.001178	0.001011
-Digestive System	TOTAL	0.0005624	0.000575	0.0001058	8.91e-05
-Excretory System	TOTAL	0.002089	0.00201	0.002361	0.002305
-Nervous System	TOTAL	0.0006	0.000495	0.0001997	0.0002435
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.000737	0.0005366	0.0004561	0.0004472
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.005222	0.005137	0.005259	0.005496
-Cancers	TOTAL	0.002131	0.001736	0.001084	0.0011
-Immune System Diseases	TOTAL	0.0003311	0.0002454	0.001579	0.001294
-Neurodegenerative Diseases	TOTAL	0.001027	0.001236	0.001094	0.001514
-Cardiovascular Diseases	TOTAL	0.0001613	0.0001482	0.0001514	0.0001311
-Infectious Diseases	TOTAL	0.001572	0.001772	0.00135	0.001457
Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
-Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
TOTAL	MAPPED	1.283	1.301	1.209	1.201
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.539	0.5364	0.5189	0.5136
-Transcription	MAPPED	0.07779	0.07594	0.06729	0.06612
-Translation	MAPPED	0.1592	0.1907	0.1413	0.1376
-Folding, Sorting and Degradation	MAPPED	0.2008	0.1797	0.2351	0.2325
-DNA Maintenance	MAPPED	0.1012	0.09002	0.07532	0.07732
Environmental Information Processing	MAPPED	0.1175	0.1132	0.04338	0.04077
-Signal Transduction	MAPPED	0.04447	0.04074	0.02098	0.02157
-Signaling Molecules and Interaction	MAPPED	0.07308	0.07244	0.0224	0.0192
Cellular Processes	MAPPED	0.145	0.1389	0.1451	0.1332
-Hemoglobin	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.05288	0.06079	0.03458	0.03796
-Cytoskeleton	MAPPED	0.07443	0.06365	0.0885	0.07398
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.006009	0.0047	0.01017	0.009031
-Cell Communication	MAPPED	0.01169	0.009732	0.01187	0.01226
Metabolism	MAPPED	0.1694	0.1772	0.2682	0.2896
-Membrane Transport	MAPPED	0.002676	0.002105	0.0002577	0.0003897
-Central Carbon Metabolism	MAPPED	0.06299	0.07181	0.1479	0.1689
-Energy Metabolism	MAPPED	0.01699	0.01662	0.04147	0.03774
-Biosynthesis	MAPPED	0.04419	0.04196	0.05402	0.05741
-Other Enzymes	MAPPED	0.04252	0.04468	0.02453	0.02516
Organismal Systems	MAPPED	0.02241	0.02772	0.01802	0.01627
-Immune System	MAPPED	0.01548	0.02119	0.008049	0.009539
-Endocrine System	MAPPED	0.001688	0.001746	0.004767	0.001813
-Circulatory System	MAPPED	0.0001235	7.992e-05	0.001425	0.001215
-Digestive System	MAPPED	0.0007214	0.0007482	0.0001279	0.000107
-Excretory System	MAPPED	0.00268	0.002615	0.002854	0.00277
-Nervous System	MAPPED	0.0007697	0.0006441	0.0002414	0.0002925
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0.0009454	0.0006982	0.0005513	0.0005372
-Environmental Adaptation	MAPPED	0	0	0	0
Human Diseases	MAPPED	0.006699	0.006685	0.006357	0.006602
-Cancers	MAPPED	0.002734	0.002258	0.00131	0.001321
-Immune System Diseases	MAPPED	0.0004247	0.0003193	0.001909	0.001554
-Neurodegenerative Diseases	MAPPED	0.001317	0.001609	0.001323	0.001819
-Cardiovascular Diseases	MAPPED	0.000207	0.0001928	0.0001831	0.0001575
-Infectious Diseases	MAPPED	0.002016	0.002305	0.001632	0.00175
Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
-Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
TOTAL	Genetic Information Processing	2.38	2.426	2.33	2.339
MAPPED	Genetic Information Processing	1.855	1.864	1.927	1.947
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.1443	0.1416	0.1297	0.1287
-Translation	Genetic Information Processing	0.2953	0.3556	0.2722	0.2679
-Folding, Sorting and Degradation	Genetic Information Processing	0.3726	0.335	0.453	0.4528
-DNA Maintenance	Genetic Information Processing	0.1878	0.1678	0.1451	0.1506
