KO number	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
K14721	NaN	NaN	NaN	NaN
K03040	NaN	NaN	NaN	NaN
K03043	NaN	NaN	NaN	NaN
K03046	NaN	NaN	NaN	NaN
K03048	NaN	NaN	NaN	NaN
K03060	NaN	NaN	NaN	NaN
K03010	39579.414	32622.525	1.0841405e+09	9.9627237e+08
K03006	58345.49	29541.135	4.3665202e+08	4.1912335e+08
K03011	6089.2975	5901.06	1.5715027e+08	1.7917247e+08
K03008	NaN	NaN	NaN	NaN
K03012	4533.5346	2320.209	18490754	17875244
K03015	5455.926	5201.9508	41534395	53582426
K03017	NaN	NaN	NaN	NaN
K03013	21164.22	16219.581	3.0895301e+08	3.9957563e+08
K03016	2991.2575	4020.135	82539254	1.7192658e+08
K03009	2739.2749	2459.5767	36387773	40556578
K03021	2432.1091	1808.0074	32419814	20955272
K03018	8257.4201	6899.5708	72415549	29694459
K03020	7323.2194	7420.4025	39175612	38146575
K03027	3748.2872	4624.1862	3.6223806e+08	3.0949102e+08
K03023	5246.0534	6816.8838	1.6861857e+08	54388802
K03026	NaN	NaN	NaN	NaN
K03019	NaN	NaN	NaN	NaN
K03022	NaN	NaN	NaN	NaN
K03024	NaN	NaN	NaN	NaN
K03002	23617.768	12676.376	2.0582421e+08	2.6686988e+08
K02999	17243.172	8572.1532	4.553029e+08	9.1330056e+08
K03000	NaN	NaN	NaN	NaN
K03005	NaN	NaN	NaN	NaN
K03142	12511.345	13566.49	1.8809664e+08	1.4133934e+08
K14649	8358.595	11914.49	3.6008676e+08	6.1307264e+08
K14651	NaN	NaN	NaN	NaN
K14650	NaN	NaN	NaN	NaN
K03122	NaN	NaN	NaN	NaN
K03123	NaN	NaN	NaN	NaN
K03124	9624.6648	9138.1512	1.0642682e+08	1.0499966e+08
K03120	NaN	NaN	NaN	NaN
K03128	NaN	NaN	NaN	NaN
K03134	NaN	NaN	NaN	NaN
K03130	NaN	NaN	NaN	NaN
K03129	6271.2674	5517.8001	16158502	47194129
K03126	NaN	NaN	NaN	NaN
K03131	NaN	NaN	NaN	NaN
K14535	NaN	NaN	NaN	NaN
K03133	NaN	NaN	NaN	NaN
K03136	5010.1753	4117.2274	21653135	67168036
K03137	11992.983	11383.28	57567942	88021677
K03138	14583.743	13436.933	2.5998286e+08	93778046
K03139	NaN	NaN	NaN	NaN
K03141	NaN	NaN	NaN	NaN
K03143	NaN	NaN	NaN	NaN
K03144	NaN	NaN	NaN	NaN
K10843	NaN	NaN	NaN	NaN
K10844	8370.64	5537.588	1.2482215e+08	1.9870194e+08
K10845	NaN	NaN	NaN	NaN
K02202	3890.3548	3475.8814	77503644	1.3451447e+08
K10842	NaN	NaN	NaN	NaN
K06634	NaN	NaN	NaN	NaN
K03121	20488.341	12633.383	7.5474138e+08	1.1306383e+09
K09028	62255.27	24079.093	85855285	27786795
K09035	NaN	NaN	NaN	NaN
K04450	NaN	NaN	NaN	NaN
K05870	2774.2225	2665.6891	2.6375228e+08	2.9603364e+08
K09052	NaN	NaN	NaN	NaN
K10048	NaN	NaN	NaN	NaN
K14431	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN
K09061	4653.815	4480.925	51220295	1.541567e+08
K09105	13967.217	14938.016	1.202599e+08	73949612
K04377	NaN	NaN	NaN	NaN
K04453	NaN	NaN	NaN	NaN
K09113	NaN	NaN	NaN	NaN
K09173	1972.4892	1863.1741	42417822	26639677
K08061	29547.98	21859.561	59222137	73674450
K08539	NaN	NaN	NaN	NaN
K07292	NaN	NaN	NaN	NaN
K08037	NaN	NaN	NaN	NaN
K08525	8238.4392	6252.7206	5711873.5	11950591
K05771	34885.053	19889.726	85413345	1.5320132e+08
K08558	6029.7516	568.63426	8.6807262e+08	3.0397466e+08
K09187	NaN	NaN	NaN	NaN
K07466	40900.367	32511.248	1.1501865e+09	1.4070481e+09
K10779	29039.525	30309.199	31545814	94022933
K04684	NaN	NaN	NaN	NaN
K09220	11904.441	10633.315	1.1856396e+08	2.0018759e+08
K09228	1046.9105	588.0245	1.1782803e+08	1.0208393e+08
K12236	13308.4	12272.512	39017084	20284074
K09250	40980.081	42659.101	25235049	32114880
K09299	NaN	NaN	NaN	NaN
K08036	NaN	NaN	NaN	NaN
K08034	NaN	NaN	NaN	NaN
K09377	6556.8469	2659.9839	1.0826574e+08	62664346
K04682	NaN	NaN	NaN	NaN
K09404	4811.7638	2126.6749	1.2578199e+08	1.1960678e+08
K07201	NaN	NaN	NaN	NaN
K09414	8133.0047	6096.6192	10273862	23049099
K03211	NaN	NaN	NaN	NaN
K02678	NaN	NaN	NaN	NaN
K09435	NaN	NaN	NaN	NaN
K09436	NaN	NaN	NaN	NaN
K05411	15507.035	23743.198	4.6635123e+08	81283485
K09445	42857.944	45698.928	2.8314135e+08	6.7626228e+08
K09446	9115.4952	28367.842	41097754	4.0176906e+08
K10155	8222.3538	46378.194	12326215	85231473
K02580	37501.482	38702.479	5.3915583e+08	6.790306e+08
K04469	65349.18	39225.6	7.8615735e+08	5.7191831e+08
K04735	12715.592	10136.637	3.6317504e+08	1.865742e+08
K09254	19957.674	2546.4112	5.5403898e+08	3.6405089e+08
K04734	NaN	NaN	NaN	NaN
K05872	21211.65	25334.15	2.5046688e+09	4.0817254e+09
K04446	NaN	NaN	NaN	NaN
K11220	119434.5	150317.25	5.5956056e+09	1.0058132e+10
K11221	22802.715	23558.658	5.968822e+08	4.3679322e+08
K04692	78506.89	19580.638	1.3009637e+09	1.0937729e+09
K11223	21671.277	6687.6556	4.0611243e+08	2.1302228e+08
K11224	31833.284	16971.183	69024679	63423065
K11225	30181.659	24513.027	6.5106664e+08	7.880683e+08
K09262	16779.735	8031.8175	35001566	1.2907928e+08
K02620	NaN	NaN	NaN	NaN
K09273	17090.222	17227.818	3.8357162e+08	2.8282731e+08
K08065	NaN	NaN	NaN	NaN
K08066	NaN	NaN	NaN	NaN
K09275	7026.8956	7552.841	38935816	1.2810306e+08
K06099	NaN	NaN	NaN	NaN
K08367	NaN	NaN	NaN	NaN
K09279	23139.016	10036.069	1.0143283e+08	28145555
K09282	161.28431	140.56911	1.0895854e+08	80970273
K06618	12435.942	31443.238	91110744	3.0145847e+08
K04681	NaN	NaN	NaN	NaN
K04498	NaN	NaN	NaN	NaN
K10166	4296.7081	15819.79	1.606993e+08	2.4037104e+08
K14514	NaN	NaN	NaN	NaN
K03704	NaN	NaN	NaN	NaN
K02825	NaN	NaN	NaN	NaN
K12811	17892.386	11711.232	1.3331858e+09	1.3407299e+09
K12813	18710.414	9706.1799	2.7496601e+08	3.1821084e+08
K12815	20084.395	17843.279	1.7554791e+08	1.5776425e+08
K12816	5478.9728	3890.7931	64009000	42270143
K12817	NaN	NaN	NaN	NaN
K12818	17344.374	14151.39	60167898	66737139
K12819	NaN	NaN	NaN	NaN
K12820	26827.99	25497.876	2.7048435e+09	3.7195973e+09
K11086	NaN	NaN	NaN	NaN
K11087	8012.5794	10927.746	8.0643225e+08	8.0996198e+08
K11096	1177.9397	1051.9393	1.1698001e+09	8.9867928e+08
K11088	NaN	NaN	NaN	NaN
K11097	2506.1168	3293.2872	3.4329512e+09	2.7710498e+09
K11098	2453.1447	4523.1939	4.6582744e+08	1.1100503e+09
K11099	44.482944	1706.6304	2.2615848e+08	7.7326687e+08
K11093	16497.187	13442.12	1.5561961e+09	1.5298239e+09
K11091	16251.801	21759.769	1.4550498e+09	1.2745398e+09
K11095	NaN	NaN	NaN	NaN
K12821	48808.435	30031.043	7.6677104e+08	8.0802166e+08
K12822	23465.411	16417.172	8.4388658e+08	8.6752818e+08
K12823	97724.24	97183.306	2.0787143e+09	1.4894832e+09
K12824	24544.253	18920.407	1.0668033e+09	1.3101963e+09
K11092	1638.2424	4153.6695	9.528012e+08	1.0208443e+09
K11094	6750.2475	9918.945	6.0190299e+08	2.8822203e+08
K12825	24575.942	19390.436	2.1275333e+09	2.0463524e+09
K12826	19198.442	25040.187	8.617697e+08	8.1620779e+08
K12827	12582.715	8411.2389	1.1150173e+09	1.051887e+09
K12828	121426.39	100716.79	4.0887701e+09	3.7095622e+09
K12829	46142.889	37953.639	2.4181294e+09	2.3048232e+09
K12830	52711.191	39960.195	1.2447098e+09	1.7322838e+09
K12831	NaN	NaN	NaN	NaN
K12832	NaN	NaN	NaN	NaN
K12833	NaN	NaN	NaN	NaN
K12834	NaN	NaN	NaN	NaN
K12835	42518.321	36832.071	7.6468103e+08	7.6498982e+08
K12836	1282.1448	1032.7944	5.0567112e+08	6.2938944e+08
K12837	39114.778	42758.692	7.1523519e+08	1.1726983e+09
K12838	14656.589	12656.263	1.0627959e+09	1.0598575e+09
K12839	3227.28	2927.6618	1.7592671e+08	1.3478072e+08
K12840	7651.481	6905.621	2.2683631e+08	1.7921615e+08
K12841	6483.7778	6292.6727	5.3086134e+08	4.8716975e+08
K12842	16615.88	15850.819	5.0346882e+08	7.7461468e+08
K12621	7426.0075	7126.368	2.4051434e+08	2.9336625e+08
K12622	771.1149	971.6265	3.3709394e+08	5.9671138e+08
K12623	NaN	NaN	NaN	NaN
K12624	NaN	NaN	NaN	NaN
K12625	NaN	NaN	NaN	NaN
K12626	10578.409	12446.52	1.0638356e+08	98804884
K12627	2626.0224	2662.7328	66633289	1.2044523e+08
K12843	4460.4613	4359.2407	4.9369461e+08	4.5633358e+08
K12662	9483.1218	8376.1686	3.5870169e+08	3.9024622e+08
K09567	1436.5391	1734.3929	5.78691e+08	4.4293604e+08
K12844	10844.717	12382.036	1.0334242e+09	8.3681492e+08
K12845	13356.288	13125.394	1.3904768e+08	1.9607852e+08
K12846	2752.3758	1809.4792	56242056	50777449
K12847	11061.457	8911.971	5.7312572e+08	6.5082107e+08
K11984	22864.72	20498	5.3680485e+08	4.2993946e+08
K12848	8658.4502	6401.7902	55400609	33058839
K12849	1575.9526	2302.7191	1.2060028e+08	1.278732e+08
K12850	13365.316	14083.906	1.3838118e+08	2.7992781e+08
K12852	32906.38	21613.878	1.6489363e+09	2.2600682e+09
K12854	85786.246	61950.408	3.1892298e+09	3.42567e+09
K12855	31869.129	48858.508	7.3367466e+08	8.8334453e+08
K12856	134239.62	96623	3.207582e+09	2.8332811e+09
K12857	5045.5467	5375.5279	3.3018669e+08	3.5313459e+08
K12858	16256.254	11827.27	7.3419975e+08	6.9888379e+08
K12859	6952.7176	11588.904	29566573	54220131
K10599	19253.808	18811.901	1.7409206e+09	1.5787801e+09
K12860	12093.358	8923.5332	6.38573e+08	1.0210616e+09
K12861	6102.99	7374.9375	1.4665962e+08	1.8529838e+08
K12862	7861.4244	7954.2014	3.3492733e+08	4.133899e+08
K12863	NaN	NaN	NaN	NaN
K12864	13662.828	12880.708	6.5782902e+08	4.3192165e+08
K12865	6379.9015	10067.695	97690424	1.0211083e+08
K12866	12560.908	8147.9433	2.8120069e+08	4.5855917e+08
K06063	25507.655	21673.79	4.4599414e+08	2.7509128e+08
K12867	16513.727	18195.512	2.2441305e+08	1.758107e+08
K12868	NaN	NaN	NaN	NaN
K12869	8059.0019	4878.2302	2.102946e+08	1.6406984e+08
K12870	NaN	NaN	NaN	NaN
K12733	NaN	NaN	NaN	NaN
K09564	2270.4555	2308.7604	1.1875798e+08	1.1159877e+08
K12871	NaN	NaN	NaN	NaN
K12872	8699.586	7414.722	1.4489136e+08	1.6523642e+08
K12873	6741.2675	6632.7205	21491087	72591843
K12874	18701.347	13560.545	4.0741452e+08	4.0557536e+08
K12875	40961.381	35169.871	5.9033871e+08	6.0208555e+08
K13025	NaN	NaN	NaN	NaN
K12876	5545.6062	4337.994	6.0558435e+08	6.887177e+08
K12877	NaN	NaN	NaN	NaN
K12878	8881.7859	9528.2082	96363438	2.0023819e+08
K12879	26960.091	21117.605	4.7184676e+08	6.7918041e+08
K12880	NaN	NaN	NaN	NaN
K12881	23603.21	23759.393	2.537204e+08	4.5595659e+08
K12882	10094.146	8387.193	6.0543217e+08	9.3744694e+08
K12883	7783.23	5292.924	97752469	1.13494e+08
K12741	5736.054	74851.98	2.7737351e+09	2.2661478e+09
K12884	48596.778	24474.125	3.5855596e+09	2.7208805e+09
K12885	12041.197	12849.941	4.7421614e+08	5.8494691e+08
K12886	23632.17	22277.8	6.7278176e+09	8.1530108e+09
K12887	71177.993	80544.55	1.0233936e+10	9.0370365e+09
K12888	58512.795	62380.89	1.0126067e+10	1.0317712e+10
K12889	NaN	NaN	NaN	NaN
K12890	25364.231	29796.208	1.28818e+09	1.1800996e+09
K12891	NaN	NaN	NaN	NaN
K12892	14199.366	16469.208	6.2289498e+08	4.1173355e+08
K12893	70377.51	73201.762	1.139975e+09	1.0176171e+09
K12896	13884.539	15312.111	4.9372293e+08	5.2285823e+08
K12897	24544.627	25890.739	7.4566356e+08	8.3870977e+08
K12900	3964.0076	5327.3508	1.5400204e+08	82273290
K02926	NaN	NaN	NaN	NaN
K02970	NaN	NaN	NaN	NaN
K02899	NaN	NaN	NaN	NaN
K02895	NaN	NaN	NaN	NaN
K02892	NaN	NaN	NaN	NaN
K02988	NaN	NaN	NaN	NaN
K02935	NaN	NaN	NaN	NaN
K02939	NaN	NaN	NaN	NaN
K02948	NaN	NaN	NaN	NaN
K02946	NaN	NaN	NaN	NaN
K02888	NaN	NaN	NaN	NaN
K02884	NaN	NaN	NaN	NaN
K02887	NaN	NaN	NaN	NaN
K02886	NaN	NaN	NaN	NaN
K02906	NaN	NaN	NaN	NaN
K02950	NaN	NaN	NaN	NaN
K02902	NaN	NaN	NaN	NaN
K02959	NaN	NaN	NaN	NaN
K02992	NaN	NaN	NaN	NaN
K02991	271641.57	398833.26	2.4387947e+09	2.508736e+09
K02990	NaN	NaN	NaN	NaN
K02996	NaN	NaN	NaN	NaN
K02874	NaN	NaN	NaN	NaN
K02876	NaN	NaN	NaN	NaN
K02878	NaN	NaN	NaN	NaN
K02879	NaN	NaN	NaN	NaN
K02907	NaN	NaN	NaN	NaN
K02956	NaN	NaN	NaN	NaN
K02955	NaN	NaN	NaN	NaN
K02954	NaN	NaN	NaN	NaN
K02913	NaN	NaN	NaN	NaN
K02911	NaN	NaN	NaN	NaN
K02916	NaN	NaN	NaN	NaN
K02914	NaN	NaN	NaN	NaN
