Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Immune System Diseases	MAPPED	0.007365	0.007107	0.004818	0.004285
-Neurodegenerative Diseases	MAPPED	0.03838	0.04901	0.07284	0.07092
-Cardiovascular Diseases	MAPPED	0.009036	0.00714	0.01876	0.01564
-Metabolic Diseases	MAPPED	0.001634	0.001493	0.01159	0.01747
-Infectious Diseases	MAPPED	0.03861	0.04327	0.02911	0.0315
Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
-Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
TOTAL	Genetic Information Processing	3.267	3.216	3.073	3.153
MAPPED	Genetic Information Processing	2.547	2.472	2.542	2.624
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.1313	0.1314	0.1277	0.1246
-Translation	Genetic Information Processing	0.3526	0.4252	0.2992	0.2968
-Folding, Sorting and Degradation	Genetic Information Processing	0.3398	0.2924	0.448	0.4526
-DNA Maintenance	Genetic Information Processing	0.2118	0.1866	0.163	0.1696
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.1575	0.1425	0.06344	0.06644
-Signal Transduction	Genetic Information Processing	0.04732	0.03871	0.02304	0.026
-Signaling Molecules and Interaction	Genetic Information Processing	0.1335	0.1198	0.04507	0.04047
Cellular Processes	Genetic Information Processing	0.3529	0.3185	0.3157	0.3019
-Cell structure	Genetic Information Processing	0	0	0	0
-Crystallins	Genetic Information Processing	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.1211	0.133	0.06787	0.07161
-Cytoskeleton	Genetic Information Processing	0.1678	0.135	0.181	0.157
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.04123	0.03424	0.04391	0.04671
-Cell Communication	Genetic Information Processing	0.04267	0.03498	0.05558	0.05708
Metabolism	Genetic Information Processing	0.6713	0.6512	0.8481	0.9523
-Membrane Transport	Genetic Information Processing	0.01664	0.01413	0.008171	0.006151
-Central Carbon Metabolism	Genetic Information Processing	0.09972	0.1212	0.2309	0.2698
-Energy Metabolism	Genetic Information Processing	0.0271	0.02457	0.06446	0.07866
-Biosynthesis	Genetic Information Processing	0.1656	0.1694	0.1962	0.2083
-Other Enzymes	Genetic Information Processing	0.4147	0.3752	0.4186	0.4506
Organismal Systems	Genetic Information Processing	0.2231	0.2239	0.1494	0.1445
-Immune System	Genetic Information Processing	0.1267	0.1454	0.07139	0.07791
-Endocrine System	Genetic Information Processing	0.03025	0.02613	0.03024	0.02487
-Circulatory System	Genetic Information Processing	0.006272	0.005846	0.009779	0.009113
-Digestive System	Genetic Information Processing	0.01808	0.01544	0.009483	0.01041
-Excretory System	Genetic Information Processing	0.02348	0.01779	0.0195	0.01723
-Nervous System	Genetic Information Processing	0.02544	0.02264	0.0277	0.02457
-Sensory System	Genetic Information Processing	0.003029	0.002266	0.00138	0.0005985
-Development	Genetic Information Processing	0.02068	0.01577	0.008151	0.007067
-Environmental Adaptation	Genetic Information Processing	0.006877	0.00892	0.01027	0.008581
Human Diseases	Genetic Information Processing	0.2437	0.2621	0.296	0.2985
-Cancers	Genetic Information Processing	0.04503	0.03662	0.03073	0.02965
-Immune System Diseases	Genetic Information Processing	0.01832	0.01724	0.01196	0.01075
-Neurodegenerative Diseases	Genetic Information Processing	0.09444	0.117	0.1816	0.1833
-Cardiovascular Diseases	Genetic Information Processing	0.02247	0.01732	0.04745	0.04103
-Metabolic Diseases	Genetic Information Processing	0.004093	0.003655	0.02901	0.04436
-Infectious Diseases	Genetic Information Processing	0.09821	0.107	0.07316	0.0814
Not Mapped	Genetic Information Processing	0.7202	0.7445	0.531	0.5283
-Not Mapped	Genetic Information Processing	0.7202	0.7445	0.531	0.5283
TOTAL	-Transcription	25.71	26.29	24.23	25.59
MAPPED	-Transcription	20.05	20.2	20.05	21.31
Genetic Information Processing	-Transcription	8.148	8.328	8.082	8.468
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	2.799	3.541	2.354	2.419
-Folding, Sorting and Degradation	-Transcription	2.768	2.397	3.635	3.724
-DNA Maintenance	-Transcription	1.651	1.441	1.268	1.379
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	1.2	1.084	0.4983	0.5407
-Signal Transduction	-Transcription	0.3713	0.3077	0.1809	0.2127
-Signaling Molecules and Interaction	-Transcription	1.017	0.9118	0.3581	0.3297
Cellular Processes	-Transcription	2.793	2.562	2.472	2.488
-Cell structure	-Transcription	0	0	0	0
-Crystallins	-Transcription	0	0	0	0
-Stress Response	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	0.9226	1.024	0.5314	0.5906
-Cytoskeleton	-Transcription	1.317	1.119	1.463	1.279
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.3281	0.2833	0.3448	0.3724
-Cell Communication	-Transcription	0.3249	0.2683	0.4416	0.467
Metabolism	-Transcription	5.114	5.188	6.661	7.592
-Membrane Transport	-Transcription	0.1317	0.1176	0.06492	0.05031
-Central Carbon Metabolism	-Transcription	0.7889	1.008	1.814	2.151
-Energy Metabolism	-Transcription	0.228	0.2125	0.5121	0.6446
-Biosynthesis	-Transcription	1.315	1.358	1.558	1.714
-Other Enzymes	-Transcription	3.158	3.022	3.337	3.816
Organismal Systems	-Transcription	1.754	1.892	1.178	1.188
-Immune System	-Transcription	0.9973	1.161	0.566	0.6597
-Endocrine System	-Transcription	0.2511	0.2101	0.2444	0.2034
-Circulatory System	-Transcription	0.04964	0.04721	0.07765	0.07417
-Digestive System	-Transcription	0.1504	0.1252	0.07809	0.08821
-Excretory System	-Transcription	0.1829	0.1403	0.1531	0.1403
-Nervous System	-Transcription	0.2143	0.1949	0.2179	0.2045
-Sensory System	-Transcription	0.0237	0.01802	0.01089	0.004771
-Development	-Transcription	0.166	0.1268	0.06476	0.05984
-Environmental Adaptation	-Transcription	0.05443	0.07429	0.08153	0.06984
Human Diseases	-Transcription	1.929	2.128	2.438	2.46
-Cancers	-Transcription	0.3557	0.2772	0.2418	0.2364
-Immune System Diseases	-Transcription	0.145	0.1436	0.09616	0.08948
-Neurodegenerative Diseases	-Transcription	0.7662	0.9501	1.442	1.499
-Cardiovascular Diseases	-Transcription	0.1779	0.1442	0.3607	0.3292
-Metabolic Diseases	-Transcription	0.03276	0.02894	0.2313	0.3757
-Infectious Diseases	-Transcription	0.8239	0.8666	0.581	0.666
Not Mapped	-Transcription	5.668	6.085	4.188	4.289
-Not Mapped	-Transcription	5.668	6.085	4.188	4.289
TOTAL	-Translation	9.666	7.779	10.84	10.98
MAPPED	-Translation	7.535	5.979	8.965	9.137
Genetic Information Processing	-Translation	2.989	2.455	3.614	3.56
-Transcription	-Translation	0.39	0.3193	0.4542	0.434
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	1.008	0.7166	1.619	1.568
-DNA Maintenance	-Translation	0.6321	0.4511	0.5718	0.5709
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	0.4679	0.3479	0.2229	0.2267
-Signal Transduction	-Translation	0.141	0.09321	0.07935	0.08891
-Signaling Molecules and Interaction	-Translation	0.3966	0.2926	0.1506	0.1418
Cellular Processes	-Translation	1.049	0.7822	1.088	1.029
-Cell structure	-Translation	0	0	0	0
-Crystallins	-Translation	0	0	0	0
-Stress Response	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.3491	0.3127	0.2258	0.2442
-Cytoskeleton	-Translation	0.4985	0.3297	0.6375	0.5501
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.1238	0.08421	0.1512	0.1597
-Cell Communication	-Translation	0.122	0.08347	0.1857	0.1923
Metabolism	-Translation	1.995	1.595	2.921	3.256
-Membrane Transport	-Translation	0.04719	0.03322	0.02777	0.02073
-Central Carbon Metabolism	-Translation	0.2851	0.2894	0.7954	0.9223
-Energy Metabolism	-Translation	0.08122	0.06032	0.2161	0.2655
-Biosynthesis	-Translation	0.4747	0.402	0.6747	0.7159
-Other Enzymes	-Translation	1.186	0.9213	1.492	1.604
Organismal Systems	-Translation	0.6594	0.5488	0.5271	0.5062
-Immune System	-Translation	0.3629	0.3525	0.2405	0.2773
-Endocrine System	-Translation	0.09012	0.06415	0.1065	0.08829
-Circulatory System	-Translation	0.01779	0.01433	0.03362	0.03109
-Digestive System	-Translation	0.05359	0.03727	0.03427	0.03685
-Excretory System	-Translation	0.06645	0.04179	0.06715	0.0602
-Nervous System	-Translation	0.07636	0.05504	0.09685	0.08885
-Sensory System	-Translation	0.008736	0.00533	0.004897	0.002046
-Development	-Translation	0.0602	0.03872	0.02886	0.02516
-Environmental Adaptation	-Translation	0.0195	0.02098	0.0353	0.02928
Human Diseases	-Translation	0.7006	0.6335	1.07	1.031
-Cancers	-Translation	0.1288	0.08851	0.1054	0.1014
-Immune System Diseases	-Translation	0.05195	0.04054	0.04164	0.03783
-Neurodegenerative Diseases	-Translation	0.2749	0.2828	0.6067	0.6176
-Cardiovascular Diseases	-Translation	0.06373	0.04073	0.1639	0.1381
-Metabolic Diseases	-Translation	0.01222	0.008834	0.1034	0.1579
-Infectious Diseases	-Translation	0.2935	0.2564	0.2516	0.2743
Not Mapped	-Translation	2.13	1.801	1.873	1.839
-Not Mapped	-Translation	2.13	1.801	1.873	1.839
