Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.7224	0.733	0.7924	0.7962
Genetic Information Processing	TOTAL	0.2844	0.317	0.3143	0.3133
-Transcription	TOTAL	0.03297	0.03211	0.03772	0.03431
-Translation	TOTAL	0.1335	0.1816	0.1103	0.1145
-Folding, Sorting and Degradation	TOTAL	0.08513	0.07315	0.1231	0.1238
-DNA Maintenance	TOTAL	0.03352	0.03059	0.03882	0.04043
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.06316	0.05386	0.02283	0.02261
-Signal Transduction	TOTAL	0.008666	0.008302	0.005389	0.006496
-Signaling Molecules and Interaction	TOTAL	0.0545	0.04533	0.0181	0.01663
Cellular Processes	TOTAL	0.07817	0.07371	0.07998	0.0713
-Hemoglobin	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.02941	0.03219	0.01785	0.0215
-Cytoskeleton	TOTAL	0.0377	0.03258	0.0503	0.03968
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.009158	0.006992	0.01304	0.01278
-Cell Communication	TOTAL	0.004375	0.003959	0.004525	0.004829
Metabolism	TOTAL	0.1649	0.1524	0.2358	0.2531
-Membrane Transport	TOTAL	0.003646	0.003205	0.002252	0.002032
-Central Carbon Metabolism	TOTAL	0.01837	0.01532	0.04366	0.05281
-Energy Metabolism	TOTAL	0.00884	0.008446	0.01446	0.01955
-Biosynthesis	TOTAL	0.03471	0.0314	0.04408	0.04571
-Other Enzymes	TOTAL	0.09066	0.07913	0.1162	0.1228
Organismal Systems	TOTAL	0.0625	0.06045	0.04808	0.03849
-Immune System	TOTAL	0.03525	0.0387	0.01549	0.01436
-Endocrine System	TOTAL	0.0057	0.004938	0.01376	0.006185
-Circulatory System	TOTAL	0.001124	0.0008702	0.002965	0.002626
-Digestive System	TOTAL	0.002985	0.002208	0.0009638	0.0006838
-Excretory System	TOTAL	0.005916	0.004997	0.006223	0.006221
-Nervous System	TOTAL	0.006475	0.005199	0.004778	0.00487
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.002625	0.002024	0.000806	0.0009146
-Environmental Adaptation	TOTAL	0.0005279	0.0003872	0.0003876	0.0003384
Human Diseases	TOTAL	0.07213	0.06871	0.07292	0.07516
-Cancers	TOTAL	0.009115	0.007255	0.005976	0.006853
-Immune System Diseases	TOTAL	0.001941	0.001772	0.002743	0.002662
-Neurodegenerative Diseases	TOTAL	0.01903	0.01778	0.03451	0.03276
-Cardiovascular Diseases	TOTAL	0.001492	0.0007156	0.003589	0.001746
-Metabolic Diseases	TOTAL	0.0003707	0.0003477	1.607e-05	1.531e-05
-Infectious Diseases	TOTAL	0.02996	0.03495	0.01867	0.02022
Not Mapped	TOTAL	0.2776	0.267	0.2076	0.2038
-Not Mapped	TOTAL	0.2776	0.267	0.2076	0.2038
TOTAL	MAPPED	1.384	1.364	1.262	1.256
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.3936	0.4325	0.3967	0.3935
-Transcription	MAPPED	0.04564	0.04382	0.04761	0.0431
-Translation	MAPPED	0.1847	0.2478	0.1392	0.1438
-Folding, Sorting and Degradation	MAPPED	0.1178	0.0998	0.1554	0.1555
-DNA Maintenance	MAPPED	0.0464	0.04173	0.04899	0.05078
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.08742	0.07348	0.02882	0.0284
-Signal Transduction	MAPPED	0.012	0.01133	0.006802	0.00816
-Signaling Molecules and Interaction	MAPPED	0.07543	0.06185	0.02284	0.02089
Cellular Processes	MAPPED	0.1082	0.1006	0.1009	0.08956
-Hemoglobin	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.04071	0.04392	0.02253	0.027
-Cytoskeleton	MAPPED	0.05219	0.04445	0.06348	0.04983
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01268	0.00954	0.01646	0.01605
-Cell Communication	MAPPED	0.006056	0.005401	0.00571	0.006065
Metabolism	MAPPED	0.2283	0.2079	0.2976	0.3179
-Membrane Transport	MAPPED	0.005047	0.004372	0.002842	0.002552
-Central Carbon Metabolism	MAPPED	0.02542	0.02091	0.05509	0.06633
-Energy Metabolism	MAPPED	0.01224	0.01152	0.01825	0.02455
-Biosynthesis	MAPPED	0.04804	0.04285	0.05563	0.05742
-Other Enzymes	MAPPED	0.1255	0.108	0.1466	0.1543
Organismal Systems	MAPPED	0.08651	0.08247	0.06068	0.04834
-Immune System	MAPPED	0.04879	0.05281	0.01955	0.01803
