Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Nervous System	MAPPED	0.0006625	0.0004785	0.0001782	0.0002673
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0.000856	0.000591	0.0004122	0.0003758
-Environmental Adaptation	MAPPED	0	0	0	0
Human Diseases	MAPPED	0.005625	0.004903	0.00538	0.005397
-Cancers	MAPPED	0.002423	0.001823	0.001134	0.001203
-Immune System Diseases	MAPPED	0.0004191	0.0002907	0.001907	0.001564
-Neurodegenerative Diseases	MAPPED	0.001011	0.000916	0.001093	0.001468
-Cardiovascular Diseases	MAPPED	0.0003846	0.0003193	0.0003093	0.0002693
-Infectious Diseases	MAPPED	0.001387	0.001555	0.0009356	0.0008922
Not Mapped	MAPPED	0.3842	0.3643	0.262	0.256
-Not Mapped	MAPPED	0.3842	0.3643	0.262	0.256
TOTAL	Genetic Information Processing	2.771	2.602	2.507	2.486
MAPPED	Genetic Information Processing	2.002	1.907	1.987	1.979
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.1344	0.1205	0.127	0.1234
-Translation	Genetic Information Processing	0.3961	0.4945	0.3104	0.3126
-Folding, Sorting and Degradation	Genetic Information Processing	0.3575	0.2908	0.4555	0.4519
-DNA Maintenance	Genetic Information Processing	0.112	0.09413	0.1071	0.1121
Environmental Information Processing	Genetic Information Processing	0.2849	0.2456	0.09915	0.09306
-Signal Transduction	Genetic Information Processing	0.07243	0.058	0.04031	0.04101
-Signaling Molecules and Interaction	Genetic Information Processing	0.2124	0.1876	0.05884	0.05205
Cellular Processes	Genetic Information Processing	0.2587	0.2318	0.269	0.2462
-Vesicular Transport	Genetic Information Processing	0.1002	0.1039	0.06135	0.07395
-Cytoskeleton	Genetic Information Processing	0.1271	0.1049	0.1643	0.1299
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.01924	0.01312	0.03193	0.02956
-Cell Communication	Genetic Information Processing	0.01224	0.009922	0.01145	0.01285
Metabolism	Genetic Information Processing	0.3629	0.3335	0.5461	0.5886
-Membrane Transport	Genetic Information Processing	0.004608	0.003354	0.0005596	0.0007585
-Central Carbon Metabolism	Genetic Information Processing	0.1402	0.1419	0.2914	0.3325
-Energy Metabolism	Genetic Information Processing	0.05275	0.04928	0.1015	0.09585
-Biosynthesis	Genetic Information Processing	0.1034	0.08263	0.1154	0.1193
-Other Enzymes	Genetic Information Processing	0.06194	0.05633	0.03719	0.04013
Organismal Systems	Genetic Information Processing	0.08377	0.08672	0.06165	0.04088
-Immune System	Genetic Information Processing	0.06229	0.06907	0.01747	0.01668
-Endocrine System	Genetic Information Processing	0.005012	0.004705	0.02732	0.008404
-Circulatory System	Genetic Information Processing	0.0004107	0.0002257	0.004276	0.003679
-Digestive System	Genetic Information Processing	0.001338	0.001171	0.0002903	0.000249
-Excretory System	Genetic Information Processing	0.01169	0.009507	0.01113	0.01059
-Nervous System	Genetic Information Processing	0.001326	0.0009125	0.000354	0.0005292
-Sensory System	Genetic Information Processing	0	0	0	0
-Development	Genetic Information Processing	0.001713	0.001127	0.0008189	0.0007438
-Environmental Adaptation	Genetic Information Processing	0	0	0	0
Human Diseases	Genetic Information Processing	0.01126	0.00935	0.01069	0.01068
-Cancers	Genetic Information Processing	0.00485	0.003476	0.002253	0.002381
-Immune System Diseases	Genetic Information Processing	0.0008388	0.0005543	0.003789	0.003097
-Neurodegenerative Diseases	Genetic Information Processing	0.002024	0.001747	0.002172	0.002906
-Cardiovascular Diseases	Genetic Information Processing	0.0007698	0.0006089	0.0006144	0.0005331
-Infectious Diseases	Genetic Information Processing	0.002776	0.002965	0.001859	0.001766
Not Mapped	Genetic Information Processing	0.769	0.6948	0.5206	0.5068
-Not Mapped	Genetic Information Processing	0.769	0.6948	0.5206	0.5068
TOTAL	-Transcription	20.61	21.59	19.74	20.15
MAPPED	-Transcription	14.89	15.83	15.64	16.05
Genetic Information Processing	-Transcription	7.439	8.3	7.873	8.106
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	2.946	4.104	2.443	2.534
-Folding, Sorting and Degradation	-Transcription	2.659	2.414	3.586	3.663
-DNA Maintenance	-Transcription	0.8331	0.7813	0.843	0.9084
Environmental Information Processing	-Transcription	2.119	2.038	0.7806	0.7543
-Signal Transduction	-Transcription	0.5387	0.4813	0.3174	0.3324
-Signaling Molecules and Interaction	-Transcription	1.58	1.557	0.4633	0.4219
Cellular Processes	-Transcription	1.925	1.924	2.118	1.996
-Vesicular Transport	-Transcription	0.7452	0.8622	0.483	0.5994
-Cytoskeleton	-Transcription	0.9451	0.8706	1.293	1.053
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.1431	0.1089	0.2514	0.2396
-Cell Communication	-Transcription	0.09106	0.08235	0.09018	0.1042
Metabolism	-Transcription	2.7	2.768	4.299	4.771
-Membrane Transport	-Transcription	0.03428	0.02784	0.004406	0.006148
-Central Carbon Metabolism	-Transcription	1.043	1.178	2.294	2.696
-Energy Metabolism	-Transcription	0.3924	0.409	0.7994	0.777
-Biosynthesis	-Transcription	0.7692	0.6858	0.9084	0.9672
-Other Enzymes	-Transcription	0.4607	0.4675	0.2928	0.3253
Organismal Systems	-Transcription	0.6232	0.7197	0.4854	0.3314
-Immune System	-Transcription	0.4633	0.5732	0.1375	0.1352
-Endocrine System	-Transcription	0.03728	0.03905	0.2151	0.06813
-Circulatory System	-Transcription	0.003055	0.001873	0.03367	0.02982
-Digestive System	-Transcription	0.009953	0.009722	0.002286	0.002018
-Excretory System	-Transcription	0.08694	0.07891	0.08762	0.08588
-Nervous System	-Transcription	0.009863	0.007573	0.002787	0.00429
-Sensory System	-Transcription	0	0	0	0
-Development	-Transcription	0.01274	0.009353	0.006447	0.006029
-Environmental Adaptation	-Transcription	0	0	0	0
Human Diseases	-Transcription	0.08374	0.0776	0.08414	0.0866
-Cancers	-Transcription	0.03608	0.02885	0.01774	0.0193
-Immune System Diseases	-Transcription	0.006239	0.0046	0.02983	0.0251
-Neurodegenerative Diseases	-Transcription	0.01505	0.0145	0.0171	0.02356
-Cardiovascular Diseases	-Transcription	0.005726	0.005053	0.004838	0.004322
-Infectious Diseases	-Transcription	0.02065	0.0246	0.01463	0.01432
Not Mapped	-Transcription	5.72	5.766	4.098	4.108
-Not Mapped	-Transcription	5.72	5.766	4.098	4.108
TOTAL	-Translation	6.995	5.261	8.078	7.952
MAPPED	-Translation	5.053	3.856	6.401	6.331
Genetic Information Processing	-Translation	2.525	2.022	3.222	3.199
-Transcription	-Translation	0.3394	0.2436	0.4093	0.3946
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.9026	0.5881	1.468	1.446
-DNA Maintenance	-Translation	0.2828	0.1903	0.345	0.3584
Environmental Information Processing	-Translation	0.7192	0.4966	0.3195	0.2977
-Signal Transduction	-Translation	0.1829	0.1173	0.1299	0.1312
-Signaling Molecules and Interaction	-Translation	0.5364	0.3793	0.1896	0.1665
Cellular Processes	-Translation	0.6532	0.4688	0.8668	0.7876
-Vesicular Transport	-Translation	0.2529	0.2101	0.1977	0.2365
-Cytoskeleton	-Translation	0.3208	0.2121	0.5293	0.4154
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.04859	0.02653	0.1029	0.09454
-Cell Communication	-Translation	0.03091	0.02006	0.0369	0.04111
Metabolism	-Translation	0.9163	0.6744	1.759	1.883
-Membrane Transport	-Translation	0.01163	0.006782	0.001803	0.002426
-Central Carbon Metabolism	-Translation	0.354	0.287	0.9389	1.064
-Energy Metabolism	-Translation	0.1332	0.09965	0.3272	0.3066
-Biosynthesis	-Translation	0.2611	0.1671	0.3717	0.3816
-Other Enzymes	-Translation	0.1564	0.1139	0.1198	0.1283
Organismal Systems	-Translation	0.2115	0.1753	0.1987	0.1308
-Immune System	-Translation	0.1573	0.1397	0.05628	0.05335
-Endocrine System	-Translation	0.01265	0.009515	0.08802	0.02688
-Circulatory System	-Translation	0.001037	0.0004564	0.01378	0.01177
-Digestive System	-Translation	0.003378	0.002369	0.0009354	0.0007964
-Excretory System	-Translation	0.02951	0.01922	0.03586	0.03389
-Nervous System	-Translation	0.003348	0.001845	0.00114	0.001693
-Sensory System	-Translation	0	0	0	0
-Development	-Translation	0.004326	0.002279	0.002639	0.002379
-Environmental Adaptation	-Translation	0	0	0	0
Human Diseases	-Translation	0.02842	0.01891	0.03443	0.03417
-Cancers	-Translation	0.01224	0.007028	0.007259	0.007617
-Immune System Diseases	-Translation	0.002118	0.001121	0.01221	0.009905
-Neurodegenerative Diseases	-Translation	0.005109	0.003532	0.006998	0.009296
-Cardiovascular Diseases	-Translation	0.001943	0.001231	0.00198	0.001705
-Infectious Diseases	-Translation	0.007009	0.005995	0.005989	0.005649
Not Mapped	-Translation	1.942	1.405	1.677	1.621
-Not Mapped	-Translation	1.942	1.405	1.677	1.621
TOTAL	-Folding, Sorting and Degradation	7.75	8.946	5.504	5.501
MAPPED	-Folding, Sorting and Degradation	5.599	6.557	4.361	4.38
Genetic Information Processing	-Folding, Sorting and Degradation	2.797	3.438	2.195	2.213
-Transcription	-Folding, Sorting and Degradation	0.376	0.4143	0.2788	0.273
-Translation	-Folding, Sorting and Degradation	1.108	1.7	0.6813	0.6918
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.3133	0.3237	0.2351	0.248
Environmental Information Processing	-Folding, Sorting and Degradation	0.7968	0.8443	0.2177	0.2059
-Signal Transduction	-Folding, Sorting and Degradation	0.2026	0.1994	0.08849	0.09075
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.5942	0.6449	0.1292	0.1152
Cellular Processes	-Folding, Sorting and Degradation	0.7237	0.7971	0.5906	0.5449
-Vesicular Transport	-Folding, Sorting and Degradation	0.2802	0.3572	0.1347	0.1636
-Cytoskeleton	-Folding, Sorting and Degradation	0.3554	0.3607	0.3606	0.2874
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.05383	0.0451	0.07009	0.0654
-Cell Communication	-Folding, Sorting and Degradation	0.03424	0.03412	0.02514	0.02844
Metabolism	-Folding, Sorting and Degradation	1.015	1.147	1.199	1.302
-Membrane Transport	-Folding, Sorting and Degradation	0.01289	0.01153	0.001228	0.001678
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.3922	0.488	0.6397	0.7358
-Energy Metabolism	-Folding, Sorting and Degradation	0.1476	0.1694	0.2229	0.2121
-Biosynthesis	-Folding, Sorting and Degradation	0.2892	0.2841	0.2533	0.264
-Other Enzymes	-Folding, Sorting and Degradation	0.1732	0.1937	0.08165	0.08879
Organismal Systems	-Folding, Sorting and Degradation	0.2343	0.2982	0.1353	0.09046
-Immune System	-Folding, Sorting and Degradation	0.1742	0.2375	0.03834	0.03691
-Endocrine System	-Folding, Sorting and Degradation	0.01402	0.01618	0.05997	0.0186
-Circulatory System	-Folding, Sorting and Degradation	0.001149	0.0007761	0.009387	0.00814
-Digestive System	-Folding, Sorting and Degradation	0.003743	0.004028	0.0006373	0.0005509
-Excretory System	-Folding, Sorting and Degradation	0.03269	0.03269	0.02443	0.02344
-Nervous System	-Folding, Sorting and Degradation	0.003709	0.003137	0.000777	0.001171
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0
-Development	-Folding, Sorting and Degradation	0.004793	0.003875	0.001798	0.001646
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.03149	0.03215	0.02346	0.02364
-Cancers	-Folding, Sorting and Degradation	0.01357	0.01195	0.004946	0.005269
-Immune System Diseases	-Folding, Sorting and Degradation	0.002346	0.001906	0.008317	0.006852
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.005661	0.006006	0.004768	0.006431
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.002153	0.002094	0.001349	0.00118
-Infectious Diseases	-Folding, Sorting and Degradation	0.007765	0.01019	0.00408	0.003908
Not Mapped	-Folding, Sorting and Degradation	2.151	2.389	1.143	1.121
-Not Mapped	-Folding, Sorting and Degradation	2.151	2.389	1.143	1.121
TOTAL	-DNA Maintenance	24.74	27.64	23.41	22.19
MAPPED	-DNA Maintenance	17.87	20.26	18.55	17.66
Genetic Information Processing	-DNA Maintenance	8.929	10.62	9.339	8.924
-Transcription	-DNA Maintenance	1.2	1.28	1.186	1.101
-Translation	-DNA Maintenance	3.536	5.254	2.898	2.79
-Folding, Sorting and Degradation	-DNA Maintenance	3.192	3.09	4.254	4.033
-DNA Maintenance	-DNA Maintenance	1	1	1	1
Environmental Information Processing	-DNA Maintenance	2.543	2.609	0.926	0.8305
-Signal Transduction	-DNA Maintenance	0.6467	0.6161	0.3765	0.366
-Signaling Molecules and Interaction	-DNA Maintenance	1.897	1.993	0.5495	0.4645
Cellular Processes	-DNA Maintenance	2.31	2.463	2.512	2.197
-Vesicular Transport	-DNA Maintenance	0.8945	1.104	0.573	0.6599
-Cytoskeleton	-DNA Maintenance	1.134	1.114	1.534	1.159
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.1718	0.1394	0.2982	0.2638
-Cell Communication	-DNA Maintenance	0.1093	0.1054	0.107	0.1147
Metabolism	-DNA Maintenance	3.24	3.543	5.1	5.253
-Membrane Transport	-DNA Maintenance	0.04114	0.03563	0.005226	0.006769
-Central Carbon Metabolism	-DNA Maintenance	1.252	1.508	2.721	2.968
-Energy Metabolism	-DNA Maintenance	0.471	0.5235	0.9482	0.8554
-Biosynthesis	-DNA Maintenance	0.9232	0.8778	1.078	1.065
-Other Enzymes	-DNA Maintenance	0.553	0.5984	0.3473	0.3581
Organismal Systems	-DNA Maintenance	0.748	0.9212	0.5758	0.3648
-Immune System	-DNA Maintenance	0.5561	0.7337	0.1631	0.1489
-Endocrine System	-DNA Maintenance	0.04475	0.04999	0.2551	0.075
-Circulatory System	-DNA Maintenance	0.003667	0.002398	0.03994	0.03283
-Digestive System	-DNA Maintenance	0.01195	0.01244	0.002711	0.002222
-Excretory System	-DNA Maintenance	0.1044	0.101	0.1039	0.09455
-Nervous System	-DNA Maintenance	0.01184	0.009693	0.003306	0.004722
-Sensory System	-DNA Maintenance	0	0	0	0
-Development	-DNA Maintenance	0.0153	0.01197	0.007648	0.006638
-Environmental Adaptation	-DNA Maintenance	0	0	0	0
Human Diseases	-DNA Maintenance	0.1005	0.09933	0.09981	0.09534
-Cancers	-DNA Maintenance	0.0433	0.03692	0.02104	0.02125
-Immune System Diseases	-DNA Maintenance	0.007489	0.005888	0.03538	0.02763
-Neurodegenerative Diseases	-DNA Maintenance	0.01807	0.01856	0.02028	0.02594
-Cardiovascular Diseases	-DNA Maintenance	0.006873	0.006468	0.005738	0.004758
-Infectious Diseases	-DNA Maintenance	0.02479	0.03149	0.01736	0.01576
Not Mapped	-DNA Maintenance	6.866	7.381	4.861	4.522
-Not Mapped	-DNA Maintenance	6.866	7.381	4.861	4.522
TOTAL	Environmental Information Processing	9.726	10.59	25.29	26.72
MAPPED	Environmental Information Processing	7.026	7.766	20.04	21.27
Genetic Information Processing	Environmental Information Processing	3.51	4.072	10.09	10.75
-Transcription	Environmental Information Processing	0.4719	0.4907	1.281	1.326
-Translation	Environmental Information Processing	1.39	2.014	3.13	3.36
-Folding, Sorting and Degradation	Environmental Information Processing	1.255	1.184	4.594	4.856
-DNA Maintenance	Environmental Information Processing	0.3932	0.3833	1.08	1.204
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.2542	0.2362	0.4066	0.4407
-Signaling Molecules and Interaction	Environmental Information Processing	0.7458	0.7638	0.5934	0.5593
Cellular Processes	Environmental Information Processing	0.9083	0.944	2.713	2.646
-Vesicular Transport	Environmental Information Processing	0.3517	0.4231	0.6188	0.7946
-Cytoskeleton	Environmental Information Processing	0.446	0.4272	1.657	1.396
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.06756	0.05342	0.322	0.3176
-Cell Communication	Environmental Information Processing	0.04298	0.0404	0.1155	0.1381
Metabolism	Environmental Information Processing	1.274	1.358	5.507	6.325
-Membrane Transport	Environmental Information Processing	0.01618	0.01366	0.005644	0.00815
-Central Carbon Metabolism	Environmental Information Processing	0.4922	0.5779	2.939	3.573
-Energy Metabolism	Environmental Information Processing	0.1852	0.2007	1.024	1.03
-Biosynthesis	Environmental Information Processing	0.363	0.3365	1.164	1.282
-Other Enzymes	Environmental Information Processing	0.2174	0.2294	0.3751	0.4312
Organismal Systems	Environmental Information Processing	0.2941	0.3531	0.6218	0.4393
-Immune System	Environmental Information Processing	0.2187	0.2813	0.1762	0.1792
-Endocrine System	Environmental Information Processing	0.01759	0.01916	0.2755	0.09031
-Circulatory System	Environmental Information Processing	0.001442	0.0009192	0.04313	0.03953
-Digestive System	Environmental Information Processing	0.004697	0.00477	0.002928	0.002676
-Excretory System	Environmental Information Processing	0.04103	0.03872	0.1122	0.1139
-Nervous System	Environmental Information Processing	0.004655	0.003716	0.00357	0.005687
-Sensory System	Environmental Information Processing	0	0	0	0
-Development	Environmental Information Processing	0.006015	0.004589	0.008259	0.007993
-Environmental Adaptation	Environmental Information Processing	0	0	0	0
Human Diseases	Environmental Information Processing	0.03952	0.03808	0.1078	0.1148
-Cancers	Environmental Information Processing	0.01703	0.01415	0.02272	0.02559
-Immune System Diseases	Environmental Information Processing	0.002945	0.002257	0.03821	0.03328
-Neurodegenerative Diseases	Environmental Information Processing	0.007104	0.007113	0.0219	0.03123
-Cardiovascular Diseases	Environmental Information Processing	0.002702	0.00248	0.006197	0.005729
-Infectious Diseases	Environmental Information Processing	0.009745	0.01207	0.01875	0.01898
Not Mapped	Environmental Information Processing	2.7	2.829	5.25	5.446
-Not Mapped	Environmental Information Processing	2.7	2.829	5.25	5.446
TOTAL	-Signal Transduction	38.25	44.86	62.19	60.62
MAPPED	-Signal Transduction	27.64	32.88	49.28	48.26
Genetic Information Processing	-Signal Transduction	13.81	17.24	24.81	24.38
-Transcription	-Signal Transduction	1.856	2.078	3.151	3.008
-Translation	-Signal Transduction	5.469	8.527	7.699	7.623
-Folding, Sorting and Degradation	-Signal Transduction	4.936	5.015	11.3	11.02
-DNA Maintenance	-Signal Transduction	1.546	1.623	2.656	2.732
Environmental Information Processing	-Signal Transduction	3.933	4.234	2.46	2.269
-Signal Transduction	-Signal Transduction	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	2.933	3.234	1.46	1.269
Cellular Processes	-Signal Transduction	3.572	3.997	6.673	6.004
-Vesicular Transport	-Signal Transduction	1.383	1.791	1.522	1.803
-Cytoskeleton	-Signal Transduction	1.754	1.809	4.075	3.167
-Cell Motility	-Signal Transduction	0	0	0	0
-Cell Growth and Death	-Signal Transduction	0.2657	0.2262	0.7921	0.7207
-Cell Communication	-Signal Transduction	0.169	0.1711	0.2841	0.3134
Metabolism	-Signal Transduction	5.011	5.75	13.55	14.35
-Membrane Transport	-Signal Transduction	0.06362	0.05783	0.01388	0.01849
-Central Carbon Metabolism	-Signal Transduction	1.936	2.447	7.229	8.108
-Energy Metabolism	-Signal Transduction	0.7283	0.8497	2.519	2.337
-Biosynthesis	-Signal Transduction	1.428	1.425	2.862	2.909
-Other Enzymes	-Signal Transduction	0.8552	0.9712	0.9226	0.9784
Organismal Systems	-Signal Transduction	1.157	1.495	1.529	0.9968
-Immune System	-Signal Transduction	0.86	1.191	0.4333	0.4067
-Endocrine System	-Signal Transduction	0.0692	0.08113	0.6777	0.2049
-Circulatory System	-Signal Transduction	0.005671	0.003892	0.1061	0.0897
-Digestive System	-Signal Transduction	0.01847	0.0202	0.007202	0.006071
-Excretory System	-Signal Transduction	0.1614	0.1639	0.2761	0.2583
-Nervous System	-Signal Transduction	0.01831	0.01573	0.00878	0.0129
-Sensory System	-Signal Transduction	0	0	0	0
-Development	-Signal Transduction	0.02366	0.01943	0.02031	0.01814
-Environmental Adaptation	-Signal Transduction	0	0	0	0
Human Diseases	-Signal Transduction	0.1554	0.1612	0.2651	0.2605
-Cancers	-Signal Transduction	0.06696	0.05993	0.05589	0.05807
-Immune System Diseases	-Signal Transduction	0.01158	0.009557	0.09399	0.07551
-Neurodegenerative Diseases	-Signal Transduction	0.02794	0.03012	0.05387	0.07086
-Cardiovascular Diseases	-Signal Transduction	0.01063	0.0105	0.01524	0.013
-Infectious Diseases	-Signal Transduction	0.03833	0.05112	0.04611	0.04306
Not Mapped	-Signal Transduction	10.62	11.98	12.91	12.36
-Not Mapped	-Signal Transduction	10.62	11.98	12.91	12.36
TOTAL	-Signaling Molecules and Interaction	13.04	13.87	42.61	47.77
MAPPED	-Signaling Molecules and Interaction	9.422	10.17	33.76	38.03
Genetic Information Processing	-Signaling Molecules and Interaction	4.707	5.331	16.99	19.21
-Transcription	-Signaling Molecules and Interaction	0.6328	0.6424	2.159	2.37
-Translation	-Signaling Molecules and Interaction	1.864	2.637	5.275	6.007
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	1.683	1.551	7.742	8.683
-DNA Maintenance	-Signaling Molecules and Interaction	0.5272	0.5019	1.82	2.153
Environmental Information Processing	-Signaling Molecules and Interaction	1.341	1.309	1.685	1.788
-Signal Transduction	-Signaling Molecules and Interaction	0.3409	0.3092	0.6851	0.788
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	1.218	1.236	4.572	4.731
-Vesicular Transport	-Signaling Molecules and Interaction	0.4716	0.5539	1.043	1.421
-Cytoskeleton	-Signaling Molecules and Interaction	0.5981	0.5593	2.792	2.495
-Cell Motility	-Signaling Molecules and Interaction	0	0	0	0
-Cell Growth and Death	-Signaling Molecules and Interaction	0.09059	0.06994	0.5426	0.5679
-Cell Communication	-Signaling Molecules and Interaction	0.05763	0.0529	0.1947	0.2469
Metabolism	-Signaling Molecules and Interaction	1.708	1.778	9.28	11.31
-Membrane Transport	-Signaling Molecules and Interaction	0.02169	0.01788	0.00951	0.01457
-Central Carbon Metabolism	-Signaling Molecules and Interaction	0.66	0.7566	4.952	6.389
-Energy Metabolism	-Signaling Molecules and Interaction	0.2483	0.2627	1.726	1.842
-Biosynthesis	-Signaling Molecules and Interaction	0.4867	0.4405	1.961	2.292
-Other Enzymes	-Signaling Molecules and Interaction	0.2916	0.3003	0.6321	0.771
Organismal Systems	-Signaling Molecules and Interaction	0.3943	0.4623	1.048	0.7854
-Immune System	-Signaling Molecules and Interaction	0.2932	0.3682	0.2969	0.3205
-Endocrine System	-Signaling Molecules and Interaction	0.02359	0.02509	0.4643	0.1615
-Circulatory System	-Signaling Molecules and Interaction	0.001933	0.001203	0.07268	0.07068
-Digestive System	-Signaling Molecules and Interaction	0.006298	0.006245	0.004934	0.004784
