KO number	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
K02217	NaN	NaN	NaN	NaN
K13624	NaN	NaN	NaN	NaN
K00522	300.846	5.46741	729357.33	570815.26
K03183	NaN	NaN	NaN	NaN
K00591	NaN	NaN	NaN	NaN
K06126	2.77463	3.44931	344590.2	181899.82
K06127	NaN	NaN	NaN	NaN
K06134	1.16687	2.44225	17727.589	60277.77
K02551	NaN	NaN	NaN	NaN
K08680	NaN	NaN	NaN	NaN
K14759	NaN	NaN	NaN	NaN
K01661	NaN	NaN	NaN	NaN
K12501	NaN	NaN	NaN	NaN
K00787	15.9181	17.6121	4669875.3	7532467.2
K13789	NaN	NaN	NaN	NaN
K00804	NaN	NaN	NaN	NaN
K00805	NaN	NaN	NaN	NaN
K12504	NaN	NaN	NaN	NaN
K12505	NaN	NaN	NaN	NaN
K00806	NaN	NaN	NaN	NaN
K11778	NaN	NaN	NaN	NaN
K02291	NaN	NaN	NaN	NaN
K00791	NaN	NaN	NaN	NaN
K05955	9.94815	6.94855	256398.73	426637.18
K05954	NaN	NaN	NaN	NaN
K14050	10.0803	12.5601	472077.98	454203.59
K05956	23.0078	24.4527	208637.26	318689.84
K01662	NaN	NaN	NaN	NaN
K00099	NaN	NaN	NaN	NaN
K00991	NaN	NaN	NaN	NaN
K00919	NaN	NaN	NaN	NaN
K03527	NaN	NaN	NaN	NaN
K00938	NaN	NaN	NaN	NaN
K01597	39.5805	33.788	831251.7	977199.42
K01823	NaN	NaN	NaN	NaN
K12467	NaN	NaN	NaN	NaN
K15086	NaN	NaN	NaN	NaN
K15095	NaN	NaN	NaN	NaN
K07385	NaN	NaN	NaN	NaN
K04125	NaN	NaN	NaN	NaN
K09835	NaN	NaN	NaN	NaN
K14605	NaN	NaN	NaN	NaN
K14606	NaN	NaN	NaN	NaN
K09840	NaN	NaN	NaN	NaN
K10210	NaN	NaN	NaN	NaN
K14939	NaN	NaN	NaN	NaN
K00517	NaN	NaN	NaN	NaN
K00257	10.1917	10.4468	1109628.8	1914096.9
K00083	NaN	NaN	NaN	NaN
K05277	NaN	NaN	NaN	NaN
K01757	NaN	NaN	NaN	NaN
K08081	NaN	NaN	NaN	NaN
K01044	NaN	NaN	NaN	NaN
K00622	NaN	NaN	NaN	NaN
K12154	NaN	NaN	NaN	NaN
K12156	NaN	NaN	NaN	NaN
K15374	99.9703	82.5231	1857365.9	1762930.7
K01821	NaN	NaN	NaN	NaN
K01045	14.0943	3.2065	144066.45	40893.352
K01061	NaN	NaN	NaN	NaN
K07416	NaN	NaN	NaN	NaN
K07420	NaN	NaN	NaN	NaN
K01253	NaN	NaN	NaN	NaN
K07414	NaN	NaN	NaN	NaN
K00569	NaN	NaN	NaN	NaN
K03927	NaN	NaN	NaN	NaN
K00069	NaN	NaN	NaN	NaN
K00084	NaN	NaN	NaN	NaN
K11162	8.30462	12.3705	29805.052	59944.322
K11539	6.45229	9.61462	145159.37	124215.58
K11165	18.4512	18.7424	1110414	1668841.3
K11166	6.72566	9.86644	32461.963	179097.86
K13236	21.1253	28.1635	3645397.9	5901370.2
K13948	1.19836	0.592481	338151.95	255554.47
K00311	4.57945	7.29526	186152.96	388239.95
K00327	8.08342	6.28034	770635.72	1406933.1
K00355	NaN	NaN	NaN	NaN
K00344	31.9528	47.19	6164877	4417941
K09457	NaN	NaN	NaN	NaN
K10758	11.3278	7.62178	26818.6	44417.846
K05906	6.81619	3.47676	134034.67	241887.47
K12550	NaN	NaN	NaN	NaN
K03386	39.21152	75.7861	8673885.7	17113043
K13447	NaN	NaN	NaN	NaN
K06072	7.32017	6.54818	237198.9	123331.48
K00528	20.2671	13.7377	1913340.2	1986145.3
K00540	44.0512	30.19373	4918763.4	3175451.4
K00555	9.1767	15.3584	54575.44	323390.05
K03439	5.61574	6.63594	33216.658	193550.12
K05925	16.8446	16.6578	397515.27	359807.94
K11393	7.03928	4.40563	135518.86	190056.39
K00628	NaN	NaN	NaN	NaN
K00670	44.38221	33.17243	2504437	2705955.6
K00671	33.7215	31.0613	1490893	1173232.3
K00685	6.73831	5.71374	29670.265	46042.145
K00773	20.37999	23.83096	1049693.3	286956.3
K13024	10.6977	9.29237	36462.194	53336.991
K13291	10.6813	15.9624	86427.175	53038.134
K05854	114.159	93.8197	585748.23	134300.62
K05855	51.7413	21.3892	1601693.9	619249.56
K07370	21.3527	37.8872	745691.03	1501789.7
K08891	44.5835	55.1521	394932.18	235263.22
K08893	NaN	NaN	NaN	NaN
K08282	3.35221	2.63613	4928.2866	6968.7845
K08790	15.0511	20.4723	424248.61	987368.66
K08803	NaN	NaN	NaN	NaN
K08816	40.3536	41.4087	724812.43	1013686.5
K08827	14.5201	13.3621	112548.37	218746.39
K08831	19.693	15.2476	203646.05	209743.78
K08835	22.3771	18.8421	956869.48	731340.85
K08837	19.7752	27.2564	449681.43	967772.48
K08838	61.7654	66.5129	156326.6	215787.52
K08843	5.35289	8.92988	1259.8298	20599.932
K08844	3.28082	6.07166	61662.406	57287.394
K08846	NaN	NaN	NaN	NaN
K08847	NaN	NaN	NaN	NaN
K08849	NaN	NaN	NaN	NaN
K08854	NaN	NaN	NaN	NaN
K08855	35.7114	16.9624	301580.58	191024.12
K08857	83.8882	85.9969	1112642.9	897465.09
K08864	20.5702	34.7842	65845.391	172137.84
K08867	42.0318	33.1093	233169.78	287844.25
K08878	NaN	NaN	NaN	NaN
K12567	0.217624	0.310941	42958.3	57341.85
K13303	NaN	NaN	NaN	NaN
K13412	NaN	NaN	NaN	NaN
K00898	16.5583	7.58534	417324.69	303830.13
K12077	22.151	14.6686	239900.43	291669.47
K08283	13.4668	12.632	77985.577	142259.42
K05410	17.1173	15.701	182691.32	473142.01
K06070	24.9421	30.0314	106554.56	279851.71
K06071	33.4323	39.1283	439299.19	512946.94
K07359	NaN	NaN	NaN	NaN
K02090	3.85047	3.74208	301094.59	293676.67
K02211	23.9458	27.1284	108375.35	106283.64
K08819	25.7939	25.8734	76847.15	57118.54
K08820	14.2761	13.1652	98969.754	38794.471
K08821	NaN	NaN	NaN	NaN
K08822	13.2459	12.6419	169437.33	191228.31
K08825	NaN	NaN	NaN	NaN
K08865	24.1566	24.7052	187112.94	270152.78
K07588	4.81705	4.8111	137322.34	227393.27
K11822	NaN	NaN	NaN	NaN
K04794	36.0406	36.1104	522559.45	438894.82
K07188	NaN	NaN	NaN	NaN
K13619	10.356	7.82754	103850.89	103523.86
K13806	NaN	NaN	NaN	NaN
K01090	164.7701	157.8051	2972398.3	2747019.8
K14165	29.403	25.6034	147891.19	316818.67
K01104	38.45033	25.60692	698280.64	374889.72
K07817	NaN	NaN	NaN	NaN
K01121	19.7292	22.6453	652677.3	1242811
K13216	20.6131	22.6914	918475.82	1372216.4
K13985	NaN	NaN	NaN	NaN
K12579	4.58291	39.7226	1507718	3098823.5
K01170	14.2514	12.7192	29362.769	34798.557
K13915	NaN	NaN	NaN	NaN
K11687	21.7071	24.7668	999668.53	1021962.9
K01245	36.187	26.1199	510696.49	655909.04
K12968	72.2652	96.9542	1453879.6	2190290.3
K01506	14.3367	12.1637	250750.32	750064.18
K07766	36.7097	7.58123	322456.3	452689.43
K01529	128.57239	96.30041	1800657.8	1775839.6
K01530	11.9912	16.9359	21283.601	24600.381
K01537	NaN	NaN	NaN	NaN
K01539	87.1815	103.55	329832.09	438746.92
K12646	6.38543	7.19547	213999.08	236953.13
K12649	NaN	NaN	NaN	NaN
K01551	40.811	38.0271	1204688	1104822.3
K10823	NaN	NaN	NaN	NaN
K06027	19.925	14.8456	1112674.2	1273282.9
K12647	29.6883	48.8421	267570.99	397605.12
K13116	16.033	20.2579	255253.68	336069.15
K13177	25.8217	20.3486	2625181.5	3376116.3
K13178	95.217	96.2235	2333992	2121993.9
K13182	63.9583	80.0219	2048701.6	951114.51
K13183	32.4616	20.7197	380828.18	611592.33
K13184	22.6215	12.858	4558425.3	4448068.3
K13185	15.8247	12.4128	242439.22	385682.4
K09020	NaN	NaN	NaN	NaN
K01724	12.25	42.6778	255756.3	763300.46
K06173	15.9238	18.548	180591.15	272406
K01855	8.38919	6.60494	307783.38	166093.78
K01974	23.5459	20.6587	672821.62	500458.97
K08870	24.8451	19.5057	1424988.5	1091124.6
K08875	17.4633	15.2111	125903.62	231531.31
K08876	25.8944	12.1673	342165.09	354768.3
K15303	NaN	NaN	NaN	NaN
K07435	2.06722	2.43555	115808.67	116471.32
K14216	33.4833	156.882	1329472.2	4122015.8
K03898	NaN	NaN	NaN	NaN
K03908	NaN	NaN	NaN	NaN
K03912	NaN	NaN	NaN	NaN
K03983	NaN	NaN	NaN	NaN
K03911	NaN	NaN	NaN	NaN
K03984	NaN	NaN	NaN	NaN
K03987	NaN	NaN	NaN	NaN
K03989	NaN	NaN	NaN	NaN
K04000	NaN	NaN	NaN	NaN
K04001	NaN	NaN	NaN	NaN
K04004	NaN	NaN	NaN	NaN
K05399	NaN	NaN	NaN	NaN
K05402	9.50101	9.55015	308149.26	381000.4
K03174	NaN	NaN	NaN	NaN
K12795	8.98411	8.41148	2058288	1923864.7
K12796	NaN	NaN	NaN	NaN
K12799	12.3219	24.5236	186590.13	472926.01
K12805	NaN	NaN	NaN	NaN
K12807	NaN	NaN	NaN	NaN
K12648	8.45686	5.65208	285907.52	397627.81
K12651	NaN	NaN	NaN	NaN
K12653	7.22869	4.90129	47221.048	25790.909
K12656	NaN	NaN	NaN	NaN
K17834	NaN	NaN	NaN	NaN
K12965	NaN	NaN	NaN	NaN
K07985	NaN	NaN	NaN	NaN
K08055	1816.6	2020.79	14331295	7623191.8
K08058	26.7916	27.9703	8680786.4	10950196
K08059	181.602	338.22	3318965	3994746.5
K07366	NaN	NaN	NaN	NaN
K12076	10.6075	7.59846	87559.633	73578.657
K07368	17.6308	16.0178	278748.72	338572.31
K12229	21.906	22.1765	77258.724	59049.948
K07371	25.1482	62.1916	307656.8	579095.47
K12230	56.0515	25.865	650408.22	212741.36
K12561	125.009	83.759	1612212.2	1824523.2
K13536	131.889	238.928	270055.35	854985.83
K12367	23.5918	25.7619	1636155.8	1906044.5
K12562	NaN	NaN	NaN	NaN
K08013	26.9198	22.6733	327869.81	535634.38
K04351	NaN	NaN	NaN	NaN
K08015	43.7255	36.5818	70973.196	193477.44
K13073	NaN	NaN	NaN	NaN
K12365	24.2596	29.4987	129689.69	319965.13
K12366	22.0834	22.4201	1004500.3	1358523.5
K07189	NaN	NaN	NaN	NaN
K07192	88.8042	69.0416	1182646.2	1586938.3
K07193	NaN	NaN	NaN	NaN
K07195	NaN	NaN	NaN	NaN
K07196	NaN	NaN	NaN	NaN
K07199	NaN	NaN	NaN	NaN
K07200	18.3221	20.537	729108.06	703694.69
K07296	NaN	NaN	NaN	NaN
K08750	NaN	NaN	NaN	NaN
K08751	NaN	NaN	NaN	NaN
K08752	NaN	NaN	NaN	NaN
K08753	NaN	NaN	NaN	NaN
K08754	3.14815	0.984787	43799279	5828257.2
K08755	NaN	NaN	NaN	NaN
K08756	NaN	NaN	NaN	NaN
K08757	NaN	NaN	NaN	NaN
K08758	NaN	NaN	NaN	NaN
K08759	NaN	NaN	NaN	NaN
K09025	NaN	NaN	NaN	NaN
K08761	NaN	NaN	NaN	NaN
K08762	101.667	126.794	12154727	11101104
K08768	NaN	NaN	NaN	NaN
K08769	NaN	NaN	NaN	NaN
K09821	NaN	NaN	NaN	NaN
K13822	NaN	NaN	NaN	NaN
K13823	NaN	NaN	NaN	NaN
K10374	NaN	NaN	NaN	NaN
K10373	NaN	NaN	NaN	NaN
K09290	17.3675	10.4271	9057996.8	8413331.7
K01538	NaN	NaN	NaN	NaN
K17457	NaN	NaN	NaN	NaN
K12327	NaN	NaN	NaN	NaN
K12329	NaN	NaN	NaN	NaN
K12331	NaN	NaN	NaN	NaN
K12334	NaN	NaN	NaN	NaN
K10951	NaN	NaN	NaN	NaN
K13912	NaN	NaN	NaN	NaN
K13899	NaN	NaN	NaN	NaN
K14078	NaN	NaN	NaN	NaN
K13575	NaN	NaN	NaN	NaN
K14341	NaN	NaN	NaN	NaN
K14361	NaN	NaN	NaN	NaN
K14158	NaN	NaN	NaN	NaN
K12040	NaN	NaN	NaN	NaN
K16628	NaN	NaN	NaN	NaN
K14206	NaN	NaN	NaN	NaN
K05616	47.2037	45.9917	82228.491	58674.574
K13781	NaN	NaN	NaN	NaN
K14210	NaN	NaN	NaN	NaN
K14462	NaN	NaN	NaN	NaN
K14463	NaN	NaN	NaN	NaN
K14622	NaN	NaN	NaN	NaN
K14613	NaN	NaN	NaN	NaN
K14609	NaN	NaN	NaN	NaN
K14386	NaN	NaN	NaN	NaN
K14618	NaN	NaN	NaN	NaN
K14610	NaN	NaN	NaN	NaN
K14617	NaN	NaN	NaN	NaN
K07213	NaN	NaN	NaN	NaN
K14704	NaN	NaN	NaN	NaN
K14686	NaN	NaN	NaN	NaN
K14688	NaN	NaN	NaN	NaN
K14736	NaN	NaN	NaN	NaN
K14737	9.37539	8.11704	532711.01	510745.82
K14738	NaN	NaN	NaN	NaN
K14739	NaN	NaN	NaN	NaN
K08370	NaN	NaN	NaN	NaN
K14710	NaN	NaN	NaN	NaN
K14735	NaN	NaN	NaN	NaN
K12462	465.17	405.21	22031931	21979132
K13358	NaN	NaN	NaN	NaN
K14757	NaN	NaN	NaN	NaN
K13576	NaN	NaN	NaN	NaN
K13577	29.0493	33.9633	1541859.1	2250692.8
K13627	NaN	NaN	NaN	NaN
K15294	NaN	NaN	NaN	NaN
K15296	NaN	NaN	NaN	NaN
K15290	NaN	NaN	NaN	NaN
K15292	NaN	NaN	NaN	NaN
K15293	34.6852	18.8876	371963.65	314529.08
K15376	NaN	NaN	NaN	NaN
K15375	NaN	NaN	NaN	NaN
K14992	NaN	NaN	NaN	NaN
K15010	13.5555	16.847	255611.44	788896.05
K05614	NaN	NaN	NaN	NaN
K05617	NaN	NaN	NaN	NaN
K15009	NaN	NaN	NaN	NaN
K14990	NaN	NaN	NaN	NaN
K11828	NaN	NaN	NaN	NaN
K05613	NaN	NaN	NaN	NaN
K08050	NaN	NaN	NaN	NaN
K12460	7.82829	6.41514	122163.55	106791.18
K12464	NaN	NaN	NaN	NaN
K13764	NaN	NaN	NaN	NaN
K08327	NaN	NaN	NaN	NaN
K07520	NaN	NaN	NaN	NaN
K06845	NaN	NaN	NaN	NaN
K07524	6.04035	2.64371	175247.97	276198.55
K07525	NaN	NaN	NaN	NaN
K07526	NaN	NaN	NaN	NaN
K07528	9.9308	7.28068	754023.58	747680.58
K07529	NaN	NaN	NaN	NaN
K14380	NaN	NaN	NaN	NaN
K14381	56.4785	42.1341	805375.36	677182.61
K16513	NaN	NaN	NaN	NaN
K13448	NaN	NaN	NaN	NaN
K16866	NaN	NaN	NaN	NaN
K16867	NaN	NaN	NaN	NaN
K16865	NaN	NaN	NaN	NaN
K02163	NaN	NaN	NaN	NaN
K17461	NaN	NaN	NaN	NaN
K13863	NaN	NaN	NaN	NaN
K17455	NaN	NaN	NaN	NaN
K17391	NaN	NaN	NaN	NaN
K17390	NaN	NaN	NaN	NaN
K15618	NaN	NaN	NaN	NaN
K15619	NaN	NaN	NaN	NaN
K15612	NaN	NaN	NaN	NaN
K15613	NaN	NaN	NaN	NaN
K15614	NaN	NaN	NaN	NaN
K15615	NaN	NaN	NaN	NaN
K15617	12.8811	12.5072	179783.51	290931.09
K14970	NaN	NaN	NaN	NaN
K15379	NaN	NaN	NaN	NaN
K15184	NaN	NaN	NaN	NaN
K15187	NaN	NaN	NaN	NaN
K15188	NaN	NaN	NaN	NaN
K04650	NaN	NaN	NaN	NaN
K15625	NaN	NaN	NaN	NaN
K15627	NaN	NaN	NaN	NaN
K15620	NaN	NaN	NaN	NaN
K15623	NaN	NaN	NaN	NaN
K15622	NaN	NaN	NaN	NaN
K16174	6.52896	6.55871	718158.14	1522807.4
K16175	NaN	NaN	NaN	NaN
K08527	NaN	NaN	NaN	NaN
K08733	14.2364	4.95731	498341.91	342453.85
K03172	99.0923	51.8502	1463839.5	975041.46
K09288	9.40975	9.98112	307913.22	330036.08
K09292	62.9311	74.6993	1604218.1	1985041
K08773	NaN	NaN	NaN	NaN
K10056	NaN	NaN	NaN	NaN
K15420	NaN	NaN	NaN	NaN
K11089	19.2003	10.6546	1330695.5	1287754.7
K11090	16.2682	14.9506	6694916.1	5794212.8
K04529	NaN	NaN	NaN	NaN
K04524	NaN	NaN	NaN	NaN
K04528	NaN	NaN	NaN	NaN
K04557	NaN	NaN	NaN	NaN
K11518	11.55814	7.17666	2439239	3211997.5
K04569	11.1216	7.44517	193680.9	740529.65
K04575	NaN	NaN	NaN	NaN
K04559	NaN	NaN	NaN	NaN
K04533	8.71562	11.8821	243850.6	494675.7
K11829	8.72244	6.16814	71946.563	62639.909
K11830	40.084	42.3991	1170529.8	1930531.9
K11831	5.36913	5.62007	481137.12	206035.68
K12563	NaN	NaN	NaN	NaN
K12566	NaN	NaN	NaN	NaN
K12568	NaN	NaN	NaN	NaN
K12569	32.5495	28.1265	1301513.4	1219248.2
K07601	NaN	NaN	NaN	NaN
K12642	NaN	NaN	NaN	NaN
K07597	NaN	NaN	NaN	NaN
K15304	NaN	NaN	NaN	NaN
K15309	NaN	NaN	NaN	NaN
K15305	NaN	NaN	NaN	NaN
K16334	NaN	NaN	NaN	NaN
K15306	NaN	NaN	NaN	NaN
K15307	NaN	NaN	NaN	NaN
K15979	NaN	NaN	NaN	NaN
K15978	NaN	NaN	NaN	NaN
K13784	NaN	NaN	NaN	NaN
K15485	NaN	NaN	NaN	NaN
K15414	NaN	NaN	NaN	NaN
K15129	NaN	NaN	NaN	NaN
K14840	NaN	NaN	NaN	NaN
K14966	NaN	NaN	NaN	NaN
K15413	NaN	NaN	NaN	NaN
K15348	NaN	NaN	NaN	NaN
K10955	NaN	NaN	NaN	NaN
K12791	25.8342	17.7197	659760.86	721698.74
K14957	NaN	NaN	NaN	NaN
K16942	NaN	NaN	NaN	NaN
K16938	NaN	NaN	NaN	NaN
K16939	NaN	NaN	NaN	NaN
K13736	NaN	NaN	NaN	NaN
K13737	51.8459	50.6518	1502022.1	1245825.1
K13738	17.5071	17.9134	734243.82	828460.26
K14754	NaN	NaN	NaN	NaN
K15044	NaN	NaN	NaN	NaN
K15047	NaN	NaN	NaN	NaN
K15046	NaN	NaN	NaN	NaN
K15043	14.77403	17.48063	318449.06	454707.23
K15042	NaN	NaN	NaN	NaN
K01165	4.00982	3.70041	11585.269	4021.7931
K14217	3.41204	29.478	711062.2	784249.2
NotMapped	32518.208	32094.702	1.1026335e+09	1.1589722e+09
