KO number	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
K01519	23.1424	22.9964	428316.34	514532.36
K02428	NaN	NaN	NaN	NaN
K03816	NaN	NaN	NaN	NaN
K01518	NaN	NaN	NaN	NaN
K00364	28.4451	26.639	505647.19	581646.64
K01487	NaN	NaN	NaN	NaN
K00942	33.3168	29.6227	617022.3	890518.91
K00904	22.9181	35.672	292659.73	229458.87
K01514	NaN	NaN	NaN	NaN
K00951	NaN	NaN	NaN	NaN
K07816	NaN	NaN	NaN	NaN
K12320	NaN	NaN	NaN	NaN
K12323	NaN	NaN	NaN	NaN
K01120	NaN	NaN	NaN	NaN
K13762	NaN	NaN	NaN	NaN
K08718	NaN	NaN	NaN	NaN
K13756	NaN	NaN	NaN	NaN
K13758	14.13	16.0715	440547.22	463083.55
K01939	15.3189	10.8201	1421416	1111560.4
K01490	8.48279	7.03859	299988.83	390508.67
K00856	34.1134	25.1776	685494.58	1052369.5
K00893	5.75747	7.49614	415625.76	1090910.7
K01488	22.8239	18.6507	1479106.7	1220857.3
K00939	49.86353	36.725131	9816230.6	16805780
K01509	NaN	NaN	NaN	NaN
K01522	NaN	NaN	NaN	NaN
K13811	26.1704	20.9257	648801.16	176060.38
K00860	NaN	NaN	NaN	NaN
K00365	NaN	NaN	NaN	NaN
K07127	NaN	NaN	NaN	NaN
K01477	NaN	NaN	NaN	NaN
K01483	NaN	NaN	NaN	NaN
K14977	NaN	NaN	NaN	NaN
K01428	NaN	NaN	NaN	NaN
K00926	NaN	NaN	NaN	NaN
K16904	NaN	NaN	NaN	NaN
K01948	NaN	NaN	NaN	NaN
K01955	NaN	NaN	NaN	NaN
K01956	NaN	NaN	NaN	NaN
K00609	NaN	NaN	NaN	NaN
K01465	NaN	NaN	NaN	NaN
K00226	NaN	NaN	NaN	NaN
K00254	6.12959	5.27779	43773.304	51244.807
K13421	18.4324	15.0095	1768662.1	2313434.4
K00762	NaN	NaN	NaN	NaN
K01591	NaN	NaN	NaN	NaN
K00945	NaN	NaN	NaN	NaN
K13800	111.228	94.2614	3038094.1	1820811.5
K13809	NaN	NaN	NaN	NaN
K09903	NaN	NaN	NaN	NaN
K00944	40.462	24.8306	4127393.3	2034960
K01937	31.12927	20.78776	2006635.2	2130771.6
K00876	23.06921	21.67419	326150.39	615739.18
K00757	NaN	NaN	NaN	NaN
K01240	NaN	NaN	NaN	NaN
K00761	NaN	NaN	NaN	NaN
K00207	NaN	NaN	NaN	NaN
K01464	NaN	NaN	NaN	NaN
K01431	NaN	NaN	NaN	NaN
K00756	NaN	NaN	NaN	NaN
K00384	4.02914	3.8428	229368.38	90499.688
K01489	NaN	NaN	NaN	NaN
K00758	88.0624	27.0166	9759934.6	1750463.3
K00857	41.2539	48.9415	341972.36	304022.02
K00943	39.5275	24.5962	4016888.2	1951351.2
K05607	NaN	NaN	NaN	NaN
K01557	NaN	NaN	NaN	NaN
K09699	7.60282	4.97434	1286319.7	1138459.6
K14454	NaN	NaN	NaN	NaN
K14455	NaN	NaN	NaN	NaN
K00813	87.4445	97.1616	6743890.2	8462808.4
K03334	23.1682	58.4687	143520.98	1083385.4
K01424	NaN	NaN	NaN	NaN
K13566	16.1835	14.835	1287407.6	2575423.5
K00827	NaN	NaN	NaN	NaN
K00259	NaN	NaN	NaN	NaN
K01940	NaN	NaN	NaN	NaN
K01755	4.63619	6.59749	259199.71	885834.12
K01437	NaN	NaN	NaN	NaN
K00264	NaN	NaN	NaN	NaN
K00265	NaN	NaN	NaN	NaN
K00266	NaN	NaN	NaN	NaN
K00260	NaN	NaN	NaN	NaN
K00261	5.67425	2.01045	3461438.1	3163139
K00262	NaN	NaN	NaN	NaN
K00294	NaN	NaN	NaN	NaN
K01425	40.0683	32.248	1122685.1	1548453.1
K00928	NaN	NaN	NaN	NaN
K12524	NaN	NaN	NaN	NaN
K00133	NaN	NaN	NaN	NaN
K00003	NaN	NaN	NaN	NaN
K00872	NaN	NaN	NaN	NaN
K01733	NaN	NaN	NaN	NaN
K01620	NaN	NaN	NaN	NaN
K00639	NaN	NaN	NaN	NaN
K00643	NaN	NaN	NaN	NaN
K00274	NaN	NaN	NaN	NaN
K00276	NaN	NaN	NaN	NaN
K00281	NaN	NaN	NaN	NaN
K00282	NaN	NaN	NaN	NaN
K00283	NaN	NaN	NaN	NaN
K00613	5.42718	50.9255	148976.85	1702371.1
K00542	NaN	NaN	NaN	NaN
K00108	NaN	NaN	NaN	NaN
K00130	NaN	NaN	NaN	NaN
K00544	NaN	NaN	NaN	NaN
K00315	NaN	NaN	NaN	NaN
K00314	NaN	NaN	NaN	NaN
K00552	NaN	NaN	NaN	NaN
K01697	NaN	NaN	NaN	NaN
K01758	4.37091	9.89222	49963.085	329375.96
K01752	NaN	NaN	NaN	NaN
K01754	NaN	NaN	NaN	NaN
K12235	12.1103	5.13766	88860.374	279985.58
K01695	NaN	NaN	NaN	NaN
K01696	NaN	NaN	NaN	NaN
K06001	NaN	NaN	NaN	NaN
K00640	NaN	NaN	NaN	NaN
K01738	NaN	NaN	NaN	NaN
K01760	NaN	NaN	NaN	NaN
K00547	NaN	NaN	NaN	NaN
K00549	NaN	NaN	NaN	NaN
K00789	72.3833	64.6617	6471116.2	4963786.1
K00797	28.4003	32.6734	2839091.4	2879969.5
K00802	NaN	NaN	NaN	NaN
K01243	NaN	NaN	NaN	NaN
K00899	NaN	NaN	NaN	NaN
K00772	6.11825	8.2697	500218.4	393903.54
K08963	8.5235	10.4207	469841.4	1033363.8
K08964	14.1118	7.86387	384877.76	804003.97
K09880	22.9159	21.0685	467679.81	508693.41
K08967	10.8798	20.8633	131257.56	794828.78
K00838	NaN	NaN	NaN	NaN
K00815	NaN	NaN	NaN	NaN
K01251	92.5772	92.8603	7520239	6652034.2
K07173	NaN	NaN	NaN	NaN
K05933	NaN	NaN	NaN	NaN
K01739	NaN	NaN	NaN	NaN
K00641	NaN	NaN	NaN	NaN
K01740	NaN	NaN	NaN	NaN
K00456	NaN	NaN	NaN	NaN
K08968	NaN	NaN	NaN	NaN
K00826	25.3944	24.5492	2105658.5	2461497.6
K00166	NaN	NaN	NaN	NaN
K00167	7.41	6.47752	166994.05	261142.91
K00253	13.1699	13.8235	254804.93	1406243.6
K11538	NaN	NaN	NaN	NaN
K08683	42.4701	46.6404	8515888.3	7221485.9
K00020	16.0565	11.7269	921687.41	961552.95
K00157	NaN	NaN	NaN	NaN
K01968	18.5245	16.2773	810468.1	1064542.5
K01969	15.7703	18.4003	1135502.2	2338826.3
K00053	NaN	NaN	NaN	NaN
K01687	NaN	NaN	NaN	NaN
K00052	NaN	NaN	NaN	NaN
K01714	NaN	NaN	NaN	NaN
K00215	NaN	NaN	NaN	NaN
K00674	NaN	NaN	NaN	NaN
K01439	NaN	NaN	NaN	NaN
K01778	NaN	NaN	NaN	NaN
K10206	NaN	NaN	NaN	NaN
K01586	NaN	NaN	NaN	NaN
K00841	NaN	NaN	NaN	NaN
K05824	NaN	NaN	NaN	NaN
K00825	NaN	NaN	NaN	NaN
K00293	NaN	NaN	NaN	NaN
K00290	NaN	NaN	NaN	NaN
K14157	NaN	NaN	NaN	NaN
K00930	NaN	NaN	NaN	NaN
K00145	NaN	NaN	NaN	NaN
K00824	NaN	NaN	NaN	NaN
K00474	NaN	NaN	NaN	NaN
K00471	NaN	NaN	NaN	NaN
K00473	NaN	NaN	NaN	NaN
K13645	NaN	NaN	NaN	NaN
K13646	7.36086	6.63764	87022.72	86828.499
K13647	NaN	NaN	NaN	NaN
K11703	15.5409	15.3423	174819.13	137125.95
K00933	NaN	NaN	NaN	NaN
K01470	NaN	NaN	NaN	NaN
K01480	NaN	NaN	NaN	NaN
K10536	NaN	NaN	NaN	NaN
K12251	NaN	NaN	NaN	NaN
K11182	NaN	NaN	NaN	NaN
K00934	NaN	NaN	NaN	NaN
K00819	NaN	NaN	NaN	NaN
K00286	70.10847	59.14474	4142932.3	3731417.1
K00318	NaN	NaN	NaN	NaN
K01750	NaN	NaN	NaN	NaN
K00931	NaN	NaN	NaN	NaN
K12657	40.9924	34.1443	3780249.6	3644813.5
K00472	61.662	55.7913	794323.19	1287308.8
K11394	NaN	NaN	NaN	NaN
K00611	NaN	NaN	NaN	NaN
K01476	NaN	NaN	NaN	NaN
K00618	NaN	NaN	NaN	NaN
K00620	NaN	NaN	NaN	NaN
K11067	NaN	NaN	NaN	NaN
K01438	NaN	NaN	NaN	NaN
K00765	NaN	NaN	NaN	NaN
K01814	NaN	NaN	NaN	NaN
K01693	NaN	NaN	NaN	NaN
K00817	NaN	NaN	NaN	NaN
K01745	NaN	NaN	NaN	NaN
K01712	NaN	NaN	NaN	NaN
K01468	NaN	NaN	NaN	NaN
K01479	NaN	NaN	NaN	NaN
K01590	NaN	NaN	NaN	NaN
K01593	NaN	NaN	NaN	NaN
K00546	NaN	NaN	NaN	NaN
K00599	17.1468	13.8797	312204.09	278870.84
K00457	NaN	NaN	NaN	NaN
K00451	NaN	NaN	NaN	NaN
K01800	NaN	NaN	NaN	NaN
K01555	13.4761	9.45636	1605675.1	1327347.4
K00501	NaN	NaN	NaN	NaN
K01827	NaN	NaN	NaN	NaN
K00506	NaN	NaN	NaN	NaN
K01592	NaN	NaN	NaN	NaN
K00503	NaN	NaN	NaN	NaN
K00553	NaN	NaN	NaN	NaN
K07253	NaN	NaN	NaN	NaN
K00680	NaN	NaN	NaN	NaN
K00500	NaN	NaN	NaN	NaN
K01904	NaN	NaN	NaN	NaN
K09754	NaN	NaN	NaN	NaN
K00588	NaN	NaN	NaN	NaN
K00453	NaN	NaN	NaN	NaN
K00463	NaN	NaN	NaN	NaN
K00486	NaN	NaN	NaN	NaN
K01556	11.2488	19.4158	280658.77	657045.43
K00452	NaN	NaN	NaN	NaN
K03392	NaN	NaN	NaN	NaN
K00816	27.5635	26.5135	1905776.1	1510019.1
K14264	NaN	NaN	NaN	NaN
K00502	NaN	NaN	NaN	NaN
K00562	NaN	NaN	NaN	NaN
K04103	NaN	NaN	NaN	NaN
K11868	NaN	NaN	NaN	NaN
K11818	NaN	NaN	NaN	NaN
K11820	NaN	NaN	NaN	NaN
K01626	NaN	NaN	NaN	NaN
K13853	NaN	NaN	NaN	NaN
K01735	NaN	NaN	NaN	NaN
K00014	NaN	NaN	NaN	NaN
K00891	NaN	NaN	NaN	NaN
K00800	NaN	NaN	NaN	NaN
K01736	NaN	NaN	NaN	NaN
K01657	NaN	NaN	NaN	NaN
K01658	NaN	NaN	NaN	NaN
K01609	NaN	NaN	NaN	NaN
K01850	NaN	NaN	NaN	NaN
K15227	NaN	NaN	NaN	NaN
K05359	NaN	NaN	NaN	NaN
K01845	NaN	NaN	NaN	NaN
K01918	NaN	NaN	NaN	NaN
K01594	NaN	NaN	NaN	NaN
K10712	NaN	NaN	NaN	NaN
K01763	NaN	NaN	NaN	NaN
K11717	NaN	NaN	NaN	NaN
K12528	NaN	NaN	NaN	NaN
K12529	NaN	NaN	NaN	NaN
K01008	NaN	NaN	NaN	NaN
K08248	NaN	NaN	NaN	NaN
K01776	NaN	NaN	NaN	NaN
K01775	NaN	NaN	NaN	NaN
K01921	NaN	NaN	NaN	NaN
K03367	NaN	NaN	NaN	NaN
K14188	NaN	NaN	NaN	NaN
K00682	NaN	NaN	NaN	NaN
K01469	NaN	NaN	NaN	NaN
K11204	3.46884	3.46284	67391.441	65757.876
K11205	6.31341	3.31004	351179.96	213612.68
K01919	NaN	NaN	NaN	NaN
K01920	18.02	17.7132	1243036.6	2383018.6
K00383	22.6673	19.4486	1607746.9	2428889.8
K05360	4.54823	3.97927	483470.17	795998.23
K05361	NaN	NaN	NaN	NaN
K01672	0.250934	4.49025	26443.642	687308.98
K01673	NaN	NaN	NaN	NaN
K00363	NaN	NaN	NaN	NaN
K01916	NaN	NaN	NaN	NaN
K00459	NaN	NaN	NaN	NaN
K05601	NaN	NaN	NaN	NaN
K00380	NaN	NaN	NaN	NaN
K01082	22.7881	19.6863	1493960.8	2402335
K01014	NaN	NaN	NaN	NaN
K00387	NaN	NaN	NaN	NaN
K17108	NaN	NaN	NaN	NaN
K00790	NaN	NaN	NaN	NaN
K00075	NaN	NaN	NaN	NaN
K01924	NaN	NaN	NaN	NaN
K01925	NaN	NaN	NaN	NaN
K01929	NaN	NaN	NaN	NaN
K02563	NaN	NaN	NaN	NaN
K01001	NaN	NaN	NaN	NaN
K07432	NaN	NaN	NaN	NaN
K07441	NaN	NaN	NaN	NaN
K03842	NaN	NaN	NaN	NaN
K03843	12.9693	5.43127	499979.86	497512.02
K03844	NaN	NaN	NaN	NaN
K03847	NaN	NaN	NaN	NaN
K03846	NaN	NaN	NaN	NaN
K00729	12.9874	15.1424	229051.45	616302.25
K03849	NaN	NaN	NaN	NaN
K03850	NaN	NaN	NaN	NaN
K00721	24.6792	35.9665	1206370.3	948095.61
K00710	34.63236	23.68885	684794.4	500350.72
K09667	41.4038	57.2697	665855.9	438805.79
K00728	NaN	NaN	NaN	NaN
K03691	9.17255	8.50906	761153.59	729891.61
K13667	10.6113	7.09122	266112.65	130123.1
K03857	NaN	NaN	NaN	NaN
K05284	NaN	NaN	NaN	NaN
K05286	NaN	NaN	NaN	NaN
K07819	NaN	NaN	NaN	NaN
K03877	NaN	NaN	NaN	NaN
K00741	NaN	NaN	NaN	NaN
K07970	NaN	NaN	NaN	NaN
K09664	NaN	NaN	NaN	NaN
K00731	NaN	NaN	NaN	NaN
K09653	NaN	NaN	NaN	NaN
K00718	NaN	NaN	NaN	NaN
K01988	NaN	NaN	NaN	NaN
K00726	NaN	NaN	NaN	NaN
K00736	NaN	NaN	NaN	NaN
K00737	NaN	NaN	NaN	NaN
K00738	NaN	NaN	NaN	NaN
K13748	NaN	NaN	NaN	NaN
K09662	NaN	NaN	NaN	NaN
K00733	NaN	NaN	NaN	NaN
K00734	NaN	NaN	NaN	NaN
K13499	NaN	NaN	NaN	NaN
K02369	NaN	NaN	NaN	NaN
K02370	3.34595	2.78718	4022491.2	7462739.9
K13675	NaN	NaN	NaN	NaN
K00725	NaN	NaN	NaN	NaN
K10967	NaN	NaN	NaN	NaN
K00780	NaN	NaN	NaN	NaN
K03494	NaN	NaN	NaN	NaN
K03792	NaN	NaN	NaN	NaN
K00750	3.06388	1.69931	610674.45	316560.66
K00748	NaN	NaN	NaN	NaN
K02527	NaN	NaN	NaN	NaN
K12338	NaN	NaN	NaN	NaN
K13493	NaN	NaN	NaN	NaN
K13496	NaN	NaN	NaN	NaN
K12356	NaN	NaN	NaN	NaN
K10757	NaN	NaN	NaN	NaN
K09660	10.7759	10.4762	153551.47	178421.22
K02513	3.52216	7.98942	30138.551	123904.26
K09659	NaN	NaN	NaN	NaN
K06316	NaN	NaN	NaN	NaN
K07252	NaN	NaN	NaN	NaN
K01231	8.22309	3.96677	205256.1	99748.006
K05531	NaN	NaN	NaN	NaN
K05532	NaN	NaN	NaN	NaN
K05533	NaN	NaN	NaN	NaN
K01793	NaN	NaN	NaN	NaN
K08107	NaN	NaN	NaN	NaN
K08110	NaN	NaN	NaN	NaN
K04520	NaN	NaN	NaN	NaN
K08122	NaN	NaN	NaN	NaN
K08132	NaN	NaN	NaN	NaN
K08133	NaN	NaN	NaN	NaN
K08134	9.79014	8.40692	6989.7201	48803.739
K03860	NaN	NaN	NaN	NaN
K03434	NaN	NaN	NaN	NaN
K01127	NaN	NaN	NaN	NaN
K07541	NaN	NaN	NaN	NaN
K05285	NaN	NaN	NaN	NaN
K05288	NaN	NaN	NaN	NaN
K05289	12.9997	12.8263	80466.98	36021.894
