Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
MAPPED	-Signaling Molecules and Interaction	10.38	13.09	20.38	11.11	15.32	24.43	36.99	42.36	50.45	40.43	46.67	58.47
Genetic Information Processing	-Signaling Molecules and Interaction	4.078	5.152	7.995	4.802	6.712	10.55	14.43	17.2	20.51	16.14	19.17	23.52
-Transcription	-Signaling Molecules and Interaction	0.4595	0.5783	0.9303	0.4624	0.6331	1.071	1.504	1.88	2.205	1.543	2.036	2.348
-Translation	-Signaling Molecules and Interaction	1.906	2.445	3.716	2.801	3.781	6.013	5.192	5.875	7.073	5.86	6.703	8.381
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	1.174	1.506	2.402	1.089	1.534	2.438	5.472	6.938	8.177	6.072	7.563	9.294
-DNA Maintenance	-Signaling Molecules and Interaction	0.4516	0.593	0.9275	0.4341	0.6586	0.9965	1.625	2.251	2.592	1.774	2.626	3.036
-RNA Family	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signaling Molecules and Interaction	1.111	1.145	1.24	1.1	1.153	1.285	1.204	1.311	1.332	1.271	1.374	1.442
-Signal Transduction	-Signaling Molecules and Interaction	0.1109	0.1447	0.2396	0.09967	0.1534	0.2854	0.2044	0.3113	0.332	0.2706	0.374	0.4417
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1	1	1	1	1	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	0.9967	1.37	2.393	0.9313	1.507	2.628	3.115	4.072	5.481	3.148	4.233	5.725
-Hemoglobin	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Signaling Molecules and Interaction	0.4011	0.4791	0.8443	0.4413	0.6486	1.102	0.6729	0.9005	1.227	0.769	1.201	1.687
-Cytoskeleton	-Signaling Molecules and Interaction	0.328	0.6645	1.064	0.2646	0.6597	1.086	1.253	2.718	3.294	1.008	2.357	2.933
-Cell Motility	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Signaling Molecules and Interaction	0.08175	0.1554	0.2039	0.07688	0.1354	0.2018	0.2671	0.7235	0.8747	0.2871	0.7713	0.9092
-Cell Communication	-Signaling Molecules and Interaction	0.05551	0.07964	0.1234	0.05492	0.07384	0.1261	0.1771	0.2411	0.3295	0.1897	0.2831	0.4172
Metabolism	-Signaling Molecules and Interaction	2.371	3.089	4.375	2.421	3.211	4.547	10.75	12.7	15.66	12.85	15.22	18.59
-Membrane Transport	-Signaling Molecules and Interaction	0.03212	0.06734	0.1064	0.02819	0.07413	0.1095	0.05657	0.1174	0.1879	0.04156	0.1191	0.2312
-Central Carbon Metabolism	-Signaling Molecules and Interaction	0.2099	0.3461	0.5555	0.1843	0.341	0.5015	1.085	2.297	3.173	1.524	2.883	4.255
-Energy Metabolism	-Signaling Molecules and Interaction	0.09956	0.1611	0.308	0.1104	0.1615	0.3777	0.4252	0.7495	1.93	0.6038	1.091	2.243
-Biosynthesis	-Signaling Molecules and Interaction	0.4661	0.6542	0.9975	0.4303	0.697	1.076	1.772	2.605	2.961	1.903	2.853	3.796
-Other Enzymes	-Signaling Molecules and Interaction	1.29	1.516	2.409	1.399	1.706	2.488	4.325	6.991	7.901	5.162	8.964	9.931
Organismal Systems	-Signaling Molecules and Interaction	0.8188	1.08	1.811	0.7717	1.346	2.031	2.117	2.54	3.57	1.816	2.35	3.437
-Immune System	-Signaling Molecules and Interaction	0.4882	0.6386	1.018	0.5333	0.8687	1.255	0.6727	0.8789	0.9755	0.7231	0.9072	0.9828
-Endocrine System	-Signaling Molecules and Interaction	0.06871	0.09854	0.1471	0.06281	0.09517	0.153	0.6379	0.7637	0.8588	0.2887	0.3833	0.4817
-Circulatory System	-Signaling Molecules and Interaction	0.009587	0.02449	0.06019	0.006102	0.02315	0.07679	0.09788	0.1512	0.4554	0.09393	0.1498	0.4855
-Digestive System	-Signaling Molecules and Interaction	0.0398	0.06063	0.08649	0.01723	0.05104	0.08905	0.0208	0.05348	0.1562	0.01996	0.04296	0.1791
-Excretory System	-Signaling Molecules and Interaction	0.03755	0.08502	0.1813	0.04383	0.07746	0.1866	0.07539	0.2966	0.4529	0.09017	0.3352	0.4948
-Nervous System	-Signaling Molecules and Interaction	0.02337	0.1107	0.132	0.01729	0.1002	0.1369	0.02951	0.2648	0.6572	0.03385	0.3059	0.6975
-Sensory System	-Signaling Molecules and Interaction	0	0	0.001728	0	0	0.001683	0	0	0.01911	0	0	0.008372
-Development	-Signaling Molecules and Interaction	0.0334	0.04854	0.07232	0.02898	0.04052	0.0726	0.03209	0.05114	0.07053	0.02869	0.05319	0.0682
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0.01011	0.03271	0	0.01122	0.03982	0	0.02072	0.1086	0	0.01983	0.1047
Human Diseases	-Signaling Molecules and Interaction	0.7285	1.082	2.035	0.7566	1.304	2.568	2.816	4.527	6.222	2.996	5.138	6.983
-Cancers	-Signaling Molecules and Interaction	0.1269	0.1774	0.2191	0.08739	0.1636	0.2222	0.2327	0.3302	0.4903	0.1946	0.4017	0.5177
-Immune System Diseases	-Signaling Molecules and Interaction	0.02316	0.03429	0.05062	0.02864	0.03638	0.06342	0.1128	0.1538	0.2148	0.1048	0.1558	0.2298
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0.2118	0.2799	0.7365	0.2191	0.3342	1.172	1.04	1.611	3.528	1.139	1.664	3.894
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0.01925	0.03197	0.0454	0.01019	0.01709	0.03376	0.1802	0.225	0.2772	0.09657	0.1257	0.2111
-Metabolic Diseases	-Signaling Molecules and Interaction	0	0.005887	0.01784	0	0.006036	0.01869	0	0.0008345	0.3538	0	0.0008734	0.6132
-Infectious Diseases	-Signaling Molecules and Interaction	0.2844	0.5687	0.8057	0.3689	0.721	1.101	0.8937	1.145	2.138	0.985	1.289	2.091
Not Mapped	-Signaling Molecules and Interaction	3.989	5.029	7.831	4.049	5.58	8.902	9.694	11.1	13.22	10.35	11.95	14.97
-Not Mapped	-Signaling Molecules and Interaction	3.989	5.029	7.831	4.049	5.58	8.902	9.694	11.1	13.22	10.35	11.95	14.97
TOTAL	Cellular Processes	11.79	12.62	14.38	12.4	13.24	15.5	10.93	12.44	14.99	11.74	13.75	16.13
MAPPED	Cellular Processes	8.518	9.119	10.39	9.089	9.708	11.36	8.658	9.859	11.87	9.346	10.95	12.84
Genetic Information Processing	Cellular Processes	3.341	3.614	4.149	3.924	4.26	4.975	3.379	3.835	4.71	3.677	4.262	5.126
-Transcription	Cellular Processes	0.3881	0.4308	0.461	0.3952	0.4504	0.4965	0.3165	0.4293	0.6036	0.3353	0.4461	0.5983
-Translation	Cellular Processes	1.553	1.685	1.929	2.237	2.418	2.818	1.185	1.369	1.667	1.31	1.575	1.862
-Folding, Sorting and Degradation	Cellular Processes	0.9921	1.084	1.268	0.8943	0.9895	1.17	1.321	1.538	1.919	1.453	1.748	2.103
-DNA Maintenance	Cellular Processes	0.3872	0.4288	0.4612	0.3793	0.4169	0.4661	0.4178	0.5023	0.6006	0.4746	0.5672	0.641
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.5145	0.8111	1.053	0.4782	0.7134	1.022	0.2197	0.2855	0.4018	0.2276	0.3089	0.4198
-Signal Transduction	Cellular Processes	0.08095	0.1247	0.1532	0.06612	0.1062	0.1408	0.04334	0.06941	0.08669	0.05884	0.08052	0.1093
-Signaling Molecules and Interaction	Cellular Processes	0.4174	0.6971	0.8993	0.372	0.5887	0.8862	0.1647	0.2156	0.3185	0.1563	0.22	0.3056
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1	1	1	1
-Hemoglobin	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Cellular Processes	0.3153	0.3695	0.4125	0.3702	0.4195	0.499	0.1427	0.2239	0.2627	0.1672	0.296	0.3392
-Cytoskeleton	Cellular Processes	0.3291	0.4645	0.4938	0.2842	0.4253	0.4611	0.4022	0.601	0.665	0.3202	0.5113	0.6025
-Cell Motility	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Cellular Processes	0.05874	0.1171	0.1511	0.05154	0.1003	0.1299	0.0576	0.1534	0.2316	0.06316	0.1745	0.2357
-Cell Communication	Cellular Processes	0.03869	0.05345	0.07892	0.03201	0.05243	0.07092	0.03894	0.05732	0.07585	0.04729	0.06569	0.08458
Metabolism	Cellular Processes	1.826	2.124	2.313	1.697	2.13	2.36	2.343	3.078	3.424	2.857	3.842	4.116
-Membrane Transport	Cellular Processes	0.02404	0.04519	0.05984	0.02089	0.04245	0.06018	0.01477	0.02907	0.03984	0.01061	0.03032	0.05026
-Central Carbon Metabolism	Cellular Processes	0.1823	0.234	0.3857	0.1633	0.2026	0.3613	0.2834	0.5225	0.7372	0.3891	0.6651	0.9138
-Energy Metabolism	Cellular Processes	0.06699	0.1237	0.1721	0.06497	0.1265	0.1581	0.09168	0.2167	0.4091	0.1328	0.2838	0.4878
-Biosynthesis	Cellular Processes	0.4045	0.4486	0.5966	0.3991	0.427	0.6288	0.4623	0.5617	0.9148	0.4872	0.6045	1.06
-Other Enzymes	Cellular Processes	1.007	1.115	1.363	0.9254	1.134	1.416	0.9102	1.589	2.044	1.122	2.033	2.371
Organismal Systems	Cellular Processes	0.7071	0.8093	0.9479	0.7728	0.8286	1.034	0.493	0.6794	0.7346	0.4471	0.6003	0.6642
-Immune System	Cellular Processes	0.4106	0.4414	0.6635	0.476	0.532	0.7895	0.1645	0.2051	0.3002	0.1717	0.204	0.298
-Endocrine System	Cellular Processes	0.04494	0.07194	0.09217	0.04164	0.06744	0.07716	0.1424	0.173	0.2089	0.06298	0.08719	0.1171
-Circulatory System	Cellular Processes	0.006999	0.01657	0.0405	0.004048	0.01417	0.04476	0.02424	0.04155	0.09655	0.02401	0.03832	0.1056
-Digestive System	Cellular Processes	0.02786	0.03859	0.06315	0.0185	0.02975	0.03928	0.006202	0.01134	0.03433	0.00634	0.00934	0.04063
-Excretory System	Cellular Processes	0.0252	0.07567	0.08768	0.02509	0.06864	0.08157	0.01587	0.07743	0.09775	0.01959	0.08557	0.1056
-Nervous System	Cellular Processes	0.01387	0.07895	0.09638	0.01188	0.06954	0.0784	0.009473	0.07202	0.1374	0.01075	0.07664	0.1514
-Sensory System	Cellular Processes	0	0	0.001292	0	0	0.00116	0	0	0.004989	0	0	0.001954
-Development	Cellular Processes	0.02694	0.03266	0.0467	0.02361	0.0278	0.03112	0.007907	0.0103	0.01842	0.008353	0.01083	0.01441
-Environmental Adaptation	Cellular Processes	0	0.006337	0.01437	0	0.00495	0.01877	0	0.00598	0.02287	0	0.005671	0.02176
Human Diseases	Cellular Processes	0.5221	0.8504	1.085	0.5298	0.9553	1.307	0.5926	0.8306	1.558	0.6511	0.9803	1.632
-Cancers	Cellular Processes	0.09156	0.1221	0.1481	0.08034	0.09709	0.1295	0.05766	0.0811	0.09908	0.06181	0.08689	0.1027
-Immune System Diseases	Cellular Processes	0.01554	0.02792	0.0399	0.01711	0.02514	0.04701	0.02391	0.03405	0.05275	0.02279	0.03426	0.0577
-Neurodegenerative Diseases	Cellular Processes	0.1422	0.2805	0.3495	0.1314	0.2894	0.5307	0.2657	0.5131	0.7265	0.2911	0.5286	0.8043
-Cardiovascular Diseases	Cellular Processes	0.01335	0.01819	0.03449	0.006505	0.009294	0.02503	0.03844	0.04706	0.08192	0.01965	0.02505	0.06452
-Metabolic Diseases	Cellular Processes	0	0.004594	0.01399	0	0.004604	0.01245	0	0.0001756	0.09237	0	0.0001898	0.1565
-Infectious Diseases	Cellular Processes	0.1914	0.3965	0.4886	0.2172	0.4783	0.5773	0.1628	0.2334	0.6042	0.1613	0.2836	0.5943
Not Mapped	Cellular Processes	3.273	3.504	3.993	3.311	3.537	4.14	2.269	2.583	3.112	2.393	2.804	3.289
-Not Mapped	Cellular Processes	3.273	3.504	3.993	3.311	3.537	4.14	2.269	2.583	3.112	2.393	2.804	3.289
TOTAL	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Hemoglobin	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Hemoglobin	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Development	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Hemoglobin	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
Human Diseases	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Hemoglobin	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Infectious Diseases	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Vesicular Transport	32.49	33.82	38.55	29.58	30.79	35.66	51.01	52.78	69.06	41.89	45.07	66.11
MAPPED	-Vesicular Transport	23.47	24.43	27.85	21.68	22.57	26.14	40.42	41.82	54.72	33.35	35.88	52.64
Genetic Information Processing	-Vesicular Transport	9.324	9.669	11.18	9.363	9.899	11.47	15.45	17.13	22.88	13.52	14.4	22.22
-Transcription	-Vesicular Transport	1.054	1.145	1.207	0.9171	1.028	1.117	1.55	2	2.571	1.204	1.664	2.264
-Translation	-Vesicular Transport	4.357	4.479	5.174	5.337	5.58	6.511	5.613	5.763	7.715	4.796	5.12	7.69
-Folding, Sorting and Degradation	-Vesicular Transport	2.684	2.987	3.33	2.164	2.345	2.591	5.858	7.096	9.562	5.055	5.76	9.173
-DNA Maintenance	-Vesicular Transport	1.048	1.121	1.36	0.9042	0.9703	1.126	1.98	2.094	3.448	1.698	1.846	3.415
-RNA Family	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Vesicular Transport	1.392	2.144	2.676	1.141	1.729	2.286	1.06	1.425	1.769	0.8464	1.132	1.589
-Signal Transduction	-Vesicular Transport	0.2116	0.3104	0.3895	0.1486	0.2541	0.3307	0.2274	0.3038	0.4208	0.2143	0.3122	0.4295
-Signaling Molecules and Interaction	-Vesicular Transport	1.13	1.909	2.286	0.8875	1.49	1.982	0.7948	1.07	1.33	0.5902	0.8237	1.159
Cellular Processes	-Vesicular Transport	2.411	2.614	3.11	1.988	2.247	2.693	3.487	4.125	6.32	2.696	3.261	5.334
-Hemoglobin	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Vesicular Transport	1	1	1	1	1	1	1	1	1	1	1	1
-Cytoskeleton	-Vesicular Transport	0.8178	1.26	1.518	0.5996	0.9639	1.24	1.483	2.594	3.989	0.904	1.731	3.032
-Cell Motility	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Vesicular Transport	0.159	0.3245	0.4282	0.1229	0.2172	0.3111	0.2376	0.7948	1.075	0.2029	0.6333	0.943
-Cell Communication	-Vesicular Transport	0.1216	0.1662	0.2135	0.08646	0.1332	0.1673	0.1967	0.273	0.3208	0.1562	0.2473	0.3374
Metabolism	-Vesicular Transport	4.942	5.537	6.607	4.043	4.785	5.783	10.46	13.25	17.35	9.653	12.3	18.01
-Membrane Transport	-Vesicular Transport	0.05798	0.1405	0.1669	0.04153	0.1111	0.1402	0.06055	0.1352	0.1754	0.0346	0.1025	0.1656
-Central Carbon Metabolism	-Vesicular Transport	0.4657	0.6579	0.9584	0.3614	0.4551	0.7624	1.162	2.522	3.6	1.269	2.522	4.314
-Energy Metabolism	-Vesicular Transport	0.1868	0.3075	0.546	0.1609	0.2658	0.4272	0.3782	0.9555	2.868	0.4268	0.9502	2.918
-Biosynthesis	-Vesicular Transport	1.095	1.249	1.664	0.955	0.9751	1.557	2.207	2.465	3.375	1.821	2.069	3.137
-Other Enzymes	-Vesicular Transport	2.688	3.148	3.559	2.207	2.63	3.355	4.702	6.131	9.659	4.011	5.984	10.03
Organismal Systems	-Vesicular Transport	1.994	2.08	2.499	1.671	1.929	2.187	2.26	2.879	3.775	1.409	2.028	2.827
-Immune System	-Vesicular Transport	1.116	1.247	1.608	1.069	1.208	1.6	0.7201	1.04	1.21	0.58	0.8034	1.18
-Endocrine System	-Vesicular Transport	0.1216	0.1881	0.2314	0.09928	0.1461	0.1824	0.6357	0.7884	1.061	0.2128	0.3157	0.5215
-Circulatory System	-Vesicular Transport	0.0183	0.04118	0.1129	0.009095	0.0299	0.1209	0.1197	0.1714	0.4971	0.08482	0.1231	0.3846
-Digestive System	-Vesicular Transport	0.07185	0.09809	0.1651	0.03903	0.07873	0.09422	0.0259	0.05756	0.1389	0.0191	0.03971	0.1266
-Excretory System	-Vesicular Transport	0.07837	0.1944	0.2445	0.06757	0.1536	0.202	0.1003	0.3174	0.4472	0.1045	0.2791	0.3519
-Nervous System	-Vesicular Transport	0.03932	0.2359	0.252	0.02833	0.1592	0.1905	0.03675	0.3936	0.5751	0.0324	0.3979	0.4938
-Sensory System	-Vesicular Transport	0	0	0.003299	0	0	0.002595	0	0	0.02045	0	0	0.008402
-Development	-Vesicular Transport	0.07574	0.08879	0.1324	0.05225	0.06358	0.07678	0.03353	0.04826	0.0755	0.02746	0.04456	0.05228
-Environmental Adaptation	-Vesicular Transport	0	0.01715	0.04469	0	0.0118	0.05055	0	0.02642	0.1112	0	0.01916	0.08713
Human Diseases	-Vesicular Transport	1.456	2.41	2.869	1.312	2.279	2.919	2.879	3.879	6.728	2.474	3.473	5.752
-Cancers	-Vesicular Transport	0.2595	0.3162	0.4486	0.1917	0.2211	0.3019	0.2635	0.3504	0.5609	0.1862	0.3069	0.4635
-Immune System Diseases	-Vesicular Transport	0.04822	0.07105	0.09915	0.04238	0.05727	0.09345	0.1231	0.1676	0.2675	0.1077	0.1294	0.2317
-Neurodegenerative Diseases	-Vesicular Transport	0.4422	0.6971	1.065	0.3539	0.6107	1.272	1.113	2.006	3.836	0.9928	1.593	3.208
-Cardiovascular Diseases	-Vesicular Transport	0.03612	0.05179	0.08571	0.01519	0.02392	0.04975	0.1851	0.2103	0.3178	0.07452	0.09315	0.1894
-Metabolic Diseases	-Vesicular Transport	0	0.01254	0.03945	0	0.0107	0.02943	0	0.0008302	0.3787	0	0.0006414	0.5105
-Infectious Diseases	-Vesicular Transport	0.5337	1.016	1.258	0.5379	1.065	1.39	0.7856	1.233	2.115	0.6115	1.269	1.661
Not Mapped	-Vesicular Transport	9.017	9.387	10.7	7.9	8.222	9.524	10.59	10.96	14.34	8.538	9.186	13.48
-Not Mapped	-Vesicular Transport	9.017	9.387	10.7	7.9	8.222	9.524	10.59	10.96	14.34	8.538	9.186	13.48
TOTAL	-Cytoskeleton	24.19	26.02	38.07	27.27	30.21	49.04	17.31	19.67	37.26	21.8	25.04	50.39
MAPPED	-Cytoskeleton	17.47	18.8	27.5	19.99	22.14	35.94	13.72	15.59	29.52	17.36	19.94	40.12
Genetic Information Processing	-Cytoskeleton	6.834	7.516	10.98	8.627	9.663	15.75	5.317	6.259	11.71	6.712	8.11	16.01
-Transcription	-Cytoskeleton	0.7949	0.8746	1.206	0.858	0.9791	1.5	0.5014	0.7559	1.462	0.5898	0.874	1.855
-Translation	-Cytoskeleton	3.224	3.473	5.041	4.952	5.482	8.872	1.934	2.155	4.143	2.536	2.864	5.814
-Folding, Sorting and Degradation	-Cytoskeleton	1.985	2.258	3.441	1.929	2.245	3.848	1.986	2.437	4.605	2.47	3.097	6.115
-DNA Maintenance	-Cytoskeleton	0.7856	0.8899	1.286	0.8225	0.946	1.546	0.7356	0.8021	1.357	0.9345	1.056	1.76
-RNA Family	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Cytoskeleton	1.044	1.672	2.444	1.063	1.549	2.754	0.384	0.4539	0.9611	0.4522	0.57	1.252
-Signal Transduction	-Cytoskeleton	0.1669	0.285	0.3724	0.1491	0.2628	0.4071	0.06517	0.1111	0.2008	0.0963	0.1673	0.3402
-Signaling Molecules and Interaction	-Cytoskeleton	0.8471	1.375	2.135	0.8254	1.278	2.371	0.2962	0.3428	0.749	0.3332	0.3954	0.9111
Cellular Processes	-Cytoskeleton	1.891	2.061	2.714	2.01	2.285	3.166	1.486	1.661	2.352	1.637	1.952	2.982
-Hemoglobin	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Cytoskeleton	0.5961	0.7885	1.126	0.7443	1.017	1.593	0.2145	0.3727	0.6409	0.2737	0.5621	1.037
-Cytoskeleton	-Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
-Cell Motility	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Cytoskeleton	0.1192	0.2215	0.3784	0.1118	0.2017	0.357	0.09158	0.2307	0.5445	0.1135	0.2856	0.7027
-Cell Communication	-Cytoskeleton	0.07316	0.1243	0.21	0.06434	0.14	0.2164	0.05856	0.113	0.1462	0.07739	0.139	0.1949
Metabolism	-Cytoskeleton	3.706	4.366	6.277	3.753	4.867	7.472	3.899	5.006	8.053	5.577	6.952	12.27
-Membrane Transport	-Cytoskeleton	0.0641	0.09257	0.1402	0.05967	0.09214	0.1283	0.02453	0.05435	0.0676	0.02075	0.06075	0.09261
-Central Carbon Metabolism	-Cytoskeleton	0.3699	0.4879	0.9171	0.3767	0.4617	1.182	0.4707	0.9397	1.269	0.761	1.418	1.86
-Energy Metabolism	-Cytoskeleton	0.1357	0.3218	0.4234	0.1411	0.3179	0.4476	0.1458	0.4748	0.7484	0.2387	0.6956	1.004
-Biosynthesis	-Cytoskeleton	0.7953	0.9658	1.421	0.8209	0.9907	1.626	0.7221	0.8932	1.982	0.8928	1.16	2.774
-Other Enzymes	-Cytoskeleton	2.073	2.563	3.026	2.12	2.995	3.516	1.442	2.677	4.089	1.973	3.561	6.062
Organismal Systems	-Cytoskeleton	1.375	1.639	2.496	1.585	1.842	2.916	0.781	1.11	1.689	0.7865	1.196	1.801
-Immune System	-Cytoskeleton	0.7764	0.91	1.543	1.035	1.211	2.015	0.2595	0.3047	0.7059	0.3123	0.361	0.8886
-Endocrine System	-Cytoskeleton	0.0912	0.1524	0.2094	0.09031	0.1515	0.2373	0.2369	0.266	0.509	0.1225	0.1664	0.2979
-Circulatory System	-Cytoskeleton	0.01443	0.05036	0.08201	0.00925	0.04986	0.08997	0.03601	0.06815	0.1528	0.03986	0.0753	0.1728
