Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
Organismal Systems	TOTAL	0.05573	0.0625	0.07167	0.05089	0.06045	0.07041	0.04376	0.04808	0.05607	0.03365	0.03849	0.04745
-Immune System	TOTAL	0.0321	0.03525	0.04612	0.03517	0.0387	0.05152	0.01412	0.01549	0.01902	0.01338	0.01436	0.01833
-Endocrine System	TOTAL	0.003744	0.0057	0.006571	0.003257	0.004938	0.005574	0.01226	0.01376	0.01536	0.00491	0.006185	0.008132
-Circulatory System	TOTAL	0.0005545	0.001124	0.003322	0.0003062	0.0008702	0.003299	0.001831	0.002965	0.008207	0.001602	0.002626	0.007729
-Digestive System	TOTAL	0.002125	0.002985	0.005003	0.001136	0.002208	0.002929	0.0004454	0.0009638	0.002693	0.000393	0.0006838	0.002809
-Excretory System	TOTAL	0.002033	0.005916	0.007114	0.001895	0.004997	0.006281	0.001452	0.006223	0.007384	0.001581	0.006221	0.007049
-Nervous System	TOTAL	0.001177	0.006475	0.007474	0.0009577	0.005199	0.005729	0.0006321	0.004778	0.01109	0.0006665	0.00487	0.01102
-Sensory System	TOTAL	0	0	9.997e-05	0	0	8.444e-05	0	0	0.000401	0	0	0.0001333
-Development	TOTAL	0.002174	0.002625	0.003504	0.001697	0.002024	0.002374	0.0006492	0.000806	0.00148	0.0005649	0.0009146	0.001027
-Environmental Adaptation	TOTAL	0	0.0005279	0.001159	0	0.0003872	0.001417	0	0.0003876	0.002091	0	0.0003384	0.001756
Human Diseases	TOTAL	0.04282	0.07213	0.08229	0.04079	0.06871	0.08868	0.05424	0.07292	0.104	0.05253	0.07516	0.1022
-Cancers	TOTAL	0.007766	0.009115	0.0112	0.005763	0.007255	0.009547	0.004985	0.005976	0.007701	0.003831	0.006853	0.007768
-Immune System Diseases	TOTAL	0.001254	0.001941	0.002707	0.001317	0.001772	0.003035	0.002032	0.002743	0.003925	0.001669	0.002662	0.00385
-Neurodegenerative Diseases	TOTAL	0.01147	0.01903	0.02796	0.009924	0.01778	0.03583	0.02051	0.03451	0.06255	0.01942	0.03276	0.0627
-Cardiovascular Diseases	TOTAL	0.001112	0.001492	0.002423	0.0005088	0.0007156	0.001616	0.003515	0.003589	0.005493	0.001674	0.001746	0.003897
-Metabolic Diseases	TOTAL	0	0.0003707	0.0009724	0	0.0003477	0.0008031	0	1.607e-05	0.007424	0	1.531e-05	0.01138
-Infectious Diseases	TOTAL	0.0157	0.02996	0.03547	0.01672	0.03495	0.03799	0.01489	0.01867	0.04096	0.01374	0.02022	0.03966
Not Mapped	TOTAL	0.2776	0.2776	0.2776	0.267	0.267	0.267	0.2076	0.2076	0.2076	0.2038	0.2038	0.2038
-Not Mapped	TOTAL	0.2776	0.2776	0.2776	0.267	0.267	0.267	0.2076	0.2076	0.2076	0.2038	0.2038	0.2038
TOTAL	MAPPED	1.384	1.384	1.384	1.364	1.364	1.364	1.262	1.262	1.262	1.256	1.256	1.256
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3911	0.3936	0.4014	0.4316	0.4325	0.4388	0.3793	0.3967	0.4167	0.3771	0.3935	0.4173
-Transcription	MAPPED	0.04328	0.04564	0.04889	0.04072	0.04382	0.04614	0.03655	0.04761	0.04954	0.03398	0.0431	0.04658
-Translation	MAPPED	0.1823	0.1847	0.1869	0.2461	0.2478	0.2498	0.1367	0.1392	0.141	0.1402	0.1438	0.1461
-Folding, Sorting and Degradation	MAPPED	0.1126	0.1178	0.1251	0.09395	0.0998	0.1067	0.1417	0.1554	0.1777	0.1388	0.1555	0.1788
-DNA Maintenance	MAPPED	0.04254	0.0464	0.0481	0.03906	0.04173	0.04387	0.04393	0.04899	0.05827	0.04388	0.05078	0.05664
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.05932	0.08742	0.1073	0.05233	0.07348	0.1015	0.02535	0.02882	0.03383	0.02436	0.0284	0.03321
-Signal Transduction	MAPPED	0.008878	0.012	0.01641	0.006824	0.01133	0.0135	0.004649	0.006802	0.008017	0.005411	0.00816	0.008702
-Signaling Molecules and Interaction	MAPPED	0.04813	0.07543	0.0942	0.04062	0.06185	0.08802	0.01901	0.02284	0.02648	0.01673	0.02089	0.02331
Cellular Processes	MAPPED	0.0939	0.1082	0.1153	0.0838	0.1006	0.1067	0.07854	0.1009	0.1154	0.07278	0.08956	0.1013
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0.03412	0.04071	0.04213	0.03723	0.04392	0.04594	0.0153	0.02253	0.02447	0.01537	0.027	0.02898
-Cytoskeleton	MAPPED	0.0309	0.05219	0.05682	0.02381	0.04445	0.04921	0.0334	0.06348	0.07134	0.02441	0.04983	0.05618
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
