Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8025	0.8025	0.8025	0.9254	0.9254	0.9254	0.849	0.849	0.849	0.8927	0.8927	0.8927	0.8283	0.8283	0.8283	0.826	0.826	0.826	0.7924	0.7924	0.7924	0.7962	0.7962	0.7962	0.8026	0.8026	0.8026	0.7942	0.7942	0.7942	0.7871	0.7871	0.7871	0.8947	0.8947	0.8947
Genetic Information Processing	TOTAL	0.2358	0.2639	0.2952	0.469	0.4744	0.4798	0.4289	0.4347	0.4384	0.3836	0.3898	0.3965	0.3863	0.397	0.4083	0.3485	0.3599	0.3702	0.3138	0.3279	0.3397	0.3144	0.3293	0.3402	0.3869	0.4095	0.4313	0.3757	0.391	0.4113	0.2837	0.2976	0.3102	0.3417	0.3639	0.3836
-Transcription	TOTAL	0.003302	0.006048	0.01177	0.04174	0.04362	0.04634	0.002681	0.003686	0.004607	0.001782	0.002507	0.003476	0.004546	0.005867	0.008065	0.004075	0.00523	0.007315	0.03056	0.03387	0.03949	0.02882	0.03275	0.03674	0.03487	0.03643	0.03916	0.02989	0.03133	0.03404	0.02914	0.03035	0.03224	0.03127	0.03285	0.03965
-Translation	TOTAL	0.1447	0.1462	0.148	0.3624	0.3636	0.3652	0.3331	0.3353	0.3369	0.2704	0.2728	0.2756	0.2894	0.2928	0.2954	0.2613	0.2641	0.2663	0.1175	0.1193	0.1209	0.1195	0.1213	0.1228	0.2026	0.2074	0.2097	0.1888	0.1934	0.1955	0.1065	0.1102	0.1147	0.1742	0.1761	0.1776
-Folding, Sorting and Degradation	TOTAL	0.04912	0.07537	0.112	0.0423	0.04623	0.05051	0.079	0.08331	0.08744	0.1017	0.1084	0.1148	0.07333	0.08304	0.09027	0.06459	0.07407	0.08109	0.1194	0.1323	0.1435	0.1188	0.1313	0.1429	0.08746	0.09555	0.1022	0.09657	0.1036	0.1103	0.0995	0.1111	0.1243	0.09581	0.1146	0.1288
-DNA Maintenance	TOTAL	0.02066	0.02903	0.03882	0.01869	0.02061	0.02265	0.01064	0.0119	0.01278	0.00473	0.005648	0.00665	0.01007	0.01596	0.02342	0.009189	0.01619	0.02518	0.03591	0.04235	0.04654	0.0369	0.04266	0.04702	0.05091	0.06886	0.09096	0.0488	0.06467	0.08038	0.04058	0.04459	0.04927	0.02905	0.04069	0.05087
-RNA Family	TOTAL	0	0	0	4.298e-10	5.731e-10	7.163e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.006342	0.006342	0.007241	0.006544	0.007087	0.008109	0.008866	0.009508	0.01137	0.007277	0.008121	0.009232	0.007152	0.007688	0.008755	0.005327	0.005896	0.006934	0.01994	0.02247	0.02652	0.01891	0.0218	0.02575	0.02394	0.0279	0.03367	0.02844	0.03226	0.03792	0.02011	0.024	0.02903	0.03638	0.04596	0.05068
