Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Signal Transduction	TOTAL	0	0	0.001027	0.004606	0.005385	0.006183	0.001191	0.002024	0.003225	0.0009188	0.001854	0.002972	0.002058	0.00264	0.003766	0.001754	0.002343	0.003289	0.003633	0.005569	0.008222	0.004094	0.006175	0.00953	0.004135	0.006656	0.01006	0.004592	0.007212	0.009735	0.003982	0.005875	0.007841	0.00232	0.008219	0.01047
-Signaling Molecules and Interaction	TOTAL	0.005774	0.005774	0.005774	1.051e-10	1.051e-10	0.0001792	0.00546	0.005586	0.00668	0.004374	0.004445	0.005066	0.002439	0.002605	0.002937	0.002079	0.00224	0.002393	0.01125	0.01336	0.01603	0.01034	0.01177	0.01413	0.01471	0.01769	0.02115	0.01565	0.01827	0.02071	0.009397	0.01181	0.01416	0.01675	0.01854	0.02026
Cellular Processes	TOTAL	0.03905	0.04259	0.04362	0.005503	0.006888	0.01084	0.01303	0.01512	0.01789	0.01325	0.01466	0.01848	0.02522	0.03069	0.03514	0.02443	0.02885	0.03332	0.08562	0.09657	0.1057	0.07864	0.08804	0.09718	0.1225	0.1286	0.1349	0.1499	0.1633	0.1708	0.2398	0.2833	0.3034	0.1787	0.1901	0.2082
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.798e-07	7.798e-07	1.653e-06	2.605e-06	2.605e-06	2.637e-06	0	0	0	5.775e-06	5.775e-06	1.539e-05
-Vesicular Transport	TOTAL	0	0	0	0	0	2.626e-11	0.001801	0.003005	0.005455	0.001341	0.002622	0.006252	0.002398	0.004689	0.006979	0.002446	0.004414	0.006925	0.01556	0.01868	0.02201	0.01582	0.01961	0.02278	0.00934	0.01364	0.01686	0.01122	0.01514	0.01922	0.006622	0.01312	0.02459	0.005478	0.01565	0.02105
-Cytoskeleton	TOTAL	0.01707	0.02061	0.02061	0.003272	0.003272	0.003272	0.002925	0.003026	0.003116	0.005042	0.00541	0.005697	0.001253	0.001637	0.002423	0.001342	0.001743	0.002496	0.04013	0.04865	0.05852	0.03258	0.04011	0.0496	0.08753	0.09059	0.09584	0.1054	0.1104	0.1221	0.1945	0.2056	0.2482	0.1451	0.1543	0.1659
-Cell Motility	TOTAL	0	0	0	1.313e-09	0.001385	0.005333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02198	0.02198	0.02301	0.002029	0.002252	0.003057	0.007422	0.008415	0.009574	0.006118	0.006515	0.006959	0.02011	0.0259	0.02675	0.01911	0.02376	0.02473	0.0126	0.01493	0.0172	0.01234	0.01485	0.01783	0.01003	0.01194	0.01527	0.0118	0.01382	0.01636	0.009214	0.01089	0.0235	0.01011	0.01174	0.01461
-Cell Communication	TOTAL	0	0	0	0	0	0	0	0.0001065	0.0004851	0	0.0001184	0.0003791	0	0.0001022	0.0006383	0	0.000123	0.0006633	0.008405	0.01004	0.01833	0.008104	0.01004	0.01892	0.009628	0.01103	0.01468	0.01446	0.0164	0.02832	0.01744	0.01978	0.06332	0.008568	0.009986	0.01715
Metabolism	TOTAL	0.4466	0.4681	0.4842	0.5672	0.5762	0.5842	0.4582	0.4647	0.4714	0.5383	0.5447	0.5506	0.4458	0.4525	0.459	0.4923	0.5018	0.5082	0.2472	0.2579	0.2752	0.2726	0.2829	0.2988	0.1958	0.2024	0.2087	0.1838	0.1901	0.1955	0.1943	0.2072	0.2195	0.2559	0.2663	0.2768
