Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Cancers	-DNA Maintenance	0	0	0.07552	0	1.227e-09	0.005037	0.009936	0.04021	0.07152	0.01423	0.1083	0.2721	0.004203	0.02507	0.05159	0.004878	0.02281	0.05137	0.08539	0.1499	0.2195	0.08581	0.1434	0.213	0.08092	0.119	0.1532	0.08635	0.1249	0.1589	0.05122	0.09154	0.141	0.06127	0.0888	0.1176
-Immune System Diseases	-DNA Maintenance	0	0	0	0	1.134e-09	0.005185	0.004132	0.01785	0.108	0.009335	0.07383	0.2409	0.03166	0.1867	0.3515	0.03616	0.2116	0.4295	0.03739	0.05724	0.09075	0.0323	0.04795	0.08356	0.08629	0.2092	0.3774	0.07214	0.179	0.2828	0.009806	0.02014	0.03121	0.03242	0.172	0.2955
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0	0	0.141	0.3415	0.8054	0.296	0.7165	1.43	0.09467	0.2868	0.5648	0.1824	0.3913	0.7255	0.2315	0.5055	0.7336	0.2278	0.4508	0.6314	0.2049	0.2899	0.405	0.1665	0.2535	0.3555	0.1348	0.2763	0.471	0.1142	0.2192	0.32
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0.007082	0	0	0.0407	0	0	0.007038	0	0	0.009179	0.01719	0.1261	0.3081	0.0192	0.06802	0.248	0.04467	0.1188	0.1876	0.02772	0.0776	0.3124	0.05271	0.1525	0.9914	0.009769	0.09921	0.316
-Metabolic Diseases	-DNA Maintenance	0	0	1.512	0	0	0.3383	0	0	0.1404	0	0	0.6594	0	0	0	0	0	0	0	0	0.08854	0	0	0.1496	6.792e-05	0.0003668	0.09782	9.544e-06	0.0001657	0.09562	8.537e-17	0.000338	0.3331	0	6.248e-12	0.271
-Infectious Diseases	-DNA Maintenance	0	0.01673	1.913	0.01238	0.1792	0.6689	0.09728	0.2751	0.4812	0.2161	0.7859	1.723	0.118	0.2616	0.4687	0.112	0.2436	0.4563	0.3112	0.4389	0.6276	0.3073	0.4569	0.634	0.173	0.274	0.3958	0.2037	0.3046	0.4218	0.1691	0.3358	0.6636	0.2	0.4478	0.7453
Not Mapped	-DNA Maintenance	3.038	4.703	6.49	4.102	6.244	7.356	7.188	8.065	8.962	9.111	10.47	11.79	6.742	9.206	12.91	6.691	9.702	13.68	3.315	3.54	3.923	3.103	3.374	3.76	3.062	3.5	4.137	3.302	3.689	4.204	1.996	2.513	3.318	2.567	2.881	3.304
-Not Mapped	-DNA Maintenance	3.038	4.703	6.49	4.102	6.244	7.356	7.188	8.065	8.962	9.111	10.47	11.79	6.742	9.206	12.91	6.691	9.702	13.68	3.315	3.54	3.923	3.103	3.374	3.76	3.062	3.5	4.137	3.302	3.689	4.204	1.996	2.513	3.318	2.567	2.881	3.304
TOTAL	-RNA Family	Inf	Inf	Inf	2.538e+09	3.173e+09	4.23e+09	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	2.304e+09	2.881e+09	3.841e+09	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	7.731e+08	9.841e+08	1.282e+09	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	44220000	61890000	85680000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	5.644e+08	7.058e+08	9.449e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	1.319e+08	1.629e+08	2.185e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	34570000	50090000	73800000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	1	1	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	12750000	16480000	22710000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	NaN	NaN	12750000	16430000	22710000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	0.2667	0.3333	454900	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	16120000	22060000	37000000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Hemoglobin	-RNA Family	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN	Inf	Inf	Inf
-Vesicular Transport	-RNA Family	NaN	NaN	NaN	0	0	0.06667	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	8304000	10380000	13840000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	3.929	3766000	16920000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	5717000	7765000	11640000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	1.461e+09	1.818e+09	2.413e+09	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	1.562e+08	2.002e+08	2.516e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	2.982e+08	3.778e+08	5.281e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	53740000	92140000	1.34e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	4.799e+08	5.962e+08	7.561e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	4.098e+08	5.33e+08	7.45e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	NaN	NaN	NaN	0	0.07692	207700	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	NaN	NaN	NaN	0	0	207700	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	NaN	NaN	NaN	0	0	0.07692	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	NaN	NaN	NaN	0	0	0.07143	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Development	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	NaN	1060000	16950000	37180000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	NaN	NaN	0	0.07143	225600	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	NaN	NaN	NaN	0	0.06667	250300	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	NaN	NaN	NaN	0	0	0	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	Inf	NaN	NaN	0	0	16040000	Inf	NaN	NaN	Inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	NaN	796600	8829000	27140000	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	2.338e+08	2.922e+08	3.896e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	2.338e+08	2.922e+08	3.896e+08	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	147	173.2	173.2	160.9	185.6	215.7	107.9	125.9	142.2	132	156.8	187.2	156.2	189	209.6	180.9	219.5	247.8	43.77	52.99	62.95	43.93	54.87	64.94	33.21	40.46	47.73	33.05	39.52	45.49	46.23	56.51	66.24	33.83	39.11	48.77
MAPPED	Environmental Information Processing	120.6	142	142	146.1	168.5	195.9	94.35	110.1	124.4	121.5	144.4	172.4	133.4	161.4	179.1	154.8	187.9	212.1	36.03	43.62	51.82	36.39	45.45	53.79	26.93	32.8	38.69	26.74	31.98	36.81	40.16	49.09	57.54	30.32	35.05	43.71
Genetic Information Processing	Environmental Information Processing	34.99	43.92	51.43	49.84	58.55	67.34	39.47	46.74	52.91	44.02	52.56	62.45	54.8	65.91	73.34	54.86	66.48	76.05	14.8	18.34	21.79	14.97	18.19	22.1	12.34	14.9	17.84	11.51	13.6	15.95	12.45	15.36	18.83	11.41	13.75	17
-Transcription	Environmental Information Processing	0.6147	1.533	4.141	2.733	3.6	4.912	0.3806	0.5809	1.211	0.3119	0.5031	0.7206	0.7287	1.191	1.729	0.7178	1.205	1.735	1.715	2.172	2.496	1.682	2.118	2.478	1.421	1.705	2.007	1.134	1.353	1.529	1.538	1.861	2.23	1.192	1.453	1.81
-Translation	Environmental Information Processing	17.96	21.06	21.5	35.99	41.38	48.17	25.45	29.86	33.98	26.67	31.93	37.8	35.12	43.16	47.56	34.87	42.74	48.04	4.82	5.818	6.98	4.699	5.802	7.003	5.096	6.224	7.478	4.537	5.474	6.458	3.346	4.213	5.234	4.661	5.421	6.831
-Folding, Sorting and Degradation	Environmental Information Processing	6.413	13.59	22.1	8.339	9.843	11.69	11.57	14.08	16.21	15.78	18.68	22.27	15.32	18.81	21.09	14.84	19.16	22.04	6.172	7.641	9.216	6.114	7.666	9.423	3.893	4.811	5.868	4.104	4.777	5.757	4.879	6.299	7.599	4.372	5.415	6.827
-DNA Maintenance	Environmental Information Processing	4.282	6.478	9.432	2.263	2.969	4.192	1.605	1.956	2.295	0.9834	1.173	1.398	2.124	2.906	4.117	2.276	3.246	4.87	2.028	2.6	3.088	2.144	2.75	3.299	1.765	2.199	2.646	1.671	2.009	2.421	2.12	2.845	3.787	1.18	1.449	1.771
-RNA Family	Environmental Information Processing	0	0	0	4.386e-08	6.025e-08	7.659e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0	0	0.151	0.9685	1	1	0.1673	0.2629	0.3515	0.1725	0.2808	0.4004	0.4168	0.5083	0.5973	0.4228	0.5136	0.6041	0.2151	0.2959	0.3749	0.2593	0.3445	0.4239	0.1839	0.2725	0.3741	0.2038	0.2755	0.367	0.2437	0.3332	0.4168	0.1147	0.2832	0.3665
-Signaling Molecules and Interaction	Environmental Information Processing	0.849	1	1	1.699e-08	1.968e-08	0.02959	0.6482	0.7311	0.8264	0.5993	0.7183	0.8254	0.3989	0.4913	0.582	0.3949	0.4863	0.5757	0.6158	0.7039	0.7821	0.5483	0.6551	0.7404	0.623	0.7256	0.8093	0.6291	0.7233	0.7956	0.5808	0.6652	0.7541	0.6332	0.7069	0.8847
Cellular Processes	Environmental Information Processing	5.865	6.815	7.554	0.9484	1.369	2.089	1.463	1.915	2.311	1.894	2.377	3.073	4.189	5.624	6.744	4.728	6.249	7.5	3.976	4.992	6.058	3.669	4.837	5.965	4.126	5.233	6.294	5.3	6.254	7.664	12.12	15.41	19.1	6.128	7.886	9.939
-Hemoglobin	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.693e-05	3.421e-05	7.438e-05	8.607e-05	0.0001029	0.0001192	0	0	0	0.0001981	0.0002668	0.0006798
-Vesicular Transport	Environmental Information Processing	0	0	0	0	0	3.962e-09	0.2213	0.3932	0.7111	0.2044	0.4358	0.93	0.4417	0.7803	1.342	0.5317	0.9212	1.569	0.7235	0.9717	1.292	0.7506	1.029	1.406	0.3596	0.5413	0.7414	0.4078	0.5751	0.8283	0.3431	0.7356	1.432	0.2015	0.5824	0.9565
-Cytoskeleton	Environmental Information Processing	2.738	2.956	3.57	0.5265	0.607	0.7058	0.3227	0.3793	0.4484	0.7029	0.8345	1.007	0.222	0.3046	0.4732	0.282	0.3711	0.5741	2.056	2.585	3.156	1.689	2.149	2.762	2.987	3.728	4.472	3.718	4.454	5.254	9.631	11.95	15.09	5.01	6.249	7.937
-Cell Motility	Environmental Information Processing	0	0	0	2.27e-07	0.2524	0.9719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	3.232	3.807	3.984	0.3568	0.4492	0.6227	0.8599	1.056	1.281	0.8457	1.013	1.227	3.286	4.415	5.262	3.655	4.785	5.801	0.5789	0.7847	1.026	0.5888	0.8078	1.068	0.3574	0.4892	0.6509	0.4249	0.5487	0.7005	0.4741	0.6184	1.381	0.3697	0.4873	0.6679
-Cell Communication	Environmental Information Processing	0	0	0	0	0	0	0	0.0127	0.06767	0	0.01838	0.06341	0	0.02011	0.1237	0	0.02731	0.1595	0.4021	0.5659	1.052	0.4044	0.5968	1.098	0.3502	0.4666	0.6386	0.5231	0.6699	1.167	0.9038	1.167	3.794	0.3091	0.433	0.7416
Metabolism	Environmental Information Processing	66.08	78.15	83.57	92.38	107.1	124.7	50.31	58.5	66.48	72.24	85.2	101.8	70.58	85.24	93.74	90.74	110.4	123.2	11.07	13.85	16.3	12.3	15.6	19.1	6.717	8.201	9.889	6.306	7.414	8.81	9.245	11.73	13.58	9.153	10.62	12.82
-Membrane Transport	Environmental Information Processing	3.895	7.075	8.133	9.802	11.91	13.48	0.9593	1.096	1.274	0.5201	0.6387	0.7765	1.383	2.015	2.86	0.9577	1.517	2.36	0.08222	0.1274	0.1776	0.07005	0.1076	0.1486	0.09532	0.1194	0.1565	0.05713	0.07792	0.1056	0.06214	0.07453	0.09478	0.0148	0.02679	0.03704
-Central Carbon Metabolism	Environmental Information Processing	20.52	25.76	31.18	18.88	22.92	26.81	14.08	17.35	21.26	17.49	22.22	27.99	21.16	28.73	35.54	21.74	29.99	38.81	3.348	4.311	5.536	4.015	5.18	6.762	1.49	1.933	2.433	1.575	1.921	2.339	3.037	3.733	4.649	3.967	4.979	6.496
-Energy Metabolism	Environmental Information Processing	1.016	6.546	10.07	3.402	5.875	7.595	1.51	3.17	5.968	3.009	5.582	8.987	2.167	3.933	8.635	2.431	4.397	9.895	0.3674	0.7426	1.666	0.3943	0.8154	1.69	0.2791	0.4658	0.6981	0.2114	0.3308	0.5216	0.1538	0.2928	0.6789	0.07742	0.3678	1.115
-Biosynthesis	Environmental Information Processing	10.13	13.79	18.18	28.52	35.56	43.75	13.02	16.28	19.79	20.11	26.77	33.96	19.08	22.56	26.26	27.8	35.07	41.36	1.918	2.387	2.987	2.048	2.635	3.404	1.674	2.033	2.575	1.453	1.754	2.125	2.193	2.859	3.644	0.9828	1.724	2.243
-Other Enzymes	Environmental Information Processing	18.02	23.75	31.47	25.98	31.75	39.01	16.29	19.67	25.04	21.91	28.74	37.62	17.84	25.85	31.02	25.72	36.74	44.59	4.744	5.872	7.158	5.041	6.607	8.195	2.981	3.644	4.501	2.734	3.303	4.046	3.432	4.384	5.552	2.549	3.437	4.777
Organismal Systems	Environmental Information Processing	0	0	0	0	4.426e-09	0.01259	0.1464	0.3615	0.7004	0.1432	0.3805	0.8956	0.2536	0.53	0.9261	0.2963	0.6348	1.198	1.555	2.023	2.446	1.508	1.938	2.51	0.867	1.131	1.556	0.9853	1.225	1.592	1.023	1.53	2.427	0.6581	1.003	1.513
-Immune System	Environmental Information Processing	0	0	0	0	0	0	0.03014	0.1243	0.2419	0.03466	0.1564	0.3246	0.06014	0.1626	0.2693	0.07831	0.1872	0.3387	0.6932	0.9579	1.22	0.7159	1.02	1.357	0.2151	0.3253	0.5203	0.2262	0.3273	0.5119	0.2488	0.4775	0.8169	0.1483	0.2581	0.7614
-Endocrine System	Environmental Information Processing	0	0	0	0	0	0	0.0004014	0.008961	0.02939	0.0003464	0.0102	0.05922	0	0.01313	0.08482	0	0.01298	0.1092	0.2562	0.3553	0.4636	0.1445	0.2683	0.3726	0.07985	0.1075	0.3925	0.1068	0.1369	0.3699	0.05097	0.08132	1.089	0.09944	0.1345	0.236
-Circulatory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0.004395	0	0	0.005166	0	0	0.1006	0	0	0.1133	0.05977	0.08219	0.1196	0.05408	0.07502	0.1119	0.09373	0.1284	0.1862	0.1546	0.1865	0.2351	0.08	0.1052	0.1706	0.02248	0.1305	0.185
-Digestive System	Environmental Information Processing	0	0	0	0	0	0.01259	0	0.01435	0.08696	0	0.005734	0.03356	0	0.0327	0.1026	0	0.04357	0.1219	0.02313	0.04836	0.2069	0.02	0.045	0.2295	0.08917	0.1905	0.2954	0.07055	0.1405	0.2087	0.1369	0.2137	0.3202	0.0467	0.06212	0.1049
-Excretory System	Environmental Information Processing	0	0	0	0	0	4.668e-09	0.002458	0.07301	0.4134	0.006326	0.1348	0.6396	0.01371	0.1559	0.6023	0.01942	0.1876	0.8087	0.09504	0.2461	0.4125	0.09666	0.2382	0.3507	0.05708	0.1266	0.26	0.07855	0.1801	0.3308	0.05874	0.1468	0.8175	0.03923	0.1309	0.2913
-Nervous System	Environmental Information Processing	0	0	0	0	0	4.687e-09	0	0.00648	0.02709	0	0.006478	0.02344	0	0.01349	0.1122	0	0.02316	0.1346	0.04286	0.1442	0.2301	0.04206	0.1386	0.2301	0.04022	0.07279	0.1104	0.0388	0.07035	0.1076	0.03346	0.07596	0.1225	0.02432	0.06544	0.1026
-Sensory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0.05614	0	0	0.01719	0	0	0.05228	0	0	0.06572	0	0	0.02865	0	0	0.01785	0	0.00658	0.03376	0	0.006953	0.04076	0.0002755	0.004826	0.01117	8.175e-12	0.0003747	0.07471
