Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Cytoskeleton	TOTAL	0	0.001009	0.002055	0	0.001042	0.002101	0	0.0009267	0.001959	0	0.0009867	0.001819	0	0.001085	0.0018
-Cell Motility	TOTAL	0	0.005406	0.01984	0	0.003016	0.01349	0	0.003665	0.01328	0	0.00401	0.01149	0	0.003947	0.008663
-Cell Growth and Death	TOTAL	1.17e-07	0.001506	0.00239	9.862e-08	0.001636	0.002681	7.529e-08	0.001751	0.002819	6.667e-08	0.001779	0.002693	6.061e-08	0.001986	0.003141
-Cell Communication	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	TOTAL	0.3577	0.3679	0.3738	0.4087	0.4214	0.427	0.4027	0.4156	0.422	0.4085	0.4212	0.4256	0.4011	0.4124	0.4163
-Membrane Transport	TOTAL	0.02458	0.03827	0.0448	0.02027	0.04073	0.04233	0.02018	0.03932	0.04036	0.01704	0.03288	0.03386	0.01391	0.02553	0.02714
-Central Carbon Metabolism	TOTAL	0.1205	0.1351	0.1495	0.1337	0.1539	0.1699	0.1279	0.1449	0.1526	0.1226	0.1344	0.1421	0.1163	0.1251	0.1332
-Energy Metabolism	TOTAL	0.008447	0.017	0.03255	0.008734	0.01955	0.03782	0.008684	0.02127	0.0361	0.01003	0.01972	0.03139	0.01043	0.0184	0.02987
-Biosynthesis	TOTAL	0.08514	0.09204	0.1116	0.1003	0.1118	0.1344	0.1058	0.1245	0.1467	0.1194	0.1491	0.1721	0.1323	0.1576	0.1828
-Other Enzymes	TOTAL	0.05623	0.06973	0.08428	0.06931	0.08309	0.09983	0.06059	0.0836	0.09161	0.05566	0.08019	0.102	0.05261	0.07706	0.1021
Organismal Systems	TOTAL	0	0	0.007221	0	0	9.862e-08	0	0	7.529e-08	0	0	6.667e-08	0	0	6.061e-08
-Immune System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0.007221	0	0	9.862e-08	0	0	7.529e-08	0	0	6.667e-08	0	0	6.061e-08
Human Diseases	TOTAL	0	0.0008473	0.002928	0	9.862e-08	0.0007674	0	7.529e-08	0.0008544	0	6.667e-08	0.0009455	0	6.061e-08	0.001119
-Cancers	TOTAL	0	0	0.002081	0	0	9.862e-08	0	0	7.529e-08	0	0	6.667e-08	0	0	6.061e-08
-Immune System Diseases	TOTAL	0	0	1.17e-07	0	0	9.862e-08	0	0	7.529e-08	0	0	6.667e-08	0	0	6.061e-08
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0.0008473	0	0	0.0007673	0	0	0.0008544	0	0	0.0009454	0	0	0.001119
Not Mapped	TOTAL	0.1192	0.1192	0.1192	0.1049	0.1049	0.1049	0.09742	0.09742	0.09742	0.0921	0.0921	0.0921	0.0921	0.0921	0.0921
-Not Mapped	TOTAL	0.1192	0.1192	0.1192	0.1049	0.1049	0.1049	0.09742	0.09742	0.09742	0.0921	0.0921	0.0921	0.0921	0.0921	0.0921
TOTAL	MAPPED	1.135	1.135	1.135	1.117	1.117	1.117	1.108	1.108	1.108	1.101	1.101	1.101	1.101	1.101	1.101
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2041	0.2089	0.2124	0.2208	0.2258	0.2294	0.2435	0.2489	0.253	0.259	0.2643	0.2686	0.2842	0.2893	0.295
