Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8959	0.9093	0.9172	0.9237	0.9254
Genetic Information Processing	TOTAL	0.3565	0.381	0.4148	0.4398	0.4753
-Transcription	TOTAL	0.03025	0.03076	0.02852	0.025	0.02444
-Translation	TOTAL	0.2344	0.257	0.2953	0.3273	0.3638
-Folding, Sorting and Degradation	TOTAL	0.06222	0.06407	0.06358	0.06314	0.06416
-DNA Maintenance	TOTAL	0.0278	0.02733	0.02562	0.02303	0.02174
-RNA Family	TOTAL	1.291e-06	1.079e-06	8.09e-07	6.981e-07	6.208e-07
Environmental Information Processing	TOTAL	0.01094	0.009454	0.007939	0.007216	0.006583
-Signal Transduction	TOTAL	0.01087	0.009454	0.007939	0.007215	0.006583
-Signaling Molecules and Interaction	TOTAL	7.823e-05	3.319e-07	2.489e-07	2.148e-07	1.91e-07
Cellular Processes	TOTAL	0.01353	0.009055	0.009453	0.009621	0.009695
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0	0	0
-Cytoskeleton	TOTAL	0.003836	0.003722	0.003375	0.003195	0.00315
-Cell Motility	TOTAL	0.008251	0.003439	0.004103	0.004375	0.004212
-Cell Growth and Death	TOTAL	0.001335	0.001549	0.001526	0.001589	0.001794
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.5	0.4941	0.4693	0.4501	0.4206
-Membrane Transport	TOTAL	0.09692	0.08736	0.07891	0.06807	0.05605
-Central Carbon Metabolism	TOTAL	0.1089	0.09554	0.08571	0.07571	0.06602
-Energy Metabolism	TOTAL	0.02704	0.03353	0.0318	0.03018	0.02384
-Biosynthesis	TOTAL	0.1118	0.1223	0.1233	0.136	0.1336
-Other Enzymes	TOTAL	0.149	0.1478	0.1402	0.1332	0.1344
Organismal Systems	TOTAL	0.0003951	0.0004327	0.0002835	0.0001192	5.802e-05
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0.0003951	0.0004327	0.0002835	0.0001192	5.802e-05
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.01051	0.01033	0.01068	0.0122	0.00869
-Cancers	TOTAL	8.637e-05	8.297e-08	6.223e-08	5.37e-08	4.775e-08
-Immune System Diseases	TOTAL	9.928e-08	8.297e-08	6.223e-08	5.37e-08	4.775e-08
-Neurodegenerative Diseases	TOTAL	0.005819	0.008359	0.009133	0.01088	0.007477
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0.003093	0.002867	0.002875	0.002821	0.00245
Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
-Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
TOTAL	MAPPED	1.116	1.1	1.09	1.083	1.081
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3979	0.419	0.4522	0.4761	0.5137
-Transcription	MAPPED	0.03377	0.03383	0.0311	0.02707	0.02641
-Translation	MAPPED	0.2616	0.2827	0.322	0.3544	0.3931
