Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	TOTAL	1	1	1
MAPPED	TOTAL	0.9173	0.8761	0.9138
Genetic Information Processing	TOTAL	0.618	0.3917	0.551
-Transcription	TOTAL	0.02784	0.03065	0.02716
-Translation	TOTAL	0.5042	0.2767	0.4337
-Folding, Sorting and Degradation	TOTAL	0.07036	0.0654	0.07709
-DNA Maintenance	TOTAL	0.01566	0.01893	0.01306
Environmental Information Processing	TOTAL	0.01133	0.01025	0.0105
-Signal Transduction	TOTAL	0.004355	0.006103	0.004482
-Signaling Molecules and Interaction	TOTAL	0.006978	0.004147	0.006019
Cellular Processes	TOTAL	0.07438	0.1228	0.07005
-Cell structure	TOTAL	0.06984	0.1148	0.06628
-Stress Response	TOTAL	3.972e-05	0.003422	6.142e-05
-Vesicular Transport	TOTAL	2.058e-06	8.787e-05	1.163e-06
-Cytoskeleton	TOTAL	0.001623	0.001995	0.00174
-Cell Motility	TOTAL	0.0009677	0.001146	0.0002303
-Cell Growth and Death	TOTAL	0.001902	0.001404	0.001739
-Cell Communication	TOTAL	0	0	0
Metabolism	TOTAL	0.2136	0.3513	0.2822
-Membrane Transport	TOTAL	0.04073	0.07468	0.05869
-Central Carbon Metabolism	TOTAL	0.04931	0.08462	0.05511
-Energy Metabolism	TOTAL	0.02326	0.01863	0.01873
-Biosynthesis	TOTAL	0.07815	0.1405	0.1256
-Other Enzymes	TOTAL	0.02214	0.03288	0.0241
Organismal Systems	TOTAL	0	0	0
-Immune System	TOTAL	0	0	0
-Endocrine System	TOTAL	0	0	0
-Circulatory System	TOTAL	0	0	0
-Digestive System	TOTAL	0	0	0
-Excretory System	TOTAL	0	0	0
-Nervous System	TOTAL	0	0	0
-Sensory System	TOTAL	0	0	0
-Development	TOTAL	0	0	0
-Environmental Adaptation	TOTAL	0	0	0
Human Diseases	TOTAL	0	0	0
-Cancers	TOTAL	0	0	0
-Immune System Diseases	TOTAL	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0
-Infectious Diseases	TOTAL	0	0	0
Not Mapped	TOTAL	0.08265	0.1239	0.08625
-Not Mapped	TOTAL	0.08265	0.1239	0.08625
TOTAL	MAPPED	1.09	1.141	1.094
MAPPED	MAPPED	1	1	1
Genetic Information Processing	MAPPED	0.6737	0.4471	0.603
-Transcription	MAPPED	0.03034	0.03498	0.02972
-Translation	MAPPED	0.5496	0.3158	0.4746
-Folding, Sorting and Degradation	MAPPED	0.0767	0.07465	0.08436
-DNA Maintenance	MAPPED	0.01707	0.02161	0.0143
Environmental Information Processing	MAPPED	0.01235	0.0117	0.01149
-Signal Transduction	MAPPED	0.004748	0.006967	0.004905
-Signaling Molecules and Interaction	MAPPED	0.007606	0.004734	0.006587
Cellular Processes	MAPPED	0.08108	0.1402	0.07667
-Cell structure	MAPPED	0.07614	0.131	0.07254
-Stress Response	MAPPED	4.329e-05	0.003906	6.721e-05
-Vesicular Transport	MAPPED	2.243e-06	0.0001003	1.273e-06
-Cytoskeleton	MAPPED	0.001769	0.002278	0.001905
-Cell Motility	MAPPED	0.001055	0.001308	0.000252
-Cell Growth and Death	MAPPED	0.002074	0.001603	0.001903
-Cell Communication	MAPPED	0	0	0
Metabolism	MAPPED	0.2328	0.401	0.3088
-Membrane Transport	MAPPED	0.0444	0.08524	0.06423
-Central Carbon Metabolism	MAPPED	0.05375	0.09659	0.06031
-Energy Metabolism	MAPPED	0.02535	0.02127	0.02049
-Biosynthesis	MAPPED	0.08519	0.1604	0.1374
-Other Enzymes	MAPPED	0.02414	0.03754	0.02637
Organismal Systems	MAPPED	0	0	0
-Immune System	MAPPED	0	0	0
-Endocrine System	MAPPED	0	0	0
-Circulatory System	MAPPED	0	0	0
-Digestive System	MAPPED	0	0	0
-Excretory System	MAPPED	0	0	0
-Nervous System	MAPPED	0	0	0
-Sensory System	MAPPED	0	0	0
-Development	MAPPED	0	0	0
-Environmental Adaptation	MAPPED	0	0	0
Human Diseases	MAPPED	0	0	0
-Cancers	MAPPED	0	0	0
-Immune System Diseases	MAPPED	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0
-Infectious Diseases	MAPPED	0	0	0
Not Mapped	MAPPED	0.0901	0.1415	0.09439
-Not Mapped	MAPPED	0.0901	0.1415	0.09439
TOTAL	Genetic Information Processing	1.618	2.553	1.815
MAPPED	Genetic Information Processing	1.484	2.237	1.658
Genetic Information Processing	Genetic Information Processing	1	1	1
