KO number	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
K14290	NaN	NaN	NaN	NaN
K14291	NaN	NaN	NaN	NaN
K05019	NaN	NaN	NaN	NaN
K02516	NaN	NaN	NaN	NaN
K14292	NaN	NaN	NaN	NaN
K14293	NaN	NaN	NaN	NaN
K13151	NaN	NaN	NaN	NaN
K07562	NaN	NaN	NaN	NaN
K14294	NaN	NaN	NaN	NaN
K09291	NaN	NaN	NaN	NaN
K14295	NaN	NaN	NaN	NaN
K14296	NaN	NaN	NaN	NaN
K14297	NaN	NaN	NaN	NaN
K14298	NaN	NaN	NaN	NaN
K14004	NaN	NaN	NaN	NaN
K14299	NaN	NaN	NaN	NaN
K14300	NaN	NaN	NaN	NaN
K14301	NaN	NaN	NaN	NaN
K14302	NaN	NaN	NaN	NaN
K14303	NaN	NaN	NaN	NaN
K14304	NaN	NaN	NaN	NaN
K14305	NaN	NaN	NaN	NaN
K14306	NaN	NaN	NaN	NaN
K14307	NaN	NaN	NaN	NaN
K14308	NaN	NaN	NaN	NaN
K14309	NaN	NaN	NaN	NaN
K14310	NaN	NaN	NaN	NaN
K14311	NaN	NaN	NaN	NaN
K14312	NaN	NaN	NaN	NaN
K14313	NaN	NaN	NaN	NaN
K14314	NaN	NaN	NaN	NaN
K14315	NaN	NaN	NaN	NaN
K14316	NaN	NaN	NaN	NaN
K14317	NaN	NaN	NaN	NaN
K14318	NaN	NaN	NaN	NaN
K12172	NaN	NaN	NaN	NaN
K14319	NaN	NaN	NaN	NaN
K10577	NaN	NaN	NaN	NaN
K12160	NaN	NaN	NaN	NaN
K14320	NaN	NaN	NaN	NaN
K14321	NaN	NaN	NaN	NaN
K13129	NaN	NaN	NaN	NaN
K13130	NaN	NaN	NaN	NaN
K13131	NaN	NaN	NaN	NaN
K13132	NaN	NaN	NaN	NaN
K13133	NaN	NaN	NaN	NaN
K13137	NaN	NaN	NaN	NaN
K13126	NaN	NaN	NaN	NaN
K14322	NaN	NaN	NaN	NaN
K07205	NaN	NaN	NaN	NaN
K14323	NaN	NaN	NaN	NaN
K14324	NaN	NaN	NaN	NaN
K13114	NaN	NaN	NaN	NaN
K14325	NaN	NaN	NaN	NaN
K13174	NaN	NaN	NaN	NaN
K13175	NaN	NaN	NaN	NaN
K13176	NaN	NaN	NaN	NaN
K13171	NaN	NaN	NaN	NaN
K14284	NaN	NaN	NaN	NaN
K14285	NaN	NaN	NaN	NaN
K14543	NaN	NaN	NaN	NaN
K14326	NaN	NaN	NaN	NaN
K14327	NaN	NaN	NaN	NaN
