KO number	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
K00566	11322256	806656	223744	384560
K03635	1090650	134550	72450	77550
K03639	1198876	88172	60536	102977
K03636	706239	83349	44874	39042
K03637	2297309	203826	88711	138460
K03831	3649620	395070	68835	263835
K03151	30675926	1846060	232806	604910
K03154	2046	198	36960	8.9
K03148	22841	1255	178963	753
K03033	NaN	NaN	NaN	NaN
K03035	NaN	NaN	NaN	NaN
K03036	NaN	NaN	NaN	NaN
K03037	NaN	NaN	NaN	NaN
K03038	NaN	NaN	NaN	NaN
K03039	NaN	NaN	NaN	NaN
K03031	NaN	NaN	NaN	NaN
K10881	NaN	NaN	NaN	NaN
K03029	NaN	NaN	NaN	NaN
K03028	NaN	NaN	NaN	NaN
K03032	NaN	NaN	NaN	NaN
K03061	NaN	NaN	NaN	NaN
K03062	NaN	NaN	NaN	NaN
K03066	NaN	NaN	NaN	NaN
K03064	NaN	NaN	NaN	NaN
K03065	NaN	NaN	NaN	NaN
K03063	NaN	NaN	NaN	NaN
K06696	NaN	NaN	NaN	NaN
K06697	NaN	NaN	NaN	NaN
K06698	NaN	NaN	NaN	NaN
K06699	NaN	NaN	NaN	NaN
K02730	NaN	NaN	NaN	NaN
K02726	NaN	NaN	NaN	NaN
K02728	NaN	NaN	NaN	NaN
K02731	NaN	NaN	NaN	NaN
K02729	NaN	NaN	NaN	NaN
K02725	NaN	NaN	NaN	NaN
K02727	NaN	NaN	NaN	NaN
K02739	NaN	NaN	NaN	NaN
K02735	NaN	NaN	NaN	NaN
K02734	NaN	NaN	NaN	NaN
K02737	NaN	NaN	NaN	NaN
K02732	NaN	NaN	NaN	NaN
K02736	NaN	NaN	NaN	NaN
K02733	NaN	NaN	NaN	NaN
K02740	NaN	NaN	NaN	NaN
K11598	NaN	NaN	NaN	NaN
K06700	NaN	NaN	NaN	NaN
K11599	NaN	NaN	NaN	NaN
K01358	14117814	1311138	673992	1385658
K01338	1.228967e+08	4293968	1164240	3675392
K01380	NaN	NaN	NaN	NaN
K01379	NaN	NaN	NaN	NaN
K08565	NaN	NaN	NaN	NaN
K02654	540690	48151	2690	13450
K02464	18900	700	350	8.9
K01355	1.8326911e+08	12755129	7812148	10292039
K03605	10725	195	780	8.9
K08567	193192	21812	4264	13120
K08315	257244	29796	14196	7644
K01373	NaN	NaN	NaN	NaN
K01366	NaN	NaN	NaN	NaN
K08568	NaN	NaN	NaN	NaN
K01369	NaN	NaN	NaN	NaN
K01370	NaN	NaN	NaN	NaN
K02187	NaN	NaN	NaN	NaN
K04396	NaN	NaN	NaN	NaN
K04397	NaN	NaN	NaN	NaN
K04398	NaN	NaN	NaN	NaN
K07369	NaN	NaN	NaN	NaN
K01072	NaN	NaN	NaN	NaN
K01307	NaN	NaN	NaN	NaN
K01951	2.2675695e+08	11490675	2048025	5929875
K01948	NaN	NaN	NaN	NaN
K11540	NaN	NaN	NaN	NaN
K09473	336700	29400	212450	40950
K13694	6952052	739028	476580	524332
K13695	640178	76230	57134	55132
K00764	10217160	676195	1040805	160590
K00820	84909825	4404288	1372686	2293494
K01953	18293080	1003294	744576	799976
K08342	NaN	NaN	NaN	NaN
K05520	15050	1400	99050	8.9
K05687	NaN	NaN	NaN	NaN
K03152	2371404	214816	105840	107800
K12348	NaN	NaN	NaN	NaN
K11140	NaN	NaN	NaN	NaN
K11141	NaN	NaN	NaN	NaN
K01254	NaN	NaN	NaN	NaN
K01256	65750250	2654370	1085760	1993170
K01257	NaN	NaN	NaN	NaN
K01283	NaN	NaN	NaN	NaN
K09708	NaN	NaN	NaN	NaN
K01392	NaN	NaN	NaN	NaN
K01393	NaN	NaN	NaN	NaN
K01414	48770960	2095760	617440	1587120
K01284	18113238	758634	667380	527094
K01403	NaN	NaN	NaN	NaN
K07763	NaN	NaN	NaN	NaN
K01395	NaN	NaN	NaN	NaN
K08606	NaN	NaN	NaN	NaN
K06704	NaN	NaN	NaN	NaN
K06059	NaN	NaN	NaN	NaN
K01389	NaN	NaN	NaN	NaN
K08780	NaN	NaN	NaN	NaN
K01298	NaN	NaN	NaN	NaN
K01291	NaN	NaN	NaN	NaN
K01294	NaN	NaN	NaN	NaN
K08641	5950	8.9	6650	8.9
K01407	8122166	218374	134680	220298
K01408	NaN	NaN	NaN	NaN
K07263	500150	16800	10500	8400
K11142	NaN	NaN	NaN	NaN
K01255	26374805	1281644	657924	1289189
K07751	18342639	1114897	584990	1038037
K01258	2094264	99552	139128	90576
K05604	NaN	NaN	NaN	NaN
K08660	NaN	NaN	NaN	NaN
K01270	74131280	3592880	821590	2139335
K02083	81378	3699	2466	8.9
K14677	NaN	NaN	NaN	NaN
K01409	10407950	NaN	NaN	NaN
K01265	26061024	3312400	740950	1563450
K01271	20559187	1112373	541789	858091
K01262	8673588	539784	383670	501858
K14208	NaN	NaN	NaN	NaN
K08326	8303	8.9	361	8.9
K09612	615480	34155	11730	35190
K14592	NaN	NaN	NaN	NaN
K01305	9288630	638430	87750	358020
K06013	NaN	NaN	NaN	NaN
K03799	17432621	1319672	241432	544980
K07387	3974820	288896	121760	136652
K11749	3906900	176400	60750	104850
K07261	1751956	171250	74802	134534
K01310	NaN	NaN	NaN	NaN
K01352	NaN	NaN	NaN	NaN
K01353	NaN	NaN	NaN	NaN
K01346	NaN	NaN	NaN	NaN
K01345	NaN	NaN	NaN	NaN
K01325	NaN	NaN	NaN	NaN
K01324	NaN	NaN	NaN	NaN
K01312	NaN	NaN	NaN	NaN
K03993	NaN	NaN	NaN	NaN
K01335	NaN	NaN	NaN	NaN
K01334	NaN	NaN	NaN	NaN
K01333	NaN	NaN	NaN	NaN
K01313	NaN	NaN	NaN	NaN
K01321	NaN	NaN	NaN	NaN
K01314	NaN	NaN	NaN	NaN
K01343	NaN	NaN	NaN	NaN
K01348	NaN	NaN	NaN	NaN
K01315	NaN	NaN	NaN	NaN
K04775	353535	28119	25116	21567
K04772	4403490	240240	219310	223860
K04691	2105150	144130	47215	51120
K08670	NaN	NaN	NaN	NaN
K09635	NaN	NaN	NaN	NaN
K01278	NaN	NaN	NaN	NaN
K01354	1496166	58996	97412	34300
K14349	NaN	NaN	NaN	NaN
K07258	27874238	1976881	828268	1119001
K07262	3611500	311550	75020	166160
K07259	3920463	210357	63441	110664
K04770	9105268	410200	76766	182832
K01356	6244830	555904	130290	384810
K03503	54665	10440	3915	5655
K01285	NaN	NaN	NaN	NaN
K13700	NaN	NaN	NaN	NaN
K01054	NaN	NaN	NaN	NaN
K03797	26046944	1010724	489676	684046
K04773	8965944	338046	105060	158208
K04774	8001174	465566	187762	213937
K05995	486167	54044	18549	23358
K01297	1324832	115520	54416	61104
K01419	9605552	1118304	178816	741488
K13051	417300	23754	82497	259689
K00681	440828	15579	207720	3462
K08303	38754344	2203581	417254	844959
K03592	20662650	1099800	276750	608850
K03568	18054335	786435	210678	519480
K08300	86122431	2895469	1125721	2254625
eco_b4255	29324050	3744300	1202250	3069500
K12584	NaN	NaN	NaN	NaN
K07573	NaN	NaN	NaN	NaN
K03679	NaN	NaN	NaN	NaN
K03681	NaN	NaN	NaN	NaN
K12585	NaN	NaN	NaN	NaN
K12586	NaN	NaN	NaN	NaN
K12587	NaN	NaN	NaN	NaN
K12589	NaN	NaN	NaN	NaN
K12590	NaN	NaN	NaN	NaN
K03678	NaN	NaN	NaN	NaN
K12591	NaN	NaN	NaN	NaN
K12592	NaN	NaN	NaN	NaN
K12593	NaN	NaN	NaN	NaN
K03514	NaN	NaN	NaN	NaN
K12599	NaN	NaN	NaN	NaN
K12600	NaN	NaN	NaN	NaN
K12602	NaN	NaN	NaN	NaN
K12603	NaN	NaN	NaN	NaN
K12604	NaN	NaN	NaN	NaN
K12605	NaN	NaN	NaN	NaN
K12580	NaN	NaN	NaN	NaN
K12581	NaN	NaN	NaN	NaN
K12606	NaN	NaN	NaN	NaN
K12607	NaN	NaN	NaN	NaN
K12608	NaN	NaN	NaN	NaN
K14442	NaN	NaN	NaN	NaN
K01148	NaN	NaN	NaN	NaN
K14443	NaN	NaN	NaN	NaN
K12571	NaN	NaN	NaN	NaN
K12572	NaN	NaN	NaN	NaN
K12610	NaN	NaN	NaN	NaN
K12611	NaN	NaN	NaN	NaN
K12614	NaN	NaN	NaN	NaN
K12615	NaN	NaN	NaN	NaN
K12616	NaN	NaN	NaN	NaN
K12617	NaN	NaN	NaN	NaN
K12620	NaN	NaN	NaN	NaN
K08311	1358368	110176	41008	101200
K03732	23301508	1456239	444155	836106
K00962	2.1332915e+08	8464455	2520495	5638230
K11927	6811308	369195	45300	169875
K12573	24503007	911373	491865	854463
K03654	2359875	94395	38367	52983
K03628	1.0309202e+08	7508899	1457282	3876169
K12574	NaN	NaN	NaN	NaN
K03666	22397466	2847738	844254	1905054
K00937	3814272	176816	167872	154112
K00970	12381034	689172	191588	351850
K02335	21633500	709800	189350	529900
K02345	338732	91504	68628	27664
K02342	2526471	240084	125388	156006
K02337	16920920	380480	91640	176320
K03763	NaN	NaN	NaN	NaN
K02343	6780435	NaN	NaN	NaN
K02341	1144618	72812	25718	35070
K02340	663362	48020	28126	24010
K02344	269342	46306	16166	20824
K02339	261513	39102	24549	35721
K02338	9814656	645624	193614	279624
K02314	6295386	326874	98910	171444
K02316	4921070	206836	56938	105161
K03111	33917288	3091016	498406	1450278
K03469	965805	124620	27125	48515
K03470	976932	119592	25938	46134
K03471	NaN	NaN	NaN	NaN
K01972	34554442	1346704	196942	952820
K02320	NaN	NaN	NaN	NaN
K02321	NaN	NaN	NaN	NaN
K02684	NaN	NaN	NaN	NaN
K02685	NaN	NaN	NaN	NaN
K02327	NaN	NaN	NaN	NaN
K02328	NaN	NaN	NaN	NaN
K03504	NaN	NaN	NaN	NaN
K02324	NaN	NaN	NaN	NaN
K02326	NaN	NaN	NaN	NaN
K02540	NaN	NaN	NaN	NaN
K02541	NaN	NaN	NaN	NaN
K02212	NaN	NaN	NaN	NaN
K02209	NaN	NaN	NaN	NaN
K02542	NaN	NaN	NaN	NaN
K02210	NaN	NaN	NaN	NaN
K10740	NaN	NaN	NaN	NaN
K04802	NaN	NaN	NaN	NaN
K10755	NaN	NaN	NaN	NaN
K10756	NaN	NaN	NaN	NaN
K10742	NaN	NaN	NaN	NaN
K10743	NaN	NaN	NaN	NaN
K10744	NaN	NaN	NaN	NaN
K10745	NaN	NaN	NaN	NaN
K04799	NaN	NaN	NaN	NaN
K10747	NaN	NaN	NaN	NaN
K02603	NaN	NaN	NaN	NaN
K02608	NaN	NaN	NaN	NaN
K02206	NaN	NaN	NaN	NaN
K02333	NaN	NaN	NaN	NaN
K00558	2895432	161218	87642	91429
K11121	NaN	NaN	NaN	NaN
K10865	NaN	NaN	NaN	NaN
K10866	NaN	NaN	NaN	NaN
K10867	NaN	NaN	NaN	NaN
K04728	NaN	NaN	NaN	NaN
K10901	NaN	NaN	NaN	NaN
K06642	NaN	NaN	NaN	NaN
K10848	NaN	NaN	NaN	NaN
K10798	NaN	NaN	NaN	NaN
K03165	NaN	NaN	NaN	NaN
K04764	5818032	1103652	506385	453420
K05788	7221738	1432372	1161558	882754
K02313	8417208	392280	135430	160181
K02315	1318835	123725	33075	57085
K10748	682581	72306	26265	38316
K06223	1201516	94520	35584	59770
K03645	4928992	802735	156746	381005
K10763	507408	46624	24552	33480
K02469	1.3847488e+08	4566625	1231125	2345000
K02470	1.1697235e+08	4487928	1025904	1934424
K02621	31947968	1168608	240640	670032
K02622	35059500	1520820	240030	845460
K03168	71225830	2415080	585605	1845910
K03169	7161300	305870	73000	146000
K06636	NaN	NaN	NaN	NaN
K06669	NaN	NaN	NaN	NaN
K06670	NaN	NaN	NaN	NaN
K06671	NaN	NaN	NaN	NaN
K11251	NaN	NaN	NaN	NaN
K11252	NaN	NaN	NaN	NaN
K11253	NaN	NaN	NaN	NaN
K11254	NaN	NaN	NaN	NaN
K10802	NaN	NaN	NaN	NaN
K11303	NaN	NaN	NaN	NaN
K11304	NaN	NaN	NaN	NaN
K08874	NaN	NaN	NaN	NaN
K04499	NaN	NaN	NaN	NaN
K05692	NaN	NaN	NaN	NaN
K06067	NaN	NaN	NaN	NaN
K11404	NaN	NaN	NaN	NaN
K11405	NaN	NaN	NaN	NaN
K11407	NaN	NaN	NaN	NaN
K11420	NaN	NaN	NaN	NaN
K11430	NaN	NaN	NaN	NaN
K11424	NaN	NaN	NaN	NaN
K11422	NaN	NaN	NaN	NaN
K11423	NaN	NaN	NaN	NaN
K11431	NaN	NaN	NaN	NaN
K11421	NaN	NaN	NaN	NaN
K11433	NaN	NaN	NaN	NaN
K11434	NaN	NaN	NaN	NaN
K14962	NaN	NaN	NaN	NaN
K14966	NaN	NaN	NaN	NaN
K14970	NaN	NaN	NaN	NaN
K11447	NaN	NaN	NaN	NaN
K08731	NaN	NaN	NaN	NaN
K06638	NaN	NaN	NaN	NaN
K02537	NaN	NaN	NaN	NaN
K06637	NaN	NaN	NaN	NaN
K02180	NaN	NaN	NaN	NaN
K10413	NaN	NaN	NaN	NaN
K10414	NaN	NaN	NaN	NaN
K10415	NaN	NaN	NaN	NaN
K10416	NaN	NaN	NaN	NaN
K10417	NaN	NaN	NaN	NaN
K04371	NaN	NaN	NaN	NaN
K10801	NaN	NaN	NaN	NaN
K11592	NaN	NaN	NaN	NaN
K11594	NaN	NaN	NaN	NaN
K11643	NaN	NaN	NaN	NaN
K11644	NaN	NaN	NaN	NaN
K06631	NaN	NaN	NaN	NaN
K03746	57139412	11794330	3952176	5324779
K11685	20196480	3836554	1029388	842056
K05804	5654285	460377	194497	364140
K12961	702464	93884	46844	50960
K04047	2500542	421938	2575584	484308
K03632	91886810	1805490	529016	1304708
K03804	2565810	232830	61542	188604
K03633	5272520	278520	89760	187440
K03590	9680160	413280	241500	425460
K05589	331145	50161	14420	17819
K09812	2853366	214674	71040	144078
K03587	6166944	205212	84672	132888
K03466	31700700	685800	287550	507600
K03586	397485	50336	24321	51183
K03591	3455727	277849	85811	129195
K03589	1336392	92736	40572	47472
K03588	3042900	121302	48438	69966
K09811	5623552	294976	85888	153472
K03528	10502156	706496	166332	290168
K09888	1135126	247975	80442	218872
K01448	8233514	518283	188805	293366
K03585	22187901	1534742	514115	951609
K13053	376532	56446	63037	63713
K03570	4648055	270846	64592	122211
K03571	506898	59454	11502	23976
K05837	3100970	160950	38110	57720
K03495	31516674	1456764	314500	672401
K03733	1498642	117114	63176	107578
K04763	786720	59302	21754	30694
K03593	30633642	1947213	513279	1149804
K04095	77400	5600	34600	8.9
K07462	4169550	176400	41300	90650
K10563	2649919	183996	23134	137459
K05522	656974	65224	24459	66539
K10773	1100232	120324	41736	72594
K10569	NaN	NaN	NaN	NaN
K01247	126336	9024	10434	3948
K01246	546975	53295	39831	53669
K03648	2289542	242282	100531	164422
K03649	642432	76440	86856	59472
K10800	NaN	NaN	NaN	NaN
K03575	2311400	175350	32550	81550
K01142	11814512	1048952	297748	601660
K01151	2565855	296685	124260	198075
K10771	NaN	NaN	NaN	NaN
K10772	NaN	NaN	NaN	NaN
K02330	NaN	NaN	NaN	NaN
K03512	NaN	NaN	NaN	NaN
K10803	NaN	NaN	NaN	NaN
K10776	NaN	NaN	NaN	NaN
K03723	23893324	675024	405244	602700
K03701	18070560	583740	193640	289520
K03702	5974221	249010	132581	196516
K03703	4577440	164090	95160	125050
K03657	13168080	396720	90720	231840
K10840	NaN	NaN	NaN	NaN
K10841	NaN	NaN	NaN	NaN
K03555	27580902	894797	127950	412852
K07456	NaN	NaN	NaN	NaN
K03572	2167260	98400	47355	72570
K03573	306402	27251	8473	13969
K01141	3223825	190475	75525	133000
K03601	4178792	256022	122286	280296
K03602	423600	149680	44560	62960
K10857	655600	82940	49060	49500
K10858	NaN	NaN	NaN	NaN
K08734	NaN	NaN	NaN	NaN
K08737	NaN	NaN	NaN	NaN
K08735	NaN	NaN	NaN	NaN
K08736	NaN	NaN	NaN	NaN
K03629	1044939	53193	14637	24276
K03584	268862	20570	8228	7018
K06187	2845557	269742	45426	97485
K03553	52553934	3663081	1032878	2065050
K03550	1276870	133371	50547	77952
K03551	2381232	151872	65856	73248
K01159	582664	79926	10553	18857
K03655	2226609	77616	38808	58905
K03582	4832100	109740	42480	38940
K03583	5748006	132396	46002	98736
K03581	1548576	68704	27968	28576
K04066	2482212	76860	43188	55632
K02686	730704	119392	25480	50752
K04067	227500	28175	17500	19250
K02317	855799	108295	16468	27029
K10875	NaN	NaN	NaN	NaN
K08991	NaN	NaN	NaN	NaN
K10884	NaN	NaN	NaN	NaN
K10885	NaN	NaN	NaN	NaN
K10980	NaN	NaN	NaN	NaN
K00567	250686	27873	16074	24624
K01669	264320	9912	17464	2360
K10895	NaN	NaN	NaN	NaN
K10896	NaN	NaN	NaN	NaN
K03509	NaN	NaN	NaN	NaN
K06640	NaN	NaN	NaN	NaN
K02216	NaN	NaN	NaN	NaN
K06641	NaN	NaN	NaN	NaN
K03574	504900	82236	10164	28116
K01520	7574764	992221	216685	294148
K10807	NaN	NaN	NaN	NaN
K10808	NaN	NaN	NaN	NaN
K10790	NaN	NaN	NaN	NaN
K03919	52488	4752	3672	432
K05982	356354	37687	51067	45492
K05984	375830	32450	15635	21830
K07458	107328	12324	6084	4368
K01160	600	8.9	8.9	8.9
K03546	5173227	141345	61773	69102
K03547	1362800	98000	36000	35200
K04485	4070540	196880	68080	159620
K03631	4218837	225071	72443	183043
K03554	12083640	898092	206343	510858
K07455	135800	9800	11550	4900
K02346	242541	16497	7020	4563
K03502	277525	12750	5100	6800
K02336	880875	25056	12528	7047
K00525	1.260983e+08	5117049	708974	2120670
K00526	20243520	1687736	372102	678588
K03656	8250980	304869	68646	150752
K03658	4859820	171684	112860	113544
K03722	1197868	43676	10740	16468
K03724	116550	1750	5600	8.9
K01910	350	8.9	8.9	8.9
K15841	NaN	NaN	NaN	NaN
K07636	527975	29739	14654	13361
K07657	462809	48548	48548	37327
K07658	NaN	NaN	NaN	NaN
K01077	833199	41919	89490	81954
K02040	4669962	349806	733866	470560
K07637	1166400	63180	34020	33534
K07660	3103937	336284	296813	509555
K07638	1734750	71550	19350	36900
K07659	5636337	537272	206735	319782
K07639	785895	43733	22949	39403
K07661	836739	92971	52819	98707
K07640	3252012	149896	48442	65808
K07662	7060920	671176	357976	544504
K07641	417120	16590	8058	11850
K07663	395712	34121	14656	24045
K07642	268992	12142	10741	3736
K07664	1119360	133200	54240	77520
K07799	756130	38595	16600	23240
K07788	1694160	40560	20800	23920
K07789	941975	24600	11275	4100
K07643	1294458	86394	43560	13431
K07771	1380618	147186	120324	24642
K07806	545002	39795	147431	4548
K07644	666240	29760	13440	6720
K07665	426987	39952	24743	28148
K07796	12420	8.9	2300	8.9
K07810	28160	5280	4840	990
K07798	49654	1628	2442	8.9
K07787	210447	3141	3141	8.9
K07645	709869	42206	13021	17960
K07666	274845	30222	16206	32850
K02403	137683	37723	14518	14994
K02402	383040	44160	13824	17856
K02556	7670	295	590	8.9
K07646	2153646	60792	35760	15198
K07667	228375	28575	11700	9225
K01546	27293	557	8.9	8.9
K01547	99572	2046	2046	8.9
K01548	29070	1710	1520	8.9
K01545	3850	8.9	350	8.9
K07647	199290	2730	3640	8.9
K07772	548780	58420	23230	43470
K03532	8580	8.9	390	8.9
K07811	130592	1696	2544	8.9
K03533	5572	8.9	199	8.9
K07648	5841224	175828	75466	101918
K07773	25707920	3248000	1470532	1651608
K07775	NaN	NaN	NaN	NaN
K02259	NaN	NaN	NaN	NaN
K07668	NaN	NaN	NaN	NaN
K10697	NaN	NaN	NaN	NaN
K11329	NaN	NaN	NaN	NaN
K10682	NaN	NaN	NaN	NaN
K11630	NaN	NaN	NaN	NaN
K06347	NaN	NaN	NaN	NaN
K07700	78936	2208	1104	8.9
K07702	413128	51754	13560	13334
K01646	1176	8.9	98	8.9
K01644	3926	8.9	8.9	8.9
K01643	19890	510	8.9	8.9
K05964	183	8.9	8.9	8.9
K05966	876	8.9	8.9	8.9
K09477	37012	974	8.9	8.9
K07701	1095774	42897	11403	23349
K07703	538945	70744	39913	41347
K07792	49506	1338	8.9	8.9
K07673	1621178	38272	28106	20332
K07684	3365712	360072	264384	172584
K07674	573358	21508	6792	4528
K07685	3528225	389475	80100	120825
K00370	324220	3741	17458	8.9
K00371	123904	4096	8192	8.9
K00373	18172	1180	2124	8.9
K00374	43650	4500	4950	1350
K08348	418180	2030	8.9	8.9
K08349	12936	588	294	8.9
K08350	9765	434	434	8.9
K00244	6275850	252840	84882	171570
K00245	1022360	98576	35136	77592
K00246	205539	34977	15589	16113
K00247	301189	48909	16779	29631
K07783	290179	14048	6146	5268
K07675	451500	16000	7000	2000
K07686	412580	38024	30576	29988
K07784	25928	926	1852	8.9
K06080	1553194	417544	158120	140700
K07677	3276696	95166	65310	55980
K07676	8187110	255430	159310	166430
K07687	9376776	1289088	609120	761616
K07678	4356828	129438	51408	54162
K07689	2304914	191840	89816	157396
K03563	3564535	1157902	466467	1009123
K07679	2098341	41895	82593	23940
K07690	1206048	97512	85680	137088
K07797	76239	2709	1161	8.9
K07786	105984	1536	1024	8.9
K07688	10500	1750	1400	8.9
K01467	3128772	223647	50292	67437
K07694	NaN	NaN	NaN	NaN
K00990	4452670	167320	148630	89000
K04751	3414432	583072	232176	321664
K07708	284784	18846	28618	8376
K07712	1105433	64253	128506	37520
K07709	135110	3664	1832	8.9
K07713	758961	43218	13230	22050
K07803	16402	2502	1390	1112
K07710	108832	3040	1824	8.9
K07714	283515	19362	14752	6915
K01034	1540	8.9	8.9	8.9
K01035	2160	8.9	8.9	8.9
K02106	3520	8.9	8.9	8.9
K00626	1937950	89606	46770	40086
K11103	3789084	196452	45796	44940
K07711	313600	16100	8050	11200
K07715	760550	41300	21000	23100
K00575	5148	8.9	286	8.9
K05874	268474	9469	2228	8.9
K05875	35392	553	1106	8.9
K05876	12400	200	200	8.9
K05877	9024	8.9	384	8.9
K03776	80850	3500	2100	700
K03408	112892	14863	8016	3674
K03407	382590	13080	8502	8.9
K03413	61275	8514	5934	3225
K03412	18846	349	349	8.9
K02659	NaN	NaN	NaN	NaN
K06596	NaN	NaN	NaN	NaN
K02487	NaN	NaN	NaN	NaN
K02657	NaN	NaN	NaN	NaN
K02658	NaN	NaN	NaN	NaN
K11522	NaN	NaN	NaN	NaN
K11523	NaN	NaN	NaN	NaN
K04344	NaN	NaN	NaN	NaN
K04858	NaN	NaN	NaN	NaN
K04859	NaN	NaN	NaN	NaN
K04860	NaN	NaN	NaN	NaN
K04862	NaN	NaN	NaN	NaN
K04864	NaN	NaN	NaN	NaN
K04865	NaN	NaN	NaN	NaN
K04345	NaN	NaN	NaN	NaN
K02677	NaN	NaN	NaN	NaN
K04347	NaN	NaN	NaN	NaN
K04348	NaN	NaN	NaN	NaN
K06268	NaN	NaN	NaN	NaN
K12326	NaN	NaN	NaN	NaN
K12361	NaN	NaN	NaN	NaN
K08018	NaN	NaN	NaN	NaN
K08052	NaN	NaN	NaN	NaN
K04352	NaN	NaN	NaN	NaN
K04353	NaN	NaN	NaN	NaN
K07836	NaN	NaN	NaN	NaN
K04357	NaN	NaN	NaN	NaN
K04358	NaN	NaN	NaN	NaN
K04360	NaN	NaN	NaN	NaN
K04361	NaN	NaN	NaN	NaN
K05089	NaN	NaN	NaN	NaN
K04364	NaN	NaN	NaN	NaN
K03099	NaN	NaN	NaN	NaN
K02833	NaN	NaN	NaN	NaN
K07827	NaN	NaN	NaN	NaN
K07828	NaN	NaN	NaN	NaN
K07829	NaN	NaN	NaN	NaN
K07830	NaN	NaN	NaN	NaN
K07831	NaN	NaN	NaN	NaN
K04365	NaN	NaN	NaN	NaN
K04366	NaN	NaN	NaN	NaN
K04368	NaN	NaN	NaN	NaN
K04369	NaN	NaN	NaN	NaN
K04372	NaN	NaN	NaN	NaN
K04373	NaN	NaN	NaN	NaN
K04380	NaN	NaN	NaN	NaN
K04381	NaN	NaN	NaN	NaN
K01047	NaN	NaN	NaN	NaN
K04392	NaN	NaN	NaN	NaN
K07860	NaN	NaN	NaN	NaN
K04393	NaN	NaN	NaN	NaN
K02308	NaN	NaN	NaN	NaN
K04403	NaN	NaN	NaN	NaN
K04405	NaN	NaN	NaN	NaN
K04406	NaN	NaN	NaN	NaN
K04407	NaN	NaN	NaN	NaN
K04409	NaN	NaN	NaN	NaN
K04410	NaN	NaN	NaN	NaN
K04411	NaN	NaN	NaN	NaN
K04412	NaN	NaN	NaN	NaN
K04414	NaN	NaN	NaN	NaN
K04427	NaN	NaN	NaN	NaN
K04428	NaN	NaN	NaN	NaN
K04429	NaN	NaN	NaN	NaN
K04430	NaN	NaN	NaN	NaN
K04432	NaN	NaN	NaN	NaN
K04433	NaN	NaN	NaN	NaN
K04436	NaN	NaN	NaN	NaN
K04437	NaN	NaN	NaN	NaN
K04438	NaN	NaN	NaN	NaN
K04439	NaN	NaN	NaN	NaN
K04441	NaN	NaN	NaN	NaN
K04443	NaN	NaN	NaN	NaN
K04445	NaN	NaN	NaN	NaN
K04456	NaN	NaN	NaN	NaN
K04457	NaN	NaN	NaN	NaN
K04458	NaN	NaN	NaN	NaN
K04459	NaN	NaN	NaN	NaN
K04460	NaN	NaN	NaN	NaN
K04461	NaN	NaN	NaN	NaN
K04467	NaN	NaN	NaN	NaN
K07209	NaN	NaN	NaN	NaN
K07210	NaN	NaN	NaN	NaN
K07293	NaN	NaN	NaN	NaN
K12380	NaN	NaN	NaN	NaN
K11238	NaN	NaN	NaN	NaN
K05859	NaN	NaN	NaN	NaN
K04515	NaN	NaN	NaN	NaN
K05704	NaN	NaN	NaN	NaN
K05725	NaN	NaN	NaN	NaN
K08887	NaN	NaN	NaN	NaN
K07365	NaN	NaN	NaN	NaN
K05733	NaN	NaN	NaN	NaN
K05734	NaN	NaN	NaN	NaN
K05084	NaN	NaN	NaN	NaN
K06279	NaN	NaN	NaN	NaN
K08845	NaN	NaN	NaN	NaN
K09593	NaN	NaN	NaN	NaN
K00922	NaN	NaN	NaN	NaN
K02649	NaN	NaN	NaN	NaN
K07203	NaN	NaN	NaN	NaN
K04688	NaN	NaN	NaN	NaN
K03083	NaN	NaN	NaN	NaN
K00444	NaN	NaN	NaN	NaN
K02166	NaN	NaN	NaN	NaN
K02105	NaN	NaN	NaN	NaN
K02085	NaN	NaN	NaN	NaN
K08957	NaN	NaN	NaN	NaN
K04496	NaN	NaN	NaN	NaN
K04500	NaN	NaN	NaN	NaN
K04501	NaN	NaN	NaN	NaN
K04503	NaN	NaN	NaN	NaN
K10151	NaN	NaN	NaN	NaN
K04507	NaN	NaN	NaN	NaN
K04508	NaN	NaN	NaN	NaN
K04510	NaN	NaN	NaN	NaN
K04512	NaN	NaN	NaN	NaN
K04513	NaN	NaN	NaN	NaN
K04514	NaN	NaN	NaN	NaN
K05858	NaN	NaN	NaN	NaN
K06053	NaN	NaN	NaN	NaN
K06057	NaN	NaN	NaN	NaN
K06058	NaN	NaN	NaN	NaN
K06170	NaN	NaN	NaN	NaN
K06171	NaN	NaN	NaN	NaN
K06065	NaN	NaN	NaN	NaN
K06066	NaN	NaN	NaN	NaN
K06229	NaN	NaN	NaN	NaN
K06233	NaN	NaN	NaN	NaN
K06234	NaN	NaN	NaN	NaN
K08958	NaN	NaN	NaN	NaN
K02218	NaN	NaN	NaN	NaN
K04659	NaN	NaN	NaN	NaN
K04660	NaN	NaN	NaN	NaN
K04676	NaN	NaN	NaN	NaN
K04718	NaN	NaN	NaN	NaN
K05760	NaN	NaN	NaN	NaN
K05405	NaN	NaN	NaN	NaN
K05058	NaN	NaN	NaN	NaN
K05059	NaN	NaN	NaN	NaN
K05060	NaN	NaN	NaN	NaN
K11217	NaN	NaN	NaN	NaN
K04447	NaN	NaN	NaN	NaN
