KO number	eco Li complete	eco Li minimal	eco Li without methionine
K03593	5277	1391	3116
K03217	8807	1094	2589
K11238	NaN	NaN	NaN
sce_YHR193C	NaN	NaN	NaN
K03231	NaN	NaN	NaN
K03233	NaN	NaN	NaN
K03232	NaN	NaN	NaN
eco_b0953	256	16122	372
K02358	579074	116583	339302
K06158	855	235	424
K02835	1059	210	440
K02838	23316	5780	10122
K02493	188	36	108
K01056	1966	403	1030
K02518	30461	5683	7178
K02356	50511	9314	22910
K03833	1083	338	672
K02836	10031	1732	5473
K02837	7808	922	3451
K09890	948	766	539
K15034	73	23	27
K13963	NaN	NaN	NaN
mpn_MPN294	NaN	NaN	NaN
spo_SPBC1709.05	NaN	NaN	NaN
K04043	44581	10567	45951
eco_b3509	191	5467	141
K03238	NaN	NaN	NaN
K04077	52165	11204	57895
K03545	69639	13128	40097
sce_YHR064C	NaN	NaN	NaN
K06142	20120	10662	15549
mtu_Rv0251c	NaN	NaN	NaN
sce_YFL014W	NaN	NaN	NaN
K07400	15911	4329	11534
K04079	12381	2421	11412
K03283	NaN	NaN	NaN
sce_YKL117W	NaN	NaN	NaN
K01527	NaN	NaN	NaN
K03704	337636	84237	170546
K03694	989	2420	928
K03695	3312	1421	3671
K03544	5857	2475	3870
K03667	9329	1426	6438
K04044	2256	542	2252
K04045	5	1	0.1
K04046	321	70	110
K05516	508	583	373
K05801	762	137	341
K04082	1461	416	1151
K04083	6405	952	4261
K04080	2834	666	2032
K04081	620	138	585
K04762	676	174	415
K04771	2139	1601	2238
K03798	4550	1124	2091
K07346	149	55	5
K03071	21205	5193	17840
K03767	4423	1179	1356
K03768	25909	8773	15279
K03770	3717	666	1644
K03772	11791	3102	7345
K03773	10247	2940	5110
K03774	1155	472	553
K03775	38169	7302	20452
K03769	9133	1330	4213
K03771	3872	1291	2546
K03671	34622	9265	14614
K03672	1704	569	648
K05838	5221	1604	3229
K03674	1247	431	807
K03675	936	2912	504
K03676	7668	2978	2864
K07390	20731	8964	8373
K03673	11119	2628	5197
K03611	2221	357	804
K03981	2167	706	1266
K04084	456	145	221
K02199	73	27	20
K03805	543	229	278
K03076	9848	1778	4940
K03073	10472	1743	3047
K03075	12154	2964	4058
K03072	2699	437	1250
K03074	2927	462	1136
K03210	26903	8494	13515
K03070	3987	1148	3269
K13301	560	226	347
