KO number	eco Li complete	eco Li minimal	eco Li without methionine
K02389	80	23	0.1
K02391	44	11	0.1
K02392	80	31	0.1
K02395	6	3	0.1
K02390	138	45	5
K02408	67	14	6
K02396	15	11	2
K02397	39	39	11
K02407	3	6	0.1
K02414	6	5	0.1
K02415	60	8	0.1
K02398	136	151	85
K02399	52	38	9
K02413	5	1	0.1
K02422	20	22	3
K02423	5	5	0.1
K02425	15	17	0.1
K02669	12	10	0.1
K07345	14269	4754	1218
K07347	17	13	0.1
K07348	16	14	0.1
K07349	21	16	6
K07350	29	25	0.1
K07351	42	17	0.1
K07352	7	11	0.1
K07353	0.1	0.1	0.1
K07354	0.1	0.1	0.1
K07355	6	4	0.1
K07356	3	0.1	0.1
K09892	34197	7797	18090
K06630	NaN	NaN	NaN
sce_YOR230W	NaN	NaN	NaN
K02503	3872	2098	2005
K03925	NaN	NaN	NaN
spo_SPCC4B3.15	NaN	NaN	NaN
spo_SPAC27F1.02c	NaN	NaN	NaN
spo_SPAC24B11.11c	NaN	NaN	NaN
K06631	NaN	NaN	NaN
K05759	NaN	NaN	NaN
spo_SPAP8A3.08	NaN	NaN	NaN
spo_SPAC1F5.04c	NaN	NaN	NaN
K08825	NaN	NaN	NaN
spo_SPAC9G1.06c	NaN	NaN	NaN
spo_SPBC244.01c	NaN	NaN	NaN
spo_SPBC19G7.05c	NaN	NaN	NaN
spo_SPCC613.04c	NaN	NaN	NaN
spo_SPCC645.05c	NaN	NaN	NaN
spo_SPAC4F8.13c	NaN	NaN	NaN
spo_SPCC1739.11c	NaN	NaN	NaN
sce_YER150W	NaN	NaN	NaN
sce_YJR151C	NaN	NaN	NaN
sce_YOR383C	NaN	NaN	NaN
sce_YKL096W	NaN	NaN	NaN
sce_YJL174W	NaN	NaN	NaN
sce_YEL040W	NaN	NaN	NaN
sce_YDR534C	NaN	NaN	NaN
sce_YJR150C	NaN	NaN	NaN
sce_YLR037C	NaN	NaN	NaN
sce_YNL327W	NaN	NaN	NaN
sce_YER011W	NaN	NaN	NaN
sce_YNL322C	NaN	NaN	NaN
sce_YOR009W	NaN	NaN	NaN
sce_YMR307W	NaN	NaN	NaN
sce_YGR282C	NaN	NaN	NaN
sce_YJL078C	NaN	NaN	NaN
sce_YCR089W	NaN	NaN	NaN
sce_YOL030W	NaN	NaN	NaN
sce_YPL130W	NaN	NaN	NaN
sce_YOR010C	NaN	NaN	NaN
sce_YJL158C	NaN	NaN	NaN
sce_YDR077W	NaN	NaN	NaN
sce_YKR042W	NaN	NaN	NaN
sce_YOR382W	NaN	NaN	NaN
sce_YNL300W	NaN	NaN	NaN
sce_YGR279C	NaN	NaN	NaN
sce_YOR214C	NaN	NaN	NaN
sce_YIL011W	NaN	NaN	NaN
sce_YIL123W	NaN	NaN	NaN
sce_YDL049C	NaN	NaN	NaN
sce_YJR004C	NaN	NaN	NaN
sce_YNR067C	NaN	NaN	NaN
sce_YLR286C	NaN	NaN	NaN
sce_YGL028C	NaN	NaN	NaN
sce_YOL155C	NaN	NaN	NaN
sce_YJL160C	NaN	NaN	NaN
sce_YAR050W	NaN	NaN	NaN
sce_YBR078W	NaN	NaN	NaN
sce_YNL066W	NaN	NaN	NaN
sce_YGR189C	NaN	NaN	NaN
sce_YMR215W	NaN	NaN	NaN
sce_YHR211W	NaN	NaN	NaN
sce_YBR301W	NaN	NaN	NaN
sce_YHR143W	NaN	NaN	NaN
sce_YMR305C	NaN	NaN	NaN
sce_YAL063C	NaN	NaN	NaN
sce_YNR044W	NaN	NaN	NaN
sce_YHR126C	NaN	NaN	NaN
sce_YOR247W	NaN	NaN	NaN
sce_YKL164C	NaN	NaN	NaN
sce_YKR102W	NaN	NaN	NaN
sce_YDR055W	NaN	NaN	NaN
sce_YKL163W	NaN	NaN	NaN
sce_YLR110C	NaN	NaN	NaN
sce_YBR067C	NaN	NaN	NaN
sce_YLR390W-A	NaN	NaN	NaN
sce_YLR040C	NaN	NaN	NaN
sce_YMR006C	NaN	NaN	NaN
sce_YJL159W	NaN	NaN	NaN
sce_YKL096W-A	NaN	NaN	NaN
sce_YLR300W	NaN	NaN	NaN
sce_YIR019C	NaN	NaN	NaN
K01104	44	34	8
sce_YPL058C	NaN	NaN	NaN
K02424	1242	7219	26760
eco_b0957	207618	69396	106768
K16261	NaN	NaN	NaN
K12368	2823	5448	2728
sce_YDR508C	NaN	NaN	NaN
K01535	NaN	NaN	NaN
K01537	NaN	NaN	NaN
K08139	NaN	NaN	NaN
K10108	652	682	213
K05863	NaN	NaN	NaN
K09475	163538	52929	133632
K09476	88988	71798	63340
mpn_MPN685	NaN	NaN	NaN
K15040	NaN	NaN	NaN
K10540	289	448	82
K11085	1044	242	375
K06147	75	20	11
K16012	367	136	154
K16013	467	158	216
K06148	70	16	10
K05685	96	54	49
K06159	332	84	76
K02471	7	4	0.1
K15738	1482	244	792
K02048	31	3112	36106
K02046	4	419	1488
K02047	4	308	936
K02045	36	2214	7403
K02020	769	462	491
K02018	56	27	15
K02017	57	31	38
K05776	123	407	151
K15551	3	39	231
K15552	0.1	2	0.1
K10831	0.1	8	36
K15553	5	7	11
K15554	3	2	0.1
K15555	7	12	12
K02010	11	7	4
K02064	193	1094	60
K02063	34	41	10
K02062	95	93	31
K11069	9151	3262	4414
K11070	1173	194	492
K11071	1319	189	509
K11072	3596	564	1662
K11073	257	1061	95
K11074	20	48	0.1
K11075	28	77	4
K11076	75	223	21
K02055	11	103	0.1
K02053	1	5	0.1
K02054	1	6	0.1
K02052	2	10	0.1
K02002	170	370	151
K02001	91	146	86
K02000	83	232	167
K05845	19	410	15
K05846	6	61	0.1
K05847	7	65	3
K05777	92	76	40
K05778	5	4	0.1
K05779	17	19	17
K10109	25	28	0.1
K10110	42	40	0.1
K10111	31	61	0.1
K10537	4	9	0.1
K10538	10	13	0.1
K10539	2	7	0.1
K10541	76	57	7
K10542	52	83	21
K10543	1	6	0.1
K10544	5	4	0.1
K10545	0.1	1	0.1
K10549	81	41	46
K10550	1	2	0.1
K10551	0.1	0.1	0.1
K10555	8	28	3
K10556	0.1	1	0.1
K10557	0.1	2	0.1
K10558	0.1	2	0.1
K10440	324	66	90
K10441	263	56	146
K05813	52	317	40
K05814	10	27	0.1
K05815	8	34	0.1
K05816	69	125	27
K02067	2239	478	1001
K02066	864	149	680
K02065	1079	277	903
K07323	5249	1923	2608
K07122	1630	326	720
K02027	0.1	1	0.1
K02025	0.1	0.1	0.1
K02026	2	0.1	0.1
K02058	40	54	21
K02057	7	13	0.1
K02056	1	4	0.1
K02069	110	46	59
K02068	285	147	275
K02037	452	163	302
K02038	467	195	368
K02036	1847	955	2470
K02044	1	5	0.1
K02041	0.1	3	0.1
K10013	427	2939	463
K10015	79	142	33
K10016	88	154	52
K10017	241	348	133
K10014	1763	5085	808
K10036	627	3566	564
K10037	149	314	61
K10038	246	700	166
K09996	544	5888	148
K09997	3323	2088	1039
K09998	484	93	99
K09999	512	107	127
K10000	1392	461	302
K09970	0.1	1	0.1
K09971	0.1	1	0.1
K09972	29	21	27
K10009	317	288	522
K10010	379	440	1294
K01999	2539	26307	1607
K01997	221	708	166
K01998	176	527	90
K01995	215	819	190
K01996	331	1162	351
K02073	8113	12816	35130
K02072	1092	340	3033
K02071	2315	754	13027
K15580	21880	6718	20911
K15581	2694	318	1060
K15582	2612	261	1586
K15583	3522	474	3431
K10823	3935	485	2830
K12369	536	318	297
K12370	572	283	280
K12371	746	474	530
K12372	809	508	429
K15584	30	10	22
K15585	6	3	0.1
K15586	14	1	0.1
K15587	15	4	0.1
K10824	13	5	0.1
K13889	71	574	686
K13890	20	93	110
K13891	28	109	134
K13892	41	219	417
K02035	112	98	108
K02033	0.1	2	0.1
K02034	0.1	3	0.1
K02031	2	4	0.1
K02032	1	5	0.1
K13893	51	59	46
K13894	18	20	5
K13895	33	26	17
K13896	29	31	21
K02016	351	134	138
K02015	151	34	41
K02013	325	134	161
K06858	141	38	33
K06073	81	29	22
K06074	112	92	49
K09815	3453	25238	57733
K09816	252	301	450
K09817	332	468	1322
K07091	946	209	419
K11720	775	166	354
K06861	1481	631	837
K09808	667	264	372
K09810	817	337	418
K02196	211	76	51
K02195	171	65	52
K02194	25	12	0.1
K02193	34	23	8
K02004	37	32	20
K02003	65	77	65
K01992	849	334	455
K01990	774	325	668
K09013	117	226	94
K03327	824	151	270
K08137	368	194	151
K02100	25	11	12
K08138	0.1	0.1	0.1
K02532	3	2	0.1
K02429	0.1	0.1	0.1
K03291	68	18	24
K03289	230	49	30
K11537	1	1	0.1
K06901	5299	1407	1090
K03761	4544	3937	2807
K03762	465	613	826
K08172	163	163	245
K08177	3	1	0.1
K03290	3	2	0.1
K03535	0.1	0.1	0.1
K08191	11	4	0.1
K08194	1	0.1	0.1
K12299	0.1	0.1	0.1
K05819	3	4	0.1
K03449	39	12	8
K05820	116	20	46
K02445	49	2	14
K02575	1	20	0.1
K08227	100	41	64
K08225	62	23	24
K08218	259	55	75
K07552	235	78	111
K08160	291	50	63
K08161	20	8	0.1
K08162	8	5	0.1
K08163	55	10	17
K08156	171	124	151
K08159	202	95	116
K03445	168	37	80
K08154	439	0.1	163
K03446	181	40	59
K08169	13	4	0.1
K08223	151	53	89
K08224	38	22	28
K08219	291	60	61
K06141	587	95	106
K08368	0.1	1	0.1
K08369	5	1	0.1
K08483	15078	5497	3825
K08484	401	222	336
K02784	54232	23646	16271
K08485	389	195	202
K02777	32738	14155	11275
K02778	15389	3454	3661
K02802	1222	213	352
K02790	61	12	6
K02755	0.1	0.1	0.1
K02752	0.1	1	0.1
K02818	66	27	15
K11191	29	6	10
K02768	395	184	259
K02769	359	179	154
K11201	6	1	0.1
K11202	31	25	23
K11203	2	0.1	0.1
K02798	419	199	213
K02799	0.1	0.1	0.1
K11198	0.1	1	0.1
K02759	99	41	104
K02760	264	158	147
K02761	14	3	0.1
K02781	83	28	78
K02782	11	9	5
K02783	12	7	7
K02773	1355	3907	1509
K02774	878	2871	770
K02775	3	3	0.1
K02793	2425	2117	1050
K02795	2694	2026	749
K02796	2624	1997	1242
K02745	36	20	13
K10984	7	6	5
K10985	1	0.1	0.1
K10986	1	2	0.1
K02821	53	22	24
K02822	71	44	51
K03475	2	1	0.1
K02806	1827	729	1123
K05881	415	414	275
K06188	63	25	4
K02440	30	8	6
K10716	120	123	65
K03320	5	132	0.1
K07114	1	3	0.1
K03282	2802	2481	1804
K05802	890	173	410
K03442	4271	2927	2193
K16052	214	83	33
K16053	357	91	127
K03561	1995	777	695
K03559	941	298	182
K03562	1667	392	639
K03560	864	221	537
K03284	1650	463	591
K16074	243	158	185
K11929	62	40	40
K14062	4	2	0.1
K02024	100	314	13
K10124	2	1	0.1
K06076	6912	416	1795
K05517	14911	3927	5253
K07279	3	3	0.1
K12687	122	123	165
K16090	136	54	88
K16091	51	12	6
K16092	2295	564	1115
K16088	20	10	2
K16089	148	111	93
K02014	1561	424	464
K12340	8768	3141	4722
K15550	0.1	0.1	0.1
K01991	74	23	41
K14053	0.1	1	0.1
K16140	0.1	0.1	0.1
K17713	3080	1064	1541
K07287	2653	1103	1379
K05807	6620	2233	2761
K06186	5689	1917	2862
K09774	1666	853	1361
K11719	519	199	245
K04744	2267	1037	1500
K03643	1403	522	628
K06518	56	25	103
K11104	3	5	0.1
K16139	0.1	0.1	0.1
K11732	720	99	254
K11733	2365	938	364
K11734	832	1194	319
K11735	2	43	0.1
K11736	1294	80	314
K11737	1356	541	689
K11738	285	25	185
K16235	39	64	2791
K14052	13	48	0.1
K03756	5	14	0.1
K03757	0.1	0.1	0.1
K03758	275	9	24
K03759	3	1	0.1
K16263	41	77	19
K16264	84	85	70
K13283	387	102	156
K07238	407	217	295
K18138	2074	433	908
K18141	5	0.1	0.1
K18142	5	1	0.1
K03297	510	142	196
K11741	167	46	77
K11742	104	26	108
K11743	96	32	116
K15268	79	156	52
K11939	132	26	32
K02856	1	2	0.1
K05786	331	43	68
K09936	28	29	18
K12962	1	10	0.1
K09771	241	104	126
K06157	4	2	0.1
K16321	60	5	5
K06155	66	58	11
K13629	12	2	10
K06156	31	5	3
K03299	11	3	0.1
K07791	1831	574	778
K00427	44	33	13
K02550	3	17	0.1
K02168	82	51	54
K03304	111	27	50
K07300	432	197	164
K07301	73	24	24
K16322	3663	423	712
K14392	382	29	58
K11928	1637	361	479
K14393	15	46	0.1
K03312	365	108	846
K03313	1046	131	190
K03314	1060	187	465
K11105	66	55	31
K11745	58	39	21
K11746	101	91	60
K11747	32	26	30
K11748	69	66	56
K10974	587	1466	76
K02824	1679	1223	435
K09016	2	5	0.1
K16345	532	432	60
K16346	1	3	0.1
K11535	2588	484	650
K16324	0.1	1	0.1
K16325	0.1	1	0.1
K03834	391	71	108
K03835	66	43	58
K03836	0.1	0.1	0.1
K03837	15068	149	3117
K03838	83	25	34
K06212	446	133	275
K03459	2	2	0.1
K02598	116	34	37
K03893	48	8	5
K05782	8	12	53
K11106	0.1	0.1	0.1
K08970	48	360	51
K03321	321	34	63
K03322	136	58	57
K03324	192	60	130
K03326	4	0.1	0.1
K18799	614	192	303
K16693	120	21	43
K16695	1	0.1	0.1
K03980	674	78	186
K03549	404	75	104
K06895	419	88	262
K05834	84	166	50
K05835	225	239	119
K03329	18	7	6
K11249	16	9	2
K11250	324	14	158
K03468	16	2	0.1
K15547	0.1	0.1	0.1
K03548	287	91	88
K05595	156	94	83
K07224	895	566	456
K16301	135	67	72
K03832	647	218	199
K03646	476	133	278
K03641	6049	2491	4026
K07312	20	15	0.1
K07311	22	32	10
K07309	1	2	0.1
K07310	34	29	20
K07306	28	21	12
K07307	32	27	16
K07308	31	16	5
K07821	0.1	1	0.1
K07812	16	10	19
K08351	241	172	466
K08354	1	4	0.1
K03811	1384	532	1123
K03543	770	229	317
K15549	0.1	0.1	0.1
K15548	62	5	21
K04758	289	181	190
K04759	346	168	180
K07490	128	50	47
K17938	76	30	22
K06189	1280	665	1216
K06144	66	402	82
K16347	461	98	262
K16348	1128	23546	824
K02198	48	14	8
K07507	1	30	0.1
K07245	211	63	103
K02847	451	236	93
K06726	585	114	413
K02453	3	5	0.1
K02452	5	7	0.1
K02455	0.1	2	0.1
K02456	2	2	0.1
K02457	0.1	0.1	0.1
K02458	0.1	0.1	0.1
K02459	0.1	0.1	0.1
K02460	0.1	0.1	0.1
K02461	1	1	0.1
K02462	46	13	12
K02454	1	2	0.1
K02450	0.1	1	0.1
K02451	4	5	0.1
K02679	1	1	1
K02680	4	2	0.1
K02681	10	12	0.1
K02682	0.1	0.1	0.1
K02504	1	1	0.1
K02505	3	1	0.1
K12288	17	12	12
K12289	5	4	0.1
K12290	2	1	0.1
K12291	0.1	1	0.1
K02507	2	2	0.1
K02221	1551	383	702
K02237	41	23	44
K02238	2	2	0.1
K04334	108	128	33
K04335	0.1	0.1	0.1
K04336	0.1	5	0.1
K04337	4	19	0.1
K04338	5	53	14
K06214	11	57	7
K01568	NaN	NaN	NaN
eco_b1967	335	1879	178
K00134	105852	59076	79411
K01007	2730	1434	1512
K00027	1331	861	1143
K01689	54222	21234	35091
K00844	NaN	NaN	NaN
K00873	15717	7795	8421
K01759	5210	2525	2597
K03841	5367	1028	3390
K00845	979	544	500
K16370	807	1152	463
K11645	95	2753	55
K01624	26609	13978	15477
K15633	5931	2600	3720
K15634	2056	443	1348
K00163	66813	5837	32526
K00627	60155	5226	28493
K00121	4204	736	1558
K04072	3485	4687	3197
K13953	20	773	21
K13954	0.1	0.1	0.1
K04022	1	2	0.1
K00138	1	76	0.1
K01895	150	643	79
K01785	1675	1015	921
K01085	86	306	34
K01835	3596	1172	2136
K01792	1320	1683	1091
K01610	7029	639	2989
K01222	20	10	15
K01223	3027	940	1829
K07248	555	1620	349
K00656	10131	6016	6753
K03778	2583	998	1592
K01638	805	8765	1395
K03777	603	1068	556
K00156	40	877	24
K13788	13861	1157	6999
K01069	390	401	347
K01512	192	315	153
K00048	22	24	10
K12972	561	825	600
K01734	3468	1567	2067
K00101	445	316	215
K00031	29482	38899	24020
K01647	2408	8529	1644
K01681	264	870	190
K01682	7764	7660	6068
K00164	3431	2121	2158
K00658	10970	5678	6005
K01902	6091	6409	2968
K01903	5335	6381	3031
K00239	3611	3418	1647
K00240	4850	4015	2803
K00241	3179	3647	1660
K00242	2341	2508	1273
K01676	2601	1990	1451
K01679	498	429	326
K00024	9529	16149	7048
K00116	1554	287	1295
K01637	1483	14155	2523
K01847	0.1	1	0.1
K00104	1	11	0.1
K11472	2	7	0.1
K11473	1	10	0.1
K01091	1316	432	762
K01608	15	9	12
K01816	4	9	0.1
K00042	143	93	78
K00865	84	58	32
K03779	0.1	0.1	0.1
K03780	1	1	0.1
K07246	46	49	29
K01625	11006	3295	8106
K00123	222	12	37
K00124	209	13	29
K00127	221	16	13
K01577	8	8	0.1
K01595	2530	4441	2495
K00029	1216	1019	1018
K00033	27814	9767	18390
spo_SPBC2G5.05	NaN	NaN	NaN
K00855	190	218	169
hsa_P29401-2	NaN	NaN	NaN
K07404	2592	2076	2221
K01783	2199	1654	1866
K00615	13883	5905	8279
K00616	19550	10329	11938
K01807	8526	2819	3957
K01808	84	52	77
K01619	1596	636	725
K00852	816	144	385
K05774	2	3	0.1
K00948	19750	3998	4050
K01690	148	80	88
K00117	582	415	457
K00851	163	64	58
K00874	2326	351	997
K00693	NaN	NaN	NaN
K00688	922	1171	583
K01187	90	77	46
K15922	10	7	0.1
K05349	769	227	584
K00697	43	685	11
K01087	4	201	0.1
K01194	51	481	21
K01226	79	23	28
K01838	0.1	0.1	0.1
K02438	47	180	85
K00012	26	49	0.1
K01198	60	47	25
K01051	4039	1213	1779
K00963	15628	5740	10895
K00847	458	279	368
K00975	257	910	514
K00690	1	0.1	0.1
K01176	28	417	0.1
K00705	222	220	127
K00694	10	3	0.1
K01179	39	15	26
K01809	1879	576	1479
K01840	10	8	0.1
K00971	3	4	0.1
K01711	13	17	9
K02377	2	4	0.1
K01818	81	26	27
K00879	17	9	0.1
K01628	10	6	3
K12661	1	1	0.1
K12660	78	41	79
K01813	4	5	0.1
K00848	0.1	0.1	0.1
K07026	24	227	5
K00009	851	503	695
K00068	139	48	81
K00882	356	155	205
K01805	20	13	3
K00881	12	7	4
K17195	23	13	1
K00965	335	135	163
K01784	1734	728	773
K01190	31	10	8
K12111	3	1	0.1
K12112	12	5	0.1
K01854	3076	1796	2460
K07406	14	26	4
K00094	643	2360	465
K08302	5528	9088	7752
K16371	3252	6377	2717
K01684	26	18	6
K00883	10	7	0.1
K01631	8	5	4
K02080	13	3	6
K01093	16	42	4
K01815	95	22	56
K00065	177	68	47
K01812	162	102	67
K00041	20	8	4
K01685	53	20	28
K01686	595	144	325
K00040	364	90	213
K08092	8	2	0.1
K00880	1	1	0.1
K03081	33	19	16
K03082	26	10	2
K01786	9	4	0.1
K03080	24	14	8
K01804	19	17	4
K00853	2	5	0.1
K00854	67	61	47
K03476	210	52	107
K03077	22	8	3
K01706	119	58	68
K01630	16	10	2
K01708	29	15	8
K01839	2087	1012	1501
K04073	14	15	0.1
K04021	2	2	0.1
K04020	1	2	0.1
K00074	2	3	0.1
K01692	2	3	0.1
K00823	14	291	5
K08324	202	152	200
K08318	1	5	0.1
K11258	59	279	129
K00052	662	3334	1078
K00135	55	465	36
K03737	924	304	399
K00102	NaN	NaN	NaN
K00925	35607	1197	15918
K02437	2321	4002	4785
K00287	2515	398	1094
K13938	210	87	86
K01491	4317	1311	1579
K11175	753	426	214
K08289	671	1987	156
K00605	475	941	1018
K00548	559	753	1780
K00560	3089	651	1071
K00297	192	2849	24854
K01908	0.1	0.1	0.1
K00932	30	8	15
K11264	37	23	0.1
K08325	783	309	445
K18471	31	16	15
K00005	91	94	51
K13381	97	30	60
K01207	873	303	656
K07106	286	76	222
K00884	177	131	157
K04042	3249	795	2575
K00885	43	14	4
K01788	93	39	61
K01639	319	59	146
K01791	1326	200	690
K02472	1074	185	796
K03431	5713	1268	3253
K01443	487	213	402
K02564	1391	687	866
K10011	74	317	3
K10012	61	248	4
K00090	2255	1988	1774
K07250	49	369	16
K03417	0.1	0.1	0.1
K01659	0.1	1	0.1
K01720	1	1	0.1
K02108	10508	3471	4701
K00420	NaN	NaN	NaN
K02259	NaN	NaN	NaN
K02154	NaN	NaN	NaN
K00414	NaN	NaN	NaN
K00415	NaN	NaN	NaN
K00416	NaN	NaN	NaN
K00417	NaN	NaN	NaN
K00411	NaN	NaN	NaN
K00413	NaN	NaN	NaN
K00418	NaN	NaN	NaN
K00419	NaN	NaN	NaN
K02258	NaN	NaN	NaN
mtu_Rv3029c	NaN	NaN	NaN
K02272	NaN	NaN	NaN
K02269	NaN	NaN	NaN
K02261	NaN	NaN	NaN
K02264	NaN	NaN	NaN
K02145	NaN	NaN	NaN
K02260	NaN	NaN	NaN
K02263	NaN	NaN	NaN
K02265	NaN	NaN	NaN
K02267	NaN	NaN	NaN
K02266	NaN	NaN	NaN
K00330	3084	1083	1022
K00331	4225	1617	3708
K13378	3010	1164	2039
K00334	3963	1650	3823
K00335	2470	1034	1489
K00336	2657	1173	1547
K00337	1631	626	740
K00338	2352	926	1943
K00339	1336	529	596
K00340	1352	592	705
K00341	1634	510	645
K00342	2158	576	716
K00343	2545	682	774
K03885	13264	925	8557
K02301	4102	870	1459
K02300	16777	4458	9627
K02299	14872	2749	5041
K02298	14005	2179	4521
K02297	15769	3421	6446
K02111	30696	9565	18916
K02112	30603	8213	18320
K02115	9832	3131	6674
K02113	9335	2677	4796
K02114	12695	3640	5425
K02109	17866	4477	5549
K02110	112959	23624	38617
K01507	66605	16471	33274
K02116	151	67	44
K00507	NaN	NaN	NaN
K00981	735	182	289
K00864	377	129	172
K02078	357865	85961	214887
K11262	NaN	NaN	NaN
K02160	34495	5637	13718
K01962	10155	1800	4753
K00626	228	119	102
K01963	8774	2475	4611
K01961	13890	1951	4452
K00648	7355	1564	4455
K00647	18626	3376	10199
K09458	15814	1598	8356
K00059	21408	4015	12422
K01716	22820	4392	11905
K02372	19275	3099	12823
K00208	41315	8248	25585
K00632	43	114	22
K06445	24	113	7
K05939	188	80	162
K00529	22	27	7
K05878	165	318	183
K05879	285	410	357
K00631	1896	445	739
K03621	204	117	217
K08591	200	93	134
K00655	862	174	368
K01002	450	84	228
K00057	1471	355	602
K00111	129	45	79
K00112	4	0.1	0.1
K00113	8	5	0.1
K01058	1175	273	485
K01048	130	81	78
K01126	586	287	311
K04019	0.1	2	0.1
K03735	175	101	171
K03736	151	76	109
K01521	527	58	299
K00998	1855	535	845
K01613	1980	486	828
K00995	736	396	321
K01095	443	96	209
K01096	80	67	46
K18697	218	127	196
K06131	336	252	238
K06132	3	92	0.1
K00432	383	998	303
K01825	15	64	0.1
K01782	19	37	2
K10804	400	289	247
K10805	850	278	474
K10806	2781	426	948
K12500	6	50	4
K12507	3	4	0.1
sce_YGR180C	NaN	NaN	NaN
sce_YER070W	NaN	NaN	NaN
spo_SPAC25B8.12c	NaN	NaN	NaN
sce_YJL026W	NaN	NaN	NaN
K01515	704	223	405
K08312	1130	428	620
K01945	1072	1372	337
K01952	1132	1417	339
K01933	1596	2891	388
K01589	655	745	194
K01588	1068	1194	210
K01923	2986	6708	1328
K01756	7380	3041	2162
K11751	484	512	463
K03787	439	134	229
K08723	763	369	418
K00892	1792	323	657
K03784	13272	2993	8832
K03815	2	4	0.1
K10213	0.1	1	0.1
K00760	7860	1120	3511
K00940	44876	9782	16136
K02428	1397	448	930
K04765	566	168	268
K00769	16116	2035	4077
K00087	4	8	0.1
K13479	12	15	0.1
K13480	22	22	24
K00364	2831	3013	1094
K01487	41	37	45
K00942	4423	524	1537
K00527	256	92	140
K01129	95	129	109
K01524	701	403	438
K00951	356	213	358
K05851	372	263	342
K01939	11727	5661	6316
K01488	724	265	548
K01241	521	1104	541
K01486	738	46	311
K01119	479	207	286
K01525	453	184	165
K00860	8	957	3541
K00956	16	3066	13629
K00957	10	4115	22588
K07127	52	81	14
K01466	9	6	0.1
K01483	14	8	18
K00073	2	1	0.1
K00926	32	16	6
K01433	5277	2324	1671
spo_SPBC530.07c	NaN	NaN	NaN
K01948	NaN	NaN	NaN
K01955	530	5867	198
K01956	456	5516	220
K00609	1359	23504	362
K00610	1082	26096	463
K01465	4309	5040	1634
K00254	1798	1337	482
K00762	823	119	323
K01591	3128	1286	1074
K00945	1997	536	980
K09903	8703	2531	3199
K01937	14494	1874	5170
K01494	1102	819	661
K00876	3151	468	1144
K00757	2761	2011	2073
K00761	18345	9464	6246
K17722	30	14	16
K17723	23	14	9
K09018	0.1	4	0.1
K09024	9	23	0.1
K09020	0.1	3	0.1
K09021	0.1	4	0.1
K09023	0.1	2	0.1
K16066	3930	3017	2514
K09019	0.1	4	0.1
K01485	1426	2303	611
K00384	8599	2980	4301
K01489	313	287	320
K00758	349	237	252
K00857	1249	404	758
K00943	940	189	472
K16328	2	0.1	0.1
K16329	14	11	4
K03146	NaN	NaN	NaN
K01652	1322	2934	1622
K01740	NaN	NaN	NaN
K01580	16	2691	11
K01251	NaN	NaN	NaN
K01079	790	242	565
spo_SPCC1223.02	NaN	NaN	NaN
K01915	2480	14311	1186
K01649	337	2685	579
K00600	13787	22684	12632
sce_YIL051C	NaN	NaN	NaN
sce_YAL044C	NaN	NaN	NaN
K00831	3643	8655	3940
K01653	1043	2748	1835
K01695	544	2506	653
K01696	550	2331	787
K00058	5109	19405	6366
K01704	1031	5305	1055
K01703	780	4284	970
K00278	2317	363	1749
K01424	1774	462	925
K01914	5147	794	1664
K14260	2267	533	1217
K01744	1119	71	469
K00265	1079	6013	1004
K00266	1275	6079	969
K00262	373	5645	645
K01425	455	389	195
K00928	397	2887	1225
K12524	3789	5761	4395
K12525	972	581	9779
K00133	7060	10592	6893
K00872	1981	2287	2435
K01733	4879	5880	4995
K01620	684	516	767
K00639	3729	97	1948
K00060	4448	263	2284
K00276	3	5	0.1
K00281	397	836	780
K00108	131	67	91
K00130	335	219	340
K01752	10684	208	3311
K01754	351	401	420
K01753	474	131	405
K00640	817	524	574
K01738	2486	24492	68972
K12339	473	1411	5838
K01760	596	1256	7277
K14155	179	124	128
K00547	101	156	3826
K00549	571	63552	282818
K00789	22856	7214	26255
K01611	6346	1745	1826
K00797	4911	1960	2631
K01243	6313	1802	3517
K00832	1417	1747	1342
K07173	9963	9292	8903
K00651	318	1711	10586
K01739	183	745	7909
K00813	4498	7192	3526
K05396	618	795	2116
K00826	2072	2671	2636
K00053	865	29455	1822
K01687	579	675	738
K00835	1923	849	1229
K01714	4688	2215	2985
K00215	2156	1990	1677
K00674	15404	8536	11067
K00821	637	2537	189
K01439	1286	263	997
K01778	756	294	736
K01586	1317	726	2418
K01582	17	73	14
K01584	5	8	0.1
K01585	9452	1823	4279
K01480	11961	1122	6475
K01581	684	249	267
K09251	8	789	0.1
K00137	40	228	27
K00657	2235	679	1232
K00673	0.1	9	0.1
K01484	1	9	0.1
K00840	6	94	0.1
K06447	2	20	0.1
K05526	1	10	0.1
K09470	109	822	152
K09471	31	391	23
K09472	24	392	17
K00286	1913	1150	1528
K00931	2048	536	1202
K00147	2289	803	1705
K00611	272	5098	166
K14682	28	1129	18
K00930	125	1736	56
K00145	57	1076	39
K01438	372	1444	314
K00765	2848	2567	2659
K11755	2356	2042	1564
K01814	872	739	700
K02501	1131	1212	1083
K02500	1002	989	494
K01089	1672	1721	1757
K00817	1377	1453	1287
K00013	1430	1353	1165
K00146	12	28	7
K01912	8	15	0.1
K02614	5	6	0.1
K02609	2	3	0.1
K02610	4	3	0.1
K02611	1	3	0.1
K02612	1	1	0.1
K02613	7	8	0.1
K15866	5	4	0.1
K02618	4	2	0.1
K02615	6	8	1
K00285	1586	181	2178
K05708	4	10	4
K05709	2	6	0.1
