Numerator	Denominator	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8667	0.834	0.6778	0.825
Genetic Information Processing	TOTAL	0.4995	0.5837	0.3247	0.5096
-Transcription	TOTAL	0.02191	0.02262	0.02422	0.02274
-Translation	TOTAL	0.3952	0.4861	0.2354	0.4094
-Folding, Sorting and Degradation	TOTAL	0.06863	0.06073	0.04959	0.06636
-DNA Maintenance	TOTAL	0.02592	0.02202	0.02075	0.01766
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.004348	0.004731	0.005804	0.004773
-Signal Transduction	TOTAL	0.004329	0.004721	0.00573	0.004768
-Signaling Molecules and Interaction	TOTAL	1.394e-05	8.619e-06	1.397e-05	5.213e-06
Cellular Processes	TOTAL	0.005381	0.005031	0.007799	0.004275
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	1.627e-05	4.102e-05	0.00316	6.274e-05
-Vesicular Transport	TOTAL	1.996e-06	5.171e-07	8.313e-07	9.818e-09
-Cytoskeleton	TOTAL	0.002569	0.001676	0.001843	0.001778
-Cell Motility	TOTAL	0.0011	0.000936	0.0009689	0.0001627
-Cell Growth and Death	TOTAL	0.001714	0.002386	0.001828	0.002272
-Cell Communication	TOTAL	0	0	0	0
Metabolism	TOTAL	0.359	0.2422	0.3401	0.3081
-Membrane Transport	TOTAL	0.08109	0.04603	0.0715	0.06336
-Central Carbon Metabolism	TOTAL	0.07085	0.03672	0.05094	0.03829
-Energy Metabolism	TOTAL	0.02876	0.02217	0.02163	0.02133
-Biosynthesis	TOTAL	0.1072	0.07675	0.1129	0.1171
-Other Enzymes	TOTAL	0.1155	0.0828	0.1046	0.0938
Organismal Systems	TOTAL	0.0002403	7.464e-05	0.0002161	7.412e-05
-Immune System	TOTAL	0	0	0	0
-Endocrine System	TOTAL	0.0001915	5.298e-05	0.0001947	5.724e-05
-Circulatory System	TOTAL	0	0	0	0
-Digestive System	TOTAL	4.838e-06	1.609e-06	6.933e-05	9.818e-09
-Excretory System	TOTAL	0	0	0	0
-Nervous System	TOTAL	0	0	0	0
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.01517	0.01007	0.01373	0.01479
-Cancers	TOTAL	6.649e-05	2.861e-05	7.133e-05	3.201e-05
-Immune System Diseases	TOTAL	6.765e-05	6.079e-05	7.299e-05	7.049e-05
-Neurodegenerative Diseases	TOTAL	0.006699	0.006084	0.009902	0.007798
-Cardiovascular Diseases	TOTAL	0	0	0	0
-Metabolic Diseases	TOTAL	0.0072	0.002997	0.001863	0.005684
-Infectious Diseases	TOTAL	0.008475	0.003988	0.003782	0.006988
Not Mapped	TOTAL	0.1333	0.166	0.3222	0.175
-Not Mapped	TOTAL	0.1333	0.166	0.3222	0.175
TOTAL	MAPPED	1.154	1.199	1.475	1.212
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.5763	0.6999	0.479	0.6176
-Transcription	MAPPED	0.02528	0.02712	0.03573	0.02756
-Translation	MAPPED	0.456	0.5828	0.3472	0.4962
-Folding, Sorting and Degradation	MAPPED	0.07919	0.07281	0.07317	0.08043
-DNA Maintenance	MAPPED	0.0299	0.0264	0.03062	0.02141
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.005017	0.005673	0.008563	0.005786
-Signal Transduction	MAPPED	0.004995	0.005661	0.008454	0.005779
-Signaling Molecules and Interaction	MAPPED	1.608e-05	1.033e-05	2.06e-05	6.319e-06
Cellular Processes	MAPPED	0.006209	0.006032	0.01151	0.005182
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	1.878e-05	4.919e-05	0.004662	7.604e-05
