Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine
Organismal Systems	TOTAL	0	4.345e-05	7.931e-05	0	7.382e-05	0.0002421	0	3.041e-05	5.156e-05
-Immune System	TOTAL	0	0	0	0	0	0	0	0	0
-Endocrine System	TOTAL	0	0	4.345e-05	0	0	3.969e-05	0	0	3.041e-05
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	3.681e-06	0	0	0.0001286	0	0	3.134e-09
-Excretory System	TOTAL	0	0	3.218e-05	0	0	7.382e-05	0	0	2.115e-05
-Nervous System	TOTAL	0	0	0	0	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	4.345e-05	0	0	3.969e-05	0	0	3.041e-05
Human Diseases	TOTAL	0.002252	0.007695	0.02252	0.003199	0.006833	0.02158	0.00193	0.01176	0.03154
-Cancers	TOTAL	0	5.339e-05	5.339e-05	0	0.0001228	0.0001228	0	5.362e-05	5.362e-05
-Immune System Diseases	TOTAL	0	0	5.535e-05	0	0	5.408e-05	0	0	6.427e-05
-Neurodegenerative Diseases	TOTAL	0	1.112e-06	0.008045	0	5.121e-05	0.01204	0	7.311e-07	0.009258
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0.006563	0	0	0.003763	0	0	0.01117
-Infectious Diseases	TOTAL	0.0003357	0.002308	0.01378	0.001961	0.004286	0.009588	0.0005297	0.00201	0.02225
Not Mapped	TOTAL	0.1194	0.1194	0.1194	0.1476	0.1476	0.1476	0.1106	0.1106	0.1106
-Not Mapped	TOTAL	0.1194	0.1194	0.1194	0.1476	0.1476	0.1476	0.1106	0.1106	0.1106
TOTAL	MAPPED	1.136	1.136	1.136	1.173	1.173	1.173	1.124	1.124	1.124
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.458	0.4748	0.4833	0.2569	0.2671	0.2728	0.3686	0.3887	0.4022
-Transcription	MAPPED	0.01238	0.01743	0.01866	0.01483	0.01748	0.02148	0.01311	0.016	0.01903
