4686	NcbP1	K12882
22916	NcbP2	K12883
144983	HnrNpa1l2	K12741
220988	HnrNpa3	K12741
3178	HnrNpa1	K12741
3183	HnrNpc	K12884
27316	RbmX	K12885
494115	RbmXl1	K12885
3190	HnrNpk	K12886
4670	HnrNpm	K12887
3192	HnrNpu	K12888
5093	PcbP1	K12889
6426	SrsF1	K12890
8683	SrsF9	K12890
10929	SrsF8	K12891
6427	SrsF2	K12891
6428	SrsF3	K12892
6429	SrsF4	K12893
6430	SrsF5	K12893
6431	SrsF6	K12893
6432	SrsF7	K12896
29896	Tra2a	K12897
6434	Tra2b	K12897
10772	SrsF10	K12900
9774	BclAf1	K13087
1994	ElaVl1	K13088
3608	Ilf2	K13089
3609	Ilf3	K13090
9584	Rbm39	K13091
4904	Ybx1	K09276
124245	Zc3H18	K13092
6628	SnrPb	K11086
6632	SnrPd1	K11087
6633	SnrPd2	K11096
6634	SnrPd3	K11088
6635	SnrPe	K11097
6636	SnrPf	K11098
6637	SnrPg	K11099
6625	SnrNp70	K11093
6626	SnrPa	K11091
6631	SnrPc	K11095
1655	Ddx5	K12823
25766	PrpF40b	K12821
55660	PrpF40a	K12821
58517	Rbm25	K12822
10915	TceRg1	K12824
6628	SnrPb	K11086
6632	SnrPd1	K11087
6633	SnrPd2	K11096
6634	SnrPd3	K11088
6635	SnrPe	K11097
6636	SnrPf	K11098
6637	SnrPg	K11099
6627	SnrPa1	K11092
6629	SnrPb2	K11094
10291	Sf3A1	K12825
8175	Sf3A2	K12826
10946	Sf3A3	K12827
23451	Sf3B1	K12828
10992	Sf3B2	K12829
23450	Sf3B3	K12830
10262	Sf3B4	K12831
83443	Sf3B5	K12832
51639	Sf3B14	K12833
11325	Ddx42	K12835
84844	Phf5a	K12834
7307	U2aF1	K12836
11338	U2aF2	K12837
10523	CheRp	K12841
1665	Dhx15	K12820
9879	Ddx46	K12811
22827	Puf60	K12838
84991	Rbm17	K12840
10285	SmnDc1	K12839
23350	Sr140	K12842
9184	Bub3	K02180
728642	Cdk11a	K08818
984	Cdk11b	K08818
27336	HtaTsf1	K13093
10181	Rbm5	K13094
8241	Rbm10	K13094
7536	Sf1	K13095
57794	SugP1	K13096
80312	Tet1	K13097
2521	Fus	K13098
6628	SnrPb	K11086
6632	SnrPd1	K11087
6633	SnrPd2	K11096
6634	SnrPd3	K11088
6635	SnrPe	K11097
6636	SnrPf	K11098
6637	SnrPg	K11099
6625	SnrNp70	K11093
6626	SnrPa	K11091
6631	SnrPc	K11095
1655	Ddx5	K12823
25766	PrpF40b	K12821
55660	PrpF40a	K12821
58517	Rbm25	K12822
10915	TceRg1	K12824
6628	SnrPb	K11086
6632	SnrPd1	K11087
6633	SnrPd2	K11096
6634	SnrPd3	K11088
6635	SnrPe	K11097
6636	SnrPf	K11098
6637	SnrPg	K11099
6627	SnrPa1	K11092
6629	SnrPb2	K11094
10291	Sf3A1	K12825
8175	Sf3A2	K12826
10946	Sf3A3	K12827
23451	Sf3B1	K12828
10992	Sf3B2	K12829
23450	Sf3B3	K12830
10262	Sf3B4	K12831
83443	Sf3B5	K12832
51639	Sf3B14	K12833
11325	Ddx42	K12835
84844	Phf5a	K12834
7307	U2aF1	K12836
11338	U2aF2	K12837
10523	CheRp	K12841
1665	Dhx15	K12820
9879	Ddx46	K12811
22827	Puf60	K12838
84991	Rbm17	K12840
10285	SmnDc1	K12839
23350	Sr140	K12842
6628	SnrPb	K11086
6632	SnrPd1	K11087
6633	SnrPd2	K11096
6634	SnrPd3	K11088
6635	SnrPe	K11097
6636	SnrPf	K11098
6637	SnrPg	K11099
57819	Lsm2	K12621
27258	Lsm3	K12622
25804	Lsm4	K12623
23658	Lsm5	K12624
11157	Lsm6	K12625
51690	Lsm7	K12626
51691	Naa38	K12627
9129	PrpF3	K12843
9128	PrpF4	K12662
10465	PpiH	K09567
26121	PrpF31	K12844
4809	Nhp2l1	K12845
9343	EftUd2	K12852
24148	PrpF6	K12855
10594	PrpF8	K12856
9410	SnrNp40	K12857
23020	SnrNp200	K12854
9416	Ddx23	K12858
10907	TxnL4a	K12859
10421	Cd2Bp2	K13099
9092	SarT1	K11984
10713	Usp39	K12847
11017	SnrNp27	K12846
153527	ZmaT2	K12848
84950	PrpF38a	K12849
55119	PrpF38b	K12850
57703	Cwc22	K13100
8449	Dhx16	K12813
27238	GpkOw	K13101
3315	HspB1	K04455
22944	Kin	K13102
23759	PpiL2	K10598
23517	SkiV2l2	K12598
91603	Znf830	K13104
27339	PrpF19	K10599
988	Cdc5l	K12860
10286	BcaS2	K12861
5356	PlrG1	K12862
51503	Cwc15	K12863
56259	CtnNbl1	K12864
3303	HspA1a	K03283
3304	HspA1b	K03283
3305	HspA1l	K03283
3306	HspA2	K03283
3310	HspA6	K03283
3312	HspA8	K03283
10084	PqbP1	K12865
51729	Wbp11	K12866
22938	Snw1	K06063
56949	Xab2	K12867
25949	Syf2	K12868
51340	CrnKl1	K12869
9716	Aqr	K12874
8896	Bud31	K12873
151903	CcdC12	K12871
57461	Isy1	K12870
10450	PpiE	K09564
51645	PpiL1	K12733
