Rv3758c	proV	K05847
Rvnt44	serT	K14233
Rvnt45	serU	K14233
Rv3516	echA19	K01692
Rv1854c	ndh	K03885
Rv1909c	furA	K03711
Rvnt42	serX	K14233
Rv2995c	leuB	K00052
Rv1843c	guaB1	K00088
Rv2982c	gpdA2	K00057
Rv0938	ligD	K01971
Rv1327c	glgE	K16147
Rv1317c	alkA	K13529
Rv3107c	agpS	K00803
Rv3418c	groES	K04078
Rv0935	pstC1	K02037
Rv0933	pstB	K02036
Rv0930	pstA1	K02038
Rv1409	ribG	K11752
Rv1408	rpe	K01783
Rv0946c	pgi	K01810
Rv0173	lprK	K02067
Rv2756c	hsdM	K03427
Rv1402	priA	K04066
Rv3838c	pheA	K04518
Rv1013	pks16	K00666
Rv1407	fmu	K03500
Rv1406	fmt	K00604
Rv1236	sugA	K02025
Rv1237	sugB	K02026
Rv2115c	mpa	K13527
Rv1281c	oppD	K02031
Rv1338	murI	K01776
Rv1336	cysM	K12339
Rv0557	mgtA	K12583
Rv3782	glfT1	K16649
Rv2909c	rpsP	K02959
Rv0086	hycQ	K12141
Rv2533c	nusB	K03625
Rv1326c	glgB	K00700
Rv3443c	rplM	K02871
Rv1849	ureB	K01429
Rv1848	ureA	K01430
Rv0721	rpsE	K02988
Rv0720	rplR	K02881
Rv3119	moaE1	K03635
Rv2461c	clpP1	K01358
Rv0729	xylB	K00854
Rv3116	moeB2	K11996
Rv3111	moaC1	K03637
Rv3110	moaB1	K01724
Rv3432c	gadB	K01580
Rv3112	moaD1	K03636
Rv1537	dinX	K02346
Rv1240	mdh	K00024
Rv1530	adh	K00001
Rv0015c	pknA	K08884
Rv2379c	mbtF	K04792
Rv2381c	mbtD	K04791
Rv0562	grcC1	K00805
Rv0334	rmlA	K00973
Rv3664c	dppC	K15582
Rv2970c	lipN	K01066
Rv0058	dnaB	K02314
Rv0112	gca	K01711
Rv0113	gmhA	K03271
Rv0114	gmhB	K03273
Rv0115	hddA	K07031
Rv0346c	ansP2	K11738
Rv2124c	metH	K00548
Rv0053	rpsF	K02990
Rv0700	rpsJ	K02946
Rv0055	rpsR1	K02963
Rv0054	ssb	K03111
Rv2362c	recO	K03584
Rv2374c	hrcA	K03705
Rv0903c	prrA	K07671
Rv2610c	pimA	K08256
Rv3299c	atsB	K01130
Rv2938	drrC	K01992
Rv3048c	nrdF2	K00526
Rv2941	fadD28	K12427
Rv1901	cinA	K03742
Rv1607	chaA	K07300
Rv3709c	ask	K00928
Rv0262c	aac	K17840
Rv2583c	relA	K00951
Rv3257c	pmmA	K01840
Rv3665c	dppB	K15581
Rv2225	panB	K00606
Rv3795	embB	K11386
Rv3794	embA	K11385
Rv2220	glnA1	K01915
Rv2593c	ruvA	K03550
Rv3791	dprE2	K16652
Rv3790	dprE1	K16653
Rv3328c	sigJ	K03088
Rv0757	phoP	K02483
Rv2440c	obg	K03979
Rv2935	ppsE	K12444
Rv1280c	oppA	K02035
Rv0753c	mmsA	K00140
Rv0758	phoR	K02484
Rv1008	tatD	K03424
Rv2868c	gcpE	K03526
Rv3461c	rpmJ	K02919
Rv0985c	mscL	K03282
Rv0389	purT	K08289
Rv2524c	fas	K11533
Rv3101c	ftsX	K09811
Rv2782c	pepR	K01417
Rv1660	pks10	K16167
Rv0979A	rpmF	K02911
Rv3634c	galE1	K01784
Rv1608c	bcpB	K03564
Rv2933	ppsC	K12442
Rv3247c	tmk	K00943
Rv2178c	aroG	K01626
Rv0931c	pknD	K08884
Rv2088	pknJ	K08884
Rv1997	ctpF	K12953
Rv1629	polA	K02335
Rv3240c	secA1	K03070
Rv2605c	tesB2	K10805
Rv3028c	fixB	K03522
