KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K03006	2612.2335	76.243655	3219.2893	5939.0863	51269.036	14873.096	3088.934	5583.7563	81725.888	1368.1726	200.67513	58883.249	54314.721	16598.985	699.54315	9035.533	8578.6802	366.83249	NaN	13502.538	3254.7716	276.81218	2185.9898	102030.46	452.72589	11878.173	1664.264	1206.2944
K03008	19707.692	27704.274	24822.222	NaN	288034.19	66194.017	4508.9744	22602.564	142735.04	4155.5556	1820.1709	48870.085	48941.026	50796.581	15404.274	8772.6496	27386.325	2672.3932	8469.0598	346153.85	17508.547	11047.863	54606.838	526495.73	4724.359	75394.017	11311.966	37547.863
K03011	14969.818	18661.091	15671.273	15507.636	163636.36	20189.455	NaN	17944	NaN	7597.8182	5404.7273	99272.727	104363.64	54545.455	16169.091	25122.182	8278.9091	856.03636	NaN	NaN	14929.455	NaN	NaN	272363.64	NaN	47636.364	9746.1818	10182.182
K03013	76190.476	27694.762	28853.333	22826.19	195238.1	57619.048	6193.3333	76190.476	114285.71	17443.81	14992.857	NaN	35341.905	80000	21576.667	9469.0476	48571.429	18372.857	NaN	9152.381	38562.857	14271.429	12052.857	43428.571	17896.19	46301.429	44532.857	4041.2857
K02999	NaN	NaN	NaN	NaN	88.573093	NaN	NaN	547.39662	560.65812	32.295865	NaN	NaN	1338.7303	NaN	NaN	350.41934	NaN	NaN	NaN	135.58532	NaN	NaN	NaN	1711.59	NaN	NaN	NaN	NaN
K03020	NaN	NaN	NaN	7114.2857	2822.1053	3191.1278	NaN	7869.1729	NaN	NaN	1554.7368	NaN	NaN	1490.2256	1164.2857	3660.3759	NaN	NaN	NaN	7429.2481	NaN	1422.9323	1130.3008	67239.85	NaN	NaN	NaN	NaN
K03015	NaN	NaN	NaN	NaN	51813.953	NaN	NaN	NaN	67441.86	20315.116	3634.9419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	122674.42	NaN	13702.326	NaN	NaN
K03010	NaN	358.70528	1573.5094	NaN	59710.392	9880.7496	NaN	8603.0664	17546.848	NaN	490.28109	6557.4957	4670.1874	NaN	2433.5605	1460.2215	2303.4072	64.915673	NaN	13287.905	4063.799	785.54514	497.67462	8773.4242	6190.5451	915.41738	3850.3407	1536.3714
K03040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03007	13930.857	NaN	20368.857	18375.143	83714.286	23988.286	NaN	27840.286	47428.571	3287.7143	1179.7429	18599.714	59428.571	34571.429	8450.5714	37142.857	20072	6278.2857	NaN	30000	14036.857	2458.8571	NaN	14790.571	5144.8571	7649.4286	NaN	NaN
K03027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14721	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02202	557.80347	221.7659	4139.3064	2720	57225.434	9687.2832	2146.3006	8102.8902	19341.329	477.08092	242.44509	60115.607	102890.17	5873.6994	1501.8786	11154.624	2878.815	NaN	NaN	3822.8324	4286.4162	NaN	NaN	24693.353	NaN	884.42197	NaN	4437.2832
K03136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7097.7273	NaN	NaN	NaN	NaN
K03134	6061.9266	9623.8532	NaN	3869.3578	NaN	11477.523	2391.2844	4585.367	39020.183	3934.5413	4011.1009	43758.257	NaN	27308.257	NaN	10526.147	4530.2752	NaN	NaN	NaN	3806.1927	1660.6881	NaN	NaN	851.92661	NaN	1680.4587	NaN
K03130	1006.7402	NaN	NaN	NaN	NaN	2065.1952	NaN	NaN	5507.1307	NaN	NaN	NaN	NaN	NaN	NaN	2006.1121	NaN	NaN	NaN	2816.2988	NaN	NaN	119.75382	11865.025	NaN	8853.82	1545.7046	1359.5076
K03139	44578.313	13442.169	24495.582	47389.558	112449.8	116465.86	2109.6787	97991.968	57028.112	18666.667	7597.1888	73092.369	153815.26	60240.964	12265.06	18209.237	16401.606	4710.8434	NaN	358232.93	52610.442	226907.63	13722.088	751004.02	12026.908	42971.888	169076.31	31210.04
K03124	NaN	NaN	9553.1646	NaN	NaN	12743.354	NaN	NaN	9134.4937	4739.557	683.06962	33860.759	70569.62	26897.785	NaN	5271.8354	NaN	NaN	NaN	NaN	6029.4304	NaN	NaN	77848.101	NaN	17738.291	NaN	NaN
K03121	60521.042	7276.3527	36673.347	11022.044	196392.79	29258.517	1397.996	27955.912	295366.02	16533.066	594.27856	48697.395	48144.145	130409.97	15230.461	58617.234	25951.904	24148.297	NaN	32464.93	32765.531	10521.042	38476.954	74248.497	2953.9078	20941.884	12024.048	8328.8577
K03120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35652.151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03122	13242.968	986.50794	5303.1746	30423.28	88095.238	11071.693	NaN	17483.862	61558.31	3034.6561	1549.4444	NaN	24330.115	12613.097	3218.1717	4411.3757	16153.515	3074.0211	559.65608	36627.796	13515.914	4209.7884	9266.4021	165343.92	1676.6402	20573.545	7551.0582	4692.0635
K03129	NaN	NaN	NaN	NaN	23252.286	4081.4286	NaN	NaN	1383.7429	NaN	NaN	NaN	6318.5714	26355.714	NaN	1980.0571	7058.2857	NaN	NaN	1456.6286	NaN	588.65714	NaN	16076.571	NaN	NaN	NaN	NaN
K03128	NaN	930.25362	NaN	NaN	NaN	NaN	5110.5072	NaN	100.14493	NaN	NaN	NaN	NaN	2032.4275	641.50362	NaN	NaN	433.27899	726.95652	467.43659	NaN	NaN	NaN	1005.6159	NaN	1944.2029	NaN	NaN
K03142	NaN	NaN	NaN	NaN	8537.6263	4131.8182	NaN	2326.9949	7655.5556	NaN	NaN	NaN	NaN	2509.6465	NaN	NaN	NaN	NaN	NaN	NaN	1802.4242	NaN	NaN	20501.01	NaN	NaN	1666.6667	NaN
K06634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5360.0619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1823.2508	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10842	1936.0518	NaN	2639.3204	2358.123	13388.673	NaN	NaN	NaN	16226.861	3995.7929	894.01294	NaN	15402.913	11946.926	NaN	11156.311	NaN	1638.7702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10843	17879.949	2196.2963	NaN	77266.922	74201.788	8774.0741	848.73563	7223.7548	NaN	1409.5785	NaN	73307.791	85312.899	33716.475	1304.7254	8321.2005	315.18519	1803.8314	NaN	5403.8314	NaN	NaN	NaN	NaN	NaN	NaN	505.82375	13026.82
K03131	NaN	NaN	NaN	NaN	NaN	2793.3628	NaN	3666.0767	11916.774	1284.6903	NaN	4553.2448	8750.885	3076.1062	648.96755	NaN	11074.239	NaN	NaN	NaN	NaN	NaN	NaN	9853.9823	NaN	NaN	NaN	NaN
K03138	10470.669	7356.4961	658.4252	6310.6299	134.52362	19408.268	971.14173	10925.394	31102.362	10749.213	624.54724	25000	28937.008	21259.843	3490.5512	3953.3465	4097.0472	616.41732	NaN	17276.772	9390.9449	982.53937	2475.1969	123228.35	NaN	32480.315	7041.5354	1295.4331
K09578	104242.42	305454.55	462424.24	61818.182	830303.03	83636.364	23422.424	166666.67	138787.88	21814.545	75151.515	124242.42	145454.55	98787.879	33648.485	66666.667	65454.545	40480.606	15412.121	618181.82	32278.182	17112.121	7484.8485	87272.727	8026.6667	52207.273	52546.061	18541.212
K03123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14650	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10845	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11430	NaN	NaN	NaN	1931.7269	NaN	3296.2982	18900.804	NaN	11989.946	NaN	NaN	16867.47	NaN	751.17962	NaN	NaN	NaN	NaN	NaN	NaN	588.4739	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11644	1521.978	NaN	1313.2653	802.04082	7849.2936	6679.5133	89.874411	1184.7724	47095.761	531.89168	250.83987	43956.044	69309.262	6386.1068	1627.9435	6912.7943	3333.438	78.427002	83.281005	4308.8697	1828.4144	221.38148	2563.1083	38618.524	100.83987	3062.4019	617.30769	986.49922
K09033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4572.2086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09036	4445.8204	1770.4644	17021.672	7462.5387	264705.88	11743.963	7146.4396	83591.331	24468.731	22736.223	24331.269	283281.73	343653.25	18165.015	4981.1146	73374.613	NaN	446.87307	NaN	NaN	3792.5697	4891.0217	1640.1858	NaN	NaN	8235.9133	662.01238	2255.0774
K09052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09058	NaN	15498.339	1750	NaN	NaN	710.89701	NaN	NaN	NaN	NaN	NaN	4923.9203	NaN	NaN	NaN	1505.6146	3811.9601	NaN	NaN	18496.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09078	NaN	NaN	NaN	NaN	684.36031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47365.538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09106	13870.231	3268.2081	3182.948	7499.711	65028.902	7890.7514	NaN	NaN	NaN	3046.2428	2337.2254	36705.202	30924.855	10067.919	6343.3526	9123.1214	NaN	1424.3931	1826.6185	36127.168	4871.9653	13806.936	NaN	79479.769	NaN	50578.035	10555.78	4448.8439
K04377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09113	374.94213	NaN	NaN	3614.2361	NaN	671.8287	NaN	NaN	NaN	NaN	41.600694	6266.7824	7540.0463	NaN	NaN	30092.593	186.00694	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09168	4433.6466	NaN	834.92481	NaN	78759.398	1749.2857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7582.8947	NaN	3258.0827	NaN	NaN	NaN	8239.6617	NaN	NaN	NaN	13448.496	NaN	NaN	6332.3308	NaN
K09169	8054.5614	NaN	NaN	NaN	173684.21	4875.4386	NaN	NaN	67017.544	NaN	NaN	134035.09	47719.298	383.57895	NaN	4573.3333	NaN	2070.3509	NaN	NaN	1308.7193	48771.93	50000	285964.91	NaN	23157.895	24736.842	12282.807
K09176	NaN	NaN	334.34783	NaN	NaN	NaN	NaN	NaN	601830.66	NaN	NaN	25400.458	51258.581	NaN	NaN	NaN	NaN	NaN	38215.103	567505.72	92677.346	98855.835	186498.86	1427917.6	109610.98	228832.95	427917.62	75057.208
K08527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08524	964.88223	NaN	NaN	NaN	3047.7516	6553.3191	NaN	NaN	24411.135	5177.0878	NaN	111563.17	97858.672	4379.015	4651.606	27623.126	8708.5653	715.9743	NaN	23982.869	2250.9636	1546.3812	4744.3255	120985.01	NaN	12291.649	4856.531	4757.8158
K10779	1870.0323	52.621163	NaN	315.15751	32108.239	841.7609	221.02585	1063.6914	39458.805	276.12278	NaN	3637.2375	5210.0162	2150.2019	562.07593	430.77544	2742.9321	1011.9144	605.37157	5936.9952	3885.9451	NaN	1387.0759	10823.91	82.164782	4725.3635	132.02342	1021.769
K09201	1555.942	17183.575	NaN	1940.5072	12454.106	13000.242	NaN	NaN	NaN	NaN	NaN	24396.135	19878.261	18873.913	2614.4928	NaN	1311.0145	5425.3623	NaN	4828.744	5820.5314	9614.0097	NaN	9022.7053	8180.6763	3922.9469	14459.42	1094.4928
K09220	1292.3404	3393.4236	69052.224	9108.7041	15031.141	6319.5358	NaN	NaN	3095.7447	NaN	NaN	NaN	NaN	NaN	NaN	4426.8859	2979.4971	NaN	NaN	259187.62	NaN	442.12766	NaN	22050.29	NaN	10188.781	1241.2766	2142.3598
K10489	381.71429	NaN	NaN	NaN	933.25714	1075.0857	268.02857	NaN	1953.6	172.08857	NaN	3049.4286	NaN	195.78286	NaN	NaN	NaN	NaN	NaN	NaN	NaN	313.22857	NaN	27869.714	NaN	2866.5714	NaN	478.97143
K10494	NaN	NaN	481.93322	NaN	4137.9613	3637.2583	NaN	NaN	NaN	598.41828	NaN	NaN	NaN	1473.3392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09232	NaN	25384.615	NaN	NaN	NaN	NaN	2080.3846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12638.077	NaN	NaN	7476.2821	7846.1538	NaN	NaN	NaN	2033.2051
