Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Signaling Molecules and Interaction	TOTAL	0.03148	0.003718	0.007014	0.003867	0.009636	0.01579	0.001413	0.008665	0.006882	0.004387	0.003022	0.02118	0.02109	0.006984	0.005081	0.004509	0.0145	0.005802	0.002313	0.009885	0.01273	0.006213	0.005327	0.01095	0.01106	0.008842	0.009458	0.00799
Cellular Processes	TOTAL	0.08661	0.2201	0.1971	0.07653	0.2017	0.1525	0.3202	0.2043	0.1106	0.4199	0.08536	0.1167	0.1381	0.1013	0.09074	0.05799	0.1583	0.2397	0.3401	0.1762	0.1303	0.05116	0.1073	0.1342	0.1375	0.1347	0.1241	0.0954
-Crystallins	TOTAL	0.001276	0.002494	0.001311	0.0003706	0.0009317	0.0006274	0.00576	0.0004393	0.0003578	0.2788	0.02236	0.0007837	0.0003646	0.0004412	0.003442	0.0003552	0.00281	0.002694	0.002697	0.001005	0.000559	0.0005304	0.0005241	0.0003188	0.01157	0.0006505	0.0009488	0.001429
-Stress Response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0.02192	0.0358	0.03529	0.02384	0.04373	0.02343	0.007267	0.01725	0.02076	0.01372	0.0107	0.0258	0.02881	0.03842	0.0337	0.02529	0.02966	0.03955	0.004266	0.04558	0.02835	0.01057	0.02193	0.03347	0.01888	0.03501	0.02168	0.02972
-Cytoskeleton	TOTAL	0.0305	0.1281	0.1296	0.02443	0.1159	0.07684	0.08913	0.05697	0.05875	0.07809	0.02509	0.0528	0.07024	0.03412	0.03082	0.01713	0.06592	0.1524	0.1341	0.09808	0.05023	0.03039	0.04735	0.0548	0.07401	0.06871	0.05551	0.03527
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.01747	0.04492	0.02194	0.01297	0.02842	0.01668	0.006434	0.01657	0.01442	0.01176	0.01124	0.01289	0.01265	0.01138	0.01359	0.006937	0.01692	0.03633	0.002786	0.02249	0.01437	0.006331	0.0101	0.0109	0.01547	0.0159	0.01886	0.01151
-Cell Communication	TOTAL	0.01547	0.008757	0.009006	0.01576	0.01268	0.03494	0.2117	0.1131	0.01647	0.03765	0.016	0.02444	0.02604	0.01699	0.009227	0.008295	0.04341	0.008802	0.1962	0.009064	0.0369	0.00334	0.02741	0.03565	0.01756	0.0147	0.02724	0.01753
Metabolism	TOTAL	0.3894	0.2597	0.3221	0.5807	0.3087	0.3141	0.3151	0.2069	0.1744	0.2281	0.325	0.3537	0.3151	0.4697	0.4803	0.6115	0.2077	0.2701	0.2145	0.33	0.2358	0.2614	0.2574	0.184	0.2524	0.2224	0.1651	0.3836
-Membrane Transport	TOTAL	0.003715	0.0003742	0.002574	0.002822	0.001309	0.001597	0.001753	0.001977	0.005878	0.00159	0.0009107	0.002038	0.001865	0.00155	0.001322	0.002838	0.006673	0.0006408	0.0008099	0.0008331	0.01726	0.001085	0.004986	0.003097	0.001342	0.007479	0.01333	0.02755
-Central Carbon Metabolism	TOTAL	0.172	0.09465	0.1411	0.2179	0.1298	0.1247	0.1234	0.06619	0.06791	0.1142	0.09392	0.1241	0.1199	0.1599	0.1711	0.1592	0.05736	0.109	0.09733	0.1579	0.08483	0.04783	0.102	0.07538	0.07216	0.0897	0.05349	0.1311
-Energy Metabolism	TOTAL	0.03247	0.08016	0.0598	0.08262	0.06163	0.04003	0.07094	0.02273	0.01356	0.02662	0.1241	0.03888	0.03364	0.08041	0.1032	0.0339	0.01265	0.0697	0.01363	0.05106	0.01701	0.03142	0.03234	0.01404	0.05749	0.01812	0.02109	0.0234
-Biosynthesis	TOTAL	0.1433	0.06037	0.0883	0.2454	0.08848	0.1258	0.109	0.08474	0.05641	0.07256	0.09328	0.1522	0.1281	0.1947	0.1725	0.3749	0.1044	0.06114	0.09601	0.08811	0.08937	0.1012	0.09212	0.06715	0.08573	0.07805	0.05533	0.1704
-Other Enzymes	TOTAL	0.05792	0.03077	0.0391	0.04992	0.03276	0.0609	0.0174	0.0368	0.03338	0.01659	0.02322	0.04226	0.03614	0.04988	0.05062	0.07163	0.03343	0.03344	0.01284	0.03705	0.03372	0.08222	0.03237	0.0337	0.05033	0.03682	0.02936	0.0733
Organismal Systems	TOTAL	0.1039	0.06944	0.1212	0.07193	0.07656	0.06725	0.1849	0.1248	0.1083	0.108	0.368	0.05374	0.05685	0.0549	0.07864	0.03457	0.2279	0.09503	0.261	0.06763	0.1506	0.07257	0.1428	0.2298	0.1716	0.1344	0.2114	0.1802
-Immune System	TOTAL	0.01015	0.01074	0.005907	0.005182	0.007287	0.009257	0.003288	0.007142	0.009195	0.006638	0.00837	0.008984	0.01113	0.01044	0.01378	0.004452	0.0322	0.006553	0.00212	0.005236	0.01323	0.002664	0.005502	0.01714	0.01089	0.01494	0.02693	0.0137
-Endocrine System	TOTAL	0.02232	0.006401	0.003929	0.0259	0.004243	0.002496	0.009392	0.003248	0.004265	0.01613	0.0218	0.009759	0.01543	0.006597	0.008061	0.0135	0.009644	0.006715	0.004714	0.003377	0.01117	0.003564	0.004324	0.003692	0.01445	0.01304	0.02208	0.04005
-Circulatory System	TOTAL	0.06786	0.02937	0.0802	0.03904	0.04848	0.04584	0.1706	0.1024	0.09007	0.07771	0.3359	0.02132	0.01989	0.03068	0.05178	0.01474	0.1795	0.04875	0.2529	0.0346	0.1232	0.02609	0.09893	0.2024	0.1429	0.1	0.1586	0.1237
-Digestive System	TOTAL	0.001071	0.00115	0.0006809	0.0003434	0.0005594	0.0007706	0.0002051	0.008589	0.0008845	0.002404	0.0002503	0.009847	0.006445	0.003892	0.002849	0.0008702	0.000785	0.0005708	0.0003372	0.00162	0.001108	0.03595	0.001084	0.001182	0.000777	0.0008088	0.0004248	0.0007226
-Excretory System	TOTAL	0.0005845	0.00356	0.000958	0.0003531	0.001365	0.001123	0.0001523	0.0007946	0.0003531	0.0004514	0.000492	0.001108	0.000813	0.001398	0.0009566	0.0003788	0.0009292	0.003412	0.000177	0.0005247	0.0002453	0.00345	0.03133	0.0004046	0.0004389	0.0008654	0.0008378	0.0003967
-Nervous System	TOTAL	0.001419	0.01469	0.02377	0.0007071	0.008026	0.001411	0.0003252	0.001512	0.001731	0.001097	0.0008123	0.00126	0.001307	0.001319	0.0008272	0.0003927	0.00177	0.02527	0.0007118	0.01556	0.001153	0.0007296	0.001246	0.00392	0.001783	0.003861	0.002041	0.0008995
-Sensory System	TOTAL	2.834e-05	1.705e-05	9.354e-05	1.158e-05	0.0001227	0.005814	3.746e-05	0.0005339	2.427e-06	0.002041	2.116e-05	0.001133	0.001425	7.012e-06	1.722e-05	1.706e-05	1.964e-05	1.425e-05	2.63e-05	7.29e-05	9.472e-06	1.539e-05	6.215e-05	1.173e-05	6.528e-05	0.0002036	0.0001205	2.189e-05
-Development	TOTAL	0.0004813	0.003563	0.005656	0.0003809	0.006481	0.0005799	0.0008582	0.0005012	0.001869	0.001507	0.0003975	0.0003259	0.0004474	0.0005183	0.0003256	0.0001917	0.003111	0.003785	7.541e-05	0.006641	0.0005095	0.0001379	0.0003418	0.001286	0.0002181	0.0005638	0.0003973	0.0007854
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	TOTAL	0.01163	0.01558	0.01374	0.01545	0.01283	0.0154	0.008746	0.01181	0.02028	0.01202	0.01913	0.01648	0.01805	0.01407	0.01607	0.01105	0.01261	0.01779	0.006661	0.01348	0.0173	0.01934	0.01671	0.01292	0.02605	0.01725	0.02009	0.01215
-Cancers	TOTAL	0.00431	0.004554	0.004758	0.01142	0.004716	0.003704	0.005119	0.003503	0.003733	0.003728	0.01153	0.004528	0.003921	0.007443	0.007002	0.003267	0.003086	0.004624	0.001963	0.003491	0.004453	0.003265	0.002911	0.002693	0.008212	0.003487	0.007623	0.005458
-Immune System Diseases	TOTAL	0.004716	0.001898	0.001839	0.002383	0.002379	0.005376	0.001642	0.004251	0.009427	0.002872	0.0008575	0.007718	0.007994	0.003204	0.004111	0.004489	0.003602	0.003623	0.001286	0.002565	0.005641	0.008269	0.007828	0.004428	0.01087	0.007808	0.005972	0.002623
-Neurodegenerative Diseases	TOTAL	0.004734	0.007923	0.009306	0.005211	0.006793	0.003241	0.004001	0.003141	0.004683	0.004665	0.006669	0.003616	0.003921	0.005271	0.007369	0.004986	0.004934	0.0109	0.004119	0.009126	0.005571	0.005472	0.003199	0.004135	0.006213	0.00428	0.005019	0.00475
-Cardiovascular Diseases	TOTAL	4.529e-05	0.0002104	1.891e-05	2.094e-05	7.136e-05	0.001937	0.0003331	0.0007582	0.0003284	0.001831	0.003668	0.001167	0.002132	5.458e-05	5.251e-05	0.0003642	0.0002231	2.196e-05	5.383e-05	4.179e-05	0.0001347	9.128e-05	0.001233	7.635e-05	0.0003903	0.0006095	0.0001637	0.0002582
-Metabolic Diseases	TOTAL	4.992e-05	0.0002141	0.0001805	8.086e-07	0.0001883	3.814e-05	6.835e-07	4.087e-05	2.516e-05	9.911e-05	2.526e-05	4.5e-05	2.988e-05	2.063e-05	2.12e-05	9.449e-06	7.117e-06	0.0001522	2.215e-06	0.0001533	3.291e-05	0.000584	0.0001728	1.162e-05	3.478e-05	4.152e-05	3.776e-06	1.782e-05
-Infectious Diseases	TOTAL	0.000797	0.001693	0.0009889	0.000557	0.001631	0.00365	0.0002961	0.001442	0.001585	0.0004997	0.0007561	0.002201	0.002565	0.0008607	0.001191	0.0007264	0.001417	0.001547	0.000423	0.001434	0.001896	0.003671	0.00194	0.001893	0.002382	0.001443	0.001784	0.0008858
Not Mapped	TOTAL	0.1288	0.2329	0.1608	0.1305	0.1955	0.1827	0.09425	0.1817	0.1811	0.1097	0.1067	0.1848	0.1821	0.1824	0.1616	0.1147	0.1993	0.1832	0.1126	0.1937	0.1831	0.1777	0.18	0.1742	0.2004	0.1781	0.2177	0.1605
-Not Mapped	TOTAL	0.1288	0.2329	0.1608	0.1305	0.1955	0.1827	0.09425	0.1817	0.1811	0.1097	0.1067	0.1848	0.1821	0.1824	0.1616	0.1147	0.1993	0.1832	0.1126	0.1937	0.1831	0.1777	0.18	0.1742	0.2004	0.1781	0.2177	0.1605
TOTAL	MAPPED	1.148	1.304	1.192	1.15	1.243	1.224	1.104	1.222	1.221	1.123	1.119	1.227	1.223	1.223	1.193	1.13	1.249	1.224	1.127	1.24	1.224	1.216	1.22	1.211	1.251	1.217	1.278	1.191
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.273	0.2216	0.1808	0.1285	0.2047	0.2806	0.0584	0.2931	0.4741	0.1116	0.07875	0.2898	0.3027	0.1825	0.1863	0.1821	0.1961	0.2043	0.05539	0.2125	0.3133	0.5541	0.3411	0.2745	0.2453	0.3545	0.3125	0.1937
-Transcription	MAPPED	0.01575	0.01665	0.008627	0.004298	0.0158	0.01968	0.002192	0.01771	0.05634	0.007251	0.005813	0.01538	0.01643	0.01148	0.01114	0.006094	0.01333	0.01537	0.001717	0.01408	0.02646	0.009385	0.0165	0.02659	0.01635	0.04203	0.03817	0.007486
-Translation	MAPPED	0.05316	0.04528	0.03873	0.03679	0.04581	0.0771	0.01641	0.0832	0.1424	0.02845	0.01826	0.08496	0.0921	0.04594	0.03821	0.05967	0.04122	0.04238	0.02013	0.05215	0.06646	0.2502	0.112	0.06606	0.06586	0.08648	0.08097	0.04158
-Folding, Sorting and Degradation	MAPPED	0.192	0.146	0.1257	0.08156	0.1318	0.1692	0.0351	0.1799	0.229	0.0674	0.05069	0.1721	0.1735	0.1152	0.1262	0.1089	0.1301	0.1351	0.02938	0.1366	0.2006	0.2787	0.1938	0.1617	0.1405	0.1888	0.1685	0.1343
-DNA Maintenance	MAPPED	0.01378	0.01596	0.008545	0.006348	0.01242	0.01673	0.004957	0.01441	0.05743	0.01033	0.004026	0.01934	0.02158	0.01161	0.01238	0.008848	0.01406	0.0147	0.005095	0.01048	0.0263	0.01885	0.02328	0.02862	0.02508	0.04675	0.03452	0.01213
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.06463	0.06195	0.05274	0.03169	0.06518	0.06393	0.03412	0.06267	0.05099	0.03408	0.04193	0.06577	0.06964	0.04927	0.03609	0.02188	0.0668	0.05583	0.02202	0.07749	0.0679	0.02557	0.04209	0.06435	0.05335	0.05645	0.05207	0.04881
-Signal Transduction	MAPPED	0.02849	0.05711	0.04439	0.02724	0.05323	0.04461	0.03256	0.05208	0.0426	0.02915	0.03856	0.03981	0.04388	0.04072	0.03003	0.01679	0.04774	0.04873	0.01942	0.06523	0.05228	0.01801	0.03559	0.05056	0.03952	0.04569	0.04	0.03931
-Signaling Molecules and Interaction	MAPPED	0.03614	0.004847	0.008358	0.004447	0.01198	0.01932	0.00156	0.01059	0.008404	0.004927	0.003383	0.02598	0.02579	0.008543	0.006061	0.005093	0.0181	0.007103	0.002606	0.01226	0.01558	0.007556	0.006496	0.01326	0.01383	0.01076	0.01209	0.009518
Cellular Processes	MAPPED	0.09942	0.2868	0.2349	0.08801	0.2507	0.1866	0.3536	0.2497	0.135	0.4717	0.09556	0.1432	0.1688	0.1239	0.1082	0.06551	0.1977	0.2935	0.3833	0.2185	0.1595	0.06222	0.1308	0.1625	0.1719	0.1639	0.1587	0.1136
-Crystallins	MAPPED	0.001465	0.003251	0.001562	0.0004262	0.001158	0.0007676	0.006359	0.0005368	0.000437	0.3131	0.02503	0.0009614	0.0004458	0.0005396	0.004105	0.0004012	0.00351	0.003299	0.003039	0.001246	0.0006843	0.0006451	0.0006391	0.000386	0.01447	0.0007916	0.001213	0.001702
-Stress Response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0.02516	0.04667	0.04206	0.02742	0.05436	0.02866	0.008023	0.02108	0.02535	0.01541	0.01198	0.03166	0.03522	0.04699	0.04019	0.02857	0.03704	0.04842	0.004808	0.05653	0.0347	0.01286	0.02674	0.04052	0.02361	0.0426	0.02771	0.0354
-Cytoskeleton	MAPPED	0.03501	0.167	0.1544	0.0281	0.1441	0.09401	0.09841	0.06962	0.07175	0.08771	0.02809	0.06478	0.08587	0.04174	0.03676	0.01935	0.08233	0.1866	0.1512	0.1216	0.06148	0.03696	0.05775	0.06636	0.09256	0.0836	0.07096	0.04201
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.02005	0.05856	0.02615	0.01491	0.03533	0.02041	0.007103	0.02025	0.01761	0.0132	0.01258	0.01581	0.01547	0.01392	0.0162	0.007836	0.02113	0.04447	0.00314	0.0279	0.01758	0.007699	0.01232	0.0132	0.01935	0.01934	0.0241	0.01371
-Cell Communication	MAPPED	0.01775	0.01141	0.01073	0.01812	0.01576	0.04275	0.2337	0.1382	0.02012	0.04229	0.01791	0.02998	0.03183	0.02079	0.01101	0.00937	0.05422	0.01078	0.2211	0.01124	0.04516	0.004061	0.03343	0.04317	0.02196	0.01788	0.03481	0.02088
Metabolism	MAPPED	0.447	0.3386	0.3838	0.6678	0.3837	0.3843	0.3479	0.2528	0.213	0.2562	0.3638	0.4339	0.3853	0.5746	0.5729	0.6908	0.2595	0.3307	0.2418	0.4093	0.2886	0.3179	0.314	0.2228	0.3156	0.2706	0.211	0.457
-Membrane Transport	MAPPED	0.004265	0.0004878	0.003067	0.003246	0.001627	0.001954	0.001935	0.002415	0.007178	0.001786	0.001019	0.0025	0.00228	0.001895	0.001577	0.003206	0.008334	0.0007845	0.0009127	0.001033	0.02113	0.001319	0.006081	0.00375	0.001678	0.009101	0.01704	0.03282
-Central Carbon Metabolism	MAPPED	0.1975	0.1234	0.1681	0.2506	0.1613	0.1525	0.1362	0.08089	0.08294	0.1283	0.1051	0.1522	0.1466	0.1956	0.2041	0.1799	0.07163	0.1335	0.1097	0.1959	0.1038	0.05816	0.1244	0.09128	0.09024	0.1091	0.06838	0.1562
-Energy Metabolism	MAPPED	0.03727	0.1045	0.07126	0.09502	0.0766	0.04897	0.07832	0.02778	0.01656	0.0299	0.1389	0.0477	0.04114	0.09835	0.1231	0.03829	0.0158	0.08533	0.01537	0.06333	0.02082	0.03822	0.03943	0.017	0.0719	0.02205	0.02696	0.02788
-Biosynthesis	MAPPED	0.1645	0.07869	0.1052	0.2822	0.11	0.1539	0.1203	0.1036	0.06889	0.0815	0.1044	0.1868	0.1566	0.2382	0.2058	0.4235	0.1303	0.07485	0.1082	0.1093	0.1094	0.123	0.1123	0.08131	0.1072	0.09497	0.07073	0.2029
-Other Enzymes	MAPPED	0.06648	0.04011	0.04659	0.05742	0.04072	0.07451	0.01921	0.04498	0.04076	0.01863	0.02599	0.05185	0.04419	0.06102	0.06037	0.08091	0.04175	0.04094	0.01447	0.04595	0.04128	0.1	0.03947	0.04081	0.06295	0.0448	0.03753	0.08731
Organismal Systems	MAPPED	0.1193	0.09052	0.1445	0.08272	0.09516	0.08228	0.2041	0.1525	0.1322	0.1213	0.4119	0.06593	0.06951	0.06715	0.09379	0.03905	0.2846	0.1163	0.2942	0.08387	0.1843	0.08825	0.1742	0.2782	0.2145	0.1636	0.2703	0.2147
-Immune System	MAPPED	0.01165	0.014	0.007039	0.005959	0.009058	0.01133	0.00363	0.008729	0.01123	0.007456	0.00937	0.01102	0.0136	0.01277	0.01644	0.005029	0.04022	0.008022	0.002389	0.006494	0.0162	0.003239	0.00671	0.02076	0.01362	0.01818	0.03442	0.01632
-Endocrine System	MAPPED	0.02562	0.008344	0.004682	0.02978	0.005273	0.003054	0.01037	0.003969	0.005208	0.01812	0.0244	0.01197	0.01886	0.00807	0.009615	0.01525	0.01204	0.008221	0.005312	0.004188	0.01367	0.004334	0.005273	0.004471	0.01807	0.01587	0.02823	0.0477
-Circulatory System	MAPPED	0.07789	0.03829	0.09556	0.0449	0.06025	0.05609	0.1884	0.1252	0.11	0.08728	0.376	0.02615	0.02432	0.03752	0.06175	0.01666	0.2242	0.05968	0.285	0.04291	0.1508	0.03172	0.1206	0.2451	0.1788	0.1217	0.2028	0.1473
-Digestive System	MAPPED	0.001229	0.0015	0.0008113	0.000395	0.0006953	0.0009428	0.0002264	0.0105	0.00108	0.002701	0.0002802	0.01208	0.00788	0.004761	0.003398	0.0009829	0.0009804	0.0006988	0.00038	0.00201	0.001356	0.04372	0.001322	0.001431	0.0009717	0.0009841	0.0005429	0.0008608
-Excretory System	MAPPED	0.0006709	0.004641	0.001142	0.0004061	0.001697	0.001374	0.0001682	0.0009711	0.0004312	0.000507	0.0005507	0.00136	0.0009941	0.001711	0.001141	0.0004278	0.00116	0.004177	0.0001994	0.0006508	0.0003002	0.004196	0.03821	0.00049	0.0005489	0.001053	0.001071	0.0004726
-Nervous System	MAPPED	0.001628	0.01914	0.02833	0.0008132	0.009976	0.001726	0.0003591	0.001848	0.002114	0.001232	0.0009093	0.001546	0.001598	0.001613	0.0009866	0.0004436	0.002211	0.03094	0.0008021	0.0193	0.001411	0.0008873	0.00152	0.004747	0.00223	0.004698	0.002609	0.001072
-Sensory System	MAPPED	3.253e-05	2.222e-05	0.0001115	1.332e-05	0.0001526	0.007113	4.136e-05	0.0006525	2.963e-06	0.002292	2.369e-05	0.00139	0.001742	8.577e-06	2.054e-05	1.927e-05	2.452e-05	1.744e-05	2.964e-05	9.041e-05	1.159e-05	1.872e-05	7.579e-05	1.42e-05	8.164e-05	0.0002478	0.0001541	2.607e-05
-Development	MAPPED	0.0005524	0.004644	0.00674	0.0004381	0.008055	0.0007096	0.0009476	0.0006126	0.002283	0.001692	0.0004449	0.0003998	0.000547	0.000634	0.0003884	0.0002166	0.003886	0.004634	8.498e-05	0.008237	0.0006237	0.0001677	0.0004168	0.001557	0.0002728	0.000686	0.0005079	0.0009355
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	MAPPED	0.01335	0.0203	0.01637	0.01776	0.01595	0.01884	0.009656	0.01443	0.02477	0.0135	0.02141	0.02021	0.02207	0.01722	0.01916	0.01248	0.01575	0.02178	0.007506	0.01672	0.02118	0.02352	0.02038	0.01564	0.03258	0.02099	0.02567	0.01448
-Cancers	MAPPED	0.004947	0.005936	0.00567	0.01313	0.005861	0.004531	0.005652	0.004281	0.004559	0.004187	0.0129	0.005555	0.004794	0.009104	0.008351	0.00369	0.003854	0.00566	0.002213	0.004329	0.005451	0.00397	0.00355	0.003261	0.01027	0.004243	0.009744	0.006501
-Immune System Diseases	MAPPED	0.005414	0.002475	0.002191	0.002741	0.002957	0.006578	0.001813	0.005195	0.01151	0.003226	0.00096	0.009468	0.009774	0.003919	0.004903	0.005071	0.004499	0.004435	0.001449	0.003181	0.006905	0.01006	0.009546	0.005362	0.01359	0.009501	0.007634	0.003124
-Neurodegenerative Diseases	MAPPED	0.005434	0.01033	0.01109	0.005993	0.008443	0.003965	0.004417	0.003839	0.005719	0.00524	0.007466	0.004436	0.004794	0.006448	0.008789	0.005632	0.006163	0.01335	0.004642	0.01132	0.006819	0.006654	0.003902	0.005008	0.007771	0.005208	0.006416	0.005659
-Cardiovascular Diseases	MAPPED	5.199e-05	0.0002743	2.254e-05	2.408e-05	8.869e-05	0.00237	0.0003677	0.0009265	0.0004011	0.002057	0.004107	0.001432	0.002607	6.676e-05	6.262e-05	0.0004114	0.0002786	2.688e-05	6.067e-05	5.183e-05	0.0001649	0.000111	0.001504	9.245e-05	0.0004881	0.0007416	0.0002093	0.0003075
-Metabolic Diseases	MAPPED	5.73e-05	0.0002791	0.0002151	9.299e-07	0.0002341	4.667e-05	7.546e-07	4.995e-05	3.072e-05	0.0001113	2.828e-05	5.52e-05	3.654e-05	2.523e-05	2.528e-05	1.067e-05	8.888e-06	0.0001863	2.496e-06	0.0001902	4.029e-05	0.0007102	0.0002108	1.408e-05	4.35e-05	5.052e-05	4.827e-06	2.122e-05
-Infectious Diseases	MAPPED	0.0009149	0.002207	0.001178	0.0006406	0.002027	0.004466	0.0003269	0.001763	0.001935	0.0005612	0.0008464	0.0027	0.003136	0.001053	0.00142	0.0008206	0.001769	0.001894	0.0004767	0.001778	0.002321	0.004465	0.002365	0.002293	0.002979	0.001756	0.00228	0.001055
Not Mapped	MAPPED	0.1479	0.3035	0.1916	0.1501	0.2429	0.2235	0.1041	0.2221	0.2212	0.1232	0.1195	0.2268	0.2226	0.2232	0.1927	0.1296	0.2489	0.2243	0.1269	0.2402	0.2241	0.2161	0.2195	0.2109	0.2506	0.2168	0.2782	0.1912
-Not Mapped	MAPPED	0.1479	0.3035	0.1916	0.1501	0.2429	0.2235	0.1041	0.2221	0.2212	0.1232	0.1195	0.2268	0.2226	0.2232	0.1927	0.1296	0.2489	0.2243	0.1269	0.2402	0.2241	0.2161	0.2195	0.2109	0.2506	0.2168	0.2782	0.1912
TOTAL	Genetic Information Processing	4.444	6.438	6.928	9.42	6.438	4.595	19.97	4.537	2.701	10.55	14.6	4.479	4.236	6.992	6.871	6.493	6.837	6.59	21.34	6.277	4.267	2.505	3.822	4.605	5.806	3.655	4.428	7.663
