Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8761	0.7915	0.8361	0.8672	0.798	0.8109	0.8992	0.8021	0.8175	0.9034	0.9168	0.8125	0.812	0.8199	0.8548	0.8777	0.8077	0.8337	0.8963	0.8017	0.8151	0.8569	0.8321	0.844	0.8306	0.8331	0.8033	0.8423
Genetic Information Processing	TOTAL	0.253	0.1938	0.1529	0.1162	0.1735	0.2474	0.05768	0.271	0.4176	0.08962	0.06456	0.2571	0.2731	0.1595	0.173	0.1852	0.1591	0.2021	0.05312	0.1833	0.2771	0.5251	0.3042	0.2234	0.2253	0.3	0.2921	0.1695
-Transcription	TOTAL	0.01277	0.01329	0.00821	0.003459	0.01278	0.01743	0.002146	0.01789	0.04233	0.005606	0.00594	0.01145	0.01306	0.00901	0.009089	0.005162	0.01033	0.01358	0.001476	0.01265	0.02302	0.007311	0.01234	0.02065	0.01368	0.03255	0.03058	0.006452
-Translation	TOTAL	0.05455	0.04724	0.03668	0.03767	0.03852	0.08022	0.0168	0.09747	0.145	0.02347	0.01715	0.08976	0.09874	0.04565	0.03867	0.07303	0.03478	0.0436	0.0184	0.04898	0.06886	0.3091	0.1204	0.06018	0.0747	0.08196	0.09717	0.04093
-Folding, Sorting and Degradation	TOTAL	0.1661	0.1169	0.09658	0.06597	0.1075	0.1291	0.03258	0.1363	0.1713	0.0495	0.037	0.1288	0.1303	0.09049	0.1086	0.09327	0.09557	0.1267	0.0273	0.108	0.1552	0.1845	0.1412	0.1128	0.106	0.1398	0.1289	0.1119
-DNA Maintenance	TOTAL	0.01956	0.01633	0.01146	0.0091	0.01473	0.02065	0.006149	0.01927	0.059	0.01104	0.00448	0.02705	0.03093	0.01435	0.01664	0.01373	0.01844	0.01822	0.00594	0.01365	0.03005	0.0241	0.03022	0.02976	0.03096	0.04565	0.03545	0.01023
Environmental Information Processing	TOTAL	0.05593	0.05515	0.05118	0.0324	0.0553	0.05136	0.03924	0.04042	0.04205	0.03598	0.04337	0.0602	0.06479	0.04153	0.03396	0.02315	0.05357	0.05324	0.0232	0.06721	0.04424	0.02294	0.03345	0.04857	0.04657	0.05623	0.03515	0.03755
-Signal Transduction	TOTAL	0.02564	0.05174	0.04444	0.0272	0.04562	0.03262	0.03723	0.02698	0.03325	0.03148	0.0401	0.03511	0.03837	0.03257	0.02771	0.01833	0.03234	0.04782	0.0189	0.05896	0.02984	0.01491	0.02816	0.03539	0.02872	0.04436	0.02311	0.02626
-Signaling Molecules and Interaction	TOTAL	0.03029	0.003417	0.006741	0.005198	0.009674	0.01874	0.002007	0.01345	0.0088	0.004495	0.00327	0.02509	0.02643	0.008958	0.006257	0.004817	0.02123	0.005423	0.004295	0.008255	0.0144	0.008026	0.005287	0.01318	0.01785	0.01187	0.01205	0.01128
