Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8712	0.7671	0.8392	0.8695	0.8045	0.8173	0.9057	0.8183	0.8189	0.8903	0.8933	0.8152	0.8179	0.8176	0.8384	0.8853	0.8007	0.8168	0.8874	0.8063	0.8169	0.8223	0.82	0.8258	0.7996	0.8219	0.7823	0.8395
Genetic Information Processing	TOTAL	0.2433	0.1734	0.1575	0.1139	0.1697	0.2341	0.05432	0.2443	0.4001	0.1027	0.07276	0.2442	0.2549	0.1536	0.1602	0.1656	0.1615	0.173	0.05145	0.1765	0.2629	0.4688	0.2866	0.2338	0.2015	0.299	0.2511	0.1653
-Transcription	TOTAL	0.01375	0.01281	0.007263	0.003751	0.01273	0.01614	0.001988	0.01458	0.04622	0.006469	0.005202	0.01258	0.01351	0.009426	0.00938	0.005418	0.0107	0.01264	0.00153	0.01139	0.02174	0.007771	0.01354	0.022	0.01314	0.03458	0.03006	0.006309
-Translation	TOTAL	0.04611	0.03457	0.03238	0.03187	0.03651	0.06256	0.01475	0.06766	0.115	0.02516	0.01627	0.06897	0.07483	0.03736	0.03182	0.05269	0.03239	0.03447	0.01781	0.04182	0.05395	0.2056	0.09175	0.05408	0.05245	0.07041	0.0629	0.03474
-Folding, Sorting and Degradation	TOTAL	0.1711	0.1151	0.1097	0.07237	0.1105	0.1419	0.03292	0.1506	0.1937	0.06225	0.04741	0.1456	0.1475	0.09728	0.1082	0.09918	0.1072	0.1136	0.02722	0.1143	0.1677	0.239	0.162	0.1369	0.1153	0.1597	0.1343	0.1146
-DNA Maintenance	TOTAL	0.01236	0.01101	0.008188	0.00588	0.01	0.01351	0.00466	0.01146	0.04516	0.008811	0.00387	0.01707	0.01914	0.00949	0.01087	0.008329	0.01122	0.01229	0.004886	0.009061	0.01946	0.01646	0.01935	0.02088	0.02059	0.03439	0.0239	0.009633
Environmental Information Processing	TOTAL	0.05593	0.04761	0.04365	0.02749	0.05219	0.05213	0.03091	0.05121	0.04177	0.03044	0.03743	0.05352	0.05691	0.04035	0.03018	0.0193	0.0535	0.04538	0.01956	0.06195	0.05548	0.02093	0.03443	0.05317	0.04253	0.04599	0.04054	0.04086
-Signal Transduction	TOTAL	0.02444	0.04381	0.03661	0.02362	0.0425	0.03634	0.02947	0.04254	0.03479	0.02593	0.0344	0.0323	0.03577	0.03325	0.02509	0.01478	0.03899	0.03956	0.0172	0.05207	0.04261	0.01472	0.02909	0.04293	0.03143	0.03715	0.03107	0.03286
-Signaling Molecules and Interaction	TOTAL	0.03149	0.003792	0.007047	0.00387	0.00969	0.01579	0.001449	0.008667	0.006974	0.004514	0.003025	0.02122	0.02114	0.007098	0.005094	0.00452	0.0145	0.005814	0.002356	0.009875	0.01287	0.006213	0.005344	0.01025	0.0111	0.008843	0.00946	0.008
