Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Signal Transduction	TOTAL	0.02444	0.02444	0.02488	0.04381	0.04381	0.04454	0.03659	0.0366	0.03751	0.02362	0.02362	0.02383	0.04249	0.0425	0.04324	0.03633	0.03633	0.03679	0.02946	0.02946	0.02964	0.04253	0.04253	0.04287	0.03468	0.03469	0.0359	0.02588	0.02588	0.02611	0.03438	0.03438	0.03475	0.03228	0.0323	0.03268	0.03574	0.03577	0.0362	0.03322	0.03322	0.03355	0.02507	0.02507	0.02542	0.01478	0.01478	0.01534	0.03814	0.03814	0.03899	0.03953	0.03953	0.04021	0.0172	0.0172	0.01727	0.05207	0.05207	0.05281	0.04254	0.04254	0.0432	0.01472	0.01472	0.01491	0.02909	0.02909	0.02935	0.04152	0.04152	0.04293	0.03143	0.03143	0.03171	0.03714	0.03714	0.03783	0.03103	0.03103	0.03148	0.03284	0.03284	0.03325
-Signaling Molecules and Interaction	TOTAL	0.03123	0.03124	0.03149	0.003158	0.003744	0.003788	0.006385	0.006644	0.007043	0.003472	0.003479	0.003866	0.008995	0.009287	0.009641	0.01519	0.0152	0.01579	0.001294	0.001342	0.001441	0.008171	0.008194	0.008663	0.006405	0.006457	0.006907	0.003569	0.004252	0.00451	0.002811	0.00286	0.003023	0.02013	0.02018	0.02117	0.01972	0.01976	0.02109	0.00604	0.006076	0.006965	0.004446	0.004465	0.005075	0.004318	0.004326	0.004509	0.01346	0.01431	0.0145	0.004841	0.005322	0.005813	0.002232	0.002269	0.002353	0.009504	0.009544	0.009898	0.0119	0.012	0.01273	0.00597	0.005971	0.006215	0.004798	0.004801	0.005334	0.00952	0.01022	0.01094	0.01035	0.01039	0.0111	0.008262	0.008272	0.008842	0.008781	0.008841	0.009458	0.007532	0.007565	0.007995
Cellular Processes	TOTAL	0.0851	0.08518	0.08605	0.2198	0.2199	0.22	0.1946	0.1947	0.1963	0.07264	0.07362	0.0762	0.1997	0.1998	0.2007	0.1502	0.1503	0.1511	0.3179	0.3179	0.32	0.203	0.2031	0.2036	0.1092	0.1095	0.1102	0.4188	0.4188	0.4196	0.08093	0.081	0.08491	0.1139	0.1142	0.1155	0.135	0.1352	0.1366	0.09719	0.09755	0.09887	0.08645	0.0867	0.08874	0.05459	0.05503	0.05613	0.1563	0.1566	0.1572	0.2378	0.2379	0.239	0.339	0.339	0.3399	0.1737	0.1739	0.1754	0.1289	0.1289	0.1292	0.04916	0.04926	0.05066	0.1058	0.1059	0.1064	0.1318	0.132	0.1332	0.1349	0.1351	0.1365	0.1335	0.1338	0.134	0.1228	0.1229	0.1233	0.09361	0.09375	0.09463
-Crystallins	TOTAL	0.001276	0.001276	0.001276	0.002494	0.002494	0.002494	0.001311	0.001311	0.001311	0.0003706	0.0003706	0.0003706	0.0009317	0.0009317	0.0009317	0.0006274	0.0006274	0.0006274	0.00576	0.00576	0.00576	0.0004393	0.0004393	0.0004393	0.0003578	0.0003578	0.0003578	0.2788	0.2788	0.2788	0.02236	0.02236	0.02236	0.0007837	0.0007837	0.0007837	0.0003646	0.0003646	0.0003646	0.0004412	0.0004412	0.0004412	0.003442	0.003442	0.003442	0.0003552	0.0003552	0.0003552	0.00281	0.00281	0.00281	0.002694	0.002694	0.002694	0.002697	0.002697	0.002697	0.001005	0.001005	0.001005	0.000559	0.000559	0.000559	0.0005304	0.0005304	0.0005304	0.0005241	0.0005241	0.0005241	0.0003188	0.0003188	0.0003188	0.01157	0.01157	0.01157	0.0006505	0.0006505	0.0006505	0.0009488	0.0009488	0.0009488	0.001429	0.001429	0.001429
-Stress Response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0.02131	0.02133	0.02144	0.03561	0.03562	0.03565	0.03457	0.03458	0.03462	0.02268	0.02272	0.02305	0.04284	0.04285	0.04289	0.02203	0.02208	0.02213	0.006977	0.006981	0.007026	0.01654	0.01657	0.01663	0.02005	0.0201	0.02017	0.01334	0.01339	0.01342	0.01016	0.01019	0.01032	0.02422	0.02432	0.0247	0.02706	0.02712	0.02742	0.03589	0.03603	0.03633	0.03168	0.0317	0.03194	0.02316	0.02329	0.02361	0.0285	0.02853	0.02936	0.03888	0.0389	0.03894	0.004123	0.004123	0.004139	0.04489	0.04489	0.04494	0.02729	0.02736	0.02744	0.01009	0.01009	0.01011	0.02102	0.02103	0.02106	0.032	0.03204	0.03343	0.01793	0.01794	0.01797	0.03414	0.03415	0.03424	0.02076	0.0208	0.02084	0.02896	0.02898	0.0291
-Cytoskeleton	TOTAL	0.03048	0.03048	0.03049	0.128	0.1281	0.1281	0.1294	0.1294	0.1296	0.02359	0.02442	0.02443	0.1158	0.1158	0.1159	0.0768	0.0768	0.07681	0.08913	0.08913	0.08913	0.05695	0.05695	0.05695	0.0586	0.0586	0.05868	0.07808	0.07808	0.07808	0.02509	0.02509	0.02509	0.05276	0.05276	0.05278	0.07018	0.07018	0.0702	0.03411	0.03411	0.03411	0.03081	0.03081	0.03081	0.01711	0.01711	0.01711	0.06587	0.06587	0.06588	0.1523	0.1523	0.1524	0.1341	0.1341	0.1341	0.09797	0.09798	0.09804	0.05016	0.05017	0.05018	0.03038	0.03038	0.03039	0.04732	0.04732	0.04733	0.0545	0.0545	0.0545	0.074	0.074	0.074	0.0685	0.0685	0.06851	0.05548	0.05548	0.05548	0.03523	0.03523	0.03523
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.01646	0.01657	0.01739	0.04491	0.04492	0.04502	0.02022	0.02027	0.02192	0.01005	0.01026	0.01275	0.0274	0.02743	0.02841	0.01576	0.01581	0.01663	0.004347	0.004373	0.006413	0.01599	0.01607	0.01653	0.01356	0.01405	0.01464	0.01093	0.01095	0.01175	0.007231	0.007332	0.01123	0.0117	0.01181	0.01279	0.01133	0.01143	0.0126	0.009659	0.009829	0.0112	0.01126	0.01132	0.01353	0.005638	0.005792	0.006759	0.01659	0.01661	0.0169	0.03512	0.03515	0.03632	0.001802	0.001831	0.002757	0.02072	0.02086	0.02244	0.01387	0.01397	0.01433	0.004794	0.004906	0.006291	0.009517	0.009585	0.0101	0.01066	0.01068	0.01091	0.0138	0.01393	0.01545	0.01552	0.0157	0.01601	0.01834	0.01843	0.01884	0.01039	0.01048	0.01142
-Cell Communication	TOTAL	0.01546	0.01546	0.01546	0.008753	0.008753	0.008757	0.008995	0.008995	0.008995	0.01575	0.01575	0.01575	0.01268	0.01268	0.01268	0.03494	0.03494	0.03494	0.2117	0.2117	0.2117	0.1131	0.1131	0.1131	0.01637	0.01637	0.01637	0.0376	0.0376	0.03761	0.01597	0.01597	0.01597	0.02444	0.02444	0.02444	0.02603	0.02603	0.02603	0.01697	0.01697	0.01697	0.009209	0.009209	0.009209	0.00829	0.00829	0.00829	0.04255	0.04255	0.04256	0.008766	0.008766	0.008802	0.1962	0.1962	0.1962	0.009064	0.009064	0.009064	0.03683	0.03683	0.03683	0.003339	0.003339	0.003339	0.02741	0.02741	0.02741	0.03424	0.03424	0.03424	0.01756	0.01756	0.01756	0.01469	0.01469	0.01469	0.02719	0.02719	0.02719	0.01751	0.01751	0.01751
