Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Stress Response	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Signaling Molecules and Interaction	0.6766	0.6815	0.6864	9.398	9.45	11.27	4.845	5.205	5.324	5.862	6.521	6.64	4.396	4.616	4.68	1.395	1.449	1.456	4.815	5.2	5.39	1.909	2.019	2.03	2.899	3.08	3.142	2.955	3.113	3.653	3.37	3.553	3.646	1.141	1.201	1.225	1.279	1.367	1.388	5.063	5.475	5.984	6.214	6.555	7.181	5.117	5.352	5.469	1.966	1.992	2.125	6.652	7.305	7.409	1.75	1.817	1.836	4.53	4.704	4.729	2.123	2.273	2.299	1.607	1.626	1.693	3.928	4.361	4.386	2.928	3.132	3.394	1.614	1.727	1.737	3.856	4.128	4.144	2.193	2.348	2.371	3.619	3.828	3.862
-Cytoskeleton	-Signaling Molecules and Interaction	0.968	0.9749	0.976	33.77	33.97	40.33	18.14	19.48	19.93	6.097	6.783	7.032	11.89	12.47	12.65	4.864	5.051	5.056	61.52	66.43	67.62	6.571	6.94	6.967	8.428	8.979	9.131	17.3	18.15	21.26	8.301	8.771	8.88	2.485	2.614	2.62	3.318	3.547	3.559	4.812	5.141	5.637	6.043	6.324	6.929	3.782	3.956	3.961	4.543	4.599	4.894	26.06	28.6	29.03	56.93	59.1	59.12	9.886	10.26	10.31	3.902	4.17	4.203	4.829	4.891	5.089	8.844	9.799	9.862	4.98	5.326	5.718	6.665	7.122	7.125	7.736	8.28	8.286	5.86	6.275	6.31	4.402	4.654	4.669
-Cell Motility	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Signaling Molecules and Interaction	0.5233	0.5296	0.5568	11.85	11.94	14.15	2.83	3.097	3.306	2.599	2.954	3.673	2.809	2.962	3.064	0.9986	1.041	1.093	3.017	3.267	4.884	1.849	1.961	2.014	1.972	2.15	2.262	2.424	2.573	3.147	2.392	2.567	3.96	0.5536	0.5865	0.6331	0.539	0.5797	0.6377	1.387	1.61	1.688	2.22	2.546	2.778	1.251	1.34	1.565	1.145	1.166	1.234	6.005	6.638	6.916	0.766	0.807	1.216	2.093	2.186	2.358	1.094	1.161	1.2	0.7715	0.8136	1.008	1.785	1.987	2.092	0.9756	1.043	1.122	1.243	1.34	1.487	1.756	1.881	1.928	1.939	2.085	2.14	1.3	1.389	1.517
-Cell Communication	-Signaling Molecules and Interaction	0.491	0.4945	0.4951	2.308	2.322	2.773	1.259	1.354	1.384	4.071	4.528	4.535	1.3	1.365	1.384	2.213	2.298	2.3	146.1	157.7	160.6	13.05	13.78	13.83	2.355	2.508	2.551	8.33	8.741	10.24	5.283	5.583	5.652	1.151	1.21	1.214	1.23	1.315	1.32	2.394	2.558	2.805	1.806	1.89	2.071	1.832	1.916	1.919	2.935	2.973	3.161	1.499	1.647	1.683	83.28	86.47	86.49	0.9147	0.9497	0.9535	2.865	3.061	3.085	0.5306	0.5375	0.5593	5.122	5.675	5.712	3.129	3.346	3.593	1.581	1.69	1.69	1.659	1.776	1.777	2.872	3.075	3.092	2.188	2.313	2.321
Metabolism	-Signaling Molecules and Interaction	12.1	12.28	12.39	65.48	67.41	81.34	44.61	47.32	49.33	148.2	164.2	167.2	31.39	32.22	33.22	19.71	20.32	20.51	216.8	232.5	238.6	23.48	23.96	24.7	24.3	24.82	26.44	50.26	52.37	61.58	105.5	110.9	115.3	16.62	17.2	17.37	14.86	15.77	15.88	66.33	70.62	77.56	94.2	97.99	107.3	135.1	140.2	141.3	13.79	14.01	15.13	44.24	48.66	50.98	90.47	93.45	94.46	32.54	33.51	33.91	17.2	17.92	19.38	34.96	39.4	43.7	47.04	52.15	53.07	16.02	17.69	18.76	22.39	23.07	23.83	24.27	24.85	26.08	15.99	17.08	18.15	44.53	46.69	50.34
-Membrane Transport	-Signaling Molecules and Interaction	0.002497	0.004726	0.1188	0.01962	0.02206	0.1009	0.01797	0.02666	0.3953	0.05039	0.09657	0.8122	0.004141	0.007925	0.1423	0.01168	0.0238	0.105	0.029	0.07492	1.322	0.008325	0.03782	0.2412	0.01252	0.07527	0.9121	0.03073	0.06599	0.4232	0.009414	0.01743	0.3221	0.02078	0.05132	0.1013	0.01745	0.04035	0.09219	0.03974	0.06727	0.2451	0.01155	0.02693	0.2927	0.05252	0.109	0.6622	0.002257	0.0184	0.495	0.003178	0.01212	0.122	0.02208	0.0258	0.3583	0.01161	0.01256	0.08798	0.01775	0.02911	1.437	0.008289	0.01024	0.1815	0.03452	0.0756	1.039	0.01633	0.02279	0.3239	0.01056	0.0139	0.1284	0.01855	0.02018	0.9051	0.01586	0.01808	1.515	0.01503	0.01959	3.651
-Central Carbon Metabolism	-Signaling Molecules and Interaction	5.344	5.479	5.509	24.72	25.23	29.55	18.96	21.1	21.73	54.51	62.35	62.7	12.81	13.83	14.14	7.231	7.756	7.905	85	91.17	93.03	7.277	7.994	8.086	9.275	10.33	10.49	25.33	26.51	30.98	30.45	32.6	33.02	5.55	6.081	6.155	5.373	5.985	6.065	21.22	24.21	25.96	31.79	35.27	37.65	31.38	35.01	36.64	3.789	3.961	4.256	18.63	20.36	20.81	40.54	42.81	42.92	15.02	16.39	16.55	6.425	6.962	7.057	7.233	7.634	7.989	18.49	21.01	21.24	6.797	7.327	7.878	6.299	6.81	6.959	9.846	10.78	10.87	5.462	5.991	6.088	15.81	17.11	17.37
-Energy Metabolism	-Signaling Molecules and Interaction	0.9444	0.97	1.031	19.63	20.43	24.37	8.08	8.592	9.04	19.35	21.5	21.7	6.109	6.277	6.632	2.413	2.504	2.567	45.85	49.02	52.21	2.507	2.65	2.729	1.903	2.004	2.066	5.589	5.839	7.002	38.69	40.51	41.82	1.749	1.835	1.862	1.529	1.629	1.666	10.76	12.13	12.61	19.24	21.19	22.42	7.011	7.32	7.524	0.8085	0.8552	0.8994	11.63	12.56	13.27	5.606	5.812	5.918	5.045	5.229	5.272	1.264	1.335	1.382	4.918	5.059	5.18	5.813	6.457	6.616	1.226	1.322	1.423	4.985	5.327	5.403	1.963	2.098	2.126	2.116	2.263	2.34	2.802	2.959	3.02
-Biosynthesis	-Signaling Molecules and Interaction	3.969	4.047	4.614	14.82	16.07	19.15	11.25	12.25	13.51	60.89	66.65	70.32	8.724	9.167	9.625	5.856	6.58	8.304	73.11	78.69	83.8	9.183	9.748	10.44	7.967	8.549	8.824	15.51	16.27	20.12	29.15	31.24	32.88	7.178	7.451	7.554	6.062	6.424	6.528	26.66	28.38	32.92	32.39	34.5	40.2	79.2	84.24	86.63	6.708	6.824	7.76	9.716	10.66	11.66	38.15	39.61	42.44	8.5	8.885	9.322	6.484	6.972	7.529	16	16.43	17.02	16.34	18.1	19.35	5.235	5.715	7.111	6.67	7.226	8.414	7.897	8.554	9.439	5.052	5.418	5.885	16.26	17.25	22.74
-Other Enzymes	-Signaling Molecules and Interaction	1.081	1.4	1.853	4.107	5.977	9.575	3.977	5.399	5.553	8.971	11.53	12.65	2.423	2.988	3.401	1.494	2.019	3.556	7.262	9.058	13.2	2.175	3.462	4.527	3.558	4.129	5.055	2.602	3.407	3.742	4.628	6.223	7.259	1.533	1.759	1.948	1.479	1.606	1.709	5.591	6.372	7.096	6.759	8.404	9.866	9.115	12.06	14.6	1.647	2.091	2.338	2.876	4.594	5.931	2.415	3.626	5.492	2.513	2.956	3.654	1.894	2.485	2.716	4.742	10.48	14.28	3.749	5.497	7.1	1.997	2.687	3.29	2.024	3.271	4.846	2.621	3.522	4.128	2.35	3.061	3.402	3.035	4.371	9.39
Organismal Systems	-Signaling Molecules and Interaction	3.296	3.327	3.333	18.31	18.42	21.85	16.97	18.31	18.71	18.55	20.75	20.79	7.845	8.291	8.402	4.247	4.45	4.456	127.6	137.8	140.3	14.37	15.24	15.31	15.5	16.6	16.89	23.77	25.01	29.45	121.7	128.7	130.3	2.518	2.698	2.708	2.674	2.925	2.94	7.714	8.382	9.223	15.41	16.25	17.81	7.603	7.996	8.03	15.69	15.96	16.98	16.24	17.94	18.19	110.8	115.1	115.1	6.814	7.114	7.146	11.69	12.56	12.68	11.56	11.69	12.19	26.65	29.64	29.83	21.02	22.39	24.13	15.44	16.57	16.6	15.16	16.3	16.34	22.33	23.98	24.14	22.51	23.86	23.95
-Immune System	-Signaling Molecules and Interaction	0.3209	0.3235	0.3247	2.822	2.836	3.367	0.8268	0.888	0.9076	1.337	1.486	1.49	0.747	0.7839	0.7946	0.5824	0.6051	0.6087	2.269	2.45	2.493	0.8226	0.8694	0.8722	1.298	1.383	1.421	1.47	1.543	1.807	2.759	2.916	2.962	0.4222	0.4437	0.4442	0.5253	0.5616	0.5626	1.472	1.573	1.719	2.703	2.828	3.096	0.9829	1.027	1.03	2.208	2.235	2.378	1.114	1.222	1.246	0.8999	0.9343	0.9346	0.5244	0.5435	0.5501	1.028	1.092	1.102	0.423	0.4283	0.4458	1.027	1.139	1.146	1.517	1.624	1.741	0.9798	1.047	1.048	1.68	1.795	1.805	2.839	3.037	3.055	1.706	1.803	1.811
-Endocrine System	-Signaling Molecules and Interaction	0.7088	0.7139	0.7147	1.688	1.698	2.016	0.55	0.5913	0.6043	6.692	7.444	7.456	0.4349	0.4568	0.4629	0.1579	0.1641	0.1643	6.482	7	7.125	0.3748	0.3957	0.3974	0.611	0.6535	0.6632	3.573	3.749	4.392	7.211	7.62	7.714	0.4588	0.4823	0.4844	0.7284	0.7795	0.782	0.9305	0.9941	1.09	1.581	1.654	1.812	2.983	3.119	3.123	0.6649	0.6733	0.7163	1.148	1.261	1.279	2.001	2.077	2.078	0.3403	0.3533	0.3548	0.8683	0.9281	0.9355	0.5661	0.5734	0.5969	0.8069	0.8939	0.9007	0.3357	0.3589	0.3857	1.301	1.39	1.391	1.471	1.575	1.577	2.332	2.497	2.511	5.004	5.291	5.307
-Circulatory System	-Signaling Molecules and Interaction	2.155	2.17	2.173	7.746	7.792	9.25	11.23	12.07	12.33	10.09	11.22	11.24	4.97	5.22	5.29	2.903	3.015	3.018	117.8	127.2	129.5	11.82	12.48	12.53	12.95	13.8	14.03	17.22	18.07	21.16	111.1	117.4	118.9	1.004	1.056	1.058	0.9404	1.005	1.009	4.328	4.623	5.07	10.16	10.63	11.65	3.259	3.408	3.414	12.38	12.53	13.34	8.336	9.154	9.284	107.3	111.4	111.5	3.492	3.625	3.64	9.581	10.24	10.32	4.145	4.198	4.369	18.49	20.48	20.62	18.49	19.78	21.23	12.87	13.76	13.76	11.3	12.09	12.1	16.76	17.94	18.05	15.45	16.34	16.39
-Digestive System	-Signaling Molecules and Interaction	0.03214	0.03256	0.03359	0.3004	0.3036	0.3609	0.0886	0.09531	0.09788	0.05929	0.06596	0.0725	0.05425	0.05656	0.05799	0.03969	0.04126	0.04296	0.09975	0.1083	0.1153	0.9699	1.026	1.029	0.07541	0.08068	0.0843	0.5087	0.5418	0.6358	0.07581	0.08011	0.08176	0.4529	0.4763	0.481	0.2931	0.3132	0.3183	0.53	0.5675	0.6439	0.5511	0.5773	0.6409	0.1629	0.1783	0.2021	0.03826	0.03877	0.04244	0.08972	0.09852	0.1051	0.14	0.1453	0.1486	0.1576	0.1636	0.167	0.07545	0.08062	0.09514	5.697	5.779	6.012	0.1667	0.1859	0.1913	0.1007	0.1089	0.1185	0.06023	0.0645	0.06905	0.09024	0.0966	0.09777	0.04236	0.04535	0.04704	0.08533	0.09022	0.092
-Excretory System	-Signaling Molecules and Interaction	0.01856	0.02584	0.02587	0.9388	0.9443	1.121	0.134	0.2209	0.2257	0.09051	0.2136	0.2144	0.1399	0.1975	0.2002	0.07099	0.1122	0.1124	0.1051	0.1908	0.1942	0.09169	0.1551	0.1558	0.05079	0.1352	0.1375	0.1	0.1647	0.1931	0.1627	0.2371	0.2401	0.0522	0.104	0.1043	0.03838	0.1067	0.1071	0.1971	0.3485	0.3822	0.1877	0.3254	0.3565	0.08306	0.1301	0.1308	0.06409	0.1364	0.1451	0.5835	0.7455	0.7561	0.07511	0.115	0.115	0.05295	0.09207	0.09244	0.01879	0.08273	0.08367	0.552	0.5837	0.6186	5.855	6.596	6.64	0.03918	0.09973	0.1146	0.03855	0.1102	0.1112	0.09755	0.1738	0.174	0.08806	0.1695	0.1706	0.04925	0.1107	0.1113
-Nervous System	-Signaling Molecules and Interaction	0.04505	0.04542	0.04596	3.874	3.895	4.625	3.328	3.578	3.661	0.1827	0.2033	0.2049	0.8228	0.8647	0.8768	0.08935	0.09277	0.09449	0.2245	0.2424	0.2468	0.1745	0.1845	0.1869	0.2507	0.2653	0.281	0.2431	0.258	0.2988	0.2687	0.2839	0.2877	0.05936	0.06244	0.06362	0.06177	0.06602	0.06801	0.186	0.2006	0.2191	0.1623	0.1717	0.1874	0.0868	0.09079	0.09522	0.1221	0.1237	0.1347	4.321	4.746	4.814	0.3021	0.3136	0.3138	1.571	1.631	1.637	0.08967	0.09582	0.1005	0.1164	0.1179	0.1227	0.2329	0.2595	0.2648	0.3582	0.3837	0.4423	0.1606	0.1716	0.173	0.436	0.4667	0.4912	0.2156	0.2308	0.2357	0.1124	0.1188	0.1247
-Sensory System	-Signaling Molecules and Interaction	0.0008826	0.0008899	0.0009074	0.004496	0.004522	0.005369	0.01309	0.01408	0.01439	0.002993	0.003329	0.003334	0.01185	0.01261	0.01322	0.3682	0.3823	0.3827	0.01425	0.01539	0.02842	0.06161	0.06506	0.06532	0.000349	0.0003718	0.0003781	0.3272	0.3433	0.5558	0.007	0.007397	0.007489	0.05338	0.05611	0.05626	0.06735	0.07199	0.07225	0.0009892	0.001057	0.001159	0.003378	0.003535	0.003874	0.003771	0.003944	0.003949	0.001354	0.001371	0.001459	0.002436	0.002675	0.002713	0.01107	0.0115	0.0116	0.007356	0.007638	0.007668	0.0007368	0.0007873	0.0007936	0.002446	0.002478	0.002579	0.01162	0.01287	0.01295	0.001071	0.001146	0.00123	0.005879	0.006283	0.006285	0.023	0.02462	0.02463	0.01273	0.01363	0.01371	0.002735	0.002892	0.002901
-Development	-Signaling Molecules and Interaction	0.01408	0.01418	0.0142	0.9269	0.9389	1.107	0.7917	0.8512	0.8699	0.09656	0.1074	0.1076	0.6643	0.6977	0.7071	0.03311	0.03438	0.03442	0.5911	0.6383	0.6511	0.0567	0.05987	0.06014	0.2465	0.2654	0.2683	0.333	0.3495	0.4094	0.1219	0.1288	0.1311	0.01441	0.01515	0.0152	0.01926	0.02059	0.02066	0.06918	0.07391	0.08119	0.06219	0.06508	0.07131	0.0416	0.04351	0.0436	0.2098	0.2123	0.2259	0.6407	0.7036	0.7136	0.03201	0.03323	0.03324	0.6656	0.6911	0.6941	0.03091	0.03303	0.03341	0.02094	0.02121	0.02207	0.05973	0.06618	0.06661	0.06779	0.07259	0.07793	0.01893	0.02022	0.02031	0.05409	0.0579	0.05797	0.03443	0.03686	0.03712	0.09065	0.09584	0.09632
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0.01228	0	0	0	0	0	0.09472	0	0	0.01899	0	0	0.03467	0	0	0.008326	0	0	0.02112	0	0	0.01001	0	0	0.02953	0	0	0.01645	0	0	0.02336	0	0	0.007875	0	0	0.005997	0	0	0.009902	0	0	0.02086	0	0	0.01844	0	0	0.006268	0	0	0.05139	0	0	0.01216	0	0	0.05253	0	0	0.0136	0	0	0.01515	0	0	0.01871	0	0	0.02278	0	0	0.01592	0	0	0.04612	0	0	0.02853	0	0	0.02002
Human Diseases	-Signaling Molecules and Interaction	0.2311	0.3533	0.4255	2.812	3.709	4.706	1.43	1.913	2.157	1.375	2.753	4.434	1.024	1.371	1.512	0.7211	1.02	1.081	2.914	5.222	6.396	0.9994	1.379	1.487	1.639	2.804	3.404	2.292	2.797	2.926	2.792	4.48	6.702	0.4935	0.7194	0.8815	0.5772	0.835	0.9327	1.183	1.83	2.404	2.014	3.337	3.747	1.504	2.377	2.762	0.7344	0.8481	0.963	2.501	3.329	3.508	2.134	2.531	3.007	1.033	1.322	1.527	0.9496	1.364	1.646	2.027	2.901	3.298	1.834	3.089	4.018	0.9753	1.193	1.587	1.419	2.117	2.528	1.085	2.061	2.407	1.604	2.169	2.559	1.286	1.561	1.659
-Cancers	-Signaling Molecules and Interaction	0.04648	0.04688	0.1084	0.4703	0.5611	1.208	0.1394	0.1538	0.4677	0.3608	0.4022	2.506	0.1802	0.1932	0.4023	0.1115	0.116	0.1862	0.7358	0.8241	2.317	0.2921	0.3098	0.3628	0.4117	0.4486	0.4902	0.4444	0.562	0.7795	0.3206	0.3447	2.66	0.09401	0.1001	0.1711	0.08816	0.09549	0.137	0.2469	0.29	0.9735	0.2341	0.2692	1.061	0.1329	0.1404	0.4962	0.1656	0.1788	0.1938	0.2981	0.3583	0.6469	0.3463	0.3656	0.4543	0.09173	0.09609	0.1951	0.272	0.294	0.3358	0.2049	0.2162	0.3	0.3358	0.3758	0.4983	0.1938	0.2108	0.2429	0.4782	0.5132	0.6432	0.2987	0.3215	0.3854	0.6996	0.7542	0.8079	0.4753	0.505	0.5856
-Immune System Diseases	-Signaling Molecules and Interaction	0.009594	0.08659	0.1508	0.04315	0.3617	0.6012	0.0629	0.2296	0.2931	0.08721	0.4863	0.6851	0.03993	0.2188	0.3236	0.04739	0.2752	0.36	0.09302	0.9197	1.224	0.07367	0.3915	0.5621	0.2345	1.155	2.017	0.1334	0.5274	0.6926	0.07601	0.2076	0.3004	0.05921	0.2663	0.3824	0.0659	0.2854	0.4039	0.08297	0.3498	0.5454	0.1086	0.6356	1.233	0.1163	0.7289	1.038	0.05898	0.1893	0.3407	0.1085	0.4783	0.8664	0.03404	0.2795	0.5667	0.02845	0.1535	0.2688	0.03207	0.3803	0.7416	0.1728	0.9139	1.475	0.1068	1.185	2.285	0.03161	0.3786	0.6851	0.04386	0.672	1.161	0.0279	0.605	1.116	0.07115	0.5548	1.014	0.01402	0.2599	0.3834
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0.107	0.121	0.1514	1.89	1.922	2.462	0.9556	1.064	1.402	0.4335	0.5037	1.497	0.5254	0.593	0.7316	0.121	0.1498	0.2128	1.221	1.365	2.991	0.261	0.3005	0.3835	0.4166	0.5335	0.7257	0.8036	0.9783	1.097	0.7797	0.8874	2.35	0.1011	0.1196	0.1794	0.1068	0.1281	0.1984	0.4803	0.537	0.8701	0.9321	1.006	1.656	0.734	0.8566	1.152	0.2982	0.3187	0.3659	1.553	1.716	2.062	1.325	1.373	1.816	0.684	0.7564	0.9572	0.3496	0.4039	0.4653	0.6044	0.6432	0.9162	0.4523	0.503	0.6667	0.3031	0.3253	0.4334	0.3963	0.4238	0.5976	0.3716	0.4339	0.517	0.4323	0.4799	0.571	0.4156	0.4656	0.6295
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0.001438	0.001448	0.00145	0.05549	0.05582	0.06626	0.002647	0.002846	0.002909	0.00541	0.006019	0.006028	0.007315	0.007683	0.007787	0.1227	0.1274	0.1275	0.2299	0.2482	0.2527	0.08748	0.09238	0.09276	0.04724	0.05032	0.05118	0.4056	0.4257	0.4986	1.213	1.282	1.298	0.05498	0.0578	0.05796	0.1008	0.1077	0.1081	0.007699	0.008225	0.00902	0.0103	0.01078	0.01181	0.08049	0.08418	0.08429	0.01539	0.01557	0.01657	0.003755	0.004123	0.004181	0.02285	0.02372	0.02373	0.004217	0.004379	0.004396	0.01048	0.0112	0.01128	0.0145	0.01469	0.01529	0.2304	0.2553	0.257	0.006977	0.007461	0.00801	0.03515	0.03756	0.03758	0.06883	0.07368	0.07373	0.01729	0.01852	0.01862	0.03226	0.03411	0.03422
-Metabolic Diseases	-Signaling Molecules and Interaction	0.001585	0.001596	0.001598	0.05647	0.0568	0.06743	0.02527	0.02717	0.02776	0.0002089	0.0002324	0.0002328	0.01931	0.02028	0.02055	0.002416	0.002508	0.002511	0.0004717	0.0005094	0.0005185	0.004716	0.00498	0.005001	0.003619	0.003855	0.00392	0.02196	0.02304	0.02699	0.008357	0.008831	0.00894	0.00212	0.002228	0.002234	0.001413	0.00151	0.001515	0.00291	0.003109	0.00341	0.004158	0.004351	0.004768	0.002088	0.002184	0.002187	0.0004909	0.0004968	0.0005287	0.02602	0.02857	0.02898	0.00094	0.000976	0.0009763	0.01548	0.01607	0.01613	0.00256	0.002736	0.002757	0.09279	0.09399	0.09781	0.0323	0.03578	0.03602	0.001062	0.001136	0.00122	0.003133	0.003348	0.003349	0.004689	0.005019	0.005022	0.0003989	0.0004271	0.0004295	0.002226	0.002354	0.002361
-Infectious Diseases	-Signaling Molecules and Interaction	0.01985	0.02606	0.07255	0.1822	0.336	0.6788	0.07015	0.1634	0.305	0.1152	0.1621	0.8128	0.06824	0.1704	0.2147	0.207	0.242	0.3166	0.1338	0.221	1.572	0.1284	0.1791	0.2937	0.16	0.2492	0.7843	0.08143	0.1371	0.3043	0.2495	0.2661	1.568	0.09127	0.1104	0.1514	0.1006	0.1318	0.1893	0.1005	0.144	0.321	0.2009	0.269	0.6449	0.133	0.1732	0.3775	0.06089	0.1115	0.1363	0.1418	0.2464	0.4356	0.1604	0.1875	0.5567	0.08455	0.1723	0.2506	0.1374	0.1619	0.3834	0.5841	0.6154	0.8213	0.3558	0.4056	0.6789	0.1416	0.2076	0.5886	0.2113	0.2306	0.3481	0.1384	0.1859	0.9353	0.1783	0.2053	0.6889	0.09874	0.1225	0.2488
Not Mapped	-Signaling Molecules and Interaction	4.09	4.12	4.125	61.41	61.77	73.33	22.51	24.2	24.74	33.72	37.51	37.57	20.04	21.05	21.33	11.57	12.01	12.03	65.05	70.25	71.51	20.97	22.14	22.23	26.05	27.75	28.22	24.29	25.49	29.86	35.3	37.3	37.77	8.707	9.154	9.178	8.608	9.201	9.233	25.74	27.5	30.15	31.69	33.16	36.34	25.35	26.51	26.55	13.75	13.91	14.81	31.32	34.39	34.88	47.81	49.64	49.65	19.55	20.29	20.38	14.24	15.22	15.34	28.24	28.6	29.77	33.64	37.27	37.51	15.92	17.02	18.28	18.05	19.29	19.29	20.12	21.53	21.55	23	24.62	24.76	20.06	21.21	21.27
-Not Mapped	-Signaling Molecules and Interaction	4.09	4.12	4.125	61.41	61.77	73.33	22.51	24.2	24.74	33.72	37.51	37.57	20.04	21.05	21.33	11.57	12.01	12.03	65.05	70.25	71.51	20.97	22.14	22.23	26.05	27.75	28.22	24.29	25.49	29.86	35.3	37.3	37.77	8.707	9.154	9.178	8.608	9.201	9.233	25.74	27.5	30.15	31.69	33.16	36.34	25.35	26.51	26.55	13.75	13.91	14.81	31.32	34.39	34.88	47.81	49.64	49.65	19.55	20.29	20.38	14.24	15.22	15.34	28.24	28.6	29.77	33.64	37.27	37.51	15.92	17.02	18.28	18.05	19.29	19.29	20.12	21.53	21.55	23	24.62	24.76	20.06	21.21	21.27
TOTAL	Cellular Processes	11.62	11.72	11.75	4.535	4.547	4.548	5.091	5.135	5.139	13.1	13.53	13.7	4.979	4.998	5.006	6.617	6.65	6.657	3.125	3.145	3.146	4.91	4.923	4.925	9.075	9.119	9.151	2.383	2.388	2.388	11.77	12.34	12.35	8.656	8.745	8.774	7.319	7.392	7.406	10.1	10.25	10.29	11.25	11.52	11.57	17.75	18.15	18.31	6.36	6.384	6.393	4.182	4.2	4.204	2.942	2.95	2.95	5.698	5.747	5.753	7.736	7.756	7.76	19.71	20.29	20.32	9.396	9.439	9.448	7.508	7.573	7.578	7.323	7.402	7.413	7.461	7.468	7.488	8.111	8.138	8.141	10.56	10.66	10.68
MAPPED	Cellular Processes	10.12	10.21	10.24	3.479	3.488	3.489	4.273	4.309	4.312	11.39	11.77	11.91	4.006	4.021	4.028	5.408	5.435	5.441	2.831	2.849	2.849	4.018	4.028	4.03	7.431	7.467	7.494	2.122	2.126	2.126	10.52	11.02	11.04	7.056	7.128	7.152	5.987	6.046	6.058	8.254	8.377	8.409	9.428	9.66	9.697	15.72	16.06	16.21	5.093	5.111	5.119	3.416	3.431	3.434	2.61	2.617	2.618	4.594	4.634	4.639	6.32	6.336	6.34	16.21	16.68	16.71	7.705	7.74	7.747	6.2	6.254	6.258	5.856	5.919	5.928	6.132	6.138	6.154	6.345	6.367	6.369	8.866	8.951	8.968
Genetic Information Processing	Cellular Processes	2.647	2.691	2.728	0.7077	0.7452	0.7637	0.7436	0.7554	0.7688	1.417	1.457	1.472	0.7729	0.7986	0.8116	1.447	1.462	1.49	0.1561	0.1592	0.1619	1.076	1.102	1.139	3.359	3.394	3.462	0.2232	0.2286	0.2316	0.8129	0.8474	0.8547	1.953	1.989	2.01	1.741	1.757	1.784	1.46	1.475	1.493	1.666	1.698	1.738	2.809	2.815	2.837	0.9313	0.9516	0.9654	0.631	0.6755	0.6941	0.1393	0.1412	0.1429	0.919	0.9561	0.963	1.796	1.878	1.918	7.738	8.323	9.176	2.453	2.484	2.547	1.61	1.643	1.675	1.267	1.318	1.352	2.023	2.057	2.101	1.816	1.887	1.923	1.396	1.643	1.676
