Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Membrane Transport	TOTAL	0.003667	0.0003617	0.002476	0.002709	0.001277	0.001456	0.001685	0.001797	0.00551	0.001449	0.0008897	0.00163	0.001572	0.00143	0.001269	0.002731	0.006449	0.000592	0.0008025	0.0007675	0.01706	0.0009891	0.004787	0.002991	0.001216	0.007468	0.01324	0.0275
-Central Carbon Metabolism	TOTAL	0.1716	0.09428	0.1406	0.2172	0.129	0.1183	0.123	0.06592	0.06714	0.1139	0.09281	0.123	0.1189	0.1549	0.1651	0.1531	0.05708	0.1086	0.09722	0.157	0.08401	0.04724	0.1015	0.07507	0.07164	0.0895	0.0532	0.1305
-Energy Metabolism	TOTAL	0.03055	0.07739	0.05772	0.0753	0.05966	0.03896	0.06895	0.02229	0.01326	0.02571	0.1176	0.03743	0.03281	0.07626	0.09968	0.03235	0.01211	0.06801	0.01342	0.05012	0.01648	0.03092	0.03174	0.01356	0.05612	0.01758	0.02057	0.02277
-Biosynthesis	TOTAL	0.1414	0.05938	0.08691	0.2392	0.08638	0.116	0.107	0.08379	0.05544	0.07164	0.09107	0.15	0.1265	0.1887	0.1688	0.3638	0.1033	0.0603	0.09572	0.08624	0.08762	0.1009	0.09101	0.06628	0.08437	0.07681	0.05063	0.1682
-Other Enzymes	TOTAL	0.04215	0.0226	0.03392	0.03973	0.0289	0.03192	0.01334	0.03038	0.02887	0.01486	0.01653	0.03845	0.03316	0.04223	0.04056	0.05348	0.02451	0.0248	0.006996	0.03	0.02716	0.07415	0.02599	0.02561	0.03415	0.03042	0.02381	0.03372
Organismal Systems	TOTAL	0.1038	0.06943	0.1212	0.07181	0.07652	0.0671	0.1848	0.1246	0.1078	0.1079	0.3679	0.0535	0.05663	0.05472	0.07857	0.03446	0.2277	0.09499	0.261	0.06755	0.1504	0.07251	0.1426	0.2294	0.1715	0.1342	0.2114	0.1801
-Immune System	TOTAL	0.01014	0.01074	0.005901	0.005178	0.007281	0.00925	0.003287	0.007135	0.009171	0.006637	0.00837	0.00896	0.01112	0.01043	0.01378	0.004447	0.03207	0.006543	0.00212	0.005232	0.01322	0.002662	0.005502	0.01714	0.01089	0.01494	0.02693	0.0137
-Endocrine System	TOTAL	0.02232	0.006401	0.003929	0.0259	0.004242	0.002493	0.009392	0.003248	0.004248	0.01613	0.0218	0.009739	0.01541	0.006596	0.008058	0.0135	0.00964	0.006714	0.004714	0.003372	0.01116	0.003563	0.004317	0.003672	0.01445	0.01303	0.02208	0.04004
-Circulatory System	TOTAL	0.06786	0.02937	0.0802	0.03904	0.04848	0.04584	0.1706	0.1024	0.09007	0.07771	0.3359	0.02132	0.01989	0.03068	0.05178	0.01474	0.1795	0.04875	0.2529	0.0346	0.1232	0.02609	0.09893	0.2024	0.1429	0.1	0.1586	0.1237
-Digestive System	TOTAL	0.001024	0.001142	0.0006698	0.000248	0.0005286	0.0006386	0.0001453	0.008411	0.0005273	0.00233	0.0002308	0.009672	0.006219	0.003796	0.002842	0.0008087	0.0005614	0.0005247	0.0003298	0.001571	0.0009983	0.03585	0.0009031	0.001116	0.0006701	0.0008055	0.0004159	0.0006894
