KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K03129	NaN	NaN	NaN	NaN	8138300.1	1428500	NaN	NaN	484310.02	NaN	NaN	NaN	2211500	9224499.9	NaN	693019.98	2470400	NaN	NaN	509820.01	NaN	206030	NaN	5626799.8	NaN	NaN	NaN	NaN
K03128	NaN	1027000	NaN	NaN	NaN	NaN	5641999.9	NaN	110560	NaN	NaN	NaN	NaN	2243800	708220	NaN	NaN	478340	802560	516050	NaN	NaN	NaN	1110200	NaN	2146400	NaN	NaN
K03142	NaN	NaN	NaN	NaN	3380900	1636200	NaN	921489.98	3031600	NaN	NaN	NaN	NaN	993820.01	NaN	NaN	NaN	NaN	NaN	NaN	713759.98	NaN	NaN	8118400	NaN	NaN	660000.01	NaN
K06634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1731300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	588910.01	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10842	598240.01	NaN	815550	728660.01	4137100	NaN	NaN	NaN	5014100	1234700	276250	NaN	4759500.1	3691600.1	NaN	3447300.1	NaN	506379.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10843	14000000	1719700	NaN	60500000	58100000	6870100	664560	5656200	NaN	1103700	NaN	57400000	66800000	26400000	1021600	6515500	246790	1412400	NaN	4231200	NaN	NaN	NaN	NaN	NaN	NaN	396060	10200000
K03131	NaN	NaN	NaN	NaN	NaN	1893900	NaN	2485600	7966000.2	871020.02	NaN	3087100	5933100	2085600	440000	NaN	7019500	NaN	NaN	NaN	NaN	NaN	NaN	6681000	NaN	NaN	NaN	NaN
K03138	5319099.9	3737100	334480	3205800	68337.999	9859400.1	493340	5550100.2	15800000	5460600.2	317270	12700000	14700000	10800000	1773200	2008300	2081300	313140	NaN	8776600.2	4770600	499130	1257400	62600002	NaN	16500000	3577100	658080.01
K09578	17199999	50400001	76300000	10200000	1.37e+08	13800000	3864700	27500001	22900000	3599399.9	12400000	20499999	24000001	16300000	5552000	11000000	10800000	6679300	2543000	1.02e+08	5325900	2823500	1235000	14400000	1324400	8614200	8670100.1	3059300
K03123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
