KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K09429	7466900.1	1802000	3401400	4523400	26000000	14000000	3375600	NaN	16700000	NaN	NaN	NaN	12300000	NaN	NaN	4129800	NaN	4294400.1	NaN	7370100	NaN	NaN	1712200	90500001	NaN	11200000	4639200	6348099.9
K09441	6746400	1582400	6451000	12200000	69799998	25700000	606470	4507600	15200000	11800000	586040	38000000	17700000	20200000	2806300	16800000	8967799.8	430130	367690	4808600	7175000.1	983970	4939000.2	30400000	1702600	10900000	1780400	2277700
K10154	850249.99	NaN	NaN	213440	1544300	18300000	127170	16200000	NaN	2550600	NaN	2.29e+08	97899998	NaN	771270.02	21400000	NaN	NaN	19000000	91500001	NaN	742680	NaN	88200002	NaN	8199199.8	1783800	4169100
K09454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7514700.1	1289100	7144799.9	7660399.9	1333700	NaN	NaN	NaN	NaN	305110	1379900	8339399.9	1868300	3264300	NaN	NaN	1152700	4786799.9	NaN	920920.01
K09269	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9039799.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09270	NaN	7885110.2	NaN	NaN	NaN	1670300	NaN	5748200.2	25500000	NaN	NaN	NaN	3388500	NaN	NaN	NaN	NaN	2622730	NaN	NaN	468350	NaN	4382400	NaN	662879.99	NaN	NaN	NaN
K04491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09272	64500000	8712100	18000000	41200000	2e+08	94800003	6128200	69300000	4.34e+08	21400000	9743100.2	1.74e+08	2.82e+08	72400002	10200000	55200000	81700000	5695700	1852000	53500000	75500001	4237900	19800000	6e+08	3430700	2.06e+08	14200000	15400000
K09273	73400000	26600000	23400000	52800000	2.63e+08	50200000	7922200	92700000	2.19e+08	37600000	3639500	1.66e+08	2.2e+08	1.22e+08	19000000	1.08e+08	58800000	1681200	NaN	73600000	26000000	5570300	13100000	2.23e+08	3187400	44200000	20900000	8334400.4
K09275	9141910.1	2769210	7974900	3193250	42828700	8135200.3	189530	2502500	39373400	3024700	668039.99	24000000	19800000	19434300	860370	2472200	6694000	491780	NaN	44782200	3850260	1260500	1090000	43000000	157900	10740040	2077000	6066260
K09276	2.82e+08	49999999	37300000	3.7799999e+08	1.3e+08	6.7999999e+08	1.29e+08	4.1999999e+08	3.06e+08	36200000	1.24e+08	9.0099999e+08	1.26e+09	5.0800002e+08	1.32e+08	4.42e+08	1.34e+08	12700000	1.57e+08	31000000	39899999	9.4800001e+08	2.22e+08	3e+08	1.28e+08	2.11e+08	4.3500001e+08	61199999
K09277	NaN	NaN	NaN	2279100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4075300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03704	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12870	NaN	6227600	NaN	2477700	25900000	NaN	1554000	NaN	9073900.1	NaN	NaN	9077700	8857100	NaN	NaN	NaN	4496000.1	668749.99	NaN	NaN	NaN	NaN	NaN	21200000	660189.99	NaN	NaN	NaN
K12872	11500000	4681199.9	4188900	1343900	62200001	12000000	NaN	1483400	NaN	4516700.2	NaN	16800000	12700000	10800000	1499400	7800699.9	NaN	325100	NaN	5468000.2	3155200	NaN	NaN	29000000	536640.01	3366700	3421700	1089600
K12874	NaN	NaN	NaN	5923200	2913500.1	4507600	404399.99	2349000	32300000	591580	205700	18900001	21400000	1868600.1	NaN	4166500	1072100	NaN	NaN	NaN	2678700	NaN	NaN	39800000	NaN	5056900	NaN	8461499.9
K12848	8435000.1	11400000	11300000	6221700	99900000	14800000	713280	8830700	41400000	6476500	2143900	25200001	26699999	19000000	2472000.1	11100000	11400000	2911000.1	381149.99	6712900	8638799.9	3057400	1339600	2.61e+08	841989.99	5665800	5690699.9	2603900.1
K12849	21200000	3980799.9	9869900	7598500.1	2.21e+08	30900000	2144100	19000000	50099999	29100000	NaN	48500001	86200000	13200000	4407000	17100000	8179100	472859.99	NaN	62800000	15500000	4516700.1	8091500	1.71e+08	1200900	27200000	12500000	3099200
K12844	18600000	4018100	7256600.2	15700000	48600000	24200000	11100000	20400000	86000000	2829600	3056800	78200002	91700002	29100000	4816400	23700000	10800000	1989300	758259.99	32400000	5075500.2	8650600.1	1672100	1.86e+08	2009100	18600000	5977400.2	6084899.8
