Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8761	0.8761	0.8761	0.7915	0.7915	0.7915	0.8361	0.8361	0.8361	0.8672	0.8672	0.8672	0.798	0.798	0.798	0.8109	0.8109	0.8109	0.8992	0.8992	0.8992	0.8021	0.8021	0.8021	0.8175	0.8175	0.8175	0.9034	0.9034	0.9034	0.9168	0.9168	0.9168	0.8125	0.8125	0.8125	0.812	0.812	0.812	0.8199	0.8199	0.8199	0.8548	0.8548	0.8548	0.8777	0.8777	0.8777	0.8077	0.8077	0.8077	0.8337	0.8337	0.8337	0.8963	0.8963	0.8963	0.8017	0.8017	0.8017	0.8151	0.8151	0.8151	0.8569	0.8569	0.8569	0.8321	0.8321	0.8321	0.844	0.844	0.844	0.8306	0.8306	0.8306	0.8331	0.8331	0.8331	0.8033	0.8033	0.8033	0.8423	0.8423	0.8423
Genetic Information Processing	TOTAL	0.2205	0.2267	0.2451	0.1588	0.1668	0.1889	0.1303	0.1385	0.1453	0.102	0.1055	0.1124	0.1448	0.1516	0.1663	0.2196	0.2286	0.2404	0.04998	0.05246	0.05507	0.238	0.2459	0.2645	0.3699	0.3772	0.4013	0.07642	0.07899	0.08549	0.05848	0.06068	0.06158	0.2228	0.2383	0.2491	0.2422	0.2555	0.2647	0.1429	0.1466	0.1543	0.1505	0.1553	0.1686	0.1626	0.1688	0.179	0.1316	0.1384	0.151	0.159	0.1719	0.1944	0.04576	0.04832	0.05005	0.1487	0.1549	0.1765	0.2298	0.2423	0.2625	0.4594	0.4743	0.5076	0.2666	0.2742	0.2961	0.1969	0.2009	0.2158	0.1862	0.2004	0.2152	0.2577	0.2643	0.2865	0.2504	0.2621	0.2785	0.1202	0.1288	0.1655
-Transcription	TOTAL	0.01259	0.0126	0.01273	0.01314	0.01315	0.01325	0.008087	0.008094	0.008179	0.003341	0.003346	0.003442	0.01246	0.01247	0.01276	0.01701	0.01703	0.01736	0.002049	0.002049	0.002142	0.01745	0.01745	0.01776	0.04087	0.04092	0.04224	0.005474	0.005477	0.005592	0.00591	0.00591	0.005931	0.01116	0.01118	0.0114	0.01257	0.01259	0.01297	0.008809	0.008821	0.008962	0.008905	0.008913	0.009049	0.005004	0.005014	0.005134	0.009815	0.009827	0.01029	0.01342	0.01344	0.01351	0.001433	0.001433	0.001468	0.01244	0.01244	0.01261	0.02266	0.02269	0.02287	0.007168	0.007176	0.007275	0.0122	0.0122	0.01234	0.02027	0.02029	0.02061	0.01344	0.01346	0.01363	0.03201	0.03203	0.03251	0.0301	0.03012	0.03043	0.006309	0.006313	0.006423
-Translation	TOTAL	0.05381	0.05455	0.05473	0.04652	0.04724	0.04738	0.03635	0.03668	0.0368	0.0375	0.03767	0.03778	0.03803	0.03851	0.03882	0.07948	0.08022	0.08063	0.01674	0.0168	0.0169	0.09689	0.09747	0.0979	0.1431	0.145	0.1464	0.02306	0.02346	0.02359	0.01708	0.01715	0.01718	0.08923	0.08976	0.09002	0.09796	0.09874	0.09919	0.04526	0.04564	0.04583	0.03847	0.03867	0.03885	0.07276	0.07303	0.07316	0.03433	0.0348	0.03528	0.04303	0.0436	0.04373	0.01831	0.0184	0.01844	0.04851	0.04898	0.04918	0.06753	0.06886	0.0692	0.3088	0.3091	0.3093	0.1197	0.1204	0.1205	0.05837	0.06018	0.06054	0.07457	0.07473	0.07492	0.07893	0.08196	0.08248	0.09529	0.09717	0.09763	0.0404	0.04093	0.04107
-Folding, Sorting and Degradation	TOTAL	0.1394	0.1434	0.1626	0.08615	0.09329	0.1139	0.07751	0.08313	0.09051	0.0545	0.05877	0.06406	0.08157	0.08748	0.1029	0.1089	0.1108	0.1253	0.02634	0.02885	0.03112	0.1087	0.1172	0.1317	0.1327	0.1393	0.1644	0.03886	0.04155	0.04718	0.032	0.03417	0.03479	0.1099	0.1115	0.1239	0.1139	0.1155	0.1254	0.0769	0.07879	0.08736	0.09044	0.09155	0.1065	0.07691	0.08005	0.09053	0.07188	0.08025	0.09166	0.08794	0.1001	0.1231	0.0219	0.02378	0.02524	0.07794	0.08267	0.1035	0.1135	0.1255	0.1508	0.1297	0.1418	0.1741	0.1129	0.1196	0.1385	0.09029	0.09296	0.1091	0.07994	0.08914	0.1019	0.1039	0.1122	0.1349	0.09615	0.1037	0.1251	0.064	0.07324	0.1094
-DNA Maintenance	TOTAL	0.01148	0.01493	0.01908	0.01232	0.01326	0.01643	0.008236	0.008999	0.01015	0.004936	0.007066	0.008431	0.009505	0.01288	0.01421	0.01228	0.01662	0.01941	0.003338	0.004672	0.005792	0.01106	0.01583	0.01805	0.03542	0.05247	0.05702	0.006936	0.008917	0.0103	0.00287	0.00364	0.004033	0.01197	0.01938	0.02456	0.01533	0.02293	0.02828	0.009007	0.01202	0.01349	0.007505	0.01358	0.01574	0.005678	0.00952	0.01297	0.01006	0.01512	0.01681	0.01063	0.01547	0.01676	0.003491	0.004326	0.005671	0.008793	0.01053	0.01284	0.01341	0.0264	0.02933	0.01135	0.01651	0.02228	0.01203	0.02502	0.02976	0.01628	0.02706	0.0292	0.01356	0.02305	0.03022	0.03028	0.04047	0.04501	0.0199	0.03274	0.0344	0.005927	0.008749	0.01006
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.05558	0.05559	0.05673	0.05466	0.05468	0.05514	0.05027	0.05034	0.05261	0.03175	0.03175	0.03255	0.0544	0.0545	0.056	0.05038	0.05039	0.05164	0.03903	0.03905	0.0393	0.03958	0.0396	0.04061	0.04113	0.04117	0.04241	0.03508	0.03546	0.03608	0.04312	0.04313	0.04348	0.05853	0.05859	0.06052	0.06257	0.06262	0.06501	0.04	0.04014	0.0416	0.03304	0.03325	0.03416	0.02282	0.02283	0.02333	0.05173	0.05191	0.05356	0.05208	0.05241	0.05377	0.02307	0.02308	0.02325	0.06662	0.06663	0.06836	0.04291	0.04301	0.04454	0.02262	0.02279	0.0231	0.03264	0.03267	0.03364	0.04719	0.04758	0.04865	0.04559	0.0456	0.04689	0.05536	0.05537	0.05705	0.03417	0.03419	0.03566	0.03683	0.03684	0.03787
