Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8761	0.7915	0.8361	0.8672	0.798	0.8109	0.8992	0.8021	0.8175	0.9034	0.9168	0.8125	0.812	0.8199	0.8548	0.8777	0.8077	0.8337	0.8963	0.8017	0.8151	0.8569	0.8321	0.844	0.8306	0.8331	0.8033	0.8423
Genetic Information Processing	TOTAL	0.2267	0.1668	0.1385	0.1055	0.1516	0.2286	0.05246	0.2459	0.3772	0.07899	0.06068	0.2383	0.2555	0.1466	0.1553	0.1688	0.1384	0.1719	0.04832	0.1549	0.2423	0.4743	0.2742	0.2009	0.2004	0.2643	0.2621	0.1288
-Transcription	TOTAL	0.0126	0.01315	0.008094	0.003346	0.01247	0.01703	0.002049	0.01745	0.04092	0.005477	0.00591	0.01118	0.01259	0.008821	0.008913	0.005014	0.009827	0.01344	0.001433	0.01244	0.02269	0.007176	0.0122	0.02029	0.01346	0.03203	0.03012	0.006313
-Translation	TOTAL	0.05455	0.04724	0.03668	0.03767	0.03851	0.08022	0.0168	0.09747	0.145	0.02346	0.01715	0.08976	0.09874	0.04564	0.03867	0.07303	0.0348	0.0436	0.0184	0.04898	0.06886	0.3091	0.1204	0.06018	0.07473	0.08196	0.09717	0.04093
-Folding, Sorting and Degradation	TOTAL	0.1434	0.09329	0.08313	0.05877	0.08748	0.1108	0.02885	0.1172	0.1393	0.04155	0.03417	0.1115	0.1155	0.07879	0.09155	0.08005	0.08025	0.1001	0.02378	0.08267	0.1255	0.1418	0.1196	0.09296	0.08914	0.1122	0.1037	0.07324
-DNA Maintenance	TOTAL	0.01493	0.01326	0.008999	0.007066	0.01288	0.01662	0.004672	0.01583	0.05247	0.008917	0.00364	0.01938	0.02293	0.01202	0.01358	0.00952	0.01512	0.01547	0.004326	0.01053	0.0264	0.01651	0.02502	0.02706	0.02305	0.04047	0.03274	0.008749
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.05559	0.05468	0.05034	0.03175	0.0545	0.05039	0.03905	0.0396	0.04117	0.03546	0.04313	0.05859	0.06262	0.04014	0.03325	0.02283	0.05191	0.05241	0.02308	0.06663	0.04301	0.02279	0.03267	0.04758	0.0456	0.05537	0.03419	0.03684
-Signal Transduction	TOTAL	0.02564	0.05174	0.04444	0.0272	0.04562	0.03262	0.03723	0.02698	0.03322	0.03147	0.04009	0.03511	0.03836	0.03256	0.0277	0.01833	0.03209	0.04781	0.0189	0.05896	0.02982	0.01491	0.02816	0.03501	0.02872	0.04436	0.02309	0.02626
