Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8761	0.7915	0.8361	0.8672	0.798	0.8109	0.8992	0.8021	0.8175	0.9034	0.9168	0.8125	0.812	0.8199	0.8548	0.8777	0.8077	0.8337	0.8963	0.8017	0.8151	0.8569	0.8321	0.844	0.8306	0.8331	0.8033	0.8423
Genetic Information Processing	TOTAL	0.2205	0.1588	0.1303	0.102	0.1448	0.2196	0.04998	0.238	0.3699	0.07642	0.05848	0.2228	0.2422	0.1429	0.1505	0.1626	0.1316	0.159	0.04576	0.1487	0.2298	0.4594	0.2666	0.1969	0.1862	0.2577	0.2504	0.1202
-Transcription	TOTAL	0.01259	0.01314	0.008087	0.003341	0.01246	0.01701	0.002049	0.01745	0.04087	0.005474	0.00591	0.01116	0.01257	0.008809	0.008905	0.005004	0.009815	0.01342	0.001433	0.01244	0.02266	0.007168	0.0122	0.02027	0.01344	0.03201	0.0301	0.006309
-Translation	TOTAL	0.05381	0.04652	0.03635	0.0375	0.03803	0.07948	0.01674	0.09689	0.1431	0.02306	0.01708	0.08923	0.09796	0.04526	0.03847	0.07276	0.03433	0.04303	0.01831	0.04851	0.06753	0.3088	0.1197	0.05837	0.07457	0.07893	0.09529	0.0404
-Folding, Sorting and Degradation	TOTAL	0.1394	0.08615	0.07751	0.0545	0.08157	0.1089	0.02634	0.1087	0.1327	0.03886	0.032	0.1099	0.1139	0.0769	0.09044	0.07691	0.07188	0.08794	0.0219	0.07794	0.1135	0.1297	0.1129	0.09029	0.07994	0.1039	0.09615	0.064
-DNA Maintenance	TOTAL	0.01148	0.01232	0.008236	0.004936	0.009505	0.01228	0.003338	0.01106	0.03542	0.006936	0.00287	0.01197	0.01533	0.009007	0.007505	0.005678	0.01006	0.01063	0.003491	0.008793	0.01341	0.01135	0.01203	0.01628	0.01356	0.03028	0.0199	0.005927
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.05558	0.05466	0.05027	0.03175	0.0544	0.05038	0.03903	0.03958	0.04113	0.03508	0.04312	0.05853	0.06257	0.04	0.03304	0.02282	0.05173	0.05208	0.02307	0.06662	0.04291	0.02262	0.03264	0.04719	0.04559	0.05536	0.03417	0.03683
-Signal Transduction	TOTAL	0.02564	0.05174	0.04443	0.02719	0.04562	0.03262	0.03723	0.02697	0.03321	0.03147	0.04009	0.03509	0.03834	0.03256	0.0277	0.01833	0.03209	0.04781	0.0189	0.05896	0.02982	0.01491	0.02816	0.03501	0.02872	0.04436	0.02309	0.02626
