Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8761	0.7915	0.8361	0.8672	0.798	0.8109	0.8992	0.8021	0.8175	0.9034	0.9168	0.8125	0.812	0.8199	0.8548	0.8777	0.8077	0.8337	0.8963	0.8017	0.8151	0.8569	0.8321	0.844	0.8306	0.8331	0.8033	0.8423
Genetic Information Processing	TOTAL	0.2451	0.1889	0.1453	0.1124	0.1663	0.2404	0.05507	0.2645	0.4013	0.08549	0.06158	0.2491	0.2647	0.1543	0.1686	0.179	0.151	0.1944	0.05005	0.1765	0.2625	0.5076	0.2961	0.2158	0.2152	0.2865	0.2785	0.1655
-Transcription	TOTAL	0.01273	0.01325	0.008179	0.003442	0.01276	0.01736	0.002142	0.01776	0.04224	0.005592	0.005931	0.0114	0.01297	0.008962	0.009049	0.005134	0.01029	0.01351	0.001468	0.01261	0.02287	0.007275	0.01234	0.02061	0.01363	0.03251	0.03043	0.006423
-Translation	TOTAL	0.05473	0.04738	0.0368	0.03778	0.03882	0.08063	0.0169	0.0979	0.1464	0.02359	0.01718	0.09002	0.09919	0.04583	0.03885	0.07316	0.03528	0.04373	0.01844	0.04918	0.0692	0.3093	0.1205	0.06054	0.07492	0.08248	0.09763	0.04107
-Folding, Sorting and Degradation	TOTAL	0.1626	0.1139	0.09051	0.06406	0.1029	0.1253	0.03112	0.1317	0.1644	0.04718	0.03479	0.1239	0.1254	0.08736	0.1065	0.09053	0.09166	0.1231	0.02524	0.1035	0.1508	0.1741	0.1385	0.1091	0.1019	0.1349	0.1251	0.1094
-DNA Maintenance	TOTAL	0.01908	0.01643	0.01015	0.008431	0.01421	0.01941	0.005792	0.01805	0.05702	0.0103	0.004033	0.02456	0.02828	0.01349	0.01574	0.01297	0.01681	0.01676	0.005671	0.01284	0.02933	0.02228	0.02976	0.0292	0.03022	0.04501	0.0344	0.01006
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.05673	0.05514	0.05261	0.03255	0.056	0.05164	0.0393	0.04061	0.04241	0.03608	0.04348	0.06052	0.06501	0.0416	0.03416	0.02333	0.05356	0.05377	0.02325	0.06836	0.04454	0.0231	0.03364	0.04865	0.04689	0.05705	0.03566	0.03787
-Signal Transduction	TOTAL	0.02644	0.05174	0.04588	0.02735	0.04634	0.0329	0.0373	0.02717	0.03364	0.03161	0.04021	0.03545	0.03863	0.0327	0.02791	0.01852	0.03228	0.04835	0.01896	0.0601	0.03019	0.01508	0.02836	0.03546	0.02904	0.04518	0.02362	0.02659
