Synpcc7942_1740	MurB	K00075
Synpcc7942_1741	MurC	K01924
Synpcc7942_1667	MurD	K01925
Synpcc7942_1484	MurE	K01928
Synpcc7942_2375	Ddl	K01921
Synpcc7942_0152	MraY	K01000
Synpcc7942_0576	ThiG	K03149
Synpcc7942_2244	RibH	K00794
Synpcc7942_0804	PdxA	K00097
Synpcc7942_0106	NadD	K00969
Synpcc7942_0105	NadE	K01916
Synpcc7942_2063	SurE	K03787
Synpcc7942_1865	PpnK	K00858
Synpcc7942_2304	PpnK	K00858
Synpcc7942_2434	IlvH	K01653
Synpcc7942_2381	PanB	K00606
Synpcc7942_2007	CoaD	K00954
Synpcc7942_0273	CoaE	K00859
Synpcc7942_2353	LipB	K03801
Synpcc7942_1597	FolE	K01495
Synpcc7942_0282	GlyA	K00600
Synpcc7942_0958	PurN	K11175
Synpcc7942_0588	PurT	K08289
Synpcc7942_0396	PurH	K00602
Synpcc7942_2110	Fmt	K00604
Synpcc7942_2308	GcvT	K00605
Synpcc7942_1008	PurU	K01433
Synpcc7942_2393	GltX	K01885
Synpcc7942_0504	HemA	K02492
Synpcc7942_0967	HemC	K01749
Synpcc7942_1086	HemE	K01599
Synpcc7942_0137	HemH	K01772
Synpcc7942_0190	CbiD	K02188
Synpcc7942_1852	CobH	K06042
Synpcc7942_0097	CobN	K02230
Synpcc7942_1441	CobD	K02227
Synpcc7942_0990	CobU	K02231
Synpcc7942_0454	CobS	K02233
Synpcc7942_1964	UbiA	K03179
Synpcc7942_1099	UbiE	K03183
Synpcc7942_0681	IspD	K00991
Synpcc7942_1170	IspF	K01770
Synpcc7942_0221	Glk	K00845
Synpcc7942_0221	Glk	K00845
Synpcc7942_0641	SdhA	K00239
Synpcc7942_1522	RpoB	K03043
Synpcc7942_2530	RpsB	K02967
Synpcc7942_2226	RpsC	K02982
Synpcc7942_1487	RpsD	K02986
Synpcc7942_2216	RpsE	K02988
Synpcc7942_0012	RpsF	K02990
Synpcc7942_2219	RpsH	K02994
Synpcc7942_2205	RpsI	K02996
Synpcc7942_0887	RpsL	K02950
Synpcc7942_2211	RpsM	K02952
Synpcc7942_0446	RpsN	K02954
Synpcc7942_2299	RpsO	K02956
Synpcc7942_1772	RpsP	K02959
Synpcc7942_2223	RpsQ	K02961
Synpcc7942_1123	RpsR	K02963
Synpcc7942_2228	RpsS	K02965
Synpcc7942_1520	RpsT	K02968
Synpcc7942_1774	RpsU	K02970
Synpcc7942_0633	RplA	K02863
Synpcc7942_2229	RplB	K02886
Synpcc7942_2232	RplC	K02906
Synpcc7942_2231	RplD	K02926
Synpcc7942_2220	RplE	K02931
Synpcc7942_2218	RplF	K02933
Synpcc7942_0631	RplL	K02935
Synpcc7942_2559	RplI	K02939
Synpcc7942_0632	RplJ	K02864
Synpcc7942_0634	RplK	K02867
Synpcc7942_2206	RplM	K02871
Synpcc7942_2222	RplN	K02874
Synpcc7942_2215	RplO	K02876
Synpcc7942_2225	RplP	K02878
Synpcc7942_2208	RplQ	K02879
Synpcc7942_2217	RplR	K02881
Synpcc7942_2541	RplS	K02884
Synpcc7942_1277	RplT	K02887
Synpcc7942_1219	RplU	K02888
Synpcc7942_2227	RplV	K02890
Synpcc7942_2230	RplW	K02892
Synpcc7942_2221	RplX	K02895
Synpcc7942_1220	RpmA	K02899
Synpcc7942_0042	RpmB	K02902
Synpcc7942_2204	RpmE	K02909
Synpcc7942_0997	RpmF	K02911
Synpcc7942_1122	RpmG	K02913
Synpcc7942_1614	RpmH	K02914
Synpcc7942_1278	RpmI	K02916
Synpcc7942_2212	RpmJ	K02919
Synpcc7942_2393	GltX	K01885
Synpcc7942_2117	GatA	K02433
Synpcc7942_0118	GatB	K02434
Synpcc7942_0876	AlaS	K01872
Synpcc7942_1313	AspS	K01876
Synpcc7942_0830	AsnC	K01893
Synpcc7942_2457	GlyQ	K01878
Synpcc7942_0018	GlyS	K01879
Synpcc7942_2606	ThrS	K01868
Synpcc7942_1662	CysS	K01883
Synpcc7942_2110	Fmt	K00604
Synpcc7942_0587	ValS	K01873
Synpcc7942_1920	LeuS	K01869
Synpcc7942_2437	IleS	K01870
Synpcc7942_2415	LysS	K04567
Synpcc7942_1577	ArgS	K01887
Synpcc7942_2263	HisS	K01892
Synpcc7942_2064	PheS	K01889
Synpcc7942_1293	PheT	K01890
Synpcc7942_2214	SecY	K03076
Synpcc7942_0636	SecE	K03073
Synpcc7942_0468	SecG	K03075
Synpcc7942_0142	SecD	K03072
Synpcc7942_0141	SecF	K03074
Synpcc7942_0226	TatA	K03116
Synpcc7942_1726	LspA	K03101
Synpcc7942_1509	MnmA	K00566
Synpcc7942_1282	MoaA	K03639
Synpcc7942_0639	Eno	K01689
Synpcc7942_2468	DnaK	K04043
Synpcc7942_0685	GroEl	K04077
Synpcc7942_2313	GroEl	K04077
Synpcc7942_1292	DnaG	K02316
Synpcc7942_0879	RnhB	K03470
Synpcc7942_0277	LigA	K01972
Synpcc7942_0277	LigA	K01972
Synpcc7942_0848	UvrA	K03701
Synpcc7942_1945	UvrC	K03703
Synpcc7942_0277	LigA	K01972
Synpcc7942_1780	MutL	K03572
Synpcc7942_0368	XseA	K03601
Synpcc7942_0277	LigA	K01972
Synpcc7942_2250	RecF	K03629
Synpcc7942_0984	RecO	K03584
Synpcc7942_1369	RecR	K06187
Synpcc7942_0348	RecA	K03553
Synpcc7942_2298	RuvA	K03550
Synpcc7942_0835	RuvB	K03551
Synpcc7942_0798	RuvC	K01159
Synpcc7942_R0036	RnpB	K01978
Synpcc7942_0142	SecD	K03072
Synpcc7942_0141	SecF	K03074
Synpcc7942_0636	SecE	K03073
Synpcc7942_0468	SecG	K03075
Synpcc7942_2214	SecY	K03076
Synpcc7942_0226	TatA	K03116
Synpcc7942_1100	DnaA	K02313
Synpcc7942_2020	InfB	K02519
Synpcc7942_0065	InfC	K02520
Synpcc7942_2531	Tsf	K02357
Synpcc7942_0884	Tuf	K02358
Synpcc7942_0885	FusA	K02355
Synpcc7942_2082	FusA	K02355
Synpcc7942_2203	PrfA	K02835
Synpcc7942_0404	PrfB	K02836
Synpcc7942_2365	PrfC	K02837
Synpcc7942_0507	Frr	K02838
Synpcc7942_2518	GlgA	K00703
Synpcc7942_0932	LpxB	K00748
Synpcc7942_2393	GltX	K01885
Synpcc7942_1662	CysS	K01883
Synpcc7942_1577	ArgS	K01887
Synpcc7942_2437	IleS	K01870
Synpcc7942_0587	ValS	K01873
Synpcc7942_1920	LeuS	K01869
Synpcc7942_2415	LysS	K04567
Synpcc7942_1313	AspS	K01876
Synpcc7942_0830	AsnC	K01893
Synpcc7942_2263	HisS	K01892
Synpcc7942_2457	GlyQ	K01878
Synpcc7942_0018	GlyS	K01879
Synpcc7942_2606	ThrS	K01868
Synpcc7942_0876	AlaS	K01872
Synpcc7942_2064	PheS	K01889
Synpcc7942_1293	PheT	K01890
Synpcc7942_2258	AvtA	K00835
Synpcc7942_0142	SecD	K03072
Synpcc7942_0636	SecE	K03073
Synpcc7942_0141	SecF	K03074
Synpcc7942_0468	SecG	K03075
Synpcc7942_2214	SecY	K03076
Synpcc7942_0226	TatA	K03116
Synpcc7942_0932	LpxB	K00748
Synpcc7942_1449	LpxD	K02536
Synpcc7942_0929	LpxC	K02535
Synpcc7942_2526	ClpX	K03544
Synpcc7942_2468	DnaK	K04043
Synpcc7942_0685	GroEl	K04077
Synpcc7942_2313	GroEl	K04077
Synpcc7942_0559	HslO	K04083
Synpcc7942_2314	GroEs	K04078
Synpcc7942_2530	RpsB	K02967
Synpcc7942_2226	RpsC	K02982
Synpcc7942_1487	RpsD	K02986
Synpcc7942_2216	RpsE	K02988
Synpcc7942_0012	RpsF	K02990
Synpcc7942_2219	RpsH	K02994
Synpcc7942_2205	RpsI	K02996
Synpcc7942_0887	RpsL	K02950
Synpcc7942_2211	RpsM	K02952
Synpcc7942_0446	RpsN	K02954
Synpcc7942_2299	RpsO	K02956
Synpcc7942_1772	RpsP	K02959
Synpcc7942_2223	RpsQ	K02961
Synpcc7942_1123	RpsR	K02963
Synpcc7942_2228	RpsS	K02965
Synpcc7942_1520	RpsT	K02968
Synpcc7942_1774	RpsU	K02970
Synpcc7942_0633	RplA	K02863
Synpcc7942_2229	RplB	K02886
Synpcc7942_2232	RplC	K02906
Synpcc7942_2231	RplD	K02926
Synpcc7942_2220	RplE	K02931
Synpcc7942_2218	RplF	K02933
