17196	mmu_17196		272857.14
69187	NotMapped		368571.43
12954	K09541		3489795.9
11354	NotMapped		107142.86
14077	K08752		1691729.3
12961	mmu_12961		465714.29
12889	NotMapped		71714.286
12955	K09542		2782857.1
380684	K04574		4729.9083
226180	K07608		42063.492
18039	K04572		366482.5
17189	mmu_17189		942857.14
12960	NotMapped		6828
110187	NotMapped		29714.286
20617	K04528		236428.57
18823	NotMapped		8855.7143
12962	mmu_12962		78857.143
19194	NotMapped		15796.857
G3UXD0	NotMapped		41142.857
12373	NotMapped		16432
21956	K12045		170099.67
70350	NotMapped		48857.143
22349	K05761		153567.11
218038	K12562		13116.472
21954	K12044		150236.97
66473	K01310		336501.9
19752	K01168		1302013.4
11723	NotMapped		4942857.1
21924	K05865		467701.86
68416	NotMapped		46000
16204	K08755		890625
19660	NotMapped		90000
22003	K10373		258802.82
22072	K01312		222764.23
282619	NotMapped		42285.714
12716	K00933		76555.024
19293	mmu_19293		334285.71
17906	K10351		975903.61
12409	K00081		227459.02
227120	NotMapped		108857.14
56727	K00469		28475.439
109901	K01326		684210.53
12613	K12298		228714.52
12307	NotMapped		193428.57
12308	NotMapped		52571.429
12970	mmu_12970		22043.429
22227	K08769		475570.03
59006	NotMapped		4804.2857
109697	K08779		565632.46
55948	K06644		75806.452
215384	NotMapped		79714.286
13706	K01346		289667.9
26950	NotMapped		377142.86
16618	K01325		3594.4061
18378	NotMapped		12351.429
12797	NotMapped		152571.43
12957	mmu_12957		100285.71
22287	NotMapped		48571.429
16612	K01325		236781.61
14120	K03841		72861.357
17897	K12749		500000
22074	NotMapped		297142.86
29818	K09546		9521.3018
107753	K10090		159230.77
140781	K17751		14263.566
22004	K10374		2563380.3
12652	mmu_12652		32000000
69117	NotMapped		94000
21345	NotMapped		3285714.3
76703	K01291		837142.86
18040	K04573		169811.32
17888	K17751		87203.302
14580	K05640		56976.744
233335	K10376		8456.1179
18946	K14074		106976.74
20259	K05768		52587.413
17901	K05738		1632978.7
23795	NotMapped		55142.857
56370	NotMapped		40000
11847	K01476		13968.362
17287	K01395		32931.727
69191	K09581		2865275.1
66284	NotMapped		23013.429
17907	K12758		1857988.2
106393	NotMapped		53142.857
18645	K05759		216428.57
53318	NotMapped		22283.143
22003	K10373		12640845
11770	K08753		1.1742424e+08
69060	K14073		200860.22
68738	K01895		42815.249
20215	NotMapped		10475.714
20618	NotMapped		274285.71
17896	K12750		6279.7927
99709	NotMapped		177.67714
21953	K12043		351098.9
11636	K00939		1742268
17075	K06737		35238.095
16855	K10091		61349.693
67041	K01027		982692.31
67931	NotMapped		199142.86
66283	NotMapped		45142.857
20199	NotMapped		38285.714
12346	K01672		674329.5
12180	K11426		865.20408
76722	K00933		46300.716
103968	K08768		1174081.2
12865	K02270		1687500
380683	NotMapped		33142.857
12709	K00933		656167.98
12036	K00826		1368956.7
18951	K04557		136585.37
16765	K04381		202013.42
67868	K01345		549.8513
19701	K01380		12496.766
11475	K12313		9867374
59011	NotMapped		81142.857
19285	NotMapped		7228571.4
11754	K00276		92287.582
236539	K00058		223264.54
17756	K10430		19803.063
11472	K05699		19351.23
20200	NotMapped		365714.29
22004	K10374		721830.99
12722	K05027		28368.018
17762	K04380		313778.99
13807	K01689		102534.56
18600	K01481		3593.9079
77337	NotMapped		51142.857
17882	K10352		360000
22223	K05611		1331838.6
54200	K01015		4141.4201
67373	NotMapped		325714.29
75600	NotMapped		3906.2857
