!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance
P60709	1547437612.41722
P68363	949155166.488358
P62805	3572301892.85321
P00352	11350090.4986337
P05783	1469167733.64634
Q71DI3	1393501011.75502
P0C0S8	1234727471.27457
P07355-2;P07355;P07355-1;B4DNH8;B3KRQ1	198226490.594474
P68104	1047139472.60287
P62807	1151635682.66609
P14618	501854130.43954
P04406	1198838814.99844
P07737	560416916.433561
P23528	605149732.550343
P62979	427479694.73891
P06733	537876675.392955
Q06830	535743776.816955
P15121	4454268.91155593
P62937	687959987.398572
P08670	6255558.85654327
P68371	847503475.566947
P08238	972103566.62452
P52895	367020.82602797
P04083;B5BU38;Q05BR2;Q5TZZ9;B4DL19	11267935.7340804
P00338	324306430.318961
O43707	173150203.824318
O60218	2195418.49976393
P06703;B2R577	100804993.372833
P09382	134917540.343219
P42330	5153509.46260053
P07195	6012148.99561721
P11142	683496770.255396
P60866	458043095.147152
Q53HE2	541125644.305346
P62826	397343457.117547
P63104	389470004.119525
P11413	333039987.797031
P62263	323273091.045197
P29401	204506969.557388
P05387	415149969.544499
B4DNM7;Q3B792	166132699.631275
P06748	463457217.883442
P09211	3210664.73678428
P22626	377236609.61463
P10599	205972996.296627
P04792	1073299542.52505
P16403	551116233.346162
P63241	286639825.785394
P62888	393523558.013312
P09429	599393223.239365
P26447	615662.766596034
P04075	670910673.731281
Q07020	338589875.726654
P62857	355080243.751296
P25398	355282519.340043
P62750	449104631.432549
P62280	367070968.868426
P22392	417286642.519695
P61604	376306760.619115
P21333	112066917.997254
P14174	508003029.535777
P05386	296173386.450746
Q0P5T0	22228337.4366631
P62829	318823236.127824
P60903;Q6FGE5	129445731.872615
P62241	426399550.579688
P42766	305402558.090208
P62701	355575802.087193
P61247	388390663.204435
P09651	304646828.120821
P12236	389410243.327462
P62424	281086846.772346
P62851	546111021.402853
P09936	1569568.60662893
P23284	370177000.942438
P37802	208066765.271418
