!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance
P60709	988171267.928022
P68363	860892500.046985
P62805	3810298489.98286
P00352	26120566.7063155
P05783	326743732.919423
Q71DI3	1347013801.59324
P0C0S8	1424411154.45315
P07355-2;P07355;P07355-1;B4DNH8;B3KRQ1	10241070.0448863
P68104	895606593.063485
P62807	1427490028.96296
P14618	418460720.710754
P04406	879092977.694889
P07737	456084055.614355
P23528	486180249.805016
P62979	641933206.209351
P06733	675747382.539326
Q06830	591723149.579245
P15121	4273796.93108163
P62937	746858199.320639
P08670	6047769.80633277
P68371	750180929.635499
P08238	543479734.548097
P52895	759215.213480788
P04083;B5BU38;Q05BR2;Q5TZZ9;B4DL19	11543363.0438753
P00338	420376672.15778
O43707	60781537.3691967
O60218	6552166.48115291
P06703;B2R577	4986667.9347314
P09382	2286369.64757015
P42330	4306032.83877823
P07195	254873240.013436
P11142	464703162.761332
P60866	279219077.620288
Q53HE2	713345967.272538
P62826	433910088.524046
P63104	269336187.609193
P11413	24723641.790937
P62263	278946276.611416
P29401	181545681.536893
P05387	363276152.507069
B4DNM7;Q3B792	43774254.3331153
P06748	535043659.536191
P09211	4173930.41427655
P22626	421101134.37271
P10599	197688472.005884
P04792	184953624.032401
P16403	663139577.407085
P63241	263935700.40897
P62888	279579517.344568
P09429	645992567.476213
P26447	715489.472486637
P04075	377962625.621529
Q07020	402036655.652433
P62857	260006532.259176
P25398	286588006.555306
P62750	412990355.701002
P62280	319043781.421201
P22392	410143717.297929
P61604	833207339.793071
P21333	15740211.8283922
P14174	785990078.349353
P05386	213022567.164079
Q0P5T0	2825698.88990807
P62829	237292342.552459
P60903;Q6FGE5	1563680.94062798
P62241	355153793.557417
P42766	308223285.925184
P62701	273320020.806454
P61247	267280953.253955
P09651	371596355.093539
P12236	504086012.783904
P62424	357592186.145556
P62851	416982378.697982
P09936	5975037.48757307
P23284	689092671.792529
P37802	43690203.9899654
Q6LES2;P09525;B4DDF9;B4DDZ4;B4DE02;B4E1S2;Q59FK3;Q6MZI0;Q6P452	34039239.8497791
P62910	220438637.922765
P08708	177392412.086543
P62269	227057529.267076
P39023	264213391.781864
P10809	892069558.195037
P00558	550718673.529596
P23396	249611846.972457
P35268	2130644.13652902
P46781	347223034.265825
P06576	585789754.125732
P08865	193929417.028891
P60842	296713710.477914
P46776	258889594.550464
P61978	331035670.261179
P21796	526346421.411943
P36578	319090187.723083
P63173	299297780.108037
P40926	723463879.017413
P61254	206101753.805826
P13639	223827614.547306
P61956	107162422.002216
P62906	277825114.425762
P08195	51169966.9512298
Q9Y3U8	477137482.4182
Q9BUQ0	197619783.376031
P62158	120620036.911412
P30050	160005782.642733
P07910	381776676.332296
P18124	280373533.876103
Q02878	295140080.346652
P52209	70404914.3628466
P07951	17911548.4467321
P84098	254343695.719784
P63244	179249604.057112
O60701	45550935.1352472
P50914	152006847.514096
P60981	71929043.2092145
P84090;B2R5H2	213631199.967347
P62249	253067720.990387
O75531;B2R4V4	176060122.913172
P62899	222209543.312167
P31943	166641718.088466
P61313	230236545.756025
P62917	213750478.05788
P31949;B2R5H0	121885038.207628
P62258	323909764.86911
P10620	137424224.099984
P62913	150327523.85033
P32969	237323881.949873
P39019	176107948.944449
P50238	754366.846060958
P07900	255933660.754223
P23526	282730067.201241
Q6PUV4;B4DEW3	218782.89627255
P05388	194639528.478544
P18669	300680479.598126
P14866	206945412.322536
P08107	128177936.23296
P61353	414282558.515039
Q16778	180233976.330258
P02545	126250146.684542
P62081	145723414.556555
P15880	181834886.940978
P06744	200962397.592297
P46777	224389235.652843
Q5TEC6	304571881.295071
P26038	36683009.6017103
P18621	163575868.011102
Q14847-1;Q14847;A8K1D2;Q14847-2;C9JVR8;C9J9W2;B4DGQ0	6111375.21282655
P60660	35746340.394365
P49207	217607701.303505
P47914	106784259.897745
Q6PKA6	4257477.59459777
P62277	155267841.550826
P07437	194385045.923834
P26641	168485614.861465
P40429	224450634.243502
P45880	362153768.146302
P62266	119603314.640311
P12004	60697562.092776
P46779	111754428.757032
P62753	164813509.423716
Q02543	135438502.07499
Q8IUE6	160365393.543031
P38646	265985987.995315
P11021	339403839.685665
P14625	329146196.617949
P62244	183421414.909199
P17844	103821057.219689
Q15365	127212358.855177
Q13151	179278925.751475
P26373	248883627.158636
P84077	305193558.993773
P04080;Q76LA1	83305878.1040507
P30041	394119397.760019
B4DP11;Q15185;B3KUY2;B4DP21;B4DHP2;B4DDC6	171603420.319408
Q9UQ80;A8K6Y1;Q6PIN5	172540934.76734
Q14103	243574600.614938
