!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance
P60709	1296213574.49321
P68363	471435369.374673
P62805	1874582630.64538
P00352	1053065573.79823
P05783	864908313.335518
Q71DI3	864555514.842657
P0C0S8	784920459.335606
P07355-2;P07355;P07355-1;B4DNH8;B3KRQ1	758409249.45978
P68104	750221629.482762
P62807	735093071.763136
P14618	602309340.301658
P04406	562767771.022093
P07737	530212110.131894
P23528	468607371.191763
P62979	455385729.826553
P06733	440122327.620552
Q06830	438493545.310814
P15121	437802079.104841
P62937	430103778.910389
P08670	424997435.444614
P68371	416150275.339455
P08238	412007082.54877
P52895	401214200.232385
P04083;B5BU38;Q05BR2;Q5TZZ9;B4DL19	399769869.26846
P00338	399335352.934961
O43707	383109099.292228
O60218	380071396.691258
P06703;B2R577	371448509.039343
P09382	370596697.601749
P42330	364711579.669594
P07195	354725525.671499
P11142	348440415.073654
P60866	337909651.63808
Q53HE2	336703211.562417
P62826	333503519.914704
P63104	332683212.707592
P11413	331939784.839233
P62263	329483527.747127
P29401	314452738.44155
P05387	309626482.411334
B4DNM7;Q3B792	301267204.571625
P06748	287879932.38329
P09211	281425847.255512
P22626	278347021.525012
P10599	276313248.386175
P04792	275156395.98687
P16403	272206590.026834
P63241	263616546.920098
P62888	260967020.659811
P09429	257426843.152672
P26447	257069489.894644
P04075	251110722.300888
Q07020	242985625.076929
P62857	239495693.18279
P25398	235231414.108454
P62750	234675844.22468
P62280	232406950.740733
P22392	231995302.307729
P61604	231683034.298034
P21333	231363675.339521
P14174	230357831.760344
P05386	222268175.823586
Q0P5T0	219710273.16898
P62829	217396374.922353
P60903;Q6FGE5	216172023.249321
P62241	216042163.549826
P42766	213200573.48635
P62701	212471340.449339
P61247	210578709.255878
P09651	209403693.457076
P12236	208686288.879421
P62424	208551434.272831
P62851	207089145.244506
P09936	201947845.938901
P23284	201461019.735371
P37802	195982938.665884
Q6LES2;P09525;B4DDF9;B4DDZ4;B4DE02;B4E1S2;Q59FK3;Q6MZI0;Q6P452	195859083.035471
P62910	195196498.006744
P08708	194865246.708806
P62269	192461764.59666
P39023	190201373.523292
P10809	188642602.247305
P00558	187697999.58406
P23396	185304727.709228
P35268	185058805.707405
P46781	184819426.835351
P06576	184517752.810299
P08865	182191916.841542
P60842	181873326.095877
P46776	181718349.06442
P61978	179176911.506584
P21796	177733310.396871
P36578	177264825.552865
P63173	176099824.49646
P40926	176088687.206392
P61254	173733362.093056
P13639	171491062.58819
P61956	170614650.850973
P62906	169855584.569495
P08195	169147400.888556
Q9Y3U8	167655782.726237
Q9BUQ0	167170562.919151
P62158	166363546.89482
P30050	166266591.577849
P07910	162812842.357314
P18124	162087980.734118
Q02878	159877078.172676
P52209	158966536.366131
P07951	157819846.041784
P84098	157047564.927819
P63244	156817298.454498
O60701	156701804.55884
P50914	156650764.215188
P60981	156246258.250614
P84090;B2R5H2	153781956.827942
P62249	151933991.292175
O75531;B2R4V4	151454019.371386
P62899	150069709.195735
P31943	148376608.334429
P61313	147736966.996907
P62917	147516407.06887
P31949;B2R5H0	146254897.098831
P62258	144904849.020972
P10620	142611928.316764
P62913	141886164.476259
P32969	140219172.949897
P39019	139949795.407024
P50238	139913008.552367
P07900	137543403.029568
P23526	134741279.324522
Q6PUV4;B4DEW3	133644294.953018
P05388	133309964.422435
P18669	132794292.882432
P14866	132764150.2713
P08107	132350180.35003
P61353	132026549.754779
Q16778	131295197.212665
P02545	129444585.245758
P62081	129403795.338549
P15880	128528220.110065
P06744	125853692.360453
P46777	124781810.014055
Q5TEC6	122470805.716933
P26038	122212609.95533
P18621	120806589.934937
Q14847-1;Q14847;A8K1D2;Q14847-2;C9JVR8;C9J9W2;B4DGQ0	120477632.179377
P60660	120055087.821202
P49207	119460707.799783
P47914	119133345.463792
Q6PKA6	118718155.294143
P62277	116864471.680229
P07437	115893412.970551
P26641	115829258.853169
P40429	115505771.461783
P45880	115380944.680503
P62266	115079413.943941
P12004	114685385.268123
P46779	112831218.808221
P62753	112015686.608913
Q02543	111901832.487491
Q8IUE6	109819233.480446
P38646	109275634.906598
P11021	107882114.05281
P14625	106804898.768798
P62244	106277115.472511
P17844	105925009.37132
Q15365	105641420.947142
Q13151	104939158.673807
P26373	104892526.597257
P84077	104820991.68979
P04080;Q76LA1	104760069.152558
P30041	104004439.945989
B4DP11;Q15185;B3KUY2;B4DP21;B4DHP2;B4DDC6	103660865.765365
Q9UQ80;A8K6Y1;Q6PIN5	102933896.803519
Q14103	102578982.982011
P27348	102155792.033625
Q92686	101989825.833152
P46782	101692099.72281
P06753	101556355.634582
P30086;B4DRT4	101417122.607414
B2ZZ83	100841073.351419
P56537	100454480.02651
P39687;Q08AJ6;Q3KPI8;Q6PKH8	100196951.430903
Q00839	100010627.930886
P27824	99801248.9091823
P21980	99479028.1487537
Q9UBI6	99355377.8375047
P83731	98604195.8461323
P55072	97536417.5143934
Q71UM5	96881069.975065
P07237	96440198.2280229
Q00325-2;Q00325;B2RE88;Q53HC3;Q8NCF7;Q00325-1	94002537.0846886
P37837	93844867.9006565
P61513	93607079.6087629
Q15233	93449857.9606909
P21291	91922148.1037567
P19338	91405122.9275497
P00403	91284966.2193221
P20962;A2VCM6;O15256	90848549.7595877
B3KQ79	90183559.3501537
P67809	89885716.5541994
P62861	89792998.5012077
P46778	89736835.4567588
P35579	89035682.7418487
Q99623;Q9BXV3;B4DP75;B4DW05	89022744.0625279
P35232;A8K401;Q53FV0;Q6FHP5;Q6PUJ7;C9JW96;C9JZ20;A8MUL1	88574162.0663362
Q9NZ01	88420463.6404591
O75347;Q6FGD7	87898268.6394283
P30048	87554961.1159694
P49773	87516826.0561741
P25705	87492909.2492385
P63220	87438576.5564306
P53396	87302579.7480414
P62273	86930145.0600414
P24534	86869647.5481332
P07108	86491431.1716752
P62847	86115424.3981402
P31946	85961278.6871514
P27635	85849477.664987
P13073	84994636.7492353
Q00610	84540141.2441659
P49411	84144341.7869851
Q96AG4;B2RE83	83878224.970843
Q99497	83859306.6351205
P80723-1;P80723;P80723-2	82824603.1924011
O14950	82490521.3963456
B4DLV7;Q5SX90;P50395;Q6IAT1;B3KVE3;Q5SX88;Q8TB95	82126790.9550655
P62316	82114356.429766
Q16629	82073893.0756724
P55209	82041361.0944306
P23246	81858900.8558934
P27695	81068914.3893337
Q01469	80804177.3787818
P08758;B4DNG6;Q6FHB3;A8MTE3	80306584.4212361
P00441	80018798.5410998
O14737;B4DE64	79865039.5833296
P18077	79786119.1798515
P78371	77751379.578296
P30101	77564350.1291019
P15311	76285187.3922845
P28066	75745439.8766312
P31948	75530829.7360214
Q01105	75197364.6350027
P30043	74967673.398972
P12956	74940695.4487538
P41567	74861734.0378927
O00483	74667911.5155454
P38117-1;P38117;A8K766;P38117-2	73938444.0500588
P27797	73608718.6363079
Q8WVI0	73306961.0369092
Q04837	73262479.8581855
Q01813	73149329.846148
B2R7D7;Q4JM47;Q53G64;O95994;Q4JM46;B5MC07;C9J3E2	72949375.1420007
Q16881	72786827.8440853
P16615	72372609.4346274
P51991	72339505.7341229
P50990	71956270.7462776
P49368	71743129.4010664
Q13185	71713875.5847607
Q9H0U4	71633027.9553451
Q9HB71	70770880.5839012
P83881	70647248.1121569
Q13162	70115246.9938616
P61088	70054452.0808198
P84103	69540460.6916298
P40227	69357214.805922
P48643	68849868.3121546
Q15149	67142035.9477499
O15347	67084875.5521596
P49755;B2R605;B4DZH3;Q53GF9;B4DL12	66720092.2930201
Q1HE25	66214593.3117327
P62136	65943438.8427022
P10606	64680571.4638176
O00299	64510688.6909036
Q14019	64080133.8575364
P50991	63738972.1148258
Q0VDC6	63569676.2582634
P30044	63484090.872563
P62318	63262967.568884
P17987	62871585.9048158
P46783	62735958.9083947
Q96IH1;Q16658;B3KTA3;B3KTM9	62519327.1790443
Q59HD4	62516962.9812235
Q96IX5	62320569.1488012
Q07955	62255345.2506186
O96008	62166947.9587603
P62308	61949433.3499666
Q12906	61914572.1431749
P31947	61675393.971397
P35637	61456341.3620508
P20700	61211655.3415831
P52272	61158888.7616861
Q15084	60911082.1780699
P78417	60860293.4899893
P68032	60770285.7923959
Q8NC51	60729664.1290884
Q99714	60685155.9622183
Q02790	60574444.166442
Q99729	60402552.9706292
O75947	60108754.0476983
O00148	59729910.6210312
P02795;Q8TE66	59630036.2027469
Q12905	59613981.9672836
P38159	59564533.0119856
P62873	59186174.8070513
P29692	59130593.985924
O75367	58532657.9757801
P60953	58417299.4103815
P62306	58025735.3760096
P11940	57931792.0995432
P63000	57914299.9018032
P07099	57716177.9425718
P61981	57527615.2379765
P09669	57179274.5303854
A8MXP9	57175458.0428574
O43169;Q5HYD9	56970297.73412
P60468	56860932.991717
P12268	56674680.4434614
P52597	56631343.5293062
P26368	56531503.0737301
Q15907	55623775.2929064
P61026	55562778.8773053
P17096	55451363.9216423
P41091	55435022.092249
P07305	55231379.9162262
P49458	55136687.3458967
Q9Y277	54792282.8067397
O14818	54517082.1325915
P53999;B7Z1Z0;Q59G24;Q6IBA2	54487879.924615
P20340	54350719.1536749
Q00688	53954442.0458948
P04843	53921952.1646635
P99999	53626269.2270795
O00571	53283663.2583935
Q14974	53137210.0433457
P61970	53007661.8197335
Q15369	52813682.5315586
P40925	52735147.2809674
P20674	52568640.4659682
P48047	52529054.6807273
Q15691	52493465.3873824
P30049	52444629.1581941
P13667	52054726.3347041
P68036	52052230.7166117
P49327	51943288.1440066
P51149	51934444.715429
B4E3C3	51912344.6667464
Q9Y6A9	51357932.7684688
O75390	51216953.9801881
P62841	51095885.9909898
P56385	50933756.1943369
Q03135	50663279.1081566
P05556	50594632.6916329
P04632	50532906.6746576
P61457	50521023.5808789
