b3241	NotMapped		5
b3240	NotMapped		2
b3243	NotMapped		79
b3242	NotMapped		5
b2836	K05939		80
b0885	K00684		111
b1338	NotMapped		12
b1337	NotMapped		9
b1339	K14057		26
b1336	NotMapped		3
b0715	NotMapped		8
b0185	K01962		1800
b3255	K02160		5637
b3256	K01961		1951
b2316	K01963		2475
b4015	K01637		14155
b4014	K01638		8427
b0114	K00163		5837
b0115	K00627		5226
b4016	K00906		71
b2296	K00925		1197
b1276	K01681		862
b0118	K01682		7660
b0404	K08682		126
b1094	K02078		85961
b2563	K00997		142
b3475	K06133		125
b0463	K03585		1295
b0462	NotMapped		433
b2470	NotMapped		10
b3265	K03585		0
b3266	NotMapped		1
b0464	K03577		87
b4069	K01895		643
b4067	NotMapped		46
b2213	K10778		15
b1623	K01488		265
b3665	K01486		46
b1241	K04072		4687
b1478	K13953		773
b4117	K01584		8
b4115	NotMapped		1
b4116	K03755		11
b0474	K00939		7177
b0385	NotMapped		5
adrB	NotMapped		4
b2468	NotMapped		4
b3072	K03776		6
b0476	K01066		17
b0262	K02010		7
b3138	K10984		6
b3139	K10985		0
b3140	K10986		2
b3141	K02080		3
b3131	K02081		187
b3136	K02082		3
b3133	K02745		20
b1002	K01085		306
b0605	K03386		37153
b0606	NotMapped		1554
b4187	NotMapped		150
b2252	NotMapped		176
alaA	NotMapped		533
alaC	NotMapped		361
b2697	K01872		1795
b1415	K07248		1620
b3588	K00138		76
b2068	K01247		37
b2212	K03919		17
b0505	K01483		8
b0512	K01466		6
b0516	K02083		6
b0517	K00073		1
b0506	K10973		857
b0504	K10972		0
b2624	K07733		28
b4053	K01775		158
b4087	K10551		0
b4088	K10549		41
b4086	K10550		2
b4085	K17195		13
b4084	K00881		7
b3088	NotMapped		27
b2435	K01448		290
b4169	K01448		173
b2817	K01448		68
b0867	K11066		82
b1982	K01241		1104
b4150	K01467		132
b0110	NotMapped		202
b0111	NotMapped		90
b0433	K08218		55
b0376	NotMapped		116
b0451	NotMapped		132
b1927	K01176		398
b1640	K09001		151
b1767	K01424		435
b2957	K01424		27
b1453	NotMapped		25
b0050	NotMapped		260
b0049	K01525		184
b2214	NotMapped		17
b4055	K03788		62
b0980	K01093		42
b0979	K00426		26
b0978	K00425		35
b0564	K07780		72
b0469	K00759		2029
b0875	K06188		25
b0062	K01804		17
b0063	K00853		5
b0064	K02099		115
b0061	K01786		4
b2841	K02100		11
b1901	K10537		9
b1900	K10539		7
b4460	K10538		13
b0396	K08156		17
b4401	K07773		3622
b3210	K07648		97
b2818	K00619		1129
b3959	K00930		1736
b3958	K00145		1076
b3359	K00821		2537
b3957	K01438		1444
b0273	K00611		2536
b3172	K01940		8231
b3960	K01755		1878
b4254	K00611		2562
b2918	K07588		0
b2923	NotMapped		88
b2916	K05596		624
b3237	K03402		1003
b1876	K01887		955
b2310	K10013		2939
b1166	NotMapped		182
b2255	K10011		317
b2253	K07806		389
b2254	K10012		248
b2256	K13014		39
b4544	K12962		10
b2258	K12963		18
b2257	K07264		14
b0908	K00800		1636
b3389	K01735		444
b2329	K01736		819
b1693	K03785		463
b3281	K00014		224
b2601	K01626		1305
b0754	K01626		6677
b1704	K01626		696
b3390	K00891		2458
b0388	K00891		387
b0390	NotMapped		116
b0112	NotMapped		1194
b4017	NotMapped		1
arrD	NotMapped		2
arrQ	NotMapped		1
b3502	NotMapped		8
b3503	K00537		116
b3501	K03892		24
b0863	K09997		2088
b0860	K09996		5888
b0861	K09998		93
b0864	K10000		461
b0862	K09999		107
b2716	K01223		21
b2715	K02752		1
b2714	K03487		103
b3433	K00133		10592
b3801	K01130		5
b3800	NotMapped		1
b2064	NotMapped		75
b3744	K01914		794
b0674	K01953		1344
b3743	K03718		156
b0930	K01893		4166
b4139	K01744		71
b0928	K00813		7192
b1866	K01876		1908
b1597	NotMapped		117
b1747	K00673		9
b1745	K01484		9
b1748	K00840		94
b1746	K06447		20
b1744	K05526		10
b2222	K01035		0
b2224	K00626		3
b2220	K07714		32
b2221	K01034		0
b2223	K02106		0
b2219	K07710		3
b3734	K02111		9565
b3738	K02108		3471
b3731	K02114		3640
b3732	K02112		8213
b3737	K02110		23624
b3736	K02109		4477
b3733	K02115		3131
b3735	K02113		2677
b3739	K02116		67
b3572	K00835		849
B1412	NotMapped		1111
azuC	NotMapped		7360
b3057	K06153		224
b2079	K07664		226
b2078	K07642		23
b0177	NotMapped		1512
b2512	NotMapped		1064
b2477	NotMapped		1103
b2595	NotMapped		2233
bamE	NotMapped		1917
b2786	K07678		56
b4113	K07771		542
b4112	K07643		120
b3570	NotMapped		555
b2480	K03564		5115
b2182	K07552		78
b3533	K00694		3
b3532	NotMapped		33
b3530	NotMapped		17
b3536	NotMapped		230
b3537	NotMapped		183
b3538	NotMapped		129
b3531	K01179		15
b1481	NotMapped		385
b0311	K00108		67
b0312	K00130		219
b0313	K02167		39
b0314	NotMapped		51
b3337	NotMapped		227
b3336	eco_b3336		4062
b2901	K01223		916
b3721	K01223		3
b3722	K02755		0
b3723	K03488		0
b3720	NotMapped		1
b4366	NotMapped		0
b2132	K05349		227
b1112	NotMapped		1039
b0774	K00833		259
b0775	K01012		898
b0777	K02169		123
b0778	K01935		675
b0776	K00652		122
b3412	K02170		158
b3973	K03524		131
b3551	K08351		172
b4149	NotMapped		378
b4409	NotMapped		506
b0435	NotMapped		2040
b0557	NotMapped		3140
b0401	NotMapped		167
b4189	NotMapped		144
b0836	NotMapped		10
b1060	NotMapped		124
b3966	NotMapped		564
b1711	K06073		29
b1709	K06074		92
b1710	K00432		998
b0158	K06858		38
b1270	K00798		130
b4131	K01582		0
b4132	NotMapped		0
b4133	K03765		14
b0039	K08297		18
b0038	K08298		11
b0037	K02182		8
b0036	K08299		11
b0035	NotMapped		2
b0034	K08277		258
b0040	NotMapped		0
b0126	K01673		5058
b0032	K01956		5516
b0033	K01955		5867
b2760	NotMapped		6
b2759	NotMapped		15
b2758	NotMapped		26
b2757	NotMapped		8
b2756	NotMapped		20
b1987	K13635		372
b1000	K05516		583
b0999	NotMapped		548
b3690	NotMapped		2
b3716	NotMapped		7
b3717	NotMapped		23
b3056	K00974		122
b2201	K02193		23
b2200	K02194		12
b2199	K02195		65
b2198	K02196		76
b2197	NotMapped		58
b2196	NotMapped		14
b2195	K02199		27
b2194	NotMapped		34
b0162	K02647		7
b2143	K01489		287
b3918	K01521		58
b0175	K00981		182
b1731	NotMapped		139
b1661	K00574		1715
b1216	NotMapped		197
b1217	NotMapped		406
b1218	NotMapped		25
b1736	K02759		41
b1738	K02760		158
b1737	K02761		3
b1734	K01222		10
b1733	NotMapped		36
b1735	K03490		27
b1888	K03407		13
b1883	K03412		1
b1884	K00575		1
b1887	K03408		48
b1882	K03413		46
b1881	K03414		37
b3338	K13381		30
b0681	NotMapped		0
chiQ	NotMapped		2
b1741	K05984		53
b4225	NotMapped		47
b4224	NotMapped		252
b2155	NotMapped		79
b0618	K01910		0
b0617	K01646		1
b0616	K01644		0
b0615	K01643		0
b0613	K05966		0
b0612	K09477		0
b0614	K05964		0
b0155	NotMapped		50
b1592	NotMapped		10
b2027	K05789		1434
b0882	K03694		2420
b2592	K03695		1421
b0437	K01358		3256
b0881	NotMapped		304
b0438	K03544		2475
b1249	K06131		252
b0910	K00945		536
b1870	NotMapped		317
b1871	NotMapped		209
