b3241	1750
b3240	700
b3243	27650
b3242	1750
b2836	57520
b0885	25974
b1338	4200
b1337	3150
b1339	9100
b1336	1050
b0715	2800
b0185	574200
b3255	879372
b3256	875999
b2316	752400
b4015	6143270
b4014	4491591
b0114	5177419
b0115	3292380
b4016	40754
b2296	478800
b1276	768042
b0118	6625900
b0404	24318
b1094	30086350
b2563	17892
b3475	24375
b0463	514115
b0462	151550
b2470	3500
b3265	0
b3266	350
b0464	18705
b4069	419236
b4067	16100
b2213	5310
b1623	88245
b3665	27048
b1241	4176117
b1478	259728
b4117	6048
b4115	350
b4116	2783
b0474	1535878
b0385	1750
adrB	1400
b2468	1400
b3072	2100
b0476	5474
b0262	2450
b3138	948
b3139	0
b3140	526
b3141	765
b3131	50303
b3136	1152
b3133	3380
b1002	126378
b0605	6947611
b0606	543900
b4187	52500
b2252	61600
alaA	186550
alaC	126350
b2697	1572420
b1415	775980
b3588	41192
b2068	10434
b2212	3672
b0505	1280
b0512	2718
b0516	2466
b0517	349
b0506	232247
b0504	0
b2624	9800
b4053	56722
b4087	0
b4088	12833
b4086	652
b4085	4550
b4084	2163
b3088	9450
b2435	83810
b4169	76639
b2817	28356
b0867	28700
b1982	572976
b4150	50292
b0110	70700
b0111	31500
b0433	27005
b0376	40600
b0451	46200
b1927	197010
b1640	55719
b1767	147030
b2957	9396
b1453	8750
b0050	91000
b0049	51888
b2214	5950
b4055	16802
b0980	18732
b0979	9828
b0978	17990
b0564	25200
b0469	371307
b0875	5775
b0062	8500
b0063	2830
b0064	32315
b0061	924
b2841	5192
b1901	2961
b1900	3528
b4460	4264
b0396	6698
b4401	1470532
b3210	75466
b2818	500147
b3959	447888
b3958	359384
b3359	1030022
b3957	553052
b0273	887600
b3172	3679257
b3960	858246
b4254	855708
b2918	0
b2923	30800
b2916	185328
b3237	159477
b1876	551035
b2310	764140
b1166	63700
b2255	209220
b2253	147431
b2254	79856
b2256	13650
b4544	3500
b2258	6300
b2257	7700
b0908	698572
b3389	160728
b2329	296478
b1693	116676
b3281	60928
b2601	464580
b0754	2336950
b1704	242208
b3390	425234
b0388	67338
b0390	40600
b0112	417900
b4017	350
arrD	700
arrQ	350
b3502	2800
b3503	16356
b3501	2808
b0863	507384
b0860	1430784
b0861	20646
b0864	111562
b0862	25466
b2716	9954
b2715	485
b2714	34608
b3433	3887264
b3801	2755
b3800	350
b2064	26250
b3744	262020
b0674	744576
b3743	23712
b0930	1941356
b4139	33938
b0928	2848032
b1866	1125720
b1597	40950
b1747	3096
b1745	4023
b1748	38164
b1746	9840
b1744	3220
b2222	0
b2224	1182
b2220	14752
b2221	0
b2223	0
b2219	1824
b3734	4906845
b3738	940641
b3731	505960
b3732	3777980
b3737	1866296
b3736	698412
b3733	898597
b3735	473829
b3739	8442
b3572	354033
B1412	388850
azuC	2576000
b3057	61600
b2079	54240
b2078	10741
b0177	529200
b2512	372400
b2477	386050
b2595	781550
bamE	670950
b2786	51408
b4113	120324
b4112	43560
b3570	194250
b2480	797940
b2182	30888
b3533	2616
b3532	11550
b3530	5950
b3536	80500
b3537	64050
b3538	45150
b3531	5550
b1481	134750
b0311	37252
b0312	107310
b0313	7605
b0314	17850
b3337	79450
b3336	1421700
b2901	438764
b3721	1392
b3722	0
b3723	0
b3720	350
b4366	0
b2132	173655
b1112	363650
b0774	111111
b0775	310708
b0777	43050
b0778	151875
b0776	46848
b3412	55300
b3973	42051
b3551	133644
b4149	132300
b4409	177100
b0435	714000
b0557	1099000
b0401	58450
b4189	50400
b0836	3500
b1060	43400
b3966	197400
b1711	9454
b1709	22908
b1710	182634
b0158	10108
b1270	25480
b4131	0
b4132	0
b4133	7168
b0039	6840
b0038	4455
b0037	4176
b0036	3267
b0035	700
b0034	33798
b0040	0
b0126	1112760
b0032	2107112
b0033	6295291
b2760	2100
b2759	5250
b2758	9100
b2757	2800
b2756	7000
b1987	117552
b1000	178398
b0999	191800
b3690	700
b3716	2450
b3717	8050
b3056	50264
b2201	4761
b2200	2640
b2199	15925
b2198	5244
b2197	20300
b2196	4900
b2195	4995
b2194	11900
b0162	2695
b2143	84378
b3918	14558
b0175	51870
b1731	48650
b1661	840350
b1216	68950
b1217	142100
b1218	8750
b1736	4756
b1738	16748
b1737	1356
b1734	4500
b1733	12600
b1735	7560
b1888	8502
b1883	349
b1884	286
b1887	8016
b1882	5934
b1881	7918
b3338	27000
b0681	0
chiQ	700
b1741	15635
b4225	16450
b4224	88200
b2155	27650
b0618	0
b0617	98
b0616	0
b0615	0
b0613	0
b0612	0
b0614	0
b0155	17500
b1592	3500
b2027	466050
b0882	1834360
b2592	1169483
b0437	673992
b0881	106400
b0438	1049400
b1249	122472
b0910	121672
b1870	110950
b1871	73150
b2933	0
b2934	294
b1625	65100
b3974	103332
b3634	51357
b0103	27398
b1120	200200
b0638	4896
b1992	36803
b1991	39131
b1993	9412
b0337	994896
b0336	513100
b0446	9520
cohE	78050
b0484	768948
b3816	162050
b3032	53550
b4213	133929
b2049	1912
b2048	3648
b3911	48442
b4484	42000
b3912	357976
b0624	78050
b4397	171150
b4398	14656
b4399	8058
b4400	700
b0240	715407
croE	4900
b3357	819630
b2417	2392195
b2810	28872
b2811	63350
b2812	67550
b1042	19456
b1041	0
b1043	550
b1040	18360
b1039	2451
b1038	7314
b1037	15789
b2659	38850
b2535	11200
b2664	12950
b3556	140840
b1557	2414
b1823	3460626
b0880	222012
b0623	2022321
b1558	2450
b0990	5110
b0989	210
b1552	140
b2696	466467
b3252	11550
b0598	61950
b0123	695450
b0487	59535
b0575	3141
b0574	2442
b0572	2300
b0573	4840
b0571	24743
b0570	13440
b4137	72450
b1874	67900
b2313	37100
b1191	19250
b3806	223024
b3807	337050
b1418	281050
b4208	189350
b0733	321030
b0734	168655
b0886	77928
b0887	92904
b0338	16450
b0340	21700
b0339	4900
b0341	350
b0432	1077615
b0431	1444677
b0430	560796
b0429	485922
b0428	257520
b2422	808110
b1275	291924
b2750	192357
b2752	1242730
b3607	143052
b3368	60324
b2762	385276
b2763	1464330
b2764	1232143
b2414	7910916
b2421	427533
b2751	1456350
b2425	770978
b4214	186550
b0526	401070
b2424	116063
b2423	89628
b2413	66150
b3934	30349
b0632	475540
b3182	63441
b0839	350400
b2010	2328
b1189	78192
b1190	19224
b3387	35584
b3388	289100
b2478	634224
b0031	543270
b0166	2338864
b2472	98625
b3809	80556
b1343	27420
b2065	158067
b1961	87642
b1538	667380
b3472	494550
b3528	45796
b3507	11200
b4138	200900
b4123	0
b0621	0
b3227	0
b4124	39913
b4125	11403
b1919	260760
b0381	107744
b0092	90576
b1487	14000
b1486	700
b1485	1050
b1484	1400
b1483	1750
b1488	6650
b3162	553410
b2317	74900
b2314	71400
B3287	235550
b0161	758874
b3234	219310
b3235	47215
b4382	104280
b4383	411884
b4381	164724
b4384	715327
b0840	48384
b2511	218750
B3639	99750
b4042	81130
b4477	1025
b4478	6876
b3693	2044
b4479	59500
b3691	0
b1594	19600
b0160	65145
b1200	113208
b1199	86100
b1198	195408
b1201	15408
b3149	46844
b1570	113050
b1575	1400
b1569	8050
b0231	7020
b3645	11200
b4044	5600
b0799	10740
b1061	229250
b0226	311500
b4613	7350
b0055	37127
b0646	0
b0649	700
b3012	165000
b0207	63012
b0145	821138
b2133	609828
dmlA	17150
dmlR	21700
b0894	17094
b0895	9450
b0896	5600
b1591	73500
b3702	135430
b4052	98910
b4361	33075
b0184	91640
b3066	56938
b0015	352688
b0014	6741746
b3701	193614
b0215	125388
b4362	16468
dnaX	114450
dnaX	29750
b1490	28350
b1489	7000
b0620	13560
b0619	1104
b3544	2856365
b3543	91530
b3542	69300
b3541	120009
b3540	137942
b0812	2575584
b3860	546624
b1185	62832
b2893	166616
dsbD	50750
b0604	61372
b2366	57902
b2364	15550
b2365	700
b1952	249900
b3887	227150
dtpA	8400
b3496	14350
b0709	20650
b4049	84736
b3260	35310
b2140	7900
b3640	216685
b0173	48556
b0420	190960
b1533	54600
b2578	3150
b3076	1030
b3077	745
b3075	64588
b4410	34300
b4411	8241100
b2209	63700
b0140	0
b1850	701835
b1851	48240
b1019	23450
b1018	198100
b4147	1421656
b2267	148750
b2266	4016950
b2269	3850
b3209	312900
elfA	6650
elfC	350
elfD	0
elfG	5600
b2685	80150
b2686	20480
b3673	0
b0543	49700
b2368	1161
b2367	1024
b1193	146769
b2945	1652
b2779	9173088
b0596	8514
b0595	17670
b0593	23700
b0583	1024
b0594	17688
b0586	32136
b0597	7000
b0591	9568
b3613	37100
b3264	350
b0566	3150
b3404	19350
b2927	90174
b4114	68922
b3546	14924
b2566	213500
b1990	64050
b0156	1586900
b0554	700
b1556	0
b0981	8050
b0982	11550
b2451	934
b2441	45753
b2440	22420
b2458	676
b2455	934
b2453	790
b2452	700
b2454	0
b2438	14000
b2439	50750
b2457	25550
b2456	0
b2461	0
b2460	2450
b2437	7700
b2462	0
b2459	267
b2369	85680
b2370	82593
b3006	271950
b3005	104300
b1844	49060
b3094	101150
b3093	1728
b0954	755424
b2323	1370656
b1092	970878
b1095	659974
b1093	979660
b1091	495788
b1288	2160976
b3963	85400
b0180	514434
b3845	29025
b3846	46656
b1805	65208
b0221	91982
b3081	14112
b2342	17004
b2341	26418
b1701	2264
b2344	145600
b0443	17500
b1187	94405
b2925	5018102
b2097	1029622
b4232	341296
b2052	1336
b3895	38850
b3891	122850
b4079	715
b1474	0
b1475	294
b1476	434
b3894	11176
b3893	3900
b3892	3376
b0518	0
b2525	480900
b1385	9800
b1384	5950
b4291	4200
b4290	3439
b4289	1050
b4288	1050
b4287	15400
b4293	11245
b4292	11900
b3408	63350
b3409	58800
b3410	17500
b0584	11200
b0592	27984
b0588	11448
b0590	3718
b0587	0
b0589	1980
b0585	3150
b2610	341562
b2731	8750
b0150	124250
b0153	7260
b0151	14310
b0152	7992
b1102	3500
b4367	91350
b3361	34600
b3915	35700
b4314	874736
b4312	137900
b4316	13255
b4317	8780
b4313	9800
b4318	2464
b4319	2704
b4320	7575
b4315	3655
b0535	1400
b3261	755678
b0805	18900
b0041	1400
b0042	2100
b0043	350
b0044	1400
b4207	605640
b3347	837540
b0028	70328
b0684	1406650
b2895	195650
b1072	1971
b1073	2898
b1074	2278
b1075	5313
b1076	18045
b1077	2761
b1078	8060
b1079	1624
b1080	2920
b1081	939
b1082	6017
b1083	12363
b1071	14647
b1070	5244
b1879	1384
b1880	382
b1891	13824
b1892	14518
b1878	260
b1922	2151
b1923	105190
b1924	2820
b1937	1456
b1938	552
b1939	662
b1940	456
b1941	457
b1942	147
b1943	1875
b1944	1232
b1945	2338
b1946	1644
b1947	121
b1948	245
b1949	89
b1950	522
b1925	2992
b1926	605
b1920	1920254
b1921	3111
b2321	28350
b2000	134193
b1566	20300
b3288	137025
b1334	645500
b0904	46550
b2492	700
b0048	63282
b3058	19642
b2315	144324
b0529	377568
b2153	2003328
b0142	27348
b1606	20880
b3177	97290
b2303	256800
b3924	122760
b2374	8736
b4154	84882
b4153	35136
b4152	15589
b4151	16779
b3844	176847
b3370	0
b3371	4200
b4474	2800
b3374	1050
b3375	45150
b0356	271584
b0355	35733
b0357	104650
b0172	1069300
b0239	114450
b2167	100777
b2169	69184
b2168	48360
b0080	104876
b3900	350
b3899	350
b3897	0
b3898	1750
b3950	1696
b3949	0
b3953	791
b2383	3324
b2387	108
b2386	0
b0825	18920
b3946	3300
b0479	21518
b1905	448635
b1902	59500
b0094	241500
b2748	14420
b3463	71040
b3178	393400
b0084	84672
b0890	287550
