sll1342	Gap2	K00150
sll0018	CbbA	K01624
slr0943	Fda	K01623
slr0952	Fbp	K03841
slr2094	GlpX	K11532
sll1070	TktA	K00615
slr0194	RpiA	K01807
ssl2153	RpiB	K01808
sll1525	Prk	K00855
slr0783	TpiA	K01803
sll0807	CfxE	K01783
sll0920	Ppc	K01595
sll0402	AspC	K00812
sll0587	PykF	K00873
sll1275	PykF	K00873
sll0891	CitH	K00024
sll1987	KatG	K03782
sll1931	GlyA	K00600
slr0752	Eno	K01689
sll0920	Ppc	K01595
sll0891	CitH	K00024
sll0018	CbbA	K01624
slr0952	Fbp	K03841
sll0745	PfkA	K00850
sll1196	PfkA	K00850
slr0201	HdrB	K03389
sll1299	AckA	K00925
slr2132	Pta	K13788
sll0542	Acs	K01895
slr0301	PpsA	K01007
slr1124	GpmB	K01834
slr1945	YibO	K01834
sll1908	SerA	K00058
slr0899	CynS	K01725
slr0051	IcfA	K01673
slr1347	IcfA	K01673
slr0898	NirA	K00366
sll0573	ArcC	K00926
slr1691	NadE	K01916
sll0171	GcvT	K00605
slr0710	GdhA	K00262
slr0288	GlnN	K01915
slr1756	GlnA	K01915
sll1027	GltD	K00266
sll1499	GltB	K00284
sll1502	GltB	K00284
sll1454	NarB	K00367
sll0450	NorB	K04561
slr0676	CysC	K00860
slr1165	Sat	K00958
slr1791	CysH	K00390
slr0963	Sir	K00392
slr1348	CysE	K00640
sll0712	CysM	K01738
slr1842	CysK	K01738
sll0728	AccA	K01962
slr0435	AccB	K02160
sll0053	AccC	K01961
sll0336	AccD	K01963
slr2023	FabD	K00645
sll1069	FabF	K09458
slr1332	FabF	K09458
slr1511	FabH	K00648
slr0886	FabG	K00059
slr1994	FabG	K00059
sll1605	FabZ	K02372
slr1051	EnvM	K00208
slr1993	Thl	K00626
slr1993	Thl	K00626
slr2089	Shc	K06045
slr1167	GldA	K00005
slr1672	GlpK	K00864
slr1510	PlsX	K03621
slr0054	DgkA	K00901
slr1755	GpsA	K00057
sll1085	GlpD	K00111
slr1510	PlsX	K03621
slr0054	DgkA	K00901
slr1369	CdsA	K00981
sll1522	PgsA	K00995
slr1269	Ggt	K00681
slr0886	FabG	K00059
slr1994	FabG	K00059
slr1350	DesA	K10255
sll1441	DesB	K10257
sll0726	Pgm	K01835
sll0469	PrsA	K00948
sll0757	PurF	K00764
slr1159	PurD	K01945
slr0477	PurN	K11175
slr0861	PurT	K08289
sll1056	PurL	K01952
slr0520	PurL	K01952
slr0838	PurM	K01933
sll0578	PurK	K01589
sll0901	PurE	K01588
slr1226	PurC	K01923
sll0421	PurB	K01756
slr0597	PurH	K00602
sll1430	Apt	K00759
sll1108	SurE	K03787
sll1459	SurE	K03787
slr1722	GuaB	K00088
sll1852	NdkR	K00940
sll1005	MazG	K02428
slr0213	GuaA	K01951
slr1123	Gmk	K00942
sll0587	PykF	K00873
sll1275	PykF	K00873
slr1164	NrdA	K00525
sll0398	Dgt	K01129
sll1818	RpoA	K03040
sll1787	RpoB	K03043
sll1789	RpoC2	K03046
slr1265	RpoC1	K03046
slr0707	PolA	K02335
sll1572	DnaE	K02337
slr0603	DnaE	K02337
slr0965	DnaN	K02338
sll1360	DnaX	K02343
slr0446	DnaX	K02341
slr1325	SpoT	K01139
sll1546	Ppx	K01514
sll0646	CyaA	K01768
slr1991	CyaA	K01768
sll1823	PurA	K01939
sll1059	Adk	K00939
sll1815	Adk	K00939
sll1043	Pnp	K00962
slr0676	CysC	K00860
slr1165	Sat	K00958
sll1750	UreC	K01428
sll0420	UreB	K01429
slr1256	UreA	K01430
sll0573	ArcC	K00926
sll0370	CarB	K01955
sll1498	CarA	K01956
slr1476	PyrB	K00609
sll1018	PyrC	K01465
slr0406	PyrC	K01465
slr1418	PyrD	K00226
slr0185	PyrE	K00762
sll0838	PyrF	K01591
sll1249	PanC	K13799
sll0144	PyrH	K09903
sll1852	NdkR	K00940
sll1043	Pnp	K00962
sll1005	MazG	K02428
sll1443	PyrG	K01937
sll1818	RpoA	K03040
sll1787	RpoB	K03043
sll1789	RpoC2	K03046
slr1265	RpoC1	K03046
slr0707	PolA	K02335
sll1572	DnaE	K02337
