KO number	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
K14721	NaN	NaN	NaN	NaN
K03040	NaN	NaN	NaN	NaN
K03043	NaN	NaN	NaN	NaN
K03046	NaN	NaN	NaN	NaN
K03048	NaN	NaN	NaN	NaN
K03060	NaN	NaN	NaN	NaN
K03010	NaN	NaN	NaN	NaN
K03006	NaN	NaN	NaN	NaN
K03011	4673434.2	5019911.7	2400693.8	3770096.4
K03008	5294932	5734799.4	1605498.6	5105886.4
K03015	NaN	NaN	NaN	NaN
K03017	NaN	NaN	NaN	NaN
K03013	12558416	12146524	8350030.3	3214248.4
K03016	13704916	12185011	19937069	8660.784
K03007	9740392.1	12315426	3050089.2	5779286.7
K03018	NaN	NaN	NaN	NaN
K03020	4037205.2	3914298.2	2052200.1	8660.784
K03027	8660.784	8660.784	8660.784	8660.784
K03023	NaN	NaN	NaN	NaN
K03026	8660.784	3070793.4	8660.784	3070793.4
K03019	NaN	NaN	NaN	NaN
K03022	NaN	NaN	NaN	NaN
K03024	NaN	NaN	NaN	NaN
K03002	NaN	NaN	NaN	NaN
K02999	NaN	NaN	NaN	NaN
K03000	NaN	NaN	NaN	NaN
K03005	NaN	NaN	NaN	NaN
K03142	NaN	NaN	NaN	NaN
K14649	NaN	NaN	NaN	NaN
K14651	NaN	NaN	NaN	NaN
K14650	NaN	NaN	NaN	NaN
K03122	NaN	NaN	NaN	NaN
K03123	NaN	NaN	NaN	NaN
K03124	2297494.5	3391307.1	2297494.5	8660.784
K03120	NaN	NaN	NaN	NaN
K03128	NaN	NaN	NaN	NaN
K03134	8660.784	4369085.8	8660.784	4369085.8
K03130	NaN	NaN	NaN	NaN
K03129	NaN	NaN	NaN	NaN
K03126	NaN	NaN	NaN	NaN
K03131	NaN	NaN	NaN	NaN
K14535	NaN	NaN	NaN	NaN
K03133	NaN	NaN	NaN	NaN
K03136	NaN	NaN	NaN	NaN
K03137	NaN	NaN	NaN	NaN
K03138	3292838.2	3188427.3	1818200.7	5200684.2
K03139	4010546.8	8671178.4	3229098.5	4700425.7
K03141	NaN	NaN	NaN	NaN
K03143	NaN	NaN	NaN	NaN
K03144	NaN	NaN	NaN	NaN
K10843	NaN	NaN	NaN	NaN
K10845	NaN	NaN	NaN	NaN
K02202	NaN	NaN	NaN	NaN
K10842	NaN	NaN	NaN	NaN
K06634	NaN	NaN	NaN	NaN
K03121	8038811.6	4329821.7	373979.59	3203594.2
K04449	1700096.7	3069667	1121602.5	2372604.2
K04502	5502396.7	7968794.2	8660.784	8660.784
K09035	NaN	NaN	NaN	NaN
K04450	NaN	NaN	NaN	NaN
K05870	11006023	11934288	2566107.2	9382103.6
K09052	NaN	NaN	NaN	NaN
K10048	NaN	NaN	NaN	NaN
K14431	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN
K09063	8660.784	8660.784	8660.784	8660.784
K09103	5000076.7	6430999.7	2966108.6	8660.784
K09105	5545333.9	6537965.6	5722801	4918817.2
K04377	NaN	NaN	NaN	NaN
K04453	NaN	NaN	NaN	NaN
K09113	NaN	NaN	NaN	NaN
K08539	NaN	NaN	NaN	NaN
K07292	NaN	NaN	NaN	NaN
K08037	NaN	NaN	NaN	NaN
K05771	NaN	NaN	NaN	NaN
K09187	NaN	NaN	NaN	NaN
K07466	5118419.1	7520774.2	704338.78	4100788.8
K04684	NaN	NaN	NaN	NaN
K09201	1085998	3650655.3	1085998	2122892.7
K09229	32724734	12098038	18234029	7083102.6
K09299	1707911.1	2228396.2	2130499.1	8660.784
K09329	6393081.3	5422290.4	8660.784	8660.784
K08036	NaN	NaN	NaN	NaN
K08034	NaN	NaN	NaN	NaN
K09377	1.7955847e+08	2.095097e+08	1.0195985e+08	1.4176657e+08
K04682	NaN	NaN	NaN	NaN
K07201	NaN	NaN	NaN	NaN
K09414	NaN	NaN	NaN	NaN
K03211	NaN	NaN	NaN	NaN
K02678	NaN	NaN	NaN	NaN
K09435	NaN	NaN	NaN	NaN
K09436	NaN	NaN	NaN	NaN
K05411	NaN	NaN	NaN	NaN
K10155	NaN	NaN	NaN	NaN
K02580	2408093.5	3095799.5	2408093.5	2025603
K04469	NaN	NaN	NaN	NaN
K04735	8124024	6085417.8	2818800.6	8660.784
K04734	NaN	NaN	NaN	NaN
K04446	NaN	NaN	NaN	NaN
K11220	30084380	30991617	16957028	13748110
K11221	NaN	NaN	NaN	NaN
K04692	NaN	NaN	NaN	NaN
K11223	NaN	NaN	NaN	NaN
K11224	NaN	NaN	NaN	NaN
K11225	NaN	NaN	NaN	NaN
K02620	NaN	NaN	NaN	NaN
K08065	NaN	NaN	NaN	NaN
K08066	1648334.5	2391067.6	677198.85	1689002.5
K06099	39189403	47081064	26771971	34481997
K09276	4.6555544e+08	5.563826e+08	3.3183941e+08	3.3241955e+08
K08367	NaN	NaN	NaN	NaN
K09282	41721078	59715530	58899008	62657766
K09283	36793627	24966473	38323341	39342901
K04681	NaN	NaN	NaN	NaN
K04498	NaN	NaN	NaN	NaN
K14514	NaN	NaN	NaN	NaN
K03704	NaN	NaN	NaN	NaN
K02825	NaN	NaN	NaN	NaN
K12811	11941630	14143974	4968813.6	8655825.6
K12812	76498157	1.1743509e+08	32236907	72074720
K12813	NaN	NaN	NaN	NaN
K12815	NaN	NaN	NaN	NaN
K12816	NaN	NaN	NaN	NaN
K12817	NaN	NaN	NaN	NaN
K12818	NaN	NaN	NaN	NaN
K12819	NaN	NaN	NaN	NaN
K12820	7975437.5	8666580.8	1358996.2	2798398.5
K11086	25241975	44252845	8408867	27995081
K11087	2.4787424e+08	2.3806304e+08	1.8322486e+08	1.3710919e+08
K11096	15796623	17501749	5080890.7	7294208.5
K11088	57404680	78509489	40607982	52098915
K11097	13873850	20249446	5421723.1	11227318
K11098	13196350	18297293	9863580.4	15119426
K11099	62541890	94086333	37199761	63872430
K11093	1.0975257e+08	1.2315442e+08	90890741	81584401
K11091	73767366	59771883	75931228	43832876
K11095	NaN	NaN	NaN	NaN
K12821	3451696.7	4488025.6	3239590.4	7726587.8
K12822	6289766.2	7497325.2	1541239.9	5299739.4
K12823	99666964	1.4448234e+08	30413742	83898402
K12824	9760688.5	13210538	7557879	5170599
K11092	27972346	30983057	25591653	12823262
K11094	10990562	16839338	5418980.4	17099965
K12825	48796620	57050372	19465553	40544981
K12826	15071027	25962948	15077041	15810942
K12827	47205100	71496403	28538774	46914157
K12828	2283628.6	6442445.6	1190296.9	8660.784
K12829	42999562	57250310	29420940	39743070
K12830	8660.784	8660.784	8660.784	8660.784
K12831	22893469	32461549	8660.784	36641113
K12832	7125289	13323640	3295600.6	12461980
K12833	NaN	NaN	NaN	NaN
K12834	NaN	NaN	NaN	NaN
K12835	8660.784	8660.784	8660.784	8660.784
K12836	33308365	42085553	22021051	21271376
K12837	66004510	1.0344475e+08	27610047	69807079
K12838	6748028	8090659.8	4801986.8	3650012.6
K12839	5139541.9	8044299.5	7489614.3	4417810.2
K12840	8660.784	8660.784	8660.784	8660.784
K12841	NaN	NaN	NaN	NaN
K12842	8660.784	1410103.9	8660.784	1410103.9
K12621	19111046	29967986	14154231	27159621
K12622	20280816	16396365	6997848.5	6044325.8
K12623	NaN	NaN	NaN	NaN
K12624	8660.784	94441001	8660.784	94441001
K12625	5193478.8	12574914	4248817.7	7106166.2
K12626	NaN	NaN	NaN	NaN
K12627	16072659	18921707	13268850	12118854
K12843	1947162.8	2760347.3	1603396.7	8660.784
K12662	1888811.3	4066399.5	932730	8660.784
K09567	8660.784	8660.784	8660.784	8660.784
K12844	8487008.2	6301476.2	5846290.1	2452599.1
K12845	44103949	65463526	43204253	94658584
K12846	NaN	NaN	NaN	NaN
K12847	NaN	NaN	NaN	NaN
K11984	8660.784	8660.784	8660.784	8660.784
K12848	NaN	NaN	NaN	NaN
K12849	NaN	NaN	NaN	NaN
K12850	NaN	NaN	NaN	NaN
K12852	1.9115059e+08	2.3039983e+08	30928450	69561350
K12854	2509149.9	4023807.9	8660.784	8660.784
K12855	NaN	NaN	NaN	NaN
K12856	NaN	NaN	NaN	NaN
K12857	7657880.6	15247531	2146165.6	18124024
K12858	8800763	3727668.9	6118811.4	1639597.2
K10599	25777138	47462178	11026641	48872176
K12860	15579320	21050638	9989146.6	15484699
K12861	7857156.8	9302992.8	4115111.2	6672102.4
K12862	NaN	NaN	NaN	NaN
K12863	1452666.2	3094198	1384199.1	8660.784
K12864	3450506.1	4377306.1	2204301.3	1723106
K12865	13963693	14418290	12553010	9894874.6
K12866	1792602.2	1779801.5	1160399.4	2157905.1
K06063	7494095	9943891.9	3140820.4	6724380.8
K12867	NaN	NaN	NaN	NaN
K12868	14326522	14518994	8660.784	10479961
K12869	NaN	NaN	NaN	NaN
K12870	NaN	NaN	NaN	NaN
K12733	8264384.5	13518226	8376696.7	8241182.9
K09564	NaN	NaN	NaN	NaN
K12871	NaN	NaN	NaN	NaN
K12872	2826303.6	4597505.9	8660.784	8660.784
K12873	NaN	NaN	NaN	NaN
K12874	NaN	NaN	NaN	NaN
K12875	17611647	34730995	14833030	44433979
K13025	21229043	24587350	6506002.7	12803989
K12876	47172968	69359193	29709068	54331291
K12877	10710837	17490134	8398847.8	12315996
K12878	NaN	NaN	NaN	NaN
K12879	NaN	NaN	NaN	NaN
K12880	NaN	NaN	NaN	NaN
K12881	39611536	59288516	32316105	45451356
K12882	NaN	NaN	NaN	NaN
K12883	8159660.8	7340434	10611976	5355500.6
K12741	1.3104616e+09	2.0619478e+09	6.1367526e+08	1.471605e+09
K12884	6.2528802e+08	8.4868809e+08	2.9651092e+08	6.5728782e+08
K12885	2.0348006e+08	2.2658981e+08	1.36027e+08	1.6671702e+08
K12886	8.9173797e+08	1.2734541e+09	5.3603427e+08	8.7313531e+08
K12887	4.6982646e+08	5.6845904e+08	3.5647113e+08	3.3141875e+08
K12888	3.0158929e+08	4.886446e+08	1.4852494e+08	3.9218252e+08
K12889	NaN	NaN	NaN	NaN
K12890	95049771	1.2117e+08	88019739	1.3172533e+08
K12891	17962630	13003314	18978071	25081843
K12892	51160284	85881176	24185684	1.249218e+08
K12893	19607921	11734304	18209021	18595706
K12896	52741724	56918248	73682057	1.0330967e+08
K12897	33233865	38129018	25961702	60180832
K12900	6064002.8	11206985	5622187	16368741
K02926	NaN	NaN	NaN	NaN
K02970	NaN	NaN	NaN	NaN
K02899	NaN	NaN	NaN	NaN
K02895	NaN	NaN	NaN	NaN
K02892	NaN	NaN	NaN	NaN
K02988	NaN	NaN	NaN	NaN
K02935	NaN	NaN	NaN	NaN
K02939	NaN	NaN	NaN	NaN
K02948	NaN	NaN	NaN	NaN
K02946	NaN	NaN	NaN	NaN
K02888	NaN	NaN	NaN	NaN
K02884	NaN	NaN	NaN	NaN
K02887	NaN	NaN	NaN	NaN
K02886	NaN	NaN	NaN	NaN
K02906	NaN	NaN	NaN	NaN
K02950	NaN	NaN	NaN	NaN
K02902	NaN	NaN	NaN	NaN
K02959	NaN	NaN	NaN	NaN
K02992	NaN	NaN	NaN	NaN
K02991	2.7816533e+08	3.778922e+08	2.0079387e+08	3.1706865e+08
K02990	NaN	NaN	NaN	NaN
K02996	5822809.3	6104050.2	4232826.7	5557790.4
K02874	NaN	NaN	NaN	NaN
K02876	NaN	NaN	NaN	NaN
K02878	NaN	NaN	NaN	NaN
K02879	NaN	NaN	NaN	NaN
K02907	NaN	NaN	NaN	NaN
K02956	NaN	NaN	NaN	NaN
K02955	NaN	NaN	NaN	NaN
K02954	NaN	NaN	NaN	NaN
K02913	NaN	NaN	NaN	NaN
K02911	NaN	NaN	NaN	NaN
K02916	NaN	NaN	NaN	NaN
K02914	NaN	NaN	NaN	NaN
K02963	NaN	NaN	NaN	NaN
K02961	NaN	NaN	NaN	NaN
K02863	NaN	NaN	NaN	NaN
K02867	NaN	NaN	NaN	NaN
K02864	NaN	NaN	NaN	NaN
K02945	NaN	NaN	NaN	NaN
K02967	NaN	NaN	NaN	NaN
K02982	NaN	NaN	NaN	NaN
K02986	NaN	NaN	NaN	NaN
K02994	NaN	NaN	NaN	NaN
K02952	NaN	NaN	NaN	NaN
K02965	NaN	NaN	NaN	NaN
K02968	NaN	NaN	NaN	NaN
K02981	3.0432678e+08	3.746243e+08	1.8001726e+08	2.6028916e+08
K02985	1.9668012e+08	2.0527011e+08	1.314e+08	1.0093981e+08
K02984	4.1149324e+08	5.4226887e+08	2.682476e+08	3.8228941e+08
K02987	1.3047329e+08	1.6356966e+08	69080252	1.0038998e+08
K02989	51175633	41781572	41713470	25740737
K02993	4.4726322e+08	4.3660031e+08	2.6612153e+08	3.5250781e+08
K02995	4.7000989e+08	6.6151881e+08	2.6006374e+08	4.5914354e+08
K02997	3.5430689e+08	3.4352716e+08	2.923092e+08	2.1533984e+08
K02947	68909980	75853441	40530370	52940923
K02949	2.1963717e+08	2.4746027e+08	1.4764937e+08	1.678666e+08
K02951	6.9291399e+08	1.1157268e+09	4.7079051e+08	7.835771e+08
K02953	1.0150314e+08	84994640	83343711	58977037
K02958	53105064	52098268	32647066	49149725
K02957	47003926	50396095	31929575	24714425
K02960	2.3222292e+08	1.8444234e+08	1.7841727e+08	92637308
K02962	1.9622393e+08	1.6051288e+08	1.1542336e+08	42365014
K02964	1.9564328e+08	1.7045684e+08	1.1115981e+08	1.3012023e+08
K02966	1.4988014e+08	1.8681328e+08	1.0326027e+08	1.2505955e+08
K02969	92913722	1.0599108e+08	55765905	62883143
K02971	1.9793151e+08	2.5368103e+08	1.3282855e+08	1.6774564e+08
K02973	1.3840098e+08	1.5983592e+08	84299457	1.1729286e+08
K02974	1.2867013e+08	1.4365958e+08	85018885	1.0108404e+08
K02975	2.8454452e+08	2.9713018e+08	1.9800203e+08	1.7049332e+08
K02976	1.1303245e+08	1.457905e+08	71170202	84892278
K02978	42889885	75939330	28885888	56969564
K02977	NaN	NaN	NaN	NaN
K02979	2.7449016e+08	3.2852718e+08	1.5672282e+08	2.0498882e+08
K02980	25761551	23929929	13579340	13298775
K02983	NaN	NaN	NaN	NaN
K02998	1.0964761e+09	1.4641338e+09	7.0858221e+08	1.1329994e+09
K02931	NaN	NaN	NaN	NaN
