Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Cardiovascular Diseases	TOTAL	0.02342	0.028	0.01667	0.03057
-Metabolic Diseases	TOTAL	0.005564	0.007396	0.00433	0.007155
-Infectious Diseases	TOTAL	0.1018	0.1344	0.07649	0.1543
Not Mapped	TOTAL	0.1701	0.1738	0.173	0.1791
-Not Mapped	TOTAL	0.1701	0.1738	0.173	0.1791
TOTAL	MAPPED	1.205	1.21	1.209	1.218
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.3506	0.4323	0.3046	0.4697
-Transcription	MAPPED	0.01492	0.01902	0.0124	0.02015
-Translation	MAPPED	0.0737	0.09073	0.06699	0.1031
-Folding, Sorting and Degradation	MAPPED	0.1403	0.1566	0.1393	0.1659
-DNA Maintenance	MAPPED	0.1243	0.1669	0.09332	0.1902
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.04123	0.0475	0.04606	0.04908
-Signal Transduction	MAPPED	0.01389	0.01131	0.01884	0.01004
-Signaling Molecules and Interaction	MAPPED	0.03565	0.04332	0.03571	0.04797
Cellular Processes	MAPPED	0.453	0.3831	0.4845	0.3605
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.01503	0.01358	0.016	0.01365
-Cytoskeleton	MAPPED	0.408	0.3356	0.4367	0.313
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01889	0.0207	0.02036	0.02129
-Cell Communication	MAPPED	0.0189	0.02315	0.01725	0.02127
Metabolism	MAPPED	0.1491	0.1643	0.1457	0.1597
-Membrane Transport	MAPPED	0.0004553	0.0005075	0.0004279	0.0004105
-Central Carbon Metabolism	MAPPED	0.05292	0.06158	0.05099	0.05768
-Energy Metabolism	MAPPED	0.01705	0.01627	0.01682	0.01588
-Biosynthesis	MAPPED	0.02598	0.02431	0.02577	0.02333
-Other Enzymes	MAPPED	0.097	0.1045	0.09682	0.1018
Organismal Systems	MAPPED	0.07102	0.07634	0.06612	0.08306
-Immune System	MAPPED	0.01757	0.01994	0.01696	0.02078
-Endocrine System	MAPPED	0.01041	0.01421	0.008161	0.01346
-Circulatory System	MAPPED	0.02379	0.02557	0.01827	0.02929
-Digestive System	MAPPED	0.001115	0.001322	0.0007198	0.001077
-Excretory System	MAPPED	0.004526	0.003967	0.005468	0.004124
-Nervous System	MAPPED	0.01965	0.02117	0.02107	0.02216
-Sensory System	MAPPED	0.0001387	0.000144	0.0001362	0.0001387
-Development	MAPPED	0.01003	0.01179	0.009154	0.01301
-Environmental Adaptation	MAPPED	0.005439	0.005561	0.005283	0.005475
Human Diseases	MAPPED	0.1877	0.2289	0.1462	0.2564
-Cancers	MAPPED	0.01533	0.0192	0.01287	0.0186
-Immune System Diseases	MAPPED	0.02219	0.02815	0.01427	0.02824
-Neurodegenerative Diseases	MAPPED	0.04441	0.04542	0.04746	0.04113
-Cardiovascular Diseases	MAPPED	0.02823	0.03389	0.02015	0.03724
-Metabolic Diseases	MAPPED	0.006705	0.008953	0.005235	0.008715
-Infectious Diseases	MAPPED	0.1226	0.1627	0.09249	0.188
