Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Biosynthesis	TOTAL	0.01117	0.01386	0.01769	0.01093	0.01344	0.01672	0.009923	0.01243	0.01677	0.01008	0.01365	0.01691
-Other Enzymes	TOTAL	0.02648	0.04015	0.06545	0.02853	0.04443	0.06899	0.02253	0.04084	0.06527	0.02895	0.04044	0.06369
Organismal Systems	TOTAL	0.02244	0.03462	0.05537	0.02134	0.03783	0.05593	0.02419	0.03496	0.0516	0.0229	0.03813	0.06014
-Immune System	TOTAL	0.002066	0.0116	0.01871	0.002504	0.01145	0.02041	0.001861	0.01181	0.02021	0.002643	0.01269	0.01996
-Endocrine System	TOTAL	0.0006323	0.002227	0.014	0.0005721	0.001933	0.01802	0.0006013	0.002315	0.01088	0.0005341	0.002065	0.01706
-Circulatory System	TOTAL	0.006945	0.01069	0.01857	0.005672	0.009211	0.01844	0.008913	0.01279	0.01585	0.006211	0.01015	0.02133
-Digestive System	TOTAL	9.666e-05	0.0002788	0.004214	0.0001135	0.0002784	0.005112	8.991e-05	0.0002387	0.002249	4.232e-05	0.0002681	0.00425
-Excretory System	TOTAL	0.0004687	0.00128	0.00294	0.000423	0.001057	0.002633	0.0004356	0.001142	0.002848	0.0003762	0.0009763	0.00254
-Nervous System	TOTAL	0.0003319	0.0007516	0.00907	0.0003607	0.0008642	0.009355	0.000258	0.0004985	0.009868	0.0002604	0.0008658	0.009839
-Sensory System	TOTAL	0	0	0.0001502	0	0	0.0001472	0	0	0.000156	0	0	0.0001484
-Development	TOTAL	0.000761	0.0007781	0.004222	0.0009735	0.0009941	0.004816	0.0006484	0.0006658	0.003882	0.001031	0.001047	0.005337
-Environmental Adaptation	TOTAL	0	6.698e-05	0.008095	0	5.494e-05	0.007895	0	6.077e-05	0.008021	0	4.918e-05	0.00788
Human Diseases	TOTAL	0.06415	0.0832	0.1299	0.06426	0.08508	0.1566	0.06575	0.07825	0.1077	0.06338	0.08223	0.1679
-Cancers	TOTAL	0.002026	0.002544	0.02216	0.002006	0.002745	0.02596	0.002222	0.002754	0.01898	0.002279	0.003041	0.02524
-Immune System Diseases	TOTAL	0.001233	0.002442	0.005409	0.001293	0.002817	0.00653	0.0008238	0.00195	0.003674	0.001319	0.002935	0.006743
-Neurodegenerative Diseases	TOTAL	0.006674	0.01525	0.03138	0.006115	0.01024	0.02964	0.007742	0.01686	0.03443	0.006688	0.009281	0.02683
-Cardiovascular Diseases	TOTAL	0.01561	0.02582	0.02982	0.01823	0.02989	0.03531	0.01457	0.02012	0.02547	0.01905	0.02684	0.03303
-Metabolic Diseases	TOTAL	0	0	0.006599	0	0	0.008405	0	0	0.005256	0	0	0.008296
-Infectious Diseases	TOTAL	0.01078	0.01648	0.08232	0.01088	0.01783	0.1033	0.01093	0.01845	0.06763	0.01143	0.01815	0.122
Not Mapped	TOTAL	0.1302	0.1302	0.1302	0.1277	0.1277	0.1277	0.1353	0.1353	0.1353	0.1343	0.1343	0.1343
-Not Mapped	TOTAL	0.1302	0.1302	0.1302	0.1277	0.1277	0.1277	0.1353	0.1353	0.1353	0.1343	0.1343	0.1343
TOTAL	MAPPED	1.15	1.15	1.15	1.146	1.146	1.146	1.156	1.156	1.156	1.155	1.155	1.155
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.1792	0.2146	0.29	0.196	0.2346	0.3407	0.1671	0.2079	0.264	0.211	0.2492	0.3701
-Transcription	MAPPED	0.01341	0.01366	0.01391	0.01618	0.01646	0.01686	0.01088	0.01111	0.01136	0.01665	0.01698	0.01745
-Translation	MAPPED	0.04708	0.04808	0.04969	0.05534	0.05672	0.05754	0.04157	0.04253	0.04518	0.05886	0.0619	0.0638
-Folding, Sorting and Degradation	MAPPED	0.1014	0.1256	0.1416	0.1091	0.1371	0.1504	0.09761	0.1226	0.1422	0.1141	0.1467	0.1607
-DNA Maintenance	MAPPED	0.009544	0.01616	0.09034	0.009476	0.01727	0.1165	0.009871	0.01561	0.06966	0.009398	0.0185	0.1362
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.01711	0.07243	0.08495	0.0349	0.0985	0.1288	0.02969	0.05364	0.0778	0.05061	0.09327	0.1377
-Signal Transduction	MAPPED	0.0005944	0.003648	0.008412	0.0005884	0.003738	0.007047	0.0006537	0.003913	0.01081	0.0007776	0.003987	0.006735
-Signaling Molecules and Interaction	MAPPED	0.01346	0.06704	0.07789	0.03127	0.09264	0.1225	0.02578	0.04766	0.07211	0.0471	0.08715	0.1318
Cellular Processes	MAPPED	0.3928	0.4028	0.4711	0.2922	0.3069	0.393	0.4379	0.4487	0.501	0.2482	0.2746	0.3641
-Crystallins	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0.009339	0.01268	0.01567	0.008056	0.01005	0.01302	0.01042	0.01509	0.0178	0.007764	0.01031	0.0136
-Cytoskeleton	MAPPED	0.3334	0.3462	0.4149	0.2219	0.2333	0.3273	0.3838	0.3998	0.4481	0.1824	0.1946	0.3066
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.0008317	0.01009	0.01054	0.000886	0.01054	0.01095	0.0008946	0.01113	0.01144	0.0007731	0.01102	0.0115
-Cell Communication	MAPPED	0.01807	0.03451	0.04451	0.02341	0.04312	0.05767	0.01388	0.02589	0.03393	0.02286	0.03893	0.05289
Metabolism	MAPPED	0.08525	0.1049	0.1246	0.08996	0.1087	0.1311	0.07847	0.1024	0.1204	0.09068	0.1054	0.1238
-Membrane Transport	MAPPED	5.231e-05	9.335e-05	0.0003926	4.394e-05	0.0001111	0.0003798	1.893e-05	9.057e-05	0.0003769	3.424e-05	0.0001238	0.0002577
-Central Carbon Metabolism	MAPPED	0.01023	0.02564	0.04251	0.01078	0.02928	0.04737	0.009279	0.02413	0.04113	0.01135	0.02879	0.0455
-Energy Metabolism	MAPPED	0.004715	0.005429	0.01823	0.00455	0.006808	0.01687	0.003588	0.006025	0.01829	0.004598	0.007106	0.01672
-Biosynthesis	MAPPED	0.01284	0.01594	0.02034	0.01253	0.01541	0.01917	0.01148	0.01438	0.01939	0.01165	0.01577	0.01953
-Other Enzymes	MAPPED	0.03045	0.04616	0.07525	0.03271	0.05094	0.0791	0.02605	0.04723	0.07549	0.03344	0.04672	0.07358
Organismal Systems	MAPPED	0.0258	0.0398	0.06366	0.02446	0.04337	0.06412	0.02798	0.04043	0.05967	0.02646	0.04405	0.06947
-Immune System	MAPPED	0.002375	0.01334	0.02151	0.00287	0.01313	0.0234	0.002152	0.01366	0.02337	0.003053	0.01466	0.02306
-Endocrine System	MAPPED	0.0007269	0.00256	0.0161	0.0006558	0.002216	0.02065	0.0006954	0.002677	0.01258	0.000617	0.002385	0.01971
-Circulatory System	MAPPED	0.007985	0.01229	0.02135	0.006502	0.01056	0.02114	0.01031	0.01479	0.01833	0.007174	0.01172	0.02464
-Digestive System	MAPPED	0.0001111	0.0003206	0.004844	0.0001301	0.0003192	0.005861	0.000104	0.000276	0.002601	4.889e-05	0.0003097	0.00491
-Excretory System	MAPPED	0.0005388	0.001472	0.00338	0.0004849	0.001212	0.003018	0.0005038	0.001321	0.003293	0.0004346	0.001128	0.002934
-Nervous System	MAPPED	0.0003816	0.0008641	0.01043	0.0004135	0.0009907	0.01072	0.0002984	0.0005765	0.01141	0.0003008	0.001	0.01137
-Sensory System	MAPPED	0	0	0.0001726	0	0	0.0001687	0	0	0.0001804	0	0	0.0001714
-Development	MAPPED	0.0008749	0.0008946	0.004854	0.001116	0.00114	0.005521	0.0007499	0.00077	0.004489	0.001191	0.00121	0.006165
-Environmental Adaptation	MAPPED	0	7.701e-05	0.009307	0	6.298e-05	0.009051	0	7.028e-05	0.009276	0	5.682e-05	0.009103
Human Diseases	MAPPED	0.07376	0.09565	0.1494	0.07367	0.09754	0.1795	0.07604	0.09049	0.1245	0.07321	0.09499	0.1939
-Cancers	MAPPED	0.00233	0.002925	0.02548	0.002299	0.003147	0.02976	0.002569	0.003185	0.02195	0.002633	0.003512	0.02915
-Immune System Diseases	MAPPED	0.001417	0.002807	0.006218	0.001482	0.003229	0.007487	0.0009527	0.002255	0.004249	0.001524	0.003391	0.007789
-Neurodegenerative Diseases	MAPPED	0.007673	0.01754	0.03607	0.007011	0.01174	0.03398	0.008953	0.0195	0.03982	0.007726	0.01072	0.03099
-Cardiovascular Diseases	MAPPED	0.01795	0.02969	0.03429	0.0209	0.03427	0.04048	0.01685	0.02327	0.02945	0.022	0.031	0.03815
-Metabolic Diseases	MAPPED	0	0	0.007586	0	0	0.009636	0	0	0.006078	0	0	0.009583
-Infectious Diseases	MAPPED	0.0124	0.01895	0.09464	0.01248	0.02044	0.1184	0.01264	0.02134	0.07822	0.0132	0.02097	0.141
Not Mapped	MAPPED	0.1497	0.1497	0.1497	0.1464	0.1464	0.1464	0.1565	0.1565	0.1565	0.1552	0.1552	0.1552
-Not Mapped	MAPPED	0.1497	0.1497	0.1497	0.1464	0.1464	0.1464	0.1565	0.1565	0.1565	0.1552	0.1552	0.1552
TOTAL	Genetic Information Processing	3.891	4.239	6.403	3.312	3.634	5.724	4.378	4.793	6.613	3.034	3.299	5.407
MAPPED	Genetic Information Processing	3.384	3.687	5.57	2.889	3.17	4.993	3.786	4.144	5.718	2.626	2.855	4.68
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.04625	0.05012	0.0762	0.04879	0.05177	0.08401	0.0412	0.04579	0.06366	0.04521	0.04786	0.08046
-Translation	Genetic Information Processing	0.1615	0.1832	0.2678	0.1614	0.1854	0.2849	0.1574	0.1872	0.2516	0.1554	0.188	0.2881
-Folding, Sorting and Degradation	Genetic Information Processing	0.4426	0.4882	0.6181	0.3999	0.4532	0.6053	0.4881	0.5385	0.6403	0.3811	0.4419	0.6094
-DNA Maintenance	Genetic Information Processing	0.05084	0.09003	0.324	0.04835	0.08623	0.3561	0.0522	0.09341	0.2789	0.04454	0.0866	0.3787
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.08221	0.2555	0.4371	0.1288	0.2952	0.5949	0.1377	0.2134	0.4354	0.1568	0.2557	0.615
-Signal Transduction	Genetic Information Processing	0.003311	0.01898	0.02915	0.002938	0.01702	0.02068	0.003912	0.02097	0.04095	0.003639	0.01549	0.01823
-Signaling Molecules and Interaction	Genetic Information Processing	0.07002	0.2365	0.4338	0.1215	0.2776	0.5919	0.1271	0.1896	0.43	0.1505	0.2439	0.6114
Cellular Processes	Genetic Information Processing	1.368	1.574	2.607	0.8912	1.114	1.924	1.658	1.851	2.875	0.687	0.8823	1.704
-Crystallins	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.03221	0.05432	0.07062	0.02417	0.03833	0.04972	0.03944	0.07083	0.09449	0.02101	0.03676	0.04826
-Cytoskeleton	Genetic Information Processing	1.168	1.392	2.311	0.6651	0.9383	1.634	1.47	1.662	2.635	0.4966	0.726	1.435
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.002933	0.0371	0.05636	0.002655	0.03394	0.05329	0.003559	0.04363	0.06499	0.002157	0.03183	0.05287
-Cell Communication	Genetic Information Processing	0.1008	0.1496	0.2203	0.1163	0.1747	0.2452	0.07937	0.1163	0.1772	0.09991	0.1434	0.2183
Metabolism	Genetic Information Processing	0.2955	0.4387	0.6539	0.264	0.4113	0.6405	0.3076	0.4823	0.6586	0.2382	0.3485	0.5788
-Membrane Transport	Genetic Information Processing	0.0001804	0.0004773	0.002002	0.0001318	0.0004136	0.001657	7.167e-05	0.0003891	0.001975	9.267e-05	0.0003822	0.0009676
-Central Carbon Metabolism	Genetic Information Processing	0.04766	0.08844	0.1611	0.04593	0.08785	0.1663	0.04463	0.09136	0.1704	0.04554	0.08197	0.1579
-Energy Metabolism	Genetic Information Processing	0.01596	0.02888	0.07764	0.01365	0.02511	0.07358	0.01359	0.03178	0.09088	0.01245	0.02374	0.06624
-Biosynthesis	Genetic Information Processing	0.0445	0.06461	0.09413	0.03679	0.05454	0.08314	0.04347	0.062	0.09106	0.0321	0.04675	0.08111
-Other Enzymes	Genetic Information Processing	0.1074	0.1894	0.3878	0.09804	0.1737	0.3523	0.1036	0.195	0.4353	0.08784	0.1505	0.2992
Organismal Systems	Genetic Information Processing	0.1304	0.1525	0.2542	0.1064	0.1376	0.2547	0.1344	0.1759	0.2746	0.1075	0.1267	0.2376
-Immune System	Genetic Information Processing	0.01107	0.05183	0.1094	0.01224	0.04981	0.09149	0.01035	0.05434	0.1133	0.01225	0.04943	0.08822
-Endocrine System	Genetic Information Processing	0.00268	0.009029	0.08374	0.002176	0.006642	0.09465	0.002882	0.01049	0.0688	0.001762	0.006456	0.08571
-Circulatory System	Genetic Information Processing	0.03138	0.05489	0.07559	0.0223	0.04255	0.06365	0.04418	0.06909	0.08462	0.02281	0.04357	0.06723
-Digestive System	Genetic Information Processing	0.0005179	0.001788	0.01709	0.0003759	0.001629	0.01756	0.0005001	0.001578	0.01035	0.0001962	0.001468	0.01336
-Excretory System	Genetic Information Processing	0.002085	0.008058	0.01246	0.001478	0.005686	0.009375	0.002632	0.007555	0.01365	0.001224	0.004987	0.008378
-Nervous System	Genetic Information Processing	0.001316	0.004017	0.0377	0.001241	0.004223	0.03294	0.001129	0.002506	0.04602	0.0008142	0.003601	0.03258
-Sensory System	Genetic Information Processing	0	0	0.0005954	0	0	0.0005063	0	0	0.000683	0	0	0.000464
-Development	Genetic Information Processing	0.003155	0.004551	0.0231	0.003416	0.005237	0.02396	0.003063	0.004304	0.02194	0.003293	0.00529	0.02503
-Environmental Adaptation	Genetic Information Processing	0	0.0004296	0.03242	0	0.0003214	0.02673	0	0.0004018	0.03655	0	0.0002693	0.02478
Human Diseases	Genetic Information Processing	0.2628	0.3629	0.7567	0.2272	0.3253	0.8142	0.311	0.4062	0.6812	0.2111	0.3041	0.8576
-Cancers	Genetic Information Processing	0.008493	0.01279	0.1421	0.006891	0.01291	0.1519	0.01022	0.01531	0.1255	0.007166	0.01391	0.1382
-Immune System Diseases	Genetic Information Processing	0.005824	0.009729	0.02589	0.004664	0.009479	0.02755	0.005184	0.008841	0.0193	0.004334	0.009029	0.02585
-Neurodegenerative Diseases	Genetic Information Processing	0.03576	0.09785	0.1499	0.02623	0.05991	0.1323	0.04306	0.1115	0.169	0.02753	0.05082	0.1287
-Cardiovascular Diseases	Genetic Information Processing	0.06074	0.1106	0.1783	0.06037	0.1087	0.1937	0.06382	0.1014	0.1611	0.05779	0.09837	0.1687
-Metabolic Diseases	Genetic Information Processing	0	0	0.03536	0	0	0.04108	0	0	0.02923	0	0	0.03846
-Infectious Diseases	Genetic Information Processing	0.06089	0.08288	0.4923	0.05044	0.06923	0.5558	0.06602	0.09474	0.4278	0.05213	0.06892	0.6234
Not Mapped	Genetic Information Processing	0.5065	0.5519	0.8336	0.4231	0.4642	0.7311	0.5924	0.6485	0.8948	0.4076	0.4431	0.7263
-Not Mapped	Genetic Information Processing	0.5065	0.5519	0.8336	0.4231	0.4642	0.7311	0.5924	0.6485	0.8948	0.4076	0.4431	0.7263
TOTAL	-Transcription	80.91	83.43	85.56	67.18	68.75	70.5	100.8	104	105.9	65.71	67.49	69.15
MAPPED	-Transcription	70.38	72.57	74.42	58.6	59.97	61.49	87.18	89.89	91.53	56.89	58.42	59.86
Genetic Information Processing	-Transcription	12.91	15.51	20.85	11.88	14.07	20.32	14.72	18.59	23.02	12.15	14.56	21.81
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	3.358	3.51	3.6	3.273	3.403	3.544	3.683	3.82	4.051	3.39	3.613	3.831
-Folding, Sorting and Degradation	-Transcription	7.288	9.248	10.13	6.472	8.331	9.142	8.596	11.18	12.57	6.489	8.491	9.62
-DNA Maintenance	-Transcription	0.6988	1.162	6.554	0.5755	1.025	7.01	0.8866	1.375	6.38	0.5536	1.053	7.987
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	1.273	5.256	6.14	2.157	5.883	7.68	2.718	4.821	7.004	3.039	5.355	8.037
-Signal Transduction	-Transcription	0.04273	0.2715	0.608	0.03491	0.2271	0.4202	0.05756	0.3581	0.9425	0.04424	0.2349	0.3859
-Signaling Molecules and Interaction	-Transcription	1.002	4.865	5.674	1.933	5.533	7.443	2.36	4.284	6.35	2.829	5.003	7.799
Cellular Processes	-Transcription	28.51	29.63	34.76	17.75	18.43	23.97	39.99	40.33	45.16	14.68	15.95	20.71
-Crystallins	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0.6964	0.9114	1.133	0.4954	0.5908	0.7765	0.9572	1.381	1.6	0.4648	0.6041	0.7901
-Cytoskeleton	-Transcription	24.19	25.26	30.08	13.25	14	19.47	34.58	35.74	40.05	10.47	11.37	17.44
-Cell Motility	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	0.06035	0.7274	0.7756	0.05292	0.632	0.6707	0.08042	0.9928	1.041	0.04549	0.6426	0.6864
-Cell Communication	-Transcription	1.323	2.494	3.296	1.422	2.586	3.564	1.247	2.28	3.095	1.347	2.274	3.176
Metabolism	-Transcription	6.162	7.577	8.959	5.365	6.65	7.945	7.065	9.154	10.81	5.195	6.308	7.292
-Membrane Transport	-Transcription	0.003848	0.00671	0.02763	0.002691	0.006594	0.02236	0.001714	0.007976	0.03285	0.002043	0.007044	0.01524
-Central Carbon Metabolism	-Transcription	0.739	1.912	3.127	0.6462	1.801	2.9	0.8296	2.217	3.723	0.663	1.723	2.715
-Energy Metabolism	-Transcription	0.3319	0.3923	1.356	0.2798	0.406	1.043	0.3128	0.5412	1.674	0.2753	0.4127	1.004
-Biosynthesis	-Transcription	0.9281	1.167	1.497	0.7475	0.9357	1.165	1.001	1.321	1.769	0.6806	0.9034	1.155
-Other Enzymes	-Transcription	2.21	3.398	5.438	1.954	3.096	4.744	2.342	4.309	6.749	1.916	2.763	4.299
Organismal Systems	-Transcription	1.889	2.876	4.62	1.486	2.601	3.83	2.513	3.64	5.364	1.558	2.573	3.988
-Immune System	-Transcription	0.1716	0.9681	1.604	0.1721	0.784	1.446	0.1924	1.228	2.115	0.1784	0.8414	1.385
-Endocrine System	-Transcription	0.05348	0.1858	1.198	0.03984	0.1324	1.276	0.06294	0.241	1.151	0.03681	0.1418	1.183
-Circulatory System	-Transcription	0.5943	0.887	1.503	0.4018	0.6297	1.239	0.9434	1.303	1.598	0.4308	0.6695	1.412
-Digestive System	-Transcription	0.008031	0.02347	0.3516	0.007624	0.01939	0.35	0.009296	0.02479	0.2338	0.002856	0.01824	0.2819
-Excretory System	-Transcription	0.03967	0.1058	0.2486	0.02945	0.07489	0.1848	0.04596	0.1187	0.2981	0.02571	0.06773	0.1751
-Nervous System	-Transcription	0.02846	0.06357	0.7677	0.02543	0.05941	0.6518	0.02741	0.0519	1.04	0.01801	0.05892	0.6723
-Sensory System	-Transcription	0	0	0.01287	0	0	0.01038	0	0	0.01658	0	0	0.01026
-Development	-Transcription	0.06371	0.06512	0.3546	0.06651	0.06897	0.3337	0.06604	0.06922	0.4073	0.06805	0.07184	0.3641
-Environmental Adaptation	-Transcription	0	0.00567	0.6754	0	0.003828	0.5406	0	0.006411	0.8338	0	0.003361	0.5227
Human Diseases	-Transcription	5.43	6.942	10.99	4.478	5.863	10.99	6.937	8.07	11.4	4.331	5.686	11.65
-Cancers	-Transcription	0.1734	0.2059	1.865	0.1373	0.1844	1.808	0.231	0.2776	1.971	0.1511	0.2012	1.717
-Immune System Diseases	-Transcription	0.1043	0.2029	0.4553	0.08791	0.1926	0.4547	0.0839	0.2031	0.3816	0.08668	0.1943	0.4588
