KO number	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
K02876	NaN	NaN	NaN	NaN
K02878	NaN	NaN	NaN	NaN
K02879	NaN	NaN	NaN	NaN
K02907	NaN	NaN	NaN	NaN
K02956	8.894318e+08	1.2647247e+09	4.1671077e+08	1974942.2
K02955	NaN	NaN	NaN	NaN
K02954	NaN	NaN	NaN	NaN
K02913	NaN	NaN	NaN	NaN
K02911	NaN	NaN	NaN	NaN
K02916	NaN	NaN	NaN	NaN
K02914	NaN	NaN	NaN	NaN
K02963	NaN	NaN	NaN	NaN
K02961	NaN	NaN	NaN	NaN
K02863	NaN	NaN	NaN	NaN
K02867	NaN	NaN	NaN	NaN
K02864	NaN	NaN	NaN	NaN
K02945	NaN	NaN	NaN	NaN
K02967	NaN	NaN	NaN	NaN
K02982	NaN	NaN	NaN	NaN
K02986	NaN	NaN	NaN	NaN
K02994	NaN	NaN	NaN	NaN
K02952	NaN	NaN	NaN	NaN
K02965	NaN	NaN	NaN	NaN
K02968	NaN	NaN	NaN	NaN
K02981	8.9167747e+10	1.0976492e+11	5.2745057e+10	7.6264724e+10
K02985	4.7793269e+10	4.9880637e+10	3.19302e+10	2.4528374e+10
K02984	1.0863422e+11	1.4315898e+11	7.0817366e+10	1.009244e+11
K02987	3.4314475e+10	4.3018821e+10	1.8168106e+10	2.6402565e+10
K02989	1.0439829e+10	8.5234407e+09	8.5095479e+09	5.2511103e+09
K02993	8.6769065e+10	8.470046e+10	5.1627577e+10	6.8386515e+10
K02995	9.7762057e+10	1.3759591e+11	5.4093258e+10	9.5501856e+10
K02997	6.8735537e+10	6.6644269e+10	5.6707985e+10	4.1775929e+10
K02947	1.1852517e+10	1.3046792e+10	6.9712236e+09	9.1058388e+09
K02949	3.4702673e+10	3.9098723e+10	2.33286e+10	2.6522923e+10
K02951	9.1464647e+10	1.4727594e+11	6.2144347e+10	1.0343218e+11
K02953	1.5326974e+10	1.2834191e+10	1.25849e+10	8.9055326e+09
K02958	7.7002343e+09	7.5542489e+09	4.7338246e+09	7.1267101e+09
K02957	6.1105104e+09	6.5514924e+09	4.1508448e+09	3.2128752e+09
K02960	3.5297884e+10	2.8035236e+10	2.7119425e+10	1.4080871e+10
K02962	2.6490231e+10	2.1669239e+10	1.5582154e+10	5.7192769e+09
K02964	2.9737779e+10	2.590944e+10	1.6896291e+10	1.9778275e+10
K02966	2.173262e+10	2.7087926e+10	1.4972739e+10	1.8133635e+10
K02969	1.3193749e+10	1.5050733e+10	7.9187585e+09	8.9294063e+09
K02971	1.9199356e+10	2.460706e+10	1.2884369e+10	1.6271327e+10
K02973	1.979134e+10	2.2856537e+10	1.2054822e+10	1.6772879e+10
K02974	3.7185668e+10	4.1517619e+10	2.4570458e+10	2.9213288e+10
K02975	3.5568065e+10	3.7141272e+10	2.4750254e+10	2.1311665e+10
K02976	1.2998732e+10	1.6765908e+10	8.1845732e+09	9.762612e+09
K02978	3.8458089e+09	6.7361905e+09	2.5345894e+09	5.0646039e+09
K02977	NaN	NaN	NaN	NaN
K02979	3.3213309e+10	3.9751789e+10	1.8963461e+10	2.4803647e+10
K02980	1.7260239e+09	1.6033052e+09	9.0981578e+08	8.9101792e+08
K02983	NaN	NaN	NaN	NaN
K02998	3.2346045e+11	4.3191947e+11	2.0903175e+11	3.3423482e+11
K02931	NaN	NaN	NaN	NaN
K02933	NaN	NaN	NaN	NaN
K02871	1974942.2	1974942.2	1974942.2	1974942.2
K02881	NaN	NaN	NaN	NaN
K02890	NaN	NaN	NaN	NaN
K02897	NaN	NaN	NaN	NaN
K02904	NaN	NaN	NaN	NaN
K02909	NaN	NaN	NaN	NaN
K02919	NaN	NaN	NaN	NaN
K02925	7.2944511e+10	1.2563813e+11	3.2389475e+10	8.9143838e+10
K02930	1.8119668e+11	3.0139567e+11	8.4781021e+10	2.1994201e+11
K02932	1.013898e+11	1.5633329e+11	6.9664718e+10	1.1854543e+11
K02934	1.2988115e+11	1.687163e+11	7.516203e+10	1.3132813e+11
K02937	1.3086711e+11	1.5426545e+11	7.2218344e+10	1.0052033e+11
K02936	1.2443813e+11	1.9479183e+11	7.0564448e+10	1.6086644e+11
K02938	5.620214e+10	8.9556348e+10	4.2560161e+10	7.8354363e+10
K02940	3.6570528e+10	3.0460815e+10	2.2575087e+10	1.90935e+10
K02866	1.8470254e+10	2.5154136e+10	6.2158737e+09	2.008654e+10
K02865	1.1518796e+10	1.8302692e+10	8.4799067e+09	9.1691525e+09
K02868	2.708985e+10	3.0735424e+10	1.3946977e+10	1.4408324e+10
K02870	2.3871672e+10	4.2126901e+10	1.3176994e+10	3.5225771e+10
K02873	1.1166899e+11	1.1029997e+11	9.0563407e+10	6.7893255e+10
K02872	5.0087913e+10	7.6083949e+10	3.2217955e+10	5.7195236e+10
K02875	2.9148524e+10	4.2687429e+10	2.1292846e+10	3.6419946e+10
K02877	4.095004e+10	5.4303162e+10	1.8568205e+10	3.6830331e+10
K02880	4.2096983e+10	5.0607732e+10	2.2914186e+10	4.0807123e+10
K02883	5.0484195e+10	6.1445095e+10	2.6518477e+10	3.2554294e+10
K02882	6.552225e+09	7.9881757e+09	3.6164865e+09	4.8999898e+09
K02885	6.8994148e+10	9.3663767e+10	5.2946264e+10	7.023348e+10
K02889	4.7581419e+10	5.0677269e+10	4.6667467e+10	3.7279362e+10
K02891	3.0957654e+10	2.7800336e+10	2.4497147e+10	1.7231414e+10
K02894	2.1278075e+10	2.0929612e+10	1.5606662e+10	1.2969403e+10
K02893	8.2215916e+10	9.4934051e+10	6.1016605e+10	7.4745767e+10
K02896	3.0173808e+10	3.8279572e+10	1.8425193e+10	2.4578507e+10
K02898	1.2232042e+10	1.1507112e+10	8.9173608e+09	5.3991692e+09
K02901	3.0905678e+10	3.3483097e+10	2.0888689e+10	2.4368407e+10
K02900	3.3253293e+10	3.9400561e+10	1.8393453e+10	2.7653507e+10
K02903	4.7790949e+10	5.7505017e+10	3.3493439e+10	3.586455e+10
K02905	3.2202629e+10	3.870161e+10	2.5961899e+10	2.9907057e+10
K02908	1.1064532e+10	1.8118127e+10	4.9196893e+09	1.6969677e+10
K02910	3.5295627e+10	3.805909e+10	2.7686964e+10	2.5265116e+10
K02912	3.2549145e+10	3.9122469e+10	2.7337605e+10	2.9655237e+10
K02915	2.3843307e+10	3.6949131e+10	1.4632678e+10	2.0041824e+10
K02918	2.7713171e+10	3.0640054e+10	2.07853e+10	2.2590615e+10
K02917	7.714368e+09	7.9148137e+09	4.436761e+09	4.8739344e+09
K02920	4.7283886e+09	5.6285904e+09	4.1519028e+09	2.4523802e+09
K02922	NaN	NaN	NaN	NaN
K02921	1.4425888e+09	1.465299e+09	8.1844031e+08	1.1751534e+09
K02923	2.7905296e+09	3.3826143e+09	1.8613639e+09	2.2547698e+09
K02924	2.2762237e+09	2.3021139e+09	2.4093308e+09	1.2265895e+09
K02927	NaN	NaN	NaN	NaN
K02929	5.8042123e+09	6.7398139e+09	2.4663577e+09	4.8167902e+09
K02941	1.3394621e+11	2.2179572e+11	6.969031e+10	1.6463145e+11
K02942	1.5212231e+11	1.6358073e+11	1.2029703e+11	8.186059e+10
K02943	1.432439e+11	1.3238076e+11	1.2280855e+11	4.7312097e+10
K02358	3.9153701e+10	5.7053944e+10	2.6946876e+10	3.9489744e+10
K03236	7.4482128e+09	7.3977009e+09	4.6640464e+09	5.0586841e+09
K03113	2.3667857e+10	3.3522977e+10	1.768441e+10	3.3015833e+10
K03237	3.5900635e+10	4.2139689e+10	2.0219917e+10	2.9337116e+10
K03238	2.6264233e+10	3.2842577e+10	1.9536167e+10	2.7088442e+10
K03242	2.4970185e+10	3.0215766e+10	1.053735e+10	2.0720834e+10
K03239	8.4028625e+08	1.3180921e+09	8.5375414e+08	1974942.2
K03754	1.4824416e+09	2.9647689e+09	1.0483674e+09	4.1126674e+09
K03241	2.3220573e+09	2.5687735e+09	4.4214642e+08	1.7052652e+09
K03680	NaN	NaN	NaN	NaN
K03240	NaN	NaN	NaN	NaN
K03262	4.0066823e+09	9.0575835e+09	8.2713408e+09	3.3694689e+09
K03263	9.4356067e+10	1.1056407e+11	7.1380303e+10	8.6886741e+10
K03243	1.7871432e+10	1.5234551e+10	1.4238671e+10	1.2651378e+10
K03264	2.1227679e+10	2.6878266e+10	1.1722148e+10	1.7540951e+10
K03254	9.3036563e+10	1.2003258e+11	4.5334864e+10	5.7347911e+10
K03253	2.8016365e+10	3.4912138e+10	9.3945984e+09	2.7069409e+10
K03252	5.9115785e+09	2.5682109e+09	2.5993992e+09	2.2005104e+09
K03251	3.7282271e+09	2.715563e+09	7.4506135e+09	2.3504862e+09
K03250	5.3547838e+09	6.1735954e+09	9.8098888e+08	5.2847991e+09
K03249	6.7211353e+10	7.8219696e+10	3.9794745e+10	5.7825179e+10
K03248	5.6956534e+10	6.0127898e+10	4.2119757e+10	4.6729616e+10
K03247	3.0654296e+10	3.587434e+10	1.7584334e+10	1.51238e+10
K03246	3.1180336e+10	4.731338e+10	2.00581e+10	3.7708635e+10
K03245	2.4287669e+10	2.4166334e+10	1.8258222e+10	1.6414221e+10
K03258	1.1309634e+11	1.210371e+11	9.2253626e+10	7.9274432e+10
K03260	2.3466935e+10	2.9414131e+10	8.5000042e+09	6.5797526e+08
K02520	1.8613461e+08	3.5652633e+08	1.8613461e+08	2.6361022e+08
K03231	1.6808829e+12	3.1230451e+12	8.1335206e+11	2.4358949e+12
K03232	1.2409391e+12	1.1693426e+12	9.7702372e+11	8.9423977e+11
K03233	1.6381617e+11	1.8027928e+11	7.3128665e+10	8.7465073e+10
K03234	3.1389742e+11	3.7096449e+11	4.6113299e+10	1.0493346e+11
K02357	1974942.2	1974942.2	1974942.2	1974942.2
K02355	4.9128376e+09	3.5986197e+09	6.2326092e+09	3.0435103e+09
K03265	5.64372e+10	6.0785101e+10	3.8583353e+10	4.1390754e+10
K03267	2.1315107e+10	2.91483e+10	1.145202e+10	1.6695994e+10
K01870	8.8805154e+09	1.3814806e+10	1974942.2	1974942.2
K02434	NaN	NaN	NaN	NaN
K02435	NaN	NaN	NaN	NaN
K02433	NaN	NaN	NaN	NaN
K01885	NaN	NaN	NaN	NaN
K14163	2.1560225e+10	1.6562339e+10	6.8211243e+09	4.4115009e+09
K09698	NaN	NaN	NaN	NaN
K01886	4.1636271e+09	7.581989e+09	2.2652802e+09	7.711062e+09
K01872	1.3583331e+10	1.8397486e+10	5.8965596e+09	6.0200416e+09
K01876	6.0993338e+09	7.8871939e+09	2.1087147e+09	4.0955123e+09
K01893	1.1389784e+10	1.3722141e+10	5.3757619e+09	6.4949086e+09
K01880	7.3044041e+10	9.5472703e+10	2.8835172e+10	3.9809689e+10
K01868	1974942.2	1974942.2	1974942.2	1974942.2
K01875	1.3551533e+10	1.4226679e+10	9.7337541e+09	8.2995108e+09
K03341	NaN	NaN	NaN	NaN
K01883	1.2987377e+10	1.5587898e+10	3.3843102e+09	7.9069528e+09
K01874	1.1572116e+10	8.4190017e+09	6.4234859e+08	1.0794589e+09
K00604	NaN	NaN	NaN	NaN
K01873	7.1797814e+09	8.4846073e+09	1974942.2	1974942.2
K01869	NaN	NaN	NaN	NaN
K04567	6.3731368e+09	7.9433632e+09	1.2675514e+09	3.0783649e+09
K01887	1974942.2	1974942.2	1974942.2	1974942.2
K01881	NaN	NaN	NaN	NaN
K01892	2.7799892e+10	3.4942378e+10	1.648588e+10	1.750626e+10
K01889	1.513361e+10	1.6377624e+10	7.7231098e+09	1.9303919e+10
K01890	8.7229398e+09	8.2933114e+09	1.7607023e+09	2.8744999e+09
K01866	9.7761064e+10	1.0490461e+11	7.6508135e+10	7.322738e+10
K01867	7.1613586e+10	1.0581471e+11	3.7556492e+10	7.7894004e+10
K13126	1.1321593e+11	1.7033297e+11	6.8271788e+10	1.1215595e+11
K15516	NaN	NaN	NaN	NaN
K12172	NaN	NaN	NaN	NaN
K03259	1.0159289e+10	9.2009274e+09	5.0297096e+09	4.0826195e+09
K03257	3.3151425e+11	4.7151458e+11	1.8693181e+11	2.9077071e+11
K01164	NaN	NaN	NaN	NaN
K14522	NaN	NaN	NaN	NaN
K03538	NaN	NaN	NaN	NaN
K03537	NaN	NaN	NaN	NaN
K14524	NaN	NaN	NaN	NaN
K14526	NaN	NaN	NaN	NaN
K14528	NaN	NaN	NaN	NaN
K03539	NaN	NaN	NaN	NaN
K14530	NaN	NaN	NaN	NaN
K00784	NaN	NaN	NaN	NaN
K00974	2.4275947e+09	3.0305322e+09	1.5585867e+09	2.6674447e+09
K07936	6.6232564e+10	9.4915702e+10	3.3526344e+10	5.4575567e+10
K14288	NaN	NaN	NaN	NaN
K14289	NaN	NaN	NaN	NaN
K14290	NaN	NaN	NaN	NaN
K14291	5.7550087e+08	6.4516054e+08	5.1318429e+08	5.5636708e+08
K05019	4.4772469e+09	4.5022956e+09	3.8517136e+09	2.7835586e+09
K02516	NaN	NaN	NaN	NaN
K14292	NaN	NaN	NaN	NaN
K14293	4.3009009e+10	5.0077656e+10	1.7324769e+10	2.5049054e+10
K13151	NaN	NaN	NaN	NaN
K07562	NaN	NaN	NaN	NaN
K14294	7.5880362e+09	6.9884984e+09	6.6937398e+09	5.4513082e+09
K09291	2.7044693e+11	3.5924108e+11	2.2479265e+11	2.458852e+11
K14295	1974942.2	1974942.2	1974942.2	1974942.2
K14296	NaN	NaN	NaN	NaN
K14297	1974942.2	1974942.2	1974942.2	1974942.2
