17196	mmu_17196		103142.86
69187	NotMapped		1464.7143
12954	K09541		6887755.1
11354	NotMapped		2873.1429
14077	K08752		2857142.9
12961	mmu_12961		374285.71
12889	NotMapped		8828
12955	K09542		6400000
380684	K04574		1179.8165
226180	K07608		9238.4921
18039	K04572		92633.517
17189	mmu_17189		3657142.9
12960	NotMapped		21960
110187	NotMapped		17719.429
20617	K04528		126428.57
18823	NotMapped		6138
12962	mmu_12962		30285.714
19194	NotMapped		4174.5714
G3UXD0	NotMapped		5087.4286
12373	NotMapped		124857.14
21956	K12045		870431.89
70350	NotMapped		10874.857
22349	K05761		76178.96
218038	K12562		58309.038
21954	K12044		356398.1
66473	K01310		39163.498
11723	NotMapped		548571.43
21924	K05865		369565.22
68416	NotMapped		3681.1429
16204	K08755		167187.5
19660	NotMapped		89428.571
22003	K10373		397887.32
22072	K01312		44308.943
282619	NotMapped		14134.571
12716	K00933		454545.45
19293	mmu_19293		100571.43
17906	K10351		746987.95
12409	K00081		54918033
227120	NotMapped		50857.143
56727	K00469		5681.0526
109901	K01326		20089.474
12613	K12298		37395.659
12307	NotMapped		18686.571
12308	NotMapped		28857.143
12970	mmu_12970		23707.714
22227	K08769		10597.068
59006	NotMapped		25896.571
109697	K08779		37708.831
55948	K06644		443548.39
215384	NotMapped		19766.857
13706	K01346		11256.089
26950	NotMapped		147428.57
16618	K01325		617.43295
18378	NotMapped		8449.1429
12797	NotMapped		1428571.4
12957	mmu_12957		73142.857
22287	NotMapped		11742857
16612	K01325		43295.019
14120	K03841		19495.28
17897	K12749		471078.43
22074	NotMapped		32857.143
29818	K09546		69230.769
107753	K10090		139230.77
140781	K17751		3951.1111
22004	K10374		4859154.9
12652	mmu_12652		5441.4286
69117	NotMapped		107714.29
21345	NotMapped		6400000
76703	K01291		23191.714
18040	K04573		50000
17888	K17751		939112.49
14580	K05640		20305.116
233335	K10376		130685.46
18946	K14074		123890.06
20259	K05768		7391.8881
17901	K05738		247872.34
23795	NotMapped		33714.286
56370	NotMapped		190000
11847	K01476		38135.593
17287	K01395		2972.8246
