Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.821	0.821	0.821	0.8332	0.8332	0.8332	0.8218	0.8218	0.8218	0.8222	0.8222	0.8222	0.8104	0.8104	0.8104	0.8229	0.8229	0.8229	0.8214	0.8214	0.8214	0.8259	0.8259	0.8259	0.8153	0.8153	0.8153	0.8049	0.8049	0.8049	0.8046	0.8046	0.8046
Genetic Information Processing	TOTAL	0.3285	0.351	0.3551	0.3102	0.3338	0.3424	0.3081	0.3288	0.3341	0.3324	0.3504	0.3613	0.2661	0.2859	0.2889	0.2433	0.2647	0.2704	0.3686	0.3852	0.3902	0.2896	0.3115	0.3205	0.3568	0.3789	0.3848	0.2854	0.3031	0.3129	0.3414	0.3592	0.3672
-Transcription	TOTAL	0.03885	0.04258	0.04527	0.04133	0.04433	0.04669	0.0317	0.0343	0.03687	0.03489	0.0376	0.04015	0.03184	0.03371	0.03622	0.02373	0.02527	0.02723	0.04286	0.04663	0.05024	0.02447	0.02699	0.02834	0.04121	0.04454	0.04696	0.03405	0.03558	0.03819	0.03198	0.03438	0.03657
-Translation	TOTAL	0.1449	0.147	0.152	0.106	0.1078	0.1127	0.13	0.1326	0.1356	0.1425	0.1455	0.1482	0.1188	0.1206	0.1226	0.1018	0.1034	0.1045	0.1486	0.1515	0.1546	0.1194	0.1207	0.1244	0.1514	0.1556	0.1582	0.1122	0.1155	0.1201	0.1506	0.1542	0.1586
-Folding, Sorting and Degradation	TOTAL	0.09351	0.09816	0.1108	0.08678	0.09447	0.1045	0.09741	0.1014	0.1153	0.09975	0.1032	0.1142	0.07502	0.07889	0.08923	0.08412	0.09181	0.1019	0.1115	0.1163	0.1271	0.1044	0.1137	0.1267	0.1055	0.1136	0.1258	0.08387	0.0912	0.1053	0.0978	0.1032	0.1177
-DNA Maintenance	TOTAL	0.04814	0.05631	0.06122	0.06979	0.08309	0.08787	0.04608	0.05422	0.059	0.04854	0.06027	0.06216	0.03837	0.04766	0.05046	0.03236	0.0406	0.04256	0.05761	0.0658	0.07165	0.03819	0.04651	0.05108	0.05518	0.06238	0.06795	0.0469	0.05744	0.06176	0.05337	0.05963	0.06766
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.01909	0.02299	0.02934	0.01974	0.02406	0.02772	0.01996	0.02456	0.03066	0.02076	0.02469	0.03022	0.01977	0.02469	0.03034	0.0298	0.03523	0.04044	0.01411	0.01766	0.02266	0.01918	0.02459	0.0299	0.01686	0.02089	0.02667	0.0194	0.02451	0.03016	0.01693	0.02183	0.02628
-Signal Transduction	TOTAL	0.005011	0.007311	0.01021	0.008202	0.00903	0.01218	0.005156	0.007709	0.01051	0.005633	0.01049	0.01277	0.004283	0.007726	0.009328	0.005621	0.009919	0.0125	0.0055	0.006388	0.00868	0.003999	0.006095	0.008178	0.006798	0.007998	0.01092	0.004092	0.008113	0.01112	0.005431	0.007554	0.01085
