Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
-Translation	MAPPED	0.2636	0.1826	0.2497	0.2557	0.2333	0.1967	0.275	0.2166	0.2706	0.2079	0.262
-Folding, Sorting and Degradation	MAPPED	0.1652	0.1541	0.1829	0.1839	0.1437	0.1746	0.1778	0.1957	0.1905	0.1701	0.1799
-DNA Maintenance	MAPPED	0.1281	0.1869	0.1119	0.1313	0.1124	0.09843	0.1205	0.1142	0.1248	0.1287	0.1452
Environmental Information Processing	MAPPED	0.05582	0.06066	0.06025	0.05551	0.0594	0.08672	0.04185	0.05495	0.04816	0.05676	0.04708
-Signal Transduction	MAPPED	0.02374	0.03249	0.02356	0.02253	0.02481	0.03024	0.02303	0.02329	0.02408	0.02829	0.02114
-Signaling Molecules and Interaction	MAPPED	0.03208	0.02817	0.03669	0.03298	0.03459	0.05648	0.01883	0.03166	0.02409	0.02848	0.02594
Cellular Processes	MAPPED	0.1318	0.1488	0.1504	0.1216	0.1525	0.1898	0.1114	0.1131	0.1059	0.09983	0.09719
-Hemoglobin	MAPPED	5.195e-06	9.238e-06	8.824e-06	4.611e-06	3.948e-06	2.084e-06	3.359e-06	5.249e-06	0.0001828	5.71e-07	1.244e-05
-Vesicular Transport	MAPPED	0.02229	0.02956	0.02558	0.02164	0.0242	0.03788	0.02636	0.03643	0.0225	0.0318	0.02062
-Cytoskeleton	MAPPED	0.09055	0.1029	0.1007	0.08308	0.1044	0.1277	0.06768	0.06126	0.06479	0.05299	0.06015
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.01379	0.0134	0.01665	0.01224	0.01423	0.01537	0.01419	0.01095	0.01413	0.01209	0.01249
-Cell Communication	MAPPED	0.005196	0.002938	0.007473	0.004652	0.009613	0.008913	0.003147	0.004486	0.004263	0.002952	0.003918
Metabolism	MAPPED	0.1802	0.1792	0.1702	0.1852	0.2321	0.194	0.1899	0.2442	0.1778	0.2735	0.2001
-Membrane Transport	MAPPED	0.001562	0.000569	0.0008076	0.0006138	0.001029	0.001416	0.0005094	0.001611	0.00111	0.0009608	0.0007689
-Central Carbon Metabolism	MAPPED	0.07103	0.0758	0.07271	0.07513	0.09544	0.08689	0.07294	0.07685	0.06469	0.09324	0.07478
-Energy Metabolism	MAPPED	0.03166	0.0287	0.02478	0.03136	0.03224	0.02762	0.03455	0.04259	0.0344	0.06545	0.03568
-Biosynthesis	MAPPED	0.0545	0.05452	0.05228	0.05873	0.08297	0.05804	0.05927	0.08791	0.05656	0.08566	0.06579
-Other Enzymes	MAPPED	0.02145	0.01963	0.01965	0.01936	0.02042	0.01999	0.02264	0.03528	0.02104	0.0282	0.02308
Organismal Systems	MAPPED	0.009211	0.01713	0.0138	0.006549	0.01212	0.01498	0.01048	0.01426	0.008047	0.004831	0.009789
-Immune System	MAPPED	0.00173	0.00254	0.001218	0.001458	0.001618	0.004056	0.001253	0.002343	0.001227	0.0008313	0.001337
-Endocrine System	MAPPED	0.001746	0.004451	0.004824	0.001808	0.002862	0.003445	0.004619	0.006876	0.002002	0.001736	0.004282
-Circulatory System	MAPPED	0.002932	0.002254	0.004749	0.001227	0.004513	0.003678	0.001459	0.0009589	0.001591	0.0004312	0.001407
-Digestive System	MAPPED	0.0009893	0.0004009	0.0007385	0.0007303	0.001162	0.0007165	0.00134	0.002428	0.00183	0.0006036	0.0006381
-Excretory System	MAPPED	0.001235	0.006559	0.001488	0.0009249	0.0007883	0.001438	0.001235	0.0007382	0.001242	0.0009571	0.001475
-Nervous System	MAPPED	2.025e-05	1.899e-05	3.532e-05	9.345e-05	2.157e-05	2.503e-05	6.009e-05	1.971e-05	4.02e-05	1.961e-05	1.402e-05
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0.0005588	0.0009089	0.0007456	0.0003082	0.001158	0.001618	0.0005156	0.0008968	0.0001146	0.0002521	0.0006367
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	MAPPED	0.005408	0.005421	0.005661	0.004998	0.004381	0.005032	0.006228	0.006288	0.009006	0.006693	0.005976
-Cancers	MAPPED	0.00213	0.002224	0.002254	0.002128	0.001376	0.001421	0.001862	0.002116	0.002428	0.00224	0.001831
-Immune System Diseases	MAPPED	0.0006252	0.0008812	0.001067	0.0006971	0.0005684	0.000705	0.001529	0.001295	0.002687	0.001446	0.001472
-Neurodegenerative Diseases	MAPPED	0.001502	0.00146	0.001154	0.0009763	0.001254	0.0008956	0.001559	0.001606	0.002372	0.001466	0.001575
