Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.821	0.8332	0.8218	0.8222	0.8104	0.8229	0.8214	0.8259	0.8153	0.8049	0.8046
Genetic Information Processing	TOTAL	0.3285	0.3102	0.3081	0.3324	0.2661	0.2433	0.3686	0.2896	0.3568	0.2854	0.3414
-Transcription	TOTAL	0.03885	0.04133	0.0317	0.03489	0.03184	0.02373	0.04286	0.02447	0.04121	0.03405	0.03198
-Translation	TOTAL	0.1449	0.106	0.13	0.1425	0.1188	0.1018	0.1486	0.1194	0.1514	0.1122	0.1506
-Folding, Sorting and Degradation	TOTAL	0.09351	0.08678	0.09741	0.09975	0.07502	0.08412	0.1115	0.1044	0.1055	0.08387	0.0978
-DNA Maintenance	TOTAL	0.04814	0.06979	0.04608	0.04854	0.03837	0.03236	0.05761	0.03819	0.05518	0.0469	0.05337
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.01909	0.01974	0.01996	0.02076	0.01977	0.0298	0.01411	0.01918	0.01686	0.0194	0.01693
-Signal Transduction	TOTAL	0.005011	0.008202	0.005156	0.005633	0.004283	0.005621	0.0055	0.003999	0.006798	0.004092	0.005431
-Signaling Molecules and Interaction	TOTAL	0.01233	0.01096	0.01389	0.01234	0.01302	0.02137	0.007723	0.01308	0.009681	0.01226	0.01016
Cellular Processes	TOTAL	0.1225	0.1247	0.1487	0.1081	0.1502	0.1776	0.09307	0.09001	0.08507	0.07246	0.07886
-Hemoglobin	TOTAL	7.817e-07	2.087e-06	2.613e-06	3.821e-11	6.035e-07	3.822e-07	2.852e-11	1.618e-06	3.813e-05	3.467e-11	3.94e-06
-Vesicular Transport	TOTAL	0.009727	0.01512	0.01133	0.01048	0.0104	0.01749	0.01044	0.01533	0.008929	0.01283	0.009548
-Cytoskeleton	TOTAL	0.08776	0.08535	0.1078	0.07626	0.1085	0.1307	0.06032	0.05759	0.05523	0.0452	0.04997
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.007685	0.008779	0.007742	0.007213	0.006166	0.004629	0.008991	0.003292	0.008308	0.005131	0.005885
-Cell Communication	TOTAL	0.009725	0.006861	0.0145	0.007953	0.01753	0.0163	0.00641	0.008245	0.008204	0.004745	0.006962
Metabolism	TOTAL	0.1774	0.1917	0.1664	0.1862	0.2076	0.1733	0.1869	0.2365	0.1852	0.2536	0.1999
-Membrane Transport	TOTAL	0.001963	0.0008196	0.0009558	0.001108	0.00127	0.001258	0.001048	0.001512	0.001336	0.001362	0.0006935
-Central Carbon Metabolism	TOTAL	0.02269	0.02744	0.02208	0.02321	0.02621	0.02697	0.02617	0.0289	0.02375	0.03334	0.02641
-Energy Metabolism	TOTAL	0.007819	0.009778	0.006941	0.007181	0.006335	0.009395	0.007841	0.007871	0.006043	0.01141	0.008293
-Biosynthesis	TOTAL	0.04021	0.04032	0.03715	0.0378	0.03592	0.038	0.03878	0.0623	0.04128	0.06291	0.04873
-Other Enzymes	TOTAL	0.09018	0.08875	0.08599	0.09106	0.09673	0.08857	0.1011	0.1208	0.099	0.1087	0.0969
Organismal Systems	TOTAL	0.02864	0.03442	0.02915	0.02797	0.03101	0.0373	0.02535	0.03911	0.02361	0.02806	0.02478
-Immune System	TOTAL	0.005158	0.006919	0.004902	0.005076	0.004423	0.008098	0.004204	0.008072	0.004123	0.004506	0.004727
-Endocrine System	TOTAL	0.002575	0.003058	0.00284	0.002559	0.002549	0.00343	0.002939	0.005206	0.001958	0.003175	0.003336
-Circulatory System	TOTAL	0.00343	0.002626	0.004838	0.00174	0.004586	0.004872	0.00205	0.001616	0.00177	0.001383	0.002216
-Digestive System	TOTAL	0.003592	0.003069	0.004583	0.002928	0.004483	0.004239	0.003506	0.004988	0.00454	0.004191	0.002932
-Excretory System	TOTAL	0.00168	0.00246	0.002715	0.001454	0.00176	0.002167	0.001373	0.001681	0.001865	0.001433	0.001475
-Nervous System	TOTAL	0.001676	0.001596	0.001265	0.001508	0.001178	0.001672	0.001602	0.001161	0.001536	0.001531	0.001461
-Sensory System	TOTAL	4.554e-05	0.0001022	7.761e-05	4.811e-05	6.517e-05	6.031e-05	6.89e-05	5.935e-05	3.559e-05	4.559e-05	4.359e-05
-Development	TOTAL	0.0007843	0.001443	0.001045	0.0005752	0.001475	0.002055	0.000818	0.001288	0.0002392	0.0004718	0.0007835
-Environmental Adaptation	TOTAL	6.658e-05	6.233e-05	9.659e-05	0.0001108	5.791e-05	6.971e-05	5.974e-05	4.195e-05	9.534e-05	6.55e-05	8.107e-05
Human Diseases	TOTAL	0.05057	0.06382	0.04757	0.05593	0.05194	0.05599	0.05038	0.05599	0.05396	0.06563	0.05933
-Cancers	TOTAL	0.004452	0.005715	0.005047	0.004526	0.004161	0.004165	0.005492	0.004595	0.006684	0.005756	0.003931
-Immune System Diseases	TOTAL	0.001361	0.002778	0.001455	0.001204	0.0009156	0.00126	0.002157	0.002179	0.003313	0.001843	0.002084
-Neurodegenerative Diseases	TOTAL	0.01943	0.01985	0.01638	0.01958	0.02033	0.02032	0.02019	0.02265	0.01903	0.03031	0.02241
-Cardiovascular Diseases	TOTAL	0.0009482	0.0006104	0.0007688	0.0006137	0.001064	0.001753	0.00101	0.0004628	0.0004462	0.0006583	0.0006643
-Metabolic Diseases	TOTAL	2.398e-06	6.024e-07	1.747e-07	3.268e-07	1.073e-05	4.552e-06	5.023e-06	7.383e-06	4.455e-07	6.935e-06	4.235e-06
-Infectious Diseases	TOTAL	0.009513	0.01331	0.01144	0.009732	0.01074	0.01474	0.009415	0.01062	0.01	0.01036	0.008388
Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
-Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
TOTAL	MAPPED	1.218	1.2	1.217	1.216	1.234	1.215	1.217	1.211	1.227	1.242	1.243
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4001	0.3722	0.3749	0.4043	0.3284	0.2957	0.4488	0.3506	0.4377	0.3546	0.4243
-Transcription	MAPPED	0.04732	0.04961	0.03857	0.04244	0.03929	0.02883	0.05218	0.02963	0.05054	0.04231	0.03975
-Translation	MAPPED	0.1765	0.1272	0.1582	0.1733	0.1466	0.1237	0.181	0.1445	0.1857	0.1394	0.1872
-Folding, Sorting and Degradation	MAPPED	0.1139	0.1041	0.1185	0.1213	0.09257	0.1022	0.1358	0.1264	0.1294	0.1042	0.1215
-DNA Maintenance	MAPPED	0.05864	0.08376	0.05607	0.05904	0.04735	0.03933	0.07014	0.04624	0.06769	0.05827	0.06633
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.02325	0.0237	0.02428	0.02526	0.02439	0.03621	0.01718	0.02322	0.02067	0.02411	0.02104
-Signal Transduction	MAPPED	0.006104	0.009843	0.006274	0.006852	0.005285	0.006831	0.006696	0.004841	0.008338	0.005084	0.00675
-Signaling Molecules and Interaction	MAPPED	0.01502	0.01315	0.0169	0.01501	0.01606	0.02597	0.009403	0.01584	0.01187	0.01523	0.01263
Cellular Processes	MAPPED	0.1492	0.1496	0.1809	0.1315	0.1853	0.2158	0.1133	0.109	0.1043	0.09002	0.09801
-Hemoglobin	MAPPED	9.522e-07	2.504e-06	3.18e-06	4.647e-11	7.447e-07	4.645e-07	3.472e-11	1.96e-06	4.677e-05	4.308e-11	4.897e-06
-Vesicular Transport	MAPPED	0.01185	0.01815	0.01378	0.01275	0.01283	0.02125	0.01271	0.01856	0.01095	0.01594	0.01187
-Cytoskeleton	MAPPED	0.1069	0.1024	0.1312	0.09275	0.1339	0.1588	0.07343	0.06973	0.06774	0.05615	0.0621
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.00936	0.01054	0.00942	0.008774	0.007609	0.005625	0.01095	0.003985	0.01019	0.006375	0.007314
-Cell Communication	MAPPED	0.01185	0.008234	0.01764	0.009674	0.02163	0.01981	0.007803	0.009983	0.01006	0.005895	0.008653
Metabolism	MAPPED	0.216	0.2301	0.2025	0.2265	0.2562	0.2106	0.2275	0.2863	0.2271	0.3151	0.2484
-Membrane Transport	MAPPED	0.002392	0.0009836	0.001163	0.001348	0.001567	0.001528	0.001276	0.00183	0.001639	0.001693	0.0008619
-Central Carbon Metabolism	MAPPED	0.02764	0.03293	0.02686	0.02823	0.03234	0.03277	0.03186	0.03499	0.02913	0.04142	0.03282
-Energy Metabolism	MAPPED	0.009524	0.01174	0.008445	0.008735	0.007817	0.01142	0.009546	0.00953	0.007412	0.01417	0.01031
-Biosynthesis	MAPPED	0.04897	0.04839	0.0452	0.04598	0.04432	0.04618	0.04721	0.07543	0.05064	0.07816	0.06056
-Other Enzymes	MAPPED	0.1099	0.1065	0.1046	0.1108	0.1194	0.1076	0.1231	0.1462	0.1214	0.1351	0.1204
Organismal Systems	MAPPED	0.03489	0.04132	0.03547	0.03402	0.03826	0.04533	0.03086	0.04735	0.02896	0.03486	0.0308
-Immune System	MAPPED	0.006283	0.008304	0.005964	0.006174	0.005458	0.009841	0.005118	0.009773	0.005057	0.005598	0.005875
-Endocrine System	MAPPED	0.003136	0.003671	0.003455	0.003113	0.003146	0.004168	0.003578	0.006303	0.002401	0.003944	0.004146
-Circulatory System	MAPPED	0.004178	0.003152	0.005886	0.002117	0.005659	0.00592	0.002496	0.001957	0.002171	0.001718	0.002754
-Digestive System	MAPPED	0.004375	0.003683	0.005576	0.003561	0.005532	0.005151	0.004268	0.00604	0.005569	0.005208	0.003644
-Excretory System	MAPPED	0.002046	0.002953	0.003304	0.001769	0.002172	0.002633	0.001672	0.002035	0.002287	0.00178	0.001833
-Nervous System	MAPPED	0.002042	0.001916	0.001539	0.001834	0.001453	0.002031	0.00195	0.001406	0.001884	0.001903	0.001816
-Sensory System	MAPPED	5.547e-05	0.0001227	9.444e-05	5.851e-05	8.041e-05	7.329e-05	8.388e-05	7.187e-05	4.366e-05	5.665e-05	5.418e-05
-Development	MAPPED	0.0009554	0.001732	0.001272	0.0006996	0.00182	0.002498	0.0009959	0.001559	0.0002934	0.0005862	0.0009737
-Environmental Adaptation	MAPPED	8.11e-05	7.481e-05	0.0001175	0.0001347	7.145e-05	8.471e-05	7.273e-05	5.079e-05	0.0001169	8.138e-05	0.0001008
Human Diseases	MAPPED	0.0616	0.0766	0.05789	0.06803	0.06409	0.06804	0.06133	0.0678	0.06619	0.08154	0.07374
-Cancers	MAPPED	0.005423	0.006859	0.006141	0.005505	0.005135	0.005061	0.006687	0.005564	0.008199	0.007152	0.004885
-Immune System Diseases	MAPPED	0.001658	0.003334	0.001771	0.001465	0.00113	0.001531	0.002626	0.002639	0.004063	0.00229	0.00259
-Neurodegenerative Diseases	MAPPED	0.02367	0.02383	0.01992	0.02381	0.02508	0.02469	0.02458	0.02742	0.02334	0.03766	0.02785
-Cardiovascular Diseases	MAPPED	0.001155	0.0007326	0.0009355	0.0007465	0.001313	0.002131	0.00123	0.0005603	0.0005473	0.0008179	0.0008256
-Metabolic Diseases	MAPPED	2.921e-06	7.23e-07	2.125e-07	3.975e-07	1.324e-05	5.532e-06	6.116e-06	8.94e-06	5.464e-07	8.616e-06	5.264e-06
-Infectious Diseases	MAPPED	0.01159	0.01598	0.01392	0.01184	0.01325	0.01791	0.01146	0.01286	0.01227	0.01287	0.01043
Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
-Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
TOTAL	Genetic Information Processing	2.745	2.912	2.923	2.72	3.4	3.695	2.5	3.04	2.499	3.163	2.677
MAPPED	Genetic Information Processing	2.253	2.427	2.402	2.237	2.755	3.04	2.054	2.511	2.038	2.546	2.154
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1104	0.1207	0.0962	0.09852	0.1102	0.08956	0.1104	0.07676	0.1088	0.1088	0.08713
-Translation	Genetic Information Processing	0.4081	0.3169	0.3891	0.4026	0.4137	0.3767	0.3821	0.3756	0.3953	0.3623	0.4104
-Folding, Sorting and Degradation	Genetic Information Processing	0.266	0.2688	0.3069	0.2888	0.2706	0.338	0.2966	0.3409	0.2842	0.2898	0.2812
-DNA Maintenance	Genetic Information Processing	0.1449	0.225	0.1496	0.146	0.1442	0.133	0.1563	0.1285	0.15	0.1641	0.149
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.05375	0.05942	0.05973	0.05895	0.06885	0.1111	0.03627	0.05983	0.04405	0.06212	0.04638
-Signal Transduction	Genetic Information Processing	0.01475	0.02395	0.01621	0.01652	0.01558	0.02235	0.01428	0.01349	0.01843	0.01422	0.01584
-Signaling Molecules and Interaction	Genetic Information Processing	0.03473	0.03298	0.04157	0.03504	0.04533	0.08046	0.01985	0.04082	0.0253	0.03924	0.02785
Cellular Processes	Genetic Information Processing	0.3463	0.3704	0.453	0.3009	0.522	0.6699	0.2398	0.2919	0.2245	0.2408	0.2148
-Hemoglobin	Genetic Information Processing	2.21e-06	6.161e-06	7.734e-06	1.057e-10	2.097e-06	1.424e-06	7.309e-11	5.013e-06	9.91e-05	1.12e-10	1.073e-05
-Vesicular Transport	Genetic Information Processing	0.02765	0.04473	0.03437	0.02901	0.03614	0.06597	0.02691	0.04973	0.02357	0.04265	0.02601
-Cytoskeleton	Genetic Information Processing	0.2544	0.252	0.3289	0.2208	0.3847	0.493	0.1564	0.1868	0.1418	0.1502	0.1409
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.02185	0.02597	0.02349	0.01996	0.02135	0.01747	0.02317	0.01033	0.02193	0.0164	0.01603
-Cell Communication	Genetic Information Processing	0.0282	0.02003	0.04403	0.02259	0.06131	0.06074	0.01667	0.02693	0.02149	0.01568	0.01943
Metabolism	Genetic Information Processing	0.5045	0.5743	0.5052	0.5289	0.7262	0.6457	0.4789	0.7592	0.4847	0.8384	0.5577
