KO number	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
K14721	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03010	3764629.9	2942258.6	10033545	5800793.2	4815697.4	5560602.7	13002343	2746069.7	2455116.3	6671064.5	2108579.1
K03006	2292699.1	2313853.8	3394167.3	3545770.4	1993165.2	2119069.4	6686733.7	1052740.1	2107950.6	3302101.1	971800.5
K03011	249273.96	435701.64	612535.11	611290.37	222374.77	160699.96	1225856.3	0.79902021	110663.72	281486.68	280922.84
K03008	1895718.5	1773353.4	10479596	4937261.6	3932659	2672024.8	2404172.9	2688459.5	144936.69	6106742.2	1892803.5
K03012	2126702.2	3714990.8	5789804.9	3512372.4	1521291.5	3649393.9	12144357	955991.86	3641798.7	3131710.3	1642779
K03015	3335570.1	1838152	5649766.1	5214660.6	2437214.3	4718937.6	8044273.6	3354331.1	2908258.8	3454229.6	1364450.9
K03017	1605832.7	930320.88	2320800.3	1427180.4	2714299.4	385333.38	5981295	417766.49	3080301.7	904013.55	365866.33
K03013	4116598.1	3771829.7	8856597.9	7509164.5	4278300.5	2139971.5	12778588	2918394.7	2173300.2	7470501.7	1426381.7
K03016	11345624	7519512.8	19434001	18186308	9720411	14092597	48701727	5860126.9	7994391.8	17387666	8146341
K03009	3302209	6987507.2	2.0398955e+08	8477926.3	2462308.3	4441298.2	15965922	3473935.7	7654317.3	0.79902021	68517235
K03007	6415465.4	3914188.7	29226223	12680000	9600026	11862506	26099967	5900908.6	4181171.4	22197668	5203744.4
K03021	2620369.2	1697803.2	2570998.8	3709698.8	1727095.5	1834601.8	3412199.7	1308157.4	1378851.7	3135196.9	1575286.5
K03018	523803.18	591822.7	3022572.6	1291472.8	428087.32	392703.05	3408433.9	623857.39	1010339.2	2554618.5	570302.43
K03020	1961867.4	1978559.5	2000496.3	3795081.6	2401333.8	3897363.6	9196494.5	3497027.7	4022888.3	5612919.2	1451347.7
K03027	9888071.8	4016013.5	17413906	14657806	9946319.7	7101306.7	27606964	7987336.5	12557208	15053191	3914302.2
K03023	761965.34	649545.05	2490022.2	1621552	1490336.5	1634151.3	2560065.7	1285359.8	441460.33	2551178.3	355306.35
K03026	1305507.7	762160.35	1348569.7	2151693.6	1010633.7	623145.59	8513394	897946.41	1864725.2	2986886.6	645329.2
K03019	373567.02	237715.96	408996.21	2094865.4	609634.91	206294.97	2226470.4	535773.88	898864.22	1709043.3	162506.51
K03022	821991.2	440900.07	813439.86	770667.65	1598501.4	967958.99	4357503.1	653398.61	607732.11	1429223.3	650690.88
K03024	406896.09	707751.53	2360891.3	1842216.5	1604092.1	6433164.4	2562500.2	515702.72	1414644	2483301.7	1048327.1
K03025	420960.58	478722.92	1942425.2	1942493.7	991316.38	1533690.2	1419757.9	773945.51	210353.52	2585462.6	390486.26
