Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.821	0.8332	0.8218	0.8222	0.8104	0.8229	0.8214	0.8259	0.8153	0.8049	0.8046
Genetic Information Processing	TOTAL	0.4555	0.4464	0.4342	0.4671	0.3723	0.3567	0.4957	0.4268	0.5006	0.4168	0.4805
-Transcription	TOTAL	0.05415	0.05889	0.04524	0.04945	0.0431	0.03341	0.06081	0.03548	0.05833	0.04539	0.0462
-Translation	TOTAL	0.1639	0.1244	0.1498	0.161	0.1324	0.1146	0.1682	0.1376	0.1735	0.1348	0.1738
-Folding, Sorting and Degradation	TOTAL	0.1633	0.1582	0.17	0.1799	0.1338	0.1564	0.1809	0.1949	0.1879	0.1646	0.1808
-DNA Maintenance	TOTAL	0.07413	0.1049	0.06913	0.0768	0.06295	0.05227	0.08576	0.05885	0.08085	0.07204	0.07962
Environmental Information Processing	TOTAL	0.04141	0.04855	0.04057	0.0418	0.04458	0.06029	0.03119	0.04383	0.03461	0.04416	0.03485
-Signal Transduction	TOTAL	0.01841	0.02714	0.01734	0.01894	0.01958	0.02415	0.01819	0.02018	0.01883	0.02397	0.01863
-Signaling Molecules and Interaction	TOTAL	0.02301	0.02141	0.02323	0.02286	0.02501	0.03615	0.013	0.02365	0.01579	0.02019	0.01622
Cellular Processes	TOTAL	0.1448	0.1512	0.181	0.1274	0.1762	0.2216	0.1101	0.1153	0.1043	0.09959	0.09835
-Hemoglobin	TOTAL	1.657e-06	3.088e-06	2.646e-06	1.477e-06	1.201e-06	6.165e-07	1.091e-06	1.649e-06	5.94e-05	1.82e-07	4.064e-06
-Vesicular Transport	TOTAL	0.02113	0.02878	0.02322	0.0219	0.02213	0.03348	0.02233	0.03273	0.02123	0.03081	0.02083
-Cytoskeleton	TOTAL	0.1061	0.1079	0.1338	0.09028	0.1279	0.1626	0.07312	0.06774	0.06687	0.0566	0.06313
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.007812	0.008156	0.008945	0.006923	0.007787	0.008204	0.008218	0.006196	0.008047	0.006763	0.007154
-Cell Communication	TOTAL	0.009759	0.006358	0.01502	0.008343	0.01839	0.01729	0.006415	0.0086	0.008082	0.005409	0.007235
Metabolism	TOTAL	0.1648	0.1673	0.1487	0.1738	0.2018	0.1666	0.1676	0.222	0.1578	0.2306	0.1755
-Membrane Transport	TOTAL	0.001837	0.0008079	0.0009107	0.0007513	0.00167	0.001576	0.0006435	0.001958	0.001353	0.001407	0.0009475
-Central Carbon Metabolism	TOTAL	0.06673	0.07625	0.06653	0.07274	0.09041	0.07898	0.06852	0.07636	0.0625	0.0883	0.07328
-Energy Metabolism	TOTAL	0.01974	0.02029	0.01482	0.01991	0.01808	0.01567	0.02103	0.02824	0.02046	0.04053	0.02232
-Biosynthesis	TOTAL	0.05448	0.04754	0.04682	0.06063	0.07152	0.05054	0.05343	0.08362	0.05108	0.074	0.057
-Other Enzymes	TOTAL	0.02199	0.02237	0.01958	0.01973	0.02012	0.01984	0.02401	0.03182	0.02238	0.02637	0.02194
Organismal Systems	TOTAL	0.008742	0.01326	0.01133	0.006387	0.01018	0.0124	0.009237	0.01144	0.008496	0.00569	0.008855
-Immune System	TOTAL	0.00129	0.002648	0.0009203	0.001328	0.001296	0.002453	0.001	0.002785	0.0009897	0.0007542	0.00116
-Endocrine System	TOTAL	0.0008515	0.001852	0.001807	0.0008535	0.001215	0.001415	0.002249	0.002631	0.0009368	0.001295	0.001883
-Circulatory System	TOTAL	0.002112	0.001596	0.003836	0.000819	0.003086	0.00293	0.00105	0.0007315	0.001029	0.0003551	0.001016
-Digestive System	TOTAL	0.002209	0.001832	0.002599	0.001712	0.002182	0.002431	0.002876	0.003119	0.00382	0.00156	0.002496
-Excretory System	TOTAL	0.0005729	0.003117	0.0006756	0.0005024	0.000414	0.0006456	0.0005765	0.000395	0.0005914	0.0005342	0.0007125
-Nervous System	TOTAL	0.001076	0.0009335	0.0006175	0.0007348	0.0006617	0.0007629	0.0008026	0.0006304	0.0009286	0.0008538	0.0009234
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0.0005877	0.001227	0.0008286	0.0003835	0.001289	0.001735	0.0006379	0.001123	0.0001327	0.0003007	0.0006264
-Environmental Adaptation	TOTAL	4.387e-05	5.019e-05	4.965e-05	5.384e-05	3.798e-05	3.132e-05	4.519e-05	2.103e-05	6.778e-05	3.64e-05	3.814e-05
Human Diseases	TOTAL	0.005783	0.006524	0.006125	0.005639	0.005367	0.005312	0.007567	0.006561	0.009559	0.008005	0.006622
-Cancers	TOTAL	0.00263	0.002956	0.002867	0.002609	0.002401	0.002156	0.003275	0.002586	0.003428	0.003116	0.00225
-Immune System Diseases	TOTAL	0.0006033	0.0008832	0.0009517	0.0006592	0.0005289	0.0006468	0.001426	0.001218	0.002555	0.001373	0.001445
-Neurodegenerative Diseases	TOTAL	0.001137	0.001209	0.000872	0.0008012	0.0009572	0.0007136	0.00119	0.001202	0.001796	0.001043	0.001281
-Cardiovascular Diseases	TOTAL	0.0004489	0.0001032	0.0002685	0.000243	0.000287	0.0007775	0.0003119	0.0001233	0.0002111	0.000385	9.961e-05
-Infectious Diseases	TOTAL	0.0009645	0.001372	0.001167	0.001327	0.001193	0.001018	0.001364	0.001432	0.001568	0.002088	0.001547
Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
-Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
TOTAL	MAPPED	1.218	1.2	1.217	1.216	1.234	1.215	1.217	1.211	1.227	1.242	1.243
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.5548	0.5358	0.5283	0.5682	0.4594	0.4335	0.6035	0.5168	0.614	0.5179	0.5971
-Transcription	MAPPED	0.06595	0.07069	0.05505	0.06015	0.05318	0.0406	0.07403	0.04296	0.07155	0.05639	0.05742
-Translation	MAPPED	0.1996	0.1493	0.1823	0.1958	0.1634	0.1393	0.2048	0.1666	0.2128	0.1675	0.2161
-Folding, Sorting and Degradation	MAPPED	0.1989	0.1899	0.2068	0.2188	0.1651	0.19	0.2202	0.2359	0.2305	0.2045	0.2247
-DNA Maintenance	MAPPED	0.09029	0.1259	0.08412	0.09341	0.07768	0.06352	0.1044	0.07125	0.09917	0.0895	0.09895
Environmental Information Processing	MAPPED	0.05045	0.05827	0.04937	0.05084	0.05501	0.07327	0.03797	0.05307	0.04245	0.05487	0.04331
-Signal Transduction	MAPPED	0.02242	0.03257	0.0211	0.02303	0.02416	0.02934	0.02215	0.02443	0.02309	0.02978	0.02315
-Signaling Molecules and Interaction	MAPPED	0.02803	0.0257	0.02826	0.02781	0.03085	0.04393	0.01582	0.02864	0.01936	0.02509	0.02016
Cellular Processes	MAPPED	0.1763	0.1815	0.2202	0.155	0.2174	0.2692	0.134	0.1396	0.1279	0.1237	0.1222
-Hemoglobin	MAPPED	2.018e-06	3.706e-06	3.219e-06	1.796e-06	1.482e-06	7.492e-07	1.329e-06	1.997e-06	7.286e-05	2.262e-07	5.051e-06
-Vesicular Transport	MAPPED	0.02574	0.03454	0.02825	0.02663	0.02731	0.04069	0.02718	0.03963	0.02604	0.03828	0.02589
-Cytoskeleton	MAPPED	0.1292	0.1295	0.1628	0.1098	0.1578	0.1976	0.08902	0.08202	0.08202	0.07032	0.07845
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.009516	0.009789	0.01088	0.00842	0.009608	0.00997	0.01001	0.007502	0.00987	0.008403	0.008891
-Cell Communication	MAPPED	0.01189	0.00763	0.01827	0.01015	0.0227	0.02102	0.00781	0.01041	0.009913	0.00672	0.008991
Metabolism	MAPPED	0.2007	0.2007	0.1809	0.2113	0.249	0.2025	0.2041	0.2688	0.1935	0.2865	0.2181
-Membrane Transport	MAPPED	0.002237	0.0009697	0.001108	0.0009139	0.002061	0.001915	0.0007834	0.002371	0.00166	0.001749	0.001178
-Central Carbon Metabolism	MAPPED	0.08129	0.09152	0.08095	0.08848	0.1116	0.09598	0.08343	0.09246	0.07666	0.1097	0.09108
-Energy Metabolism	MAPPED	0.02405	0.02435	0.01803	0.02421	0.0223	0.01905	0.0256	0.03419	0.02509	0.05035	0.02774
-Biosynthesis	MAPPED	0.06636	0.05706	0.05697	0.07374	0.08825	0.06142	0.06505	0.1012	0.06265	0.09193	0.07084
-Other Enzymes	MAPPED	0.02679	0.02684	0.02383	0.02399	0.02482	0.02411	0.02923	0.03853	0.02745	0.03276	0.02727
Organismal Systems	MAPPED	0.01065	0.01591	0.01379	0.007769	0.01256	0.01507	0.01125	0.01385	0.01042	0.007069	0.01101
-Immune System	MAPPED	0.001571	0.003178	0.00112	0.001615	0.001599	0.002981	0.001218	0.003372	0.001214	0.000937	0.001442
-Endocrine System	MAPPED	0.001037	0.002223	0.002198	0.001038	0.001499	0.001719	0.002738	0.003186	0.001149	0.001609	0.00234
-Circulatory System	MAPPED	0.002572	0.001916	0.004668	0.0009962	0.003807	0.003561	0.001278	0.0008857	0.001262	0.0004412	0.001263
-Digestive System	MAPPED	0.00269	0.002199	0.003163	0.002083	0.002692	0.002954	0.003502	0.003777	0.004685	0.001939	0.003102
-Excretory System	MAPPED	0.0006979	0.003741	0.0008221	0.000611	0.0005108	0.0007846	0.0007018	0.0004783	0.0007253	0.0006637	0.0008855
-Nervous System	MAPPED	0.00131	0.00112	0.0007513	0.0008938	0.0008165	0.0009271	0.0009771	0.0007633	0.001139	0.001061	0.001148
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0.0007158	0.001473	0.001008	0.0004665	0.001591	0.002109	0.0007767	0.00136	0.0001628	0.0003735	0.0007786
-Environmental Adaptation	MAPPED	5.344e-05	6.024e-05	6.042e-05	6.548e-05	4.687e-05	3.806e-05	5.502e-05	2.546e-05	8.314e-05	4.523e-05	4.74e-05
Human Diseases	MAPPED	0.007045	0.00783	0.007453	0.006859	0.006622	0.006456	0.009212	0.007944	0.01172	0.009945	0.00823
-Cancers	MAPPED	0.003204	0.003548	0.003488	0.003173	0.002962	0.00262	0.003987	0.003131	0.004205	0.003871	0.002796
-Immune System Diseases	MAPPED	0.0007349	0.00106	0.001158	0.0008018	0.0006527	0.0007861	0.001736	0.001474	0.003133	0.001705	0.001795
-Neurodegenerative Diseases	MAPPED	0.001384	0.001451	0.001061	0.0009745	0.001181	0.0008672	0.001449	0.001455	0.002203	0.001296	0.001592
-Cardiovascular Diseases	MAPPED	0.0005468	0.0001239	0.0003267	0.0002956	0.0003541	0.0009448	0.0003797	0.0001493	0.0002589	0.0004784	0.0001238
-Infectious Diseases	MAPPED	0.001175	0.001646	0.00142	0.001614	0.001472	0.001237	0.00166	0.001733	0.001923	0.002595	0.001923
Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
-Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
TOTAL	Genetic Information Processing	2.196	2.24	2.303	2.141	2.686	2.803	2.017	2.343	1.998	2.399	2.081
MAPPED	Genetic Information Processing	1.802	1.866	1.893	1.76	2.177	2.307	1.657	1.935	1.629	1.931	1.675
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1189	0.1319	0.1042	0.1059	0.1158	0.09367	0.1227	0.08314	0.1165	0.1089	0.09617
-Translation	Genetic Information Processing	0.3598	0.2787	0.3451	0.3446	0.3558	0.3214	0.3394	0.3225	0.3465	0.3235	0.3618
-Folding, Sorting and Degradation	Genetic Information Processing	0.3585	0.3544	0.3915	0.3851	0.3594	0.4384	0.3649	0.4565	0.3754	0.3948	0.3763
-DNA Maintenance	Genetic Information Processing	0.1627	0.2349	0.1592	0.1644	0.1691	0.1465	0.173	0.1379	0.1615	0.1728	0.1657
Environmental Information Processing	Genetic Information Processing	0.09093	0.1088	0.09345	0.08948	0.1198	0.169	0.06293	0.1027	0.06915	0.1059	0.07254
-Signal Transduction	Genetic Information Processing	0.04041	0.06079	0.03994	0.04054	0.05259	0.06769	0.03671	0.04728	0.03761	0.0575	0.03878
-Signaling Molecules and Interaction	Genetic Information Processing	0.05052	0.04796	0.0535	0.04894	0.06717	0.1013	0.02622	0.05542	0.03154	0.04845	0.03376
Cellular Processes	Genetic Information Processing	0.3178	0.3387	0.4168	0.2728	0.4734	0.6211	0.2221	0.2701	0.2083	0.2389	0.2047
-Hemoglobin	Genetic Information Processing	3.637e-06	6.917e-06	6.094e-06	3.161e-06	3.226e-06	1.728e-06	2.202e-06	3.864e-06	0.0001187	4.367e-07	8.459e-06
-Vesicular Transport	Genetic Information Processing	0.04639	0.06448	0.05348	0.04687	0.05945	0.09386	0.04505	0.07669	0.0424	0.07392	0.04336
-Cytoskeleton	Genetic Information Processing	0.2329	0.2417	0.3082	0.1933	0.3436	0.4558	0.1475	0.1587	0.1336	0.1358	0.1314
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.01715	0.01827	0.0206	0.01482	0.02092	0.023	0.01658	0.01452	0.01607	0.01623	0.01489
-Cell Communication	Genetic Information Processing	0.02143	0.01424	0.03458	0.01786	0.04941	0.04848	0.01294	0.02015	0.01615	0.01298	0.01506
Metabolism	Genetic Information Processing	0.3618	0.3747	0.3424	0.372	0.542	0.4671	0.3382	0.5201	0.3152	0.5532	0.3653
-Membrane Transport	Genetic Information Processing	0.004033	0.00181	0.002098	0.001608	0.004487	0.004418	0.001298	0.004588	0.002704	0.003376	0.001972
-Central Carbon Metabolism	Genetic Information Processing	0.1465	0.1708	0.1532	0.1557	0.2429	0.2214	0.1382	0.1789	0.1249	0.2118	0.1525
-Energy Metabolism	Genetic Information Processing	0.04335	0.04546	0.03412	0.04261	0.04856	0.04394	0.04243	0.06615	0.04086	0.09723	0.04647
-Biosynthesis	Genetic Information Processing	0.1196	0.1065	0.1078	0.1298	0.1921	0.1417	0.1078	0.1959	0.102	0.1775	0.1186
-Other Enzymes	Genetic Information Processing	0.04828	0.0501	0.04511	0.04223	0.05403	0.05562	0.04844	0.07456	0.04471	0.06326	0.04566
