Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.821	0.8332	0.8218	0.8222	0.8104	0.8229	0.8214	0.8259	0.8153	0.8049	0.8046
Genetic Information Processing	TOTAL	0.351	0.3338	0.3288	0.3504	0.2859	0.2647	0.3852	0.3115	0.3789	0.3031	0.3592
-Transcription	TOTAL	0.04258	0.04433	0.0343	0.0376	0.03371	0.02527	0.04663	0.02699	0.04454	0.03558	0.03438
-Translation	TOTAL	0.147	0.1078	0.1326	0.1455	0.1206	0.1034	0.1515	0.1207	0.1556	0.1155	0.1542
-Folding, Sorting and Degradation	TOTAL	0.09816	0.09447	0.1014	0.1032	0.07889	0.09181	0.1163	0.1137	0.1136	0.0912	0.1032
-DNA Maintenance	TOTAL	0.05631	0.08309	0.05422	0.06027	0.04766	0.0406	0.0658	0.04651	0.06238	0.05744	0.05963
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.02299	0.02406	0.02456	0.02469	0.02469	0.03523	0.01766	0.02459	0.02089	0.02451	0.02183
-Signal Transduction	TOTAL	0.007311	0.00903	0.007709	0.01049	0.007726	0.009919	0.006388	0.006095	0.007998	0.008113	0.007554
-Signaling Molecules and Interaction	TOTAL	0.01587	0.014	0.01723	0.01534	0.01722	0.02543	0.01061	0.01856	0.01256	0.01613	0.01329
Cellular Processes	TOTAL	0.1313	0.1358	0.1685	0.1188	0.1624	0.1995	0.1046	0.09749	0.09701	0.08299	0.08851
-Hemoglobin	TOTAL	7.817e-07	2.087e-06	2.613e-06	3.821e-11	6.035e-07	3.822e-07	2.852e-11	1.618e-06	3.813e-05	3.467e-11	3.94e-06
-Vesicular Transport	TOTAL	0.01252	0.0174	0.01467	0.01268	0.01288	0.02192	0.01469	0.0192	0.01222	0.01724	0.01305
-Cytoskeleton	TOTAL	0.09454	0.09381	0.1152	0.08184	0.1152	0.1396	0.0655	0.06136	0.05867	0.05024	0.05553
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.01307	0.01657	0.01476	0.01396	0.01261	0.0113	0.01641	0.0084	0.01557	0.009685	0.0113
-Cell Communication	TOTAL	0.01052	0.008046	0.01569	0.008384	0.0184	0.01839	0.007022	0.009313	0.009174	0.005353	0.007647
Metabolism	TOTAL	0.2	0.2113	0.1879	0.2078	0.228	0.1994	0.2109	0.2578	0.2035	0.2681	0.2159
-Membrane Transport	TOTAL	0.002573	0.001594	0.001553	0.001787	0.002011	0.001964	0.001696	0.00233	0.002083	0.002355	0.001512
-Central Carbon Metabolism	TOTAL	0.02532	0.03172	0.02688	0.03313	0.0376	0.03001	0.02945	0.03519	0.028	0.04186	0.03323
-Energy Metabolism	TOTAL	0.009506	0.01137	0.01058	0.009566	0.0125	0.01183	0.009114	0.01068	0.009775	0.01612	0.009515
-Biosynthesis	TOTAL	0.04998	0.04925	0.04641	0.05115	0.05759	0.04818	0.05163	0.0719	0.05123	0.07765	0.0559
-Other Enzymes	TOTAL	0.1014	0.1071	0.09129	0.1056	0.1114	0.09656	0.1073	0.1277	0.1023	0.1291	0.1081
Organismal Systems	TOTAL	0.04279	0.05043	0.0475	0.04594	0.04269	0.05465	0.0425	0.05598	0.04017	0.04195	0.04085
-Immune System	TOTAL	0.01232	0.01482	0.01208	0.01048	0.01065	0.01674	0.009739	0.01529	0.01119	0.01176	0.01231
-Endocrine System	TOTAL	0.009248	0.004563	0.009449	0.01404	0.00723	0.01238	0.008855	0.01565	0.008532	0.006145	0.006891
-Circulatory System	TOTAL	0.004107	0.003963	0.005478	0.002441	0.005076	0.005265	0.002985	0.002675	0.002837	0.003053	0.003562
-Digestive System	TOTAL	0.007152	0.00442	0.005553	0.007191	0.007708	0.005576	0.004762	0.007378	0.005966	0.005474	0.004419
-Excretory System	TOTAL	0.003063	0.005497	0.003861	0.003541	0.002891	0.00497	0.00366	0.006126	0.00279	0.004546	0.002381
-Nervous System	TOTAL	0.003385	0.004882	0.003074	0.002586	0.002385	0.00395	0.003196	0.00249	0.002886	0.002387	0.002945
-Sensory System	TOTAL	0.0004774	0.001053	0.0007062	0.0004873	0.0006103	0.0009195	0.0006556	0.0004747	0.0003383	0.0003375	0.0004796
-Development	TOTAL	0.000942	0.001704	0.001282	0.0008831	0.001727	0.002243	0.00102	0.00144	0.0004892	0.0006535	0.001162
-Environmental Adaptation	TOTAL	0.0004193	0.0006089	0.0004573	0.00035	0.0003738	0.0002987	0.0005581	0.0004106	0.0005845	0.0001934	0.0005005
Human Diseases	TOTAL	0.07164	0.08263	0.07127	0.07332	0.06531	0.07309	0.06443	0.07455	0.06736	0.08419	0.07649
-Cancers	TOTAL	0.006569	0.007223	0.006663	0.005898	0.005397	0.005342	0.007175	0.005369	0.008502	0.008115	0.005498
-Immune System Diseases	TOTAL	0.01042	0.0172	0.007053	0.009775	0.009182	0.007862	0.008081	0.01251	0.01036	0.01179	0.01602
-Neurodegenerative Diseases	TOTAL	0.02386	0.02396	0.01929	0.0249	0.02295	0.02269	0.02351	0.028	0.02298	0.03784	0.02629
-Cardiovascular Diseases	TOTAL	0.005855	0.00296	0.00423	0.004387	0.004816	0.007218	0.003908	0.003267	0.00301	0.003738	0.003773
-Metabolic Diseases	TOTAL	3.303e-05	3.191e-05	2.942e-05	4.012e-05	2.549e-05	2.932e-05	0.0002222	7.498e-05	7.869e-05	2.624e-05	2.951e-05
-Infectious Diseases	TOTAL	0.01436	0.01746	0.01515	0.01558	0.01456	0.01799	0.0119	0.01426	0.01445	0.01315	0.01485
Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
-Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
TOTAL	MAPPED	1.218	1.2	1.217	1.216	1.234	1.215	1.217	1.211	1.227	1.242	1.243
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4275	0.4007	0.4001	0.4262	0.3528	0.3217	0.469	0.3771	0.4647	0.3766	0.4464
-Transcription	MAPPED	0.05187	0.05321	0.04174	0.04573	0.04159	0.03071	0.05678	0.03267	0.05462	0.0442	0.04272
-Translation	MAPPED	0.179	0.1294	0.1614	0.1769	0.1488	0.1257	0.1844	0.1462	0.1908	0.1435	0.1917
-Folding, Sorting and Degradation	MAPPED	0.1196	0.1134	0.1234	0.1256	0.09734	0.1116	0.1416	0.1376	0.1393	0.1133	0.1283
-DNA Maintenance	MAPPED	0.06859	0.09973	0.06598	0.07331	0.05881	0.04934	0.08011	0.05631	0.07652	0.07137	0.0741
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.028	0.02888	0.02988	0.03003	0.03046	0.04281	0.0215	0.02978	0.02562	0.03046	0.02714
-Signal Transduction	MAPPED	0.008905	0.01084	0.00938	0.01276	0.009534	0.01205	0.007777	0.00738	0.00981	0.01008	0.009388
-Signaling Molecules and Interaction	MAPPED	0.01934	0.0168	0.02096	0.01866	0.02125	0.0309	0.01292	0.02247	0.01541	0.02003	0.01651
Cellular Processes	MAPPED	0.1599	0.163	0.205	0.1445	0.2004	0.2424	0.1273	0.118	0.119	0.1031	0.11
-Hemoglobin	MAPPED	9.522e-07	2.504e-06	3.18e-06	4.647e-11	7.447e-07	4.645e-07	3.472e-11	1.96e-06	4.677e-05	4.308e-11	4.897e-06
-Vesicular Transport	MAPPED	0.01525	0.02088	0.01785	0.01543	0.01589	0.02664	0.01789	0.02324	0.01499	0.02142	0.01621
-Cytoskeleton	MAPPED	0.1152	0.1126	0.1401	0.09954	0.1421	0.1697	0.07974	0.0743	0.07196	0.06242	0.06902
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.01593	0.01989	0.01796	0.01698	0.01556	0.01373	0.01998	0.01017	0.01909	0.01203	0.01405
-Cell Communication	MAPPED	0.01282	0.009657	0.01909	0.0102	0.0227	0.02235	0.008548	0.01128	0.01125	0.00665	0.009503
Metabolism	MAPPED	0.2436	0.2536	0.2286	0.2528	0.2814	0.2423	0.2567	0.3122	0.2496	0.3331	0.2684
-Membrane Transport	MAPPED	0.003134	0.001913	0.001889	0.002174	0.002481	0.002387	0.002065	0.002821	0.002555	0.002926	0.001879
-Central Carbon Metabolism	MAPPED	0.03084	0.03808	0.03271	0.0403	0.04639	0.03647	0.03585	0.04261	0.03434	0.05201	0.0413
-Energy Metabolism	MAPPED	0.01158	0.01365	0.01288	0.01164	0.01542	0.01437	0.0111	0.01293	0.01199	0.02003	0.01183
-Biosynthesis	MAPPED	0.06087	0.05911	0.05647	0.06222	0.07106	0.05855	0.06286	0.08706	0.06284	0.09648	0.06948
-Other Enzymes	MAPPED	0.1235	0.1286	0.1111	0.1285	0.1374	0.1173	0.1306	0.1546	0.1255	0.1604	0.1343
Organismal Systems	MAPPED	0.05212	0.06052	0.05779	0.05588	0.05268	0.06642	0.05174	0.06779	0.04927	0.05212	0.05077
-Immune System	MAPPED	0.01501	0.01779	0.0147	0.01275	0.01314	0.02034	0.01186	0.01851	0.01372	0.0146	0.0153
-Endocrine System	MAPPED	0.01126	0.005476	0.0115	0.01708	0.008921	0.01504	0.01078	0.01895	0.01047	0.007635	0.008564
-Circulatory System	MAPPED	0.005003	0.004756	0.006666	0.002969	0.006264	0.006398	0.003635	0.003239	0.00348	0.003793	0.004427
-Digestive System	MAPPED	0.008712	0.005305	0.006756	0.008746	0.009511	0.006775	0.005797	0.008933	0.007317	0.006801	0.005492
-Excretory System	MAPPED	0.003731	0.006597	0.004698	0.004307	0.003567	0.00604	0.004456	0.007417	0.003423	0.005648	0.002959
-Nervous System	MAPPED	0.004124	0.00586	0.00374	0.003145	0.002943	0.004801	0.003891	0.003015	0.003539	0.002966	0.00366
-Sensory System	MAPPED	0.0005815	0.001264	0.0008593	0.0005927	0.0007531	0.001117	0.0007981	0.0005748	0.0004149	0.0004193	0.000596
-Development	MAPPED	0.001147	0.002046	0.00156	0.001074	0.00213	0.002725	0.001242	0.001743	0.0006	0.0008119	0.001444
-Environmental Adaptation	MAPPED	0.0005108	0.0007308	0.0005564	0.0004257	0.0004612	0.0003629	0.0006795	0.0004972	0.000717	0.0002403	0.000622
Human Diseases	MAPPED	0.08726	0.09917	0.08672	0.08918	0.08059	0.08882	0.07844	0.09026	0.08262	0.1046	0.09506
-Cancers	MAPPED	0.008002	0.00867	0.008107	0.007174	0.006659	0.006492	0.008735	0.006501	0.01043	0.01008	0.006833
-Immune System Diseases	MAPPED	0.01269	0.02064	0.008582	0.01189	0.01133	0.009554	0.009839	0.01515	0.01271	0.01464	0.01991
-Neurodegenerative Diseases	MAPPED	0.02906	0.02875	0.02347	0.03029	0.02832	0.02758	0.02863	0.0339	0.02818	0.04702	0.03267
-Cardiovascular Diseases	MAPPED	0.007132	0.003552	0.005147	0.005336	0.005943	0.008771	0.004758	0.003955	0.003692	0.004644	0.004689
-Metabolic Diseases	MAPPED	4.024e-05	3.83e-05	3.58e-05	4.879e-05	3.145e-05	3.563e-05	0.0002705	9.078e-05	9.652e-05	3.26e-05	3.667e-05
-Infectious Diseases	MAPPED	0.0175	0.02095	0.01843	0.01895	0.01797	0.02186	0.01448	0.01727	0.01772	0.01634	0.01846
Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
-Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
TOTAL	Genetic Information Processing	2.845	2.984	3.036	2.841	3.483	3.775	2.577	3.166	2.62	3.247	2.74
MAPPED	Genetic Information Processing	2.335	2.486	2.495	2.336	2.822	3.106	2.117	2.615	2.136	2.613	2.205
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1213	0.1338	0.1035	0.1068	0.118	0.09586	0.1219	0.0855	0.1176	0.1167	0.09599
-Translation	Genetic Information Processing	0.4219	0.3245	0.4044	0.4149	0.4223	0.3907	0.3925	0.3876	0.4083	0.3817	0.4303
-Folding, Sorting and Degradation	Genetic Information Processing	0.2816	0.2817	0.3161	0.3062	0.2796	0.3468	0.3031	0.3659	0.2976	0.3018	0.2936
-DNA Maintenance	Genetic Information Processing	0.1605	0.2453	0.1636	0.172	0.1671	0.1545	0.1713	0.1519	0.1634	0.1852	0.166
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.0631	0.07345	0.07336	0.07151	0.08581	0.1331	0.04625	0.08029	0.05583	0.0778	0.05844
-Signal Transduction	Genetic Information Processing	0.02083	0.02884	0.02362	0.03001	0.02739	0.03765	0.01694	0.01902	0.02111	0.02617	0.02057
-Signaling Molecules and Interaction	Genetic Information Processing	0.04488	0.04177	0.05316	0.04245	0.06119	0.09612	0.02724	0.05897	0.03316	0.05299	0.03618
Cellular Processes	Genetic Information Processing	0.3822	0.4068	0.5032	0.3391	0.5693	0.7431	0.2701	0.314	0.253	0.2686	0.2425
-Hemoglobin	Genetic Information Processing	2.266e-06	6.28e-06	7.947e-06	1.106e-10	2.139e-06	1.454e-06	7.429e-11	5.174e-06	0.0001016	1.152e-10	1.1e-05
-Vesicular Transport	Genetic Information Processing	0.03686	0.05192	0.04445	0.03562	0.04486	0.08137	0.03787	0.06155	0.03285	0.05532	0.03492
-Cytoskeleton	Genetic Information Processing	0.2663	0.2775	0.3457	0.2291	0.4003	0.5256	0.1706	0.1971	0.1548	0.1623	0.1513
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.03767	0.05088	0.04522	0.03964	0.04393	0.0429	0.04351	0.02659	0.04199	0.03117	0.03099
-Cell Communication	Genetic Information Processing	0.02999	0.02468	0.04759	0.02383	0.06592	0.06965	0.01823	0.03069	0.02404	0.01738	0.02139
Metabolism	Genetic Information Processing	0.5699	0.6222	0.5756	0.5947	0.8032	0.7547	0.542	0.8275	0.5343	0.8659	0.591
-Membrane Transport	Genetic Information Processing	0.007457	0.004756	0.004758	0.005176	0.00696	0.007414	0.004418	0.007309	0.00555	0.007828	0.00412
