Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8026	0.8211	0.7942	0.8007	0.7862	0.7895	0.8028	0.8078	0.8022	0.7869	0.7925
Genetic Information Processing	TOTAL	0.3638	0.3268	0.3481	0.3623	0.3107	0.2807	0.3925	0.3194	0.3815	0.3086	0.3673
-Transcription	TOTAL	0.03401	0.03575	0.02838	0.03028	0.02868	0.02152	0.03568	0.02154	0.0342	0.02878	0.02604
-Translation	TOTAL	0.2012	0.1388	0.1867	0.1944	0.1742	0.1469	0.209	0.1642	0.2047	0.152	0.195
-Folding, Sorting and Degradation	TOTAL	0.07185	0.06942	0.08077	0.07919	0.0609	0.06981	0.08729	0.08444	0.08291	0.07187	0.08158
-DNA Maintenance	TOTAL	0.05289	0.07533	0.04915	0.05528	0.04526	0.03788	0.05565	0.0453	0.05522	0.05335	0.0571
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.02203	0.01912	0.02538	0.02295	0.02365	0.03541	0.01513	0.02111	0.01959	0.0195	0.01986
-Signal Transduction	TOTAL	0.003558	0.005481	0.003916	0.003586	0.002926	0.003713	0.00459	0.002657	0.006053	0.002342	0.003545
-Signaling Molecules and Interaction	TOTAL	0.01571	0.01227	0.02021	0.01565	0.01742	0.02876	0.009193	0.01565	0.01303	0.0143	0.01429
Cellular Processes	TOTAL	0.0825	0.09786	0.09292	0.0776	0.09473	0.1183	0.06593	0.06872	0.06364	0.05881	0.05567
-Hemoglobin	TOTAL	2.004e-06	5.183e-06	6.924e-06	6.039e-12	1.586e-06	1.033e-06	4.457e-12	4.164e-06	9.527e-05	5.412e-12	9.566e-06
-Vesicular Transport	TOTAL	0.007575	0.01014	0.009759	0.008517	0.008313	0.01599	0.007747	0.01198	0.00733	0.009422	0.007068
-Cytoskeleton	TOTAL	0.05899	0.06406	0.06448	0.05535	0.06647	0.07992	0.04364	0.04018	0.04105	0.0338	0.03489
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.004068	0.003656	0.00493	0.003923	0.003277	0.002474	0.004083	0.001806	0.003923	0.003196	0.003018
-Cell Communication	TOTAL	0.004148	0.002707	0.005905	0.003655	0.007437	0.006845	0.002586	0.003482	0.0035	0.002197	0.003036
Metabolism	TOTAL	0.1518	0.1597	0.1491	0.1589	0.1835	0.1609	0.1642	0.2097	0.1599	0.2231	0.1729
-Membrane Transport	TOTAL	0.001516	0.0005877	0.0008029	0.001073	0.0007978	0.001043	0.0008066	0.001167	0.0009907	0.001057	0.000827
-Central Carbon Metabolism	TOTAL	0.01602	0.01865	0.0173	0.01959	0.02172	0.02092	0.01957	0.02431	0.0172	0.02608	0.01895
-Energy Metabolism	TOTAL	0.008213	0.008594	0.007932	0.008603	0.008001	0.0102	0.008698	0.008875	0.006638	0.01284	0.008885
-Biosynthesis	TOTAL	0.03036	0.03362	0.03132	0.03043	0.03162	0.03506	0.03169	0.04951	0.03454	0.0502	0.04119
-Other Enzymes	TOTAL	0.07567	0.07145	0.07226	0.0798	0.08329	0.07674	0.08245	0.104	0.08242	0.09732	0.07951
Organismal Systems	TOTAL	0.02477	0.03392	0.02752	0.02427	0.02721	0.036	0.02374	0.03371	0.02067	0.02114	0.02113
-Immune System	TOTAL	0.005801	0.006018	0.00521	0.005701	0.0049	0.009612	0.004068	0.00691	0.004349	0.003906	0.004243
-Endocrine System	TOTAL	0.002447	0.004281	0.004445	0.002514	0.003073	0.003959	0.004164	0.004808	0.002206	0.002343	0.004232
-Circulatory System	TOTAL	0.004064	0.003385	0.00507	0.0024	0.004957	0.00476	0.002589	0.002006	0.002338	0.001874	0.002762
-Digestive System	TOTAL	0.001882	0.001228	0.001646	0.001722	0.002452	0.001959	0.001607	0.003837	0.002044	0.002216	0.0008398
-Excretory System	TOTAL	0.001802	0.00193	0.002898	0.001497	0.001799	0.001946	0.001331	0.001655	0.001611	0.00135	0.001591
-Nervous System	TOTAL	0.000479	0.0006832	0.000693	0.000645	0.0004343	0.0008723	0.0006116	0.0004702	0.0004873	0.0004785	0.0004178
-Sensory System	TOTAL	3.003e-05	6.501e-05	5.177e-05	3.228e-05	4.435e-05	4.231e-05	4.602e-05	3.985e-05	2.284e-05	2.928e-05	2.866e-05
-Development	TOTAL	0.0005172	0.0008307	0.0006662	0.0003005	0.0009692	0.001372	0.0004676	0.0007723	0.0001294	0.0002591	0.0005985
-Environmental Adaptation	TOTAL	1.99e-05	1.026e-05	4.254e-05	5.852e-05	1.744e-05	3.551e-05	1.234e-05	1.667e-05	2.032e-05	2.405e-05	3.517e-05
Human Diseases	TOTAL	0.05934	0.06662	0.05035	0.06251	0.05725	0.0621	0.04909	0.0633	0.05721	0.06886	0.06316
-Cancers	TOTAL	0.003381	0.003841	0.003509	0.003187	0.002616	0.003066	0.003377	0.003453	0.004306	0.00342	0.00258
-Immune System Diseases	TOTAL	0.002162	0.00333	0.001798	0.001489	0.001158	0.001461	0.002994	0.002454	0.003951	0.002009	0.002243
-Neurodegenerative Diseases	TOTAL	0.02019	0.0189	0.01708	0.01913	0.02157	0.02111	0.02171	0.02447	0.02013	0.03225	0.02248
-Cardiovascular Diseases	TOTAL	0.0008523	0.0002702	0.0006724	0.0005247	0.0009917	0.001902	0.0006526	0.0003165	0.000415	0.0004495	0.0006579
-Metabolic Diseases	TOTAL	2.411e-06	4.647e-07	1.163e-07	4.186e-07	7.013e-06	4.103e-06	3.973e-06	4.975e-06	3.455e-07	1.201e-05	7.541e-06
-Infectious Diseases	TOTAL	0.00773	0.00985	0.008076	0.007893	0.007789	0.01015	0.00669	0.007943	0.007377	0.006735	0.00744
Not Mapped	TOTAL	0.1974	0.1789	0.2058	0.1993	0.2138	0.2105	0.1972	0.1922	0.1978	0.2131	0.2075
-Not Mapped	TOTAL	0.1974	0.1789	0.2058	0.1993	0.2138	0.2105	0.1972	0.1922	0.1978	0.2131	0.2075
TOTAL	MAPPED	1.246	1.218	1.259	1.249	1.272	1.267	1.246	1.238	1.247	1.271	1.262
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1
