Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8026	0.8211	0.7942	0.8007	0.7862	0.7895	0.8028	0.8078	0.8022	0.7869	0.7925
Genetic Information Processing	TOTAL	0.4033	0.3781	0.3881	0.4015	0.3438	0.3163	0.4252	0.3594	0.4236	0.3474	0.4004
-Transcription	TOTAL	0.03661	0.03781	0.03069	0.03165	0.02998	0.02282	0.03883	0.02327	0.03693	0.0298	0.02877
-Translation	TOTAL	0.2034	0.1409	0.1887	0.1963	0.1766	0.1484	0.2113	0.166	0.2074	0.1526	0.1971
-Folding, Sorting and Degradation	TOTAL	0.08192	0.07979	0.09178	0.08644	0.07029	0.08253	0.09654	0.09504	0.09708	0.07747	0.08967
-DNA Maintenance	TOTAL	0.07793	0.1164	0.07378	0.08139	0.06539	0.06029	0.07885	0.06752	0.07991	0.07903	0.0807
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.02644	0.02397	0.03064	0.03	0.02787	0.04117	0.0182	0.02413	0.0242	0.02346	0.02479
-Signal Transduction	TOTAL	0.006776	0.007148	0.008565	0.0118	0.00719	0.009532	0.005887	0.005288	0.008071	0.006824	0.00578
-Signaling Molecules and Interaction	TOTAL	0.01906	0.01547	0.02346	0.01871	0.02068	0.03211	0.0123	0.01984	0.01613	0.01731	0.01723
Cellular Processes	TOTAL	0.08998	0.101	0.1024	0.08508	0.1022	0.1238	0.075	0.06984	0.07173	0.06014	0.06128
-Hemoglobin	TOTAL	2.004e-06	5.183e-06	6.924e-06	6.039e-12	1.586e-06	1.033e-06	4.457e-12	4.164e-06	9.527e-05	5.412e-12	9.566e-06
-Vesicular Transport	TOTAL	0.01332	0.01591	0.01433	0.01252	0.01264	0.01957	0.01426	0.01731	0.01187	0.01545	0.0109
-Cytoskeleton	TOTAL	0.06361	0.07318	0.06928	0.05824	0.0718	0.08761	0.04601	0.0425	0.04417	0.03604	0.03744
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.01225	0.01471	0.01506	0.01248	0.01319	0.0133	0.01503	0.008673	0.01427	0.009145	0.01084
-Cell Communication	TOTAL	0.005175	0.003551	0.007256	0.004336	0.008684	0.008186	0.003599	0.004147	0.004459	0.00287	0.003796
Metabolism	TOTAL	0.173	0.1802	0.1679	0.1751	0.2008	0.1822	0.1829	0.2295	0.1796	0.2369	0.1836
-Membrane Transport	TOTAL	0.002425	0.001579	0.001948	0.001864	0.001803	0.002265	0.001898	0.002272	0.001937	0.002446	0.001644
-Central Carbon Metabolism	TOTAL	0.02273	0.02431	0.0219	0.02596	0.0321	0.02677	0.02526	0.02695	0.02252	0.03382	0.02603
-Energy Metabolism	TOTAL	0.01038	0.01242	0.01016	0.01166	0.01155	0.01221	0.01234	0.01139	0.011	0.01793	0.01175
-Biosynthesis	TOTAL	0.03855	0.04063	0.03808	0.04037	0.05137	0.04175	0.04153	0.0572	0.04103	0.06316	0.04624
-Other Enzymes	TOTAL	0.08986	0.0931	0.08689	0.09032	0.1015	0.09255	0.09459	0.1184	0.09289	0.1202	0.09219
Organismal Systems	TOTAL	0.03142	0.04231	0.03809	0.03183	0.03404	0.04577	0.03065	0.03899	0.03229	0.02808	0.0305
-Immune System	TOTAL	0.01032	0.01097	0.009354	0.009369	0.008733	0.01499	0.007234	0.01008	0.008334	0.008048	0.008673
-Endocrine System	TOTAL	0.003789	0.004941	0.006046	0.004301	0.004386	0.006308	0.005439	0.007272	0.00345	0.003734	0.004955
-Circulatory System	TOTAL	0.004584	0.004562	0.005885	0.002997	0.006285	0.005844	0.003844	0.003135	0.00314	0.003458	0.003701
-Digestive System	TOTAL	0.003836	0.002198	0.002762	0.00404	0.004725	0.002679	0.002262	0.00643	0.002861	0.003167	0.001807
-Excretory System	TOTAL	0.002721	0.006993	0.003515	0.002946	0.002615	0.003929	0.002949	0.003224	0.002664	0.003096	0.002452
-Nervous System	TOTAL	0.002724	0.007058	0.003128	0.002137	0.002378	0.004107	0.003053	0.002222	0.002827	0.001827	0.002518
-Sensory System	TOTAL	0.0005095	0.001305	0.0007612	0.0006178	0.0006695	0.001637	0.0006956	0.0005098	0.000352	0.0003619	0.0004358
-Development	TOTAL	0.0006593	0.001247	0.0008652	0.0005024	0.001155	0.001612	0.0007186	0.0009378	0.0002837	0.0003769	0.0007761
-Environmental Adaptation	TOTAL	0.0004074	0.0005203	0.0004754	0.0003588	0.0004064	0.0003655	0.0005698	0.0004153	0.0004857	0.0002045	0.0005406
Human Diseases	TOTAL	0.0746	0.09064	0.06711	0.07608	0.06837	0.07756	0.06468	0.08283	0.07224	0.09052	0.08501
-Cancers	TOTAL	0.004948	0.005175	0.004951	0.004499	0.003523	0.0041	0.00492	0.004207	0.005589	0.005526	0.003873
-Immune System Diseases	TOTAL	0.02655	0.0406	0.01662	0.0244	0.02233	0.01899	0.01884	0.02806	0.02259	0.02556	0.03658
-Neurodegenerative Diseases	TOTAL	0.02431	0.02276	0.02049	0.02536	0.02522	0.0257	0.02423	0.02984	0.02508	0.04016	0.02654
-Cardiovascular Diseases	TOTAL	0.003949	0.002123	0.002907	0.002287	0.003287	0.005787	0.001782	0.001857	0.001905	0.001893	0.002485
-Metabolic Diseases	TOTAL	1.365e-05	8.881e-06	5.721e-06	2.611e-05	1.487e-05	2.299e-05	7.106e-05	1.565e-05	1.274e-05	2.362e-05	1.743e-05
-Infectious Diseases	TOTAL	0.01237	0.01469	0.01526	0.01537	0.01502	0.01843	0.01252	0.01211	0.01392	0.01039	0.01283
Not Mapped	TOTAL	0.1974	0.1789	0.2058	0.1993	0.2138	0.2105	0.1972	0.1922	0.1978	0.2131	0.2075
-Not Mapped	TOTAL	0.1974	0.1789	0.2058	0.1993	0.2138	0.2105	0.1972	0.1922	0.1978	0.2131	0.2075
TOTAL	MAPPED	1.246	1.218	1.259	1.249	1.272	1.267	1.246	1.238	1.247	1.271	1.262
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1
