Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.821	0.8332	0.8218	0.8222	0.8104	0.8229	0.8214	0.8259	0.8153	0.8049	0.8046
Genetic Information Processing	TOTAL	0.3551	0.3424	0.3341	0.3613	0.2889	0.2704	0.3902	0.3205	0.3848	0.3129	0.3672
-Transcription	TOTAL	0.04527	0.04669	0.03687	0.04015	0.03622	0.02723	0.05024	0.02834	0.04696	0.03819	0.03657
-Translation	TOTAL	0.152	0.1127	0.1356	0.1482	0.1226	0.1045	0.1546	0.1244	0.1582	0.1201	0.1586
-Folding, Sorting and Degradation	TOTAL	0.1108	0.1045	0.1153	0.1142	0.08923	0.1019	0.1271	0.1267	0.1258	0.1053	0.1177
-DNA Maintenance	TOTAL	0.06122	0.08787	0.059	0.06216	0.05046	0.04256	0.07165	0.05108	0.06795	0.06176	0.06766
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.02934	0.02772	0.03066	0.03022	0.03034	0.04044	0.02266	0.0299	0.02667	0.03016	0.02628
-Signal Transduction	TOTAL	0.01021	0.01218	0.01051	0.01277	0.009328	0.0125	0.00868	0.008178	0.01092	0.01112	0.01085
-Signaling Molecules and Interaction	TOTAL	0.02066	0.01695	0.02107	0.01929	0.02245	0.02912	0.01398	0.02172	0.01576	0.01904	0.01687
Cellular Processes	TOTAL	0.1391	0.1422	0.1751	0.123	0.1689	0.2078	0.1086	0.1039	0.1005	0.09188	0.09061
-Hemoglobin	TOTAL	1.657e-06	3.088e-06	2.646e-06	1.477e-06	1.201e-06	6.165e-07	1.091e-06	1.649e-06	5.94e-05	1.82e-07	4.064e-06
-Vesicular Transport	TOTAL	0.01645	0.02121	0.01854	0.0165	0.01648	0.02601	0.01865	0.02322	0.01689	0.02071	0.01655
-Cytoskeleton	TOTAL	0.09642	0.09707	0.1246	0.08311	0.1186	0.1508	0.06662	0.0633	0.0607	0.05261	0.05649
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.0165	0.01898	0.01687	0.01704	0.01545	0.01379	0.01968	0.01032	0.0178	0.01457	0.01445
-Cell Communication	TOTAL	0.01409	0.01543	0.02741	0.01045	0.02378	0.03171	0.01108	0.01029	0.01159	0.0089	0.01034
Metabolism	TOTAL	0.208	0.2152	0.1942	0.2184	0.2334	0.2084	0.2139	0.2703	0.2088	0.2816	0.2248
-Membrane Transport	TOTAL	0.003265	0.002304	0.002304	0.002484	0.002546	0.002564	0.002447	0.00326	0.00276	0.00334	0.002027
-Central Carbon Metabolism	TOTAL	0.03979	0.04579	0.03721	0.04028	0.04465	0.04323	0.03993	0.04179	0.04	0.04833	0.0439
-Energy Metabolism	TOTAL	0.01524	0.01934	0.01582	0.01505	0.01532	0.01539	0.01633	0.01775	0.01744	0.02431	0.0185
-Biosynthesis	TOTAL	0.05943	0.05591	0.05254	0.05901	0.07002	0.05651	0.0598	0.08309	0.05393	0.08495	0.0624
-Other Enzymes	TOTAL	0.1106	0.1225	0.1115	0.12	0.1301	0.1105	0.1202	0.1503	0.1152	0.1422	0.1295
Organismal Systems	TOTAL	0.05353	0.05878	0.05645	0.06005	0.04924	0.06214	0.04953	0.06505	0.05874	0.04778	0.05229
-Immune System	TOTAL	0.02548	0.02965	0.02454	0.02822	0.02024	0.02197	0.02271	0.0284	0.03301	0.01911	0.02635
-Endocrine System	TOTAL	0.01074	0.006079	0.01079	0.01556	0.00919	0.01552	0.01055	0.01899	0.009032	0.009396	0.00965
-Circulatory System	TOTAL	0.004513	0.004909	0.005831	0.003364	0.006287	0.007075	0.003855	0.002982	0.003654	0.003778	0.004302
-Digestive System	TOTAL	0.008568	0.005101	0.007438	0.008561	0.01005	0.008556	0.006244	0.01136	0.006629	0.008089	0.006073
-Excretory System	TOTAL	0.005792	0.007196	0.00762	0.007352	0.00699	0.007281	0.00483	0.0096	0.00537	0.006991	0.00626
-Nervous System	TOTAL	0.006964	0.009418	0.008374	0.00701	0.007567	0.009006	0.007839	0.005512	0.007789	0.005957	0.006841
-Sensory System	TOTAL	0.0006437	0.001326	0.0007614	0.000618	0.0007304	0.001509	0.000724	0.0005334	0.0003719	0.0003823	0.0005031
-Development	TOTAL	0.001535	0.003638	0.001847	0.001617	0.002339	0.002965	0.001467	0.001892	0.0009936	0.00109	0.001719
-Environmental Adaptation	TOTAL	0.003535	0.002352	0.003271	0.002264	0.00284	0.003637	0.00299	0.005291	0.003268	0.005025	0.003484
Human Diseases	TOTAL	0.08234	0.09408	0.08078	0.08621	0.07924	0.0849	0.07603	0.08878	0.08718	0.09062	0.09011
-Cancers	TOTAL	0.02257	0.02427	0.02239	0.02665	0.01757	0.01608	0.02205	0.02288	0.0327	0.01975	0.02212
-Immune System Diseases	TOTAL	0.01657	0.02648	0.01324	0.0165	0.01419	0.01229	0.01433	0.01663	0.01784	0.01691	0.0203
-Neurodegenerative Diseases	TOTAL	0.02776	0.02813	0.02403	0.02737	0.02622	0.02739	0.02626	0.03167	0.02761	0.04137	0.0306
-Cardiovascular Diseases	TOTAL	0.01139	0.0114	0.01638	0.007634	0.01072	0.02125	0.007136	0.005382	0.005308	0.007775	0.00653
-Metabolic Diseases	TOTAL	0.006101	0.00604	0.008071	0.005519	0.009698	0.009065	0.006122	0.009933	0.003664	0.009571	0.00831
-Infectious Diseases	TOTAL	0.0178	0.0226	0.02146	0.02207	0.02045	0.02366	0.01662	0.02437	0.01739	0.02201	0.02091
Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
-Not Mapped	TOTAL	0.179	0.1668	0.1782	0.1778	0.1896	0.1771	0.1786	0.1741	0.1847	0.1951	0.1954
TOTAL	MAPPED	1.218	1.2	1.217	1.216	1.234	1.215	1.217	1.211	1.227	1.242	1.243
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4326	0.411	0.4065	0.4395	0.3565	0.3286	0.4751	0.3881	0.4719	0.3888	0.4564
-Transcription	MAPPED	0.05515	0.05604	0.04486	0.04883	0.04469	0.03309	0.06116	0.03432	0.0576	0.04745	0.04545
-Translation	MAPPED	0.1852	0.1353	0.165	0.1802	0.1513	0.1269	0.1882	0.1506	0.194	0.1492	0.1971
-Folding, Sorting and Degradation	MAPPED	0.135	0.1254	0.1403	0.1389	0.1101	0.1238	0.1548	0.1534	0.1543	0.1308	0.1463
-DNA Maintenance	MAPPED	0.07457	0.1055	0.07179	0.07561	0.06226	0.05172	0.08723	0.06185	0.08335	0.07674	0.08409
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.03574	0.03327	0.03731	0.03676	0.03744	0.04914	0.02759	0.0362	0.03272	0.03747	0.03266
-Signal Transduction	MAPPED	0.01244	0.01462	0.01279	0.01553	0.01151	0.0152	0.01057	0.009902	0.01339	0.01381	0.01348
-Signaling Molecules and Interaction	MAPPED	0.02517	0.02034	0.02563	0.02346	0.0277	0.03539	0.01703	0.0263	0.01933	0.02365	0.02096
Cellular Processes	MAPPED	0.1694	0.1706	0.213	0.1496	0.2084	0.2526	0.1322	0.1258	0.1233	0.1141	0.1126
-Hemoglobin	MAPPED	2.018e-06	3.706e-06	3.219e-06	1.796e-06	1.482e-06	7.492e-07	1.329e-06	1.997e-06	7.286e-05	2.262e-07	5.051e-06
-Vesicular Transport	MAPPED	0.02003	0.02546	0.02256	0.02007	0.02033	0.03161	0.0227	0.02811	0.02071	0.02573	0.02057
-Cytoskeleton	MAPPED	0.1175	0.1165	0.1516	0.1011	0.1463	0.1833	0.08111	0.07664	0.07445	0.06537	0.07021
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.02009	0.02278	0.02053	0.02072	0.01907	0.01676	0.02396	0.01249	0.02183	0.0181	0.01796
-Cell Communication	MAPPED	0.01717	0.01852	0.03336	0.01271	0.02935	0.03853	0.01349	0.01246	0.01422	0.01106	0.01285
Metabolism	MAPPED	0.2533	0.2583	0.2363	0.2657	0.288	0.2533	0.2604	0.3273	0.2561	0.3499	0.2794
-Membrane Transport	MAPPED	0.003977	0.002765	0.002804	0.003022	0.003141	0.003116	0.002979	0.003947	0.003386	0.00415	0.002519
-Central Carbon Metabolism	MAPPED	0.04847	0.05496	0.04528	0.04899	0.0551	0.05254	0.04861	0.0506	0.04907	0.06005	0.05456
-Energy Metabolism	MAPPED	0.01856	0.02321	0.01925	0.0183	0.0189	0.01871	0.01988	0.02149	0.02139	0.03021	0.02299
-Biosynthesis	MAPPED	0.07239	0.06711	0.06393	0.07178	0.0864	0.06868	0.07281	0.1006	0.06614	0.1055	0.07755
-Other Enzymes	MAPPED	0.1347	0.147	0.1357	0.1459	0.1605	0.1343	0.1463	0.182	0.1413	0.1767	0.161
Organismal Systems	MAPPED	0.0652	0.07055	0.06869	0.07304	0.06076	0.07552	0.0603	0.07876	0.07205	0.05936	0.06498
-Immune System	MAPPED	0.03103	0.03559	0.02986	0.03433	0.02498	0.02669	0.02765	0.03439	0.04049	0.02374	0.03275
-Endocrine System	MAPPED	0.01309	0.007296	0.01313	0.01892	0.01134	0.01886	0.01285	0.023	0.01108	0.01167	0.01199
-Circulatory System	MAPPED	0.005497	0.005892	0.007095	0.004092	0.007757	0.008597	0.004693	0.00361	0.004482	0.004694	0.005347
-Digestive System	MAPPED	0.01044	0.006123	0.009051	0.01041	0.0124	0.0104	0.007602	0.01376	0.008131	0.01005	0.007547
-Excretory System	MAPPED	0.007055	0.008636	0.009271	0.008942	0.008625	0.008848	0.005881	0.01162	0.006587	0.008685	0.00778
-Nervous System	MAPPED	0.008482	0.0113	0.01019	0.008526	0.009337	0.01094	0.009543	0.006674	0.009554	0.007401	0.008503
-Sensory System	MAPPED	0.0007841	0.001592	0.0009265	0.0007516	0.0009012	0.001834	0.0008814	0.0006459	0.0004562	0.000475	0.0006253
-Development	MAPPED	0.00187	0.004366	0.002247	0.001967	0.002886	0.003603	0.001786	0.002291	0.001219	0.001354	0.002136
-Environmental Adaptation	MAPPED	0.004307	0.002823	0.00398	0.002754	0.003504	0.00442	0.00364	0.006407	0.004008	0.006243	0.00433
Human Diseases	MAPPED	0.1003	0.1129	0.09829	0.1049	0.09778	0.1032	0.09257	0.1075	0.1069	0.1126	0.112
-Cancers	MAPPED	0.02749	0.02913	0.02725	0.03241	0.02168	0.01955	0.02684	0.0277	0.0401	0.02454	0.02749
-Immune System Diseases	MAPPED	0.02019	0.03178	0.01612	0.02007	0.01751	0.01494	0.01745	0.02013	0.02188	0.02101	0.02523
-Neurodegenerative Diseases	MAPPED	0.03381	0.03377	0.02924	0.03329	0.03235	0.03328	0.03198	0.03835	0.03387	0.0514	0.03803
-Cardiovascular Diseases	MAPPED	0.01388	0.01368	0.01993	0.009286	0.01323	0.02582	0.008687	0.006517	0.00651	0.00966	0.008115
-Metabolic Diseases	MAPPED	0.007432	0.007249	0.009821	0.006713	0.01197	0.01102	0.007453	0.01203	0.004494	0.01189	0.01033
-Infectious Diseases	MAPPED	0.02168	0.02713	0.02611	0.02684	0.02523	0.02875	0.02024	0.02951	0.02133	0.02734	0.02599
Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
-Not Mapped	MAPPED	0.2181	0.2002	0.2168	0.2163	0.2339	0.2152	0.2175	0.2108	0.2265	0.2424	0.2428
TOTAL	Genetic Information Processing	2.945	3.194	3.143	2.933	3.637	3.976	2.66	3.373	2.712	3.475	2.917
MAPPED	Genetic Information Processing	2.417	2.661	2.583	2.411	2.948	3.272	2.185	2.786	2.211	2.797	2.347
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1297	0.1417	0.1122	0.1136	0.1277	0.1037	0.1302	0.09202	0.1234	0.124	0.1015
-Translation	Genetic Information Processing	0.4361	0.3396	0.4212	0.4296	0.4373	0.4075	0.4054	0.4129	0.4209	0.3931	0.4462
-Folding, Sorting and Degradation	Genetic Information Processing	0.312	0.3144	0.3451	0.3242	0.3108	0.3768	0.3268	0.3954	0.3288	0.337	0.3226
-DNA Maintenance	Genetic Information Processing	0.1731	0.2599	0.181	0.1783	0.1754	0.1606	0.186	0.1617	0.1779	0.2027	0.1844
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.08342	0.08939	0.09591	0.09092	0.1061	0.1662	0.06029	0.1005	0.07322	0.1055	0.07334
-Signal Transduction	Genetic Information Processing	0.03109	0.03649	0.03412	0.03811	0.03505	0.04659	0.02355	0.02824	0.03059	0.0375	0.03112
-Signaling Molecules and Interaction	Genetic Information Processing	0.05874	0.0529	0.06538	0.0552	0.07771	0.1197	0.03794	0.07481	0.04416	0.06671	0.0472
Cellular Processes	Genetic Information Processing	0.3862	0.4541	0.5326	0.3453	0.5908	0.8048	0.2795	0.3288	0.2632	0.2955	0.2575
-Hemoglobin	Genetic Information Processing	4.709e-06	9.292e-06	8.316e-06	4.193e-06	4.183e-06	2.327e-06	2.812e-06	5.562e-06	0.0001568	5.827e-07	1.154e-05
-Vesicular Transport	Genetic Information Processing	0.04688	0.06354	0.05639	0.04707	0.05938	0.0961	0.05059	0.07785	0.04424	0.07257	0.04608
-Cytoskeleton	Genetic Information Processing	0.2822	0.3086	0.3916	0.2427	0.4314	0.5996	0.1777	0.2103	0.1646	0.181	0.1637
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.04528	0.05528	0.04992	0.04635	0.05254	0.05126	0.0492	0.03136	0.04448	0.04608	0.03868
-Cell Communication	Genetic Information Processing	0.03905	0.04493	0.08056	0.02887	0.08284	0.1172	0.02809	0.032	0.02897	0.02849	0.02766
Metabolism	Genetic Information Processing	0.5991	0.6824	0.6024	0.6286	0.834	0.7957	0.5522	0.8865	0.5661	0.9346	0.6345
-Membrane Transport	Genetic Information Processing	0.009939	0.006932	0.007206	0.007473	0.00919	0.009795	0.006281	0.01102	0.007485	0.01153	0.005913
-Central Carbon Metabolism	Genetic Information Processing	0.1153	0.1463	0.117	0.1181	0.1583	0.1719	0.1056	0.1335	0.108	0.1608	0.128
